sequence,v115@vhFKJJRwBGsBTtBMmBvfB
TOSLZJI,X
TOSJILZ,X
TOSJIZL,X
TOSJLIZ,X
TOSJLZI,X
TOSJZIL,X
TOSJZLI,X
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,X
TOZILSJ,X
TOZIJLS,X
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,X
TOZLISJ,X
TOZLJIS,X
TOZLJSI,X
TOZLSIJ,X
TOZLSJI,X
TOZJILS,X
TOZJISL,X
TOZJLIS,X
TOZJLSI,X
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,O
ITLJSOZ,O
ITLJZSO,O
ITLJZOS,O
ITLJOSZ,O
ITLJOZS,O
ITLSJZO,O
ITLSJOZ,O
ITLSZJO,O
ITLSZOJ,O
ITLSOJZ,O
ITLSOZJ,O
ITLZJSO,O
ITLZJOS,O
ITLZSJO,O
ITLZSOJ,O
ITLZOJS,O
ITLZOSJ,O
ITLOJSZ,O
ITLOJZS,O
ITLOSJZ,O
ITLOSZJ,O
ITLOZJS,O
ITLOZSJ,O
ITJLSZO,O
ITJLSOZ,O
ITJLZSO,O
ITJLZOS,O
ITJLOSZ,O
ITJLOZS,O
ITJSLZO,X
ITJSLOZ,X
ITJSZLO,X
ITJSZOL,X
ITJSOLZ,X
ITJSOZL,X
ITJZLSO,O
ITJZLOS,O
ITJZSLO,X
ITJZSOL,X
ITJZOLS,O
ITJZOSL,X
ITJOLSZ,O
ITJOLZS,O
ITJOSLZ,X
ITJOSZL,X
ITJOZLS,O
ITJOZSL,X
ITSLJZO,X
ITSLJOZ,X
ITSLZJO,X
ITSLZOJ,X
ITSLOJZ,X
ITSLOZJ,X
ITSJLZO,X
ITSJLOZ,X
ITSJZLO,X
ITSJZOL,X
ITSJOLZ,X
ITSJOZL,X
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,X
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,X
ITSOJZL,X
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,O
ITZLJOS,O
ITZLSJO,O
ITZLSOJ,O
ITZLOJS,O
ITZLOSJ,O
ITZJLSO,O
ITZJLOS,O
ITZJSLO,X
ITZJSOL,X
ITZJOLS,O
ITZJOSL,X
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,X
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,O
ITZOLSJ,O
ITZOJLS,O
ITZOJSL,X
