sequence,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFDqOBAAvhFRmBzfB3dB0bBOfBlhB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VB6+ytCp/AAAvhF0hB1lBTfB3iBRhBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBz+aFDp/AAAvhFXiB1lBTfBUhBRiBmfB,v115@RhG8AeH8AeC8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ9aFDqOBAAvhFxlBfiBzbBsfBOfBliB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJNegCs/AAAvhFxkB/jBFiBTaBibBGiB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBa9KxCqCBAAvhF0fB/jBTdBlgBGcBifB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KWCqOBAAvhFxlB/jBzbBifBGdBlfB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBpvbgCsOBAAvhFxkBGjBfiBTaBibBliB,v115@RhG8AeH8AeC8JeTCYaAFLDmClcJSAVDEHBEooRBPoA?VBJtjxCqCBAAvhFRlB/jBUcBVgBOfBCiB,v115@RhG8AeH8AeC8JeUBYaAFLDmClcJSAVDEHBEooRBaoA?VBJtHgCsOBAAvhFxkB/jBGiBTaBibBFiB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBJ9KxCqCBAAvhFxlB/jBzbBlfBGdBifB,v115@RhG8AeH8AeC8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBK9KWC6OBAAvhF2kB/jBTdBShB0aBlgB,v115@RhG8AeH8AeC8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBPtjWC0/AAAvhFTfB/jB0cB6iB1gBmfB,v115@RhG8AeH8AeC8JeVHYaAFLDmClcJSAVDEHBEooRBUoA?VBadNPCvCBAAvhF0fB/jBxgBGdBzgBifB,v115@RhG8AeH8AeC8Je2FYaAFLDmClcJSAVDEHBEooRBKoA?VBPNmFDM+AAAvhFTfB/jBVhBUdBSnBxfB,v115@RhG8AeH8AeC8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUdNPCvCBAAvhFVmB/jBxfBGdBTfBigB,v115@RhG8AeH8AeC8Je0AYaAFLDmClcJSAVDEHBEooRBaoA?VBUd9VCv/AAAvhF1kB/jBxhBiaBTiBGhB,v115@RhG8AeH8AeC8JeyEYaAFLDmClcJSAVDEHBEooRBMoA?VBzPFgC6OBAAvhF/jB+iBRhBTaB0gBlhB,v115@RhG8AeH8AeC8JeWHYaAFLDmClcJSAVDEHBEooRBKoA?VBTH8LC6OBAAvhF/jBTdBKfBRgBUgBFhB,v115@RhG8AeH8AeC8Je2EYaAFLDmClcJSAVDEHBEooRBKoA?VBTejxCMHBAAvhF/jBxgBUdBlaBSnBzgB
TILJSZO,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TILJZOS,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TILSJOZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,O,O,X,X,X
TILSZOJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
TILSOJZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TILZJOS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TILZSOJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TILZOJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TILZOSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TILOJSZ,O,O,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,O,O,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,O,O,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TILOZJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TILOZSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,O,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJLZOS,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X
TIJSZOL,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X
TIJSOLZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJZLSO,O,O,X,X,O,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X
TIJZLOS,O,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X
TIJZSOL,X,X,X,X,O,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X
TIJZOLS,O,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,O,O,X,O,O,X,O,O,O,O,X,O,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,O,O,X,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TIJOZLS,O,O,X,X,O,O,X,O,O,X,O,O,O,X,X,X,X,X,X,X
TIJOZSL,O,O,X,X,O,O,X,O,O,X,O,O,O,O,X,X,X,X,X,X
TISLJZO,O,X,O,O,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TISLJOZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,O,O,O,O,X,O,O,O,X,O,O,X,O,O,X,X,X
TISLZOJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
TISLOJZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISLOZJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X
TISJZOL,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,O,X,X,X,X
TISJOLZ,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISZLJO,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,O,O,X,X,X
TISZLOJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
TISZJLO,X,X,X,O,O,O,O,X,O,O,O,X,O,O,X,O,O,X,X,X
TISZJOL,X,X,X,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,X
TISZOLJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,O,X,X,X
TISZOJL,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,X
TISOLJZ,O,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,X,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,X,O,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,X,X,X
TISOZLJ,O,O,O,O,O,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X
TISOZJL,O,O,O,O,O,O,O,X,O,O,O,X,O,O,X,O,X,X,X,X
TIZLJSO,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TIZLJOS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZLSJO,O,O,O,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TIZLSOJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TIZLOJS,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X
TIZJLSO,O,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
TIZJLOS,O,O,X,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TIZJSLO,X,X,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,X
