sequence,v115@fgA8IeB8EeB8AeB8EeB8AeB8DeI8AeI8AeI8AeD8Je?FxIvhFXSBOYB6ZBccBTbB5mB,v115@fgA8IeB8EeB8AeB8EeB8AeB8DeI8AeI8AeI8AeD8Je?FxIvhFTSBOYB6ZBcbBXcB5mB,v115@fgA8IeB8EeB8AeB8EeB8AeB8DeI8AeI8AeI8AeD8Je?UxIvhFFSBOYB6ZBTbB/hB5mB,v115@fgA8IeB8EeB8AeB8EeB8AeB8DeI8AeI8AeI8AeD8Je?FxIvhFXTB6ZBzWB0XB2gB5mB
TILJSZO,O,O,X,X
TILJSOZ,O,O,X,O
TILJZSO,O,O,X,X
TILJZOS,O,O,X,O
TILJOSZ,O,X,X,O
TILJOZS,O,O,X,O
TILSJZO,O,O,X,X
TILSJOZ,O,O,X,O
TILSZJO,O,O,X,X
TILSZOJ,O,O,X,X
TILSOJZ,O,O,X,X
TILSOZJ,O,O,X,X
TILZJSO,O,O,X,X
TILZJOS,O,O,X,O
TILZSJO,O,O,X,X
TILZSOJ,O,O,X,X
TILZOJS,O,O,X,X
TILZOSJ,O,X,X,X
TILOJSZ,O,X,X,O
TILOJZS,O,O,X,O
TILOSJZ,O,X,X,X
TILOSZJ,O,X,X,X
TILOZJS,O,O,X,X
TILOZSJ,O,X,X,X
TIJLSZO,O,O,X,X
TIJLSOZ,O,O,X,O
TIJLZSO,O,O,X,X
TIJLZOS,O,O,X,O
TIJLOSZ,O,X,X,O
TIJLOZS,O,O,X,O
TIJSLZO,O,O,X,X
TIJSLOZ,O,O,X,O
TIJSZLO,O,O,X,X
TIJSZOL,O,O,X,X
TIJSOLZ,O,O,X,O
TIJSOZL,O,O,X,O
TIJZLSO,O,O,X,X
TIJZLOS,O,O,X,O
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,O,O,X,O
TIJZOSL,O,O,X,O
TIJOLSZ,O,X,X,O
TIJOLZS,O,O,X,O
TIJOSLZ,O,X,X,O
TIJOSZL,O,X,X,O
TIJOZLS,O,O,X,O
TIJOZSL,O,O,X,O
TISLJZO,O,O,X,X
TISLJOZ,O,O,X,O
TISLZJO,O,O,X,X
TISLZOJ,O,O,X,X
TISLOJZ,O,O,X,X
TISLOZJ,O,O,X,X
TISJLZO,O,O,X,X
TISJLOZ,O,O,X,O
TISJZLO,O,O,X,X
TISJZOL,O,O,X,X
TISJOLZ,O,O,X,O
TISJOZL,O,O,X,O
TISZLJO,O,O,X,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,X,X
TISZJOL,O,O,X,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,O,O,X,X
TISOLZJ,O,O,X,X
TISOJLZ,O,O,X,X
TISOJZL,O,O,X,X
TISOZLJ,O,O,X,X
TISOZJL,O,O,X,X
TIZLJSO,O,O,X,X
TIZLJOS,O,O,X,O
TIZLSJO,O,O,X,X
TIZLSOJ,O,O,X,X
TIZLOJS,O,O,X,X
TIZLOSJ,O,X,X,X
TIZJLSO,O,O,X,X
TIZJLOS,O,O,X,O
TIZJSLO,O,O,X,X
TIZJSOL,O,O,X,X
TIZJOLS,O,O,X,O
TIZJOSL,O,O,X,O
TIZSLJO,O,O,X,X
TIZSLOJ,O,O,X,X
TIZSJLO,O,O,X,X
TIZSJOL,O,O,X,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,O,X,X
TIZOLSJ,O,X,X,X
TIZOJLS,O,O,X,X
TIZOJSL,O,O,X,X
TIZOSLJ,O,X,X,X
TIZOSJL,O,X,X,X
TIOLJSZ,O,X,X,O
TIOLJZS,O,O,X,O
TIOLSJZ,O,X,X,X
TIOLSZJ,O,X,X,X
TIOLZJS,O,O,X,X
TIOLZSJ,O,X,X,X
TIOJLSZ,O,X,X,O
TIOJLZS,O,O,X,O
TIOJSLZ,O,X,X,O
TIOJSZL,O,X,X,O
TIOJZLS,O,O,X,O
TIOJZSL,O,O,X,O
TIOSLJZ,O,X,X,X
TIOSLZJ,O,X,X,X
TIOSJLZ,O,X,X,X
TIOSJZL,O,X,X,X
TIOSZLJ,O,X,X,X
TIOSZJL,O,X,X,X
TIOZLJS,O,O,X,X
TIOZLSJ,O,X,X,X
TIOZJLS,O,O,X,X
TIOZJSL,O,O,X,X
TIOZSLJ,O,X,X,X
TIOZSJL,O,X,X,X
TLIJSZO,O,O,X,X
TLIJSOZ,O,O,X,O
TLIJZSO,O,O,X,X
TLIJZOS,O,O,X,O
TLIJOSZ,O,X,X,O
TLIJOZS,O,O,X,O
TLISJZO,O,O,X,X
TLISJOZ,O,O,X,O
TLISZJO,O,O,X,X
TLISZOJ,O,O,X,X
TLISOJZ,O,O,X,X
TLISOZJ,O,O,X,X
TLIZJSO,O,O,X,X
TLIZJOS,O,O,X,O
TLIZSJO,O,O,X,X
TLIZSOJ,O,O,X,X
TLIZOJS,O,O,X,X
TLIZOSJ,O,X,X,X
TLIOJSZ,O,X,X,O
TLIOJZS,O,O,X,O
TLIOSJZ,O,X,X,X
TLIOSZJ,O,X,X,X
TLIOZJS,O,O,X,X
TLIOZSJ,O,X,X,X
TLJISZO,O,O,X,X
TLJISOZ,O,O,X,O
TLJIZSO,O,O,X,X
TLJIZOS,O,O,X,O
TLJIOSZ,O,X,X,O
TLJIOZS,O,O,X,O
TLJSIZO,O,O,X,X
TLJSIOZ,O,X,X,O
TLJSZIO,O,O,X,X
TLJSZOI,O,O,X,X
TLJSOIZ,O,X,O,O
TLJSOZI,O,O,O,O
TLJZISO,O,O,X,X
TLJZIOS,O,O,X,O
TLJZSIO,O,O,X,X
TLJZSOI,O,O,X,X
TLJZOIS,O,O,X,O
TLJZOSI,O,O,O,O
TLJOISZ,O,X,X,O
TLJOIZS,O,O,X,O
TLJOSIZ,O,X,O,O
TLJOSZI,O,X,O,O
TLJOZIS,O,O,X,O
TLJOZSI,O,O,O,O
TLSIJZO,O,O,X,X
TLSIJOZ,O,X,X,O
TLSIZJO,O,O,X,X
TLSIZOJ,O,X,X,X
TLSIOJZ,O,X,X,X
TLSIOZJ,O,X,X,X
TLSJIZO,O,O,X,X
TLSJIOZ,O,X,X,O
TLSJZIO,O,O,X,X
TLSJZOI,O,O,X,X
TLSJOIZ,O,X,O,O
TLSJOZI,O,O,O,O
TLSZIJO,O,O,X,X
TLSZIOJ,X,O,X,X
TLSZJIO,O,O,X,X
TLSZJOI,O,O,X,X
TLSZOIJ,X,O,X,X
TLSZOJI,O,O,X,X
TLSOIJZ,O,X,O,X
TLSOIZJ,O,X,O,X
TLSOJIZ,O,X,O,X
TLSOJZI,O,O,O,X
TLSOZIJ,O,O,O,X
TLSOZJI,O,O,O,X
TLZIJSO,O,O,X,X
TLZIJOS,O,O,X,O
TLZISJO,O,O,X,X
TLZISOJ,O,O,X,X
TLZIOJS,O,O,X,X
TLZIOSJ,O,X,X,X
TLZJISO,O,O,X,X
TLZJIOS,O,O,X,O
TLZJSIO,O,O,X,X
TLZJSOI,O,O,X,X
TLZJOIS,O,O,X,O
TLZJOSI,O,O,O,O
TLZSIJO,O,O,X,X
TLZSIOJ,X,O,X,X
TLZSJIO,O,O,X,X
TLZSJOI,O,O,X,X
TLZSOIJ,X,O,X,X
TLZSOJI,O,O,X,X
TLZOIJS,O,O,X,X
TLZOISJ,O,X,X,X
TLZOJIS,O,O,X,X
TLZOJSI,O,O,O,X
TLZOSIJ,O,O,O,X
TLZOSJI,O,O,O,X
TLOIJSZ,O,X,X,O
TLOIJZS,O,O,X,O
TLOISJZ,O,X,X,X
TLOISZJ,O,X,X,X
TLOIZJS,O,O,X,X
