sequence,v115@vhFm/IXjBTkB9tByuB0sB,v115@vhFi/IXjBzkB9tB2uB0sB,v115@vhGm/I5lBXjBTkB9tByuB0sB,v115@vhGi/I5lBXjBzkB9tB2uB0sB,v115@vhGZEJCgBXjBTlB9tBWvB0sB,v115@vhGx/IXjBOpB6qB9tBzpB0sB,v115@vhGx/IXjBKpBzkB+qB9tB0sB,v115@vhGOEJ6lBXjBzkB9tB0sBxuB,v115@vhGZEJGgBXjBzkB9tBSvB0sB,v115@vhGKEJzfB+lBXjB9tB0sBxuB,v115@vhG9IJmgBTfBPrBypBUtBxuB
TSJIOZL,X,O,X,O,O,O,X,O,X,O,X
TSJLIZO,X,O,O,O,O,O,O,X,O,X,X
TSJLIOZ,X,O,O,O,O,O,O,X,O,X,X
TSJLZIO,X,O,O,O,O,O,O,X,O,X,X
TSJLZOI,O,O,O,O,O,O,O,X,O,X,X
TSJLOIZ,O,O,O,O,O,O,O,X,O,X,X
TSJLOZI,O,O,O,O,O,O,O,X,O,X,X
TSJZILO,X,O,O,O,O,O,O,O,O,O,O
TSJZIOL,X,O,X,O,O,O,X,O,X,O,O
TSJZLIO,X,O,O,O,O,O,O,X,O,X,O
TSJZLOI,O,O,O,O,O,O,O,X,O,X,X
TSJZOIL,X,O,X,O,O,O,X,X,X,X,O
TSJZOLI,X,O,X,O,O,O,O,X,X,X,X
TSJOILZ,X,O,X,O,O,O,X,X,X,X,X
TSJOIZL,X,O,X,O,O,O,X,X,X,X,X
TSJOLIZ,X,O,X,O,O,O,O,X,X,X,X
TSJOLZI,X,O,X,O,O,O,O,X,X,X,X
TSJOZIL,X,O,X,O,O,O,X,X,X,X,X
TSJOZLI,X,O,X,O,O,O,O,X,X,X,X
TSZILJO,X,X,O,O,O,X,O,O,O,O,O
TSZILOJ,O,X,O,X,X,O,O,O,O,O,O
TSZIJLO,X,O,O,O,O,O,O,O,O,O,O
TSZIJOL,X,O,X,O,O,O,X,O,X,O,O
TSZIOLJ,X,X,O,X,X,O,X,O,O,O,O
TSZIOJL,X,X,X,O,O,O,X,O,X,O,O
TSZLIJO,X,X,O,O,O,X,O,O,O,O,O
TSZLIOJ,O,X,O,X,X,O,O,O,O,O,O
TSZLJIO,X,O,O,O,O,O,O,X,O,X,O
TSZLJOI,O,O,O,O,O,O,O,X,O,X,X
TSZLOIJ,O,X,O,X,X,O,O,X,O,X,X
TSZLOJI,O,X,O,X,X,O,O,X,O,X,X
TSZJILO,X,O,O,O,O,O,O,O,O,O,O
TSZJIOL,X,O,X,O,O,O,X,O,X,O,O
TSZJLIO,X,O,O,O,O,O,O,X,O,X,O
TSZJLOI,O,O,O,O,O,O,O,X,O,X,X
TSZJOIL,X,O,X,O,O,O,X,X,X,X,O
TSZJOLI,X,O,X,O,O,O,O,X,X,X,X
TSZOILJ,X,X,O,X,X,O,X,O,O,O,O
TSZOIJL,X,X,X,O,O,O,X,O,X,O,O
TSZOLIJ,O,X,O,X,X,O,O,X,O,X,X
TSZOLJI,O,X,O,X,X,O,O,X,O,X,X
TSZOJIL,X,O,X,O,O,O,X,X,X,X,O
TSZOJLI,X,O,X,O,O,O,O,X,X,X,X
TSOILJZ,X,X,O,X,X,O,X,O,O,O,X
TSOILZJ,X,X,O,X,X,O,X,O,O,O,X
TSOIJLZ,X,X,X,O,O,O,X,O,X,O,X
TSOIJZL,X,X,X,O,O,O,X,O,X,O,X
TSOIZLJ,X,X,O,X,X,O,X,O,O,O,X
TSOIZJL,X,X,X,O,O,O,X,O,X,O,X
TSOLIJZ,O,X,O,X,X,O,O,X,O,X,X
TSOLIZJ,O,X,O,X,X,O,O,X,O,X,X
TSOLJIZ,O,X,O,X,X,O,O,X,O,X,X
TSOLJZI,O,X,O,X,X,O,O,X,O,X,X
TSOLZIJ,O,X,O,X,X,O,O,X,O,X,X
TSOLZJI,O,X,O,X,X,O,O,X,O,X,X
TSOJILZ,X,O,X,O,O,O,X,X,X,X,X
TSOJIZL,X,O,X,O,O,O,X,X,X,X,X
TSOJLIZ,X,O,X,O,O,O,O,X,X,X,X
TSOJLZI,X,O,X,O,O,O,O,X,X,X,X
TSOJZIL,X,O,X,O,O,O,X,X,X,X,X
TSOJZLI,X,O,X,O,O,O,O,X,X,X,X
TSOZILJ,X,X,O,X,X,O,X,O,O,O,X
TSOZIJL,X,X,X,O,O,O,X,O,X,O,X
TSOZLIJ,O,X,O,X,X,O,O,X,O,X,X
TSOZLJI,O,X,O,X,X,O,O,X,O,X,X
TSOZJIL,X,O,X,O,O,O,X,X,X,X,X
TSOZJLI,X,O,X,O,O,O,O,X,X,X,X
TZILJSO,X,X,O,O,O,X,O,O,O,O,O
TZILJOS,X,X,O,O,O,X,O,O,O,O,O
TZILSJO,X,X,O,O,O,X,O,O,O,O,O
TZILSOJ,O,X,O,X,X,O,O,O,O,O,O
TZILOJS,O,X,O,X,X,O,O,O,O,O,O
TZILOSJ,O,X,O,X,X,O,O,O,O,O,O
TZIJLSO,X,O,O,O,O,O,O,O,O,O,O
TZIJLOS,X,O,O,O,O,O,O,O,O,O,O
TZIJSLO,X,O,O,O,O,O,O,O,O,O,O
TZIJSOL,X,O,X,O,O,O,X,O,X,O,O
TZIJOLS,X,O,X,O,O,O,X,O,X,O,X
TZIJOSL,X,O,X,O,O,O,X,O,X,O,X
TZISLJO,X,X,O,O,O,X,O,O,O,O,O
TZISLOJ,O,X,O,X,X,O,O,O,O,O,O
TZISJLO,X,O,O,O,O,O,O,O,O,O,O
TZISJOL,X,O,X,O,O,O,X,O,X,O,O
TZISOLJ,X,X,O,X,X,O,X,O,O,O,O
TZISOJL,X,X,X,O,O,O,X,O,X,O,O
TZIOLJS,X,X,O,X,X,O,X,O,O,O,O
TZIOLSJ,X,X,O,X,X,O,X,O,O,O,O
TZIOJLS,X,X,X,O,O,O,X,O,X,O,X
TZIOJSL,X,X,X,O,O,O,X,O,X,O,X
TZIOSLJ,X,X,O,X,X,O,X,O,O,O,O
TZIOSJL,X,X,X,O,O,O,X,O,X,O,O
TZLIJSO,X,X,O,O,O,X,O,O,O,O,O
TZLIJOS,X,X,O,O,O,X,O,O,O,O,O
TZLISJO,X,X,O,O,O,X,O,O,O,O,O
TZLISOJ,O,X,O,X,X,O,O,O,O,O,O
TZLIOJS,O,X,O,X,X,O,O,O,O,O,O
TZLIOSJ,O,X,O,X,X,O,O,O,O,O,O
TZLJISO,X,O,O,O,O,O,O,X,O,X,X
TZLJIOS,X,O,O,O,O,O,O,X,O,X,X
TZLJSIO,X,O,O,O,O,O,O,X,O,X,X
TZLJSOI,O,O,O,O,O,O,O,X,O,X,X
TZLJOIS,O,O,O,O,O,O,O,X,O,X,X
TZLJOSI,O,O,O,O,O,O,O,X,O,X,X
TZLSIJO,X,X,O,O,O,X,O,O,O,O,O
TZLSIOJ,O,X,O,X,X,O,O,O,O,O,O
TZLSJIO,X,O,O,O,O,O,O,X,O,X,O
TZLSJOI,O,O,O,O,O,O,O,X,O,X,X
TZLSOIJ,O,X,O,X,X,O,O,X,O,X,X
TZLSOJI,O,X,O,X,X,O,O,X,O,X,X
TZLOIJS,O,X,O,X,X,O,O,X,O,X,X
TZLOISJ,O,X,O,X,X,O,O,X,O,X,X
TZLOJIS,O,X,O,X,X,O,O,X,O,X,X
TZLOJSI,O,X,O,X,X,O,O,X,O,X,X
TZLOSIJ,O,X,O,X,X,O,O,X,O,X,X
TZLOSJI,O,X,O,X,X,O,O,X,O,X,X
TZJILSO,X,O,O,O,O,O,O,O,O,O,O
TZJILOS,X,O,O,O,O,O,O,O,O,O,O
TZJISLO,X,O,O,O,O,O,O,O,O,O,O
TZJISOL,X,O,X,O,O,O,X,O,X,O,O
TZJIOLS,X,O,X,O,O,O,X,O,X,O,X
TZJIOSL,X,O,X,O,O,O,X,O,X,O,X
TZJLISO,X,O,O,O,O,O,O,X,O,X,X
TZJLIOS,X,O,O,O,O,O,O,X,O,X,X
TZJLSIO,X,O,O,O,O,O,O,X,O,X,X
TZJLSOI,O,O,O,O,O,O,O,X,O,X,X
TZJLOIS,O,O,O,O,O,O,O,X,O,X,X
TZJLOSI,O,O,O,O,O,O,O,X,O,X,X
TZJSILO,X,O,O,O,O,O,O,O,O,O,O
TZJSIOL,X,O,X,O,O,O,X,O,X,O,O
TZJSLIO,X,O,O,O,O,O,O,X,O,X,O
TZJSLOI,O,O,O,O,O,O,O,X,O,X,X
TZJSOIL,X,O,X,O,O,O,X,X,X,X,O
TZJSOLI,X,O,X,O,O,O,O,X,X,X,X
TZJOILS,X,O,X,O,O,O,X,X,X,X,X
TZJOISL,X,O,X,O,O,O,X,X,X,X,X
TZJOLIS,X,O,X,O,O,O,O,X,X,X,X
TZJOLSI,X,O,X,O,O,O,O,X,X,X,X
TZJOSIL,X,O,X,O,O,O,X,X,X,X,X
TZJOSLI,X,O,X,O,O,O,O,X,X,X,X
TZSILJO,X,X,O,O,O,X,O,O,O,O,O
TZSILOJ,O,X,O,X,X,O,O,O,O,O,O
TZSIJLO,X,O,O,O,O,O,O,O,O,O,O
TZSIJOL,X,O,X,O,O,O,X,O,X,O,O
TZSIOLJ,X,X,O,X,X,O,X,O,O,O,O
TZSIOJL,X,X,X,O,O,O,X,O,X,O,O
TZSLIJO,X,X,O,O,O,X,O,O,O,O,O
TZSLIOJ,O,X,O,X,X,O,O,O,O,O,O
TZSLJIO,X,O,O,O,O,O,O,X,O,X,O
TZSLJOI,O,O,O,O,O,O,O,X,O,X,X
TZSLOIJ,O,X,O,X,X,O,O,X,O,X,X
TZSLOJI,O,X,O,X,X,O,O,X,O,X,X
TZSJILO,X,O,O,O,O,O,O,O,O,O,O
TZSJIOL,X,O,X,O,O,O,X,O,X,O,O
TZSJLIO,X,O,O,O,O,O,O,X,O,X,O
TZSJLOI,O,O,O,O,O,O,O,X,O,X,X
TZSJOIL,X,O,X,O,O,O,X,X,X,X,O
TZSJOLI,X,O,X,O,O,O,O,X,X,X,X
TZSOILJ,X,X,O,X,X,O,X,O,O,O,O
TZSOIJL,X,X,X,O,O,O,X,O,X,O,O
TZSOLIJ,O,X,O,X,X,O,O,X,O,X,X
TZSOLJI,O,X,O,X,X,O,O,X,O,X,X
TZSOJIL,X,O,X,O,O,O,X,X,X,X,O
TZSOJLI,X,O,X,O,O,O,O,X,X,X,X
TZOILJS,X,X,O,X,X,O,X,O,O,O,O
TZOILSJ,X,X,O,X,X,O,X,O,O,O,O
TZOIJLS,X,X,X,O,O,O,X,O,X,O,X
TZOIJSL,X,X,X,O,O,O,X,O,X,O,X
TZOISLJ,X,X,O,X,X,O,X,O,O,O,O
TZOISJL,X,X,X,O,O,O,X,O,X,O,O
TZOLIJS,O,X,O,X,X,O,O,X,O,X,X
TZOLISJ,O,X,O,X,X,O,O,X,O,X,X
TZOLJIS,O,X,O,X,X,O,O,X,O,X,X
TZOLJSI,O,X,O,X,X,O,O,X,O,X,X
TZOLSIJ,O,X,O,X,X,O,O,X,O,X,X
TZOLSJI,O,X,O,X,X,O,O,X,O,X,X
TZOJILS,X,O,X,O,O,O,X,X,X,X,X
TZOJISL,X,O,X,O,O,O,X,X,X,X,X
TZOJLIS,X,O,X,O,O,O,O,X,X,X,X
TZOJLSI,X,O,X,O,O,O,O,X,X,X,X
TZOJSIL,X,O,X,O,O,O,X,X,X,X,X
TZOJSLI,X,O,X,O,O,O,O,X,X,X,X
TZOSILJ,X,X,O,X,X,O,X,O,O,O,O
TZOSIJL,X,X,X,O,O,O,X,O,X,O,O
TZOSLIJ,O,X,O,X,X,O,O,X,O,X,X
TZOSLJI,O,X,O,X,X,O,O,X,O,X,X
TZOSJIL,X,O,X,O,O,O,X,X,X,X,O
TZOSJLI,X,O,X,O,O,O,O,X,X,X,X
TOILJSZ,X,X,O,X,X,O,X,O,O,O,X
TOILJZS,X,X,O,X,X,O,X,O,O,O,X
TOILSJZ,X,X,O,X,X,O,X,O,O,O,X
TOILSZJ,X,X,O,X,X,O,X,O,O,O,X
TOILZJS,X,X,O,X,X,O,X,O,O,O,X
TOILZSJ,X,X,O,X,X,O,X,O,O,O,X
TOIJLSZ,X,X,X,O,O,O,X,O,X,O,X
TOIJLZS,X,X,X,O,O,O,X,O,X,O,X
TOIJSLZ,X,X,X,O,O,O,X,O,X,O,X
TOIJSZL,X,X,X,O,O,O,X,O,X,O,X
TOIJZLS,X,X,X,O,O,O,X,O,X,O,X
TOIJZSL,X,X,X,O,O,O,X,O,X,O,X
TOISLJZ,X,X,O,X,X,O,X,O,O,O,X
TOISLZJ,X,X,O,X,X,O,X,O,O,O,X
TOISJLZ,X,X,X,O,O,O,X,O,X,O,X
TOISJZL,X,X,X,O,O,O,X,O,X,O,X
TOISZLJ,X,X,O,X,X,O,X,O,O,O,X
TOISZJL,X,X,X,O,O,O,X,O,X,O,X
TOIZLJS,X,X,O,X,X,O,X,O,O,O,X
TOIZLSJ,X,X,O,X,X,O,X,O,O,O,X
TOIZJLS,X,X,X,O,O,O,X,O,X,O,X
TOIZJSL,X,X,X,O,O,O,X,O,X,O,X
TOIZSLJ,X,X,O,X,X,O,X,O,O,O,X
TOIZSJL,X,X,X,O,O,O,X,O,X,O,X
TOLIJSZ,O,X,O,X,X,O,O,X,O,X,X
TOLIJZS,O,X,O,X,X,O,O,X,O,X,X
TOLISJZ,O,X,O,X,X,O,O,X,O,X,X
TOLISZJ,O,X,O,X,X,O,O,X,O,X,X
TOLIZJS,O,X,O,X,X,O,O,X,O,X,X
TOLIZSJ,O,X,O,X,X,O,O,X,O,X,X
TOLJISZ,O,X,O,X,X,O,O,X,O,X,X
TOLJIZS,O,X,O,X,X,O,O,X,O,X,X
TOLJSIZ,O,X,O,X,X,O,O,X,O,X,X
TOLJSZI,O,X,O,X,X,O,O,X,O,X,X
TOLJZIS,O,X,O,X,X,O,O,X,O,X,X
TOLJZSI,O,X,O,X,X,O,O,X,O,X,X
TOLSIJZ,O,X,O,X,X,O,O,X,O,X,X
TOLSIZJ,O,X,O,X,X,O,O,X,O,X,X
TOLSJIZ,O,X,O,X,X,O,O,X,O,X,X
TOLSJZI,O,X,O,X,X,O,O,X,O,X,X
TOLSZIJ,O,X,O,X,X,O,O,X,O,X,X
TOLSZJI,O,X,O,X,X,O,O,X,O,X,X
TOLZIJS,O,X,O,X,X,O,O,X,O,X,X
TOLZISJ,O,X,O,X,X,O,O,X,O,X,X
TOLZJIS,O,X,O,X,X,O,O,X,O,X,X
TOLZJSI,O,X,O,X,X,O,O,X,O,X,X
TOLZSIJ,O,X,O,X,X,O,O,X,O,X,X
TOLZSJI,O,X,O,X,X,O,O,X,O,X,X
TOJILSZ,X,O,X,O,O,O,X,X,X,X,X
TOJILZS,X,O,X,O,O,O,X,X,X,X,X
TOJISLZ,X,O,X,O,O,O,X,X,X,X,X
TOJISZL,X,O,X,O,O,O,X,X,X,X,X
TOJIZLS,X,O,X,O,O,O,X,X,X,X,X
TOJIZSL,X,O,X,O,O,O,X,X,X,X,X
TOJLISZ,X,O,X,O,O,O,O,X,X,X,X
TOJLIZS,X,O,X,O,O,O,O,X,X,X,X
TOJLSIZ,X,O,X,O,O,O,O,X,X,X,X
TOJLSZI,X,O,X,O,O,O,O,X,X,X,X
TOJLZIS,X,O,X,O,O,O,O,X,X,X,X
TOJLZSI,X,O,X,O,O,O,O,X,X,X,X
TOJSILZ,X,O,X,O,O,O,X,X,X,X,X
TOJSIZL,X,O,X,O,O,O,X,X,X,X,X
TOJSLIZ,X,O,X,O,O,O,O,X,X,X,X
TOJSLZI,X,O,X,O,O,O,O,X,X,X,X
TOJSZIL,X,O,X,O,O,O,X,X,X,X,X
TOJSZLI,X,O,X,O,O,O,O,X,X,X,X
TOJZILS,X,O,X,O,O,O,X,X,X,X,X
TOJZISL,X,O,X,O,O,O,X,X,X,X,X
TOJZLIS,X,O,X,O,O,O,O,X,X,X,X
TOJZLSI,X,O,X,O,O,O,O,X,X,X,X
TOJZSIL,X,O,X,O,O,O,X,X,X,X,X
TOJZSLI,X,O,X,O,O,O,O,X,X,X,X
TOSILJZ,X,X,O,X,X,O,X,O,O,O,X
TOSILZJ,X,X,O,X,X,O,X,O,O,O,X
TOSIJLZ,X,X,X,O,O,O,X,O,X,O,X
TOSIJZL,X,X,X,O,O,O,X,O,X,O,X
TOSIZLJ,X,X,O,X,X,O,X,O,O,O,X
TOSIZJL,X,X,X,O,O,O,X,O,X,O,X
TOSLIJZ,O,X,O,X,X,O,O,X,O,X,X
TOSLIZJ,O,X,O,X,X,O,O,X,O,X,X
TOSLJIZ,O,X,O,X,X,O,O,X,O,X,X
TOSLJZI,O,X,O,X,X,O,O,X,O,X,X
TOSLZIJ,O,X,O,X,X,O,O,X,O,X,X
TOSLZJI,O,X,O,X,X,O,O,X,O,X,X
TOSJILZ,X,O,X,O,O,O,X,X,X,X,X
TOSJIZL,X,O,X,O,O,O,X,X,X,X,X
TOSJLIZ,X,O,X,O,O,O,O,X,X,X,X
TOSJLZI,X,O,X,O,O,O,O,X,X,X,X
TOSJZIL,X,O,X,O,O,O,X,X,X,X,X
TOSJZLI,X,O,X,O,O,O,O,X,X,X,X
TOSZILJ,X,X,O,X,X,O,X,O,O,O,X
TOSZIJL,X,X,X,O,O,O,X,O,X,O,X
TOSZLIJ,O,X,O,X,X,O,O,X,O,X,X
TOSZLJI,O,X,O,X,X,O,O,X,O,X,X
TOSZJIL,X,O,X,O,O,O,X,X,X,X,X
TOSZJLI,X,O,X,O,O,O,O,X,X,X,X
TOZILJS,X,X,O,X,X,O,X,O,O,O,X
TOZILSJ,X,X,O,X,X,O,X,O,O,O,X
TOZIJLS,X,X,X,O,O,O,X,O,X,O,X
TOZIJSL,X,X,X,O,O,O,X,O,X,O,X
TOZISLJ,X,X,O,X,X,O,X,O,O,O,X
TOZISJL,X,X,X,O,O,O,X,O,X,O,X
TOZLIJS,O,X,O,X,X,O,O,X,O,X,X
TOZLISJ,O,X,O,X,X,O,O,X,O,X,X
TOZLJIS,O,X,O,X,X,O,O,X,O,X,X
TOZLJSI,O,X,O,X,X,O,O,X,O,X,X
TOZLSIJ,O,X,O,X,X,O,O,X,O,X,X
TOZLSJI,O,X,O,X,X,O,O,X,O,X,X
TOZJILS,X,O,X,O,O,O,X,X,X,X,X
TOZJISL,X,O,X,O,O,O,X,X,X,X,X
TOZJLIS,X,O,X,O,O,O,O,X,X,X,X
TOZJLSI,X,O,X,O,O,O,O,X,X,X,X
TOZJSIL,X,O,X,O,O,O,X,X,X,X,X
TOZJSLI,X,O,X,O,O,O,O,X,X,X,X
TOZSILJ,X,X,O,X,X,O,X,O,O,O,X
TOZSIJL,X,X,X,O,O,O,X,O,X,O,X
TOZSLIJ,O,X,O,X,X,O,O,X,O,X,X
TOZSLJI,O,X,O,X,X,O,O,X,O,X,X
TOZSJIL,X,O,X,O,O,O,X,X,X,X,X
TOZSJLI,X,O,X,O,O,O,O,X,X,X,X
ITLJSZO,X,X,O,O,O,X,O,O,O,O,X
ITLJSOZ,X,X,O,O,O,X,O,O,O,O,X
ITLJZSO,X,X,O,O,O,X,O,O,O,O,X
ITLJZOS,X,X,O,O,O,X,O,O,O,O,X
ITLJOSZ,X,X,O,O,O,X,O,O,O,O,X
ITLJOZS,X,X,O,O,O,X,O,O,O,O,X
ITLSJZO,X,X,O,O,O,X,O,O,O,O,O
ITLSJOZ,X,X,O,O,O,X,O,O,O,O,O
ITLSZJO,X,X,O,O,O,X,O,O,O,O,O
ITLSZOJ,O,X,O,X,X,O,O,O,O,O,O
ITLSOJZ,O,X,O,X,X,O,O,O,O,O,O
ITLSOZJ,O,X,O,X,X,O,O,O,O,O,O
ITLZJSO,X,X,O,O,O,X,O,O,O,O,O
ITLZJOS,X,X,O,O,O,X,O,O,O,O,O
ITLZSJO,X,X,O,O,O,X,O,O,O,O,O
ITLZSOJ,O,X,O,X,X,O,O,O,O,O,O
ITLZOJS,O,X,O,X,X,O,O,O,O,O,O
ITLZOSJ,O,X,O,X,X,O,O,O,O,O,O
ITLOJSZ,O,X,O,X,X,O,O,O,O,O,X
ITLOJZS,O,X,O,X,X,O,O,O,O,O,X
ITLOSJZ,O,X,O,X,X,O,O,O,O,O,O
ITLOSZJ,O,X,O,X,X,O,O,O,O,O,O
ITLOZJS,O,X,O,X,X,O,O,O,O,O,O
ITLOZSJ,O,X,O,X,X,O,O,O,O,O,O
ITJLSZO,X,O,O,O,O,O,O,O,O,O,X
ITJLSOZ,X,O,O,O,O,O,O,O,O,O,X
ITJLZSO,X,O,O,O,O,O,O,O,O,O,X
ITJLZOS,X,O,O,O,O,O,O,O,O,O,X
ITJLOSZ,X,O,O,O,O,O,O,O,O,O,X
ITJLOZS,X,O,O,O,O,O,O,O,O,O,X
ITJSLZO,X,O,O,O,O,O,O,O,O,O,X
ITJSLOZ,X,O,O,O,O,O,O,O,O,O,X
ITJSZLO,X,O,O,O,O,O,O,O,O,O,X
ITJSZOL,X,O,X,O,O,O,X,O,X,O,X
ITJSOLZ,X,O,X,O,O,O,X,O,X,O,X
ITJSOZL,X,O,X,O,O,O,X,O,X,O,X
ITJZLSO,X,O,O,O,O,O,O,O,O,O,X
ITJZLOS,X,O,O,O,O,O,O,O,O,O,X
ITJZSLO,X,O,O,O,O,O,O,O,O,O,X
ITJZSOL,X,O,X,O,O,O,X,O,X,O,X
ITJZOLS,X,O,X,O,O,O,X,O,X,O,X
ITJZOSL,X,O,X,O,O,O,X,O,X,O,X
ITJOLSZ,X,O,X,O,O,O,X,O,X,O,X
ITJOLZS,X,O,X,O,O,O,X,O,X,O,X
ITJOSLZ,X,O,X,O,O,O,X,O,X,O,X
ITJOSZL,X,O,X,O,O,O,X,O,X,O,X
ITJOZLS,X,O,X,O,O,O,X,O,X,O,X
ITJOZSL,X,O,X,O,O,O,X,O,X,O,X
ITSLJZO,X,X,O,O,O,X,O,O,O,O,O
ITSLJOZ,X,X,O,O,O,X,O,O,O,O,O
ITSLZJO,X,X,O,O,O,X,O,O,O,O,O
ITSLZOJ,O,X,O,X,X,O,O,O,O,O,O
ITSLOJZ,O,X,O,X,X,O,O,O,O,O,O
ITSLOZJ,O,X,O,X,X,O,O,O,O,O,O
ITSJLZO,X,O,O,O,O,O,O,O,O,O,O
ITSJLOZ,X,O,O,O,O,O,O,O,O,O,O
ITSJZLO,X,O,O,O,O,O,O,O,O,O,O
ITSJZOL,X,O,X,O,O,O,X,O,X,O,O
ITSJOLZ,X,O,X,O,O,O,X,O,X,O,X
ITSJOZL,X,O,X,O,O,O,X,O,X,O,X
ITSZLJO,X,X,O,O,O,X,O,O,O,O,O
ITSZLOJ,O,X,O,X,X,O,O,O,O,O,O
ITSZJLO,X,O,O,O,O,O,O,O,O,O,O
ITSZJOL,X,O,X,O,O,O,X,O,X,O,O
ITSZOLJ,X,X,O,X,X,O,X,O,O,O,O
ITSZOJL,X,X,X,O,O,O,X,O,X,O,O
ITSOLJZ,X,X,O,X,X,O,X,O,O,O,X
ITSOLZJ,X,X,O,X,X,O,X,O,O,O,X
ITSOJLZ,X,X,X,O,O,O,X,O,X,O,X
ITSOJZL,X,X,X,O,O,O,X,O,X,O,X
ITSOZLJ,X,X,O,X,X,O,X,O,O,O,X
ITSOZJL,X,X,X,O,O,O,X,O,X,O,X
ITZLJSO,X,X,O,O,O,X,O,O,O,O,O
ITZLJOS,X,X,O,O,O,X,O,O,O,O,O
ITZLSJO,X,X,O,O,O,X,O,O,O,O,O
ITZLSOJ,O,X,O,X,X,O,O,O,O,O,O
ITZLOJS,O,X,O,X,X,O,O,O,O,O,O
ITZLOSJ,O,X,O,X,X,O,O,O,O,O,O
ITZJLSO,X,O,O,O,O,O,O,O,O,O,O
ITZJLOS,X,O,O,O,O,O,O,O,O,O,O
ITZJSLO,X,O,O,O,O,O,O,O,O,O,O
ITZJSOL,X,O,X,O,O,O,X,O,X,O,O
ITZJOLS,X,O,X,O,O,O,X,O,X,O,X
ITZJOSL,X,O,X,O,O,O,X,O,X,O,X
ITZSLJO,X,X,O,O,O,X,O,O,O,O,O
ITZSLOJ,O,X,O,X,X,O,O,O,O,O,O
ITZSJLO,X,O,O,O,O,O,O,O,O,O,O
ITZSJOL,X,O,X,O,O,O,X,O,X,O,O
ITZSOLJ,X,X,O,X,X,O,X,O,O,O,O
ITZSOJL,X,X,X,O,O,O,X,O,X,O,O
ITZOLJS,X,X,O,X,X,O,X,O,O,O,O
ITZOLSJ,X,X,O,X,X,O,X,O,O,O,O
ITZOJLS,X,X,X,O,O,O,X,O,X,O,X
ITZOJSL,X,X,X,O,O,O,X,O,X,O,X
ITZOSLJ,X,X,O,X,X,O,X,O,O,O,O
ITZOSJL,X,X,X,O,O,O,X,O,X,O,O
ITOLJSZ,X,X,O,X,X,O,X,O,O,O,X
ITOLJZS,X,X,O,X,X,O,X,O,O,O,X
ITOLSJZ,X,X,O,X,X,O,X,O,O,O,X
ITOLSZJ,X,X,O,X,X,O,X,O,O,O,X
ITOLZJS,X,X,O,X,X,O,X,O,O,O,X
ITOLZSJ,X,X,O,X,X,O,X,O,O,O,X
ITOJLSZ,X,X,X,O,O,O,X,O,X,O,X
ITOJLZS,X,X,X,O,O,O,X,O,X,O,X
ITOJSLZ,X,X,X,O,O,O,X,O,X,O,X
ITOJSZL,X,X,X,O,O,O,X,O,X,O,X
ITOJZLS,X,X,X,O,O,O,X,O,X,O,X
ITOJZSL,X,X,X,O,O,O,X,O,X,O,X
ITOSLJZ,X,X,O,X,X,O,X,O,O,O,X
ITOSLZJ,X,X,O,X,X,O,X,O,O,O,X
ITOSJLZ,X,X,X,O,O,O,X,O,X,O,X
ITOSJZL,X,X,X,O,O,O,X,O,X,O,X
ITOSZLJ,X,X,O,X,X,O,X,O,O,O,X
ITOSZJL,X,X,X,O,O,O,X,O,X,O,X
ITOZLJS,X,X,O,X,X,O,X,O,O,O,X
ITOZLSJ,X,X,O,X,X,O,X,O,O,O,X
ITOZJLS,X,X,X,O,O,O,X,O,X,O,X
ITOZJSL,X,X,X,O,O,O,X,O,X,O,X
ITOZSLJ,X,X,O,X,X,O,X,O,O,O,X
ITOZSJL,X,X,X,O,O,O,X,O,X,O,X
ILTJSZO,X,X,O,O,O,X,O,O,O,O,X
ILTJSOZ,X,X,O,O,O,X,O,O,O,O,X
ILTJZSO,X,X,O,O,O,X,O,O,O,O,X
ILTJZOS,X,X,O,O,O,X,O,O,O,O,X
ILTJOSZ,X,X,O,O,O,X,O,O,O,O,X
ILTJOZS,X,X,O,O,O,X,O,O,O,O,X
ILTSJZO,X,X,O,O,O,X,O,O,O,O,O
ILTSJOZ,X,X,O,O,O,X,O,O,O,O,O
ILTSZJO,X,X,O,O,O,X,O,O,O,O,O
ILTSZOJ,O,X,O,X,X,O,O,O,O,O,O
ILTSOJZ,O,X,O,X,X,O,O,O,O,O,O
ILTSOZJ,O,X,O,X,X,O,O,O,O,O,O
ILTZJSO,X,X,O,O,O,X,O,O,O,O,O
ILTZJOS,X,X,O,O,O,X,O,O,O,O,O
ILTZSJO,X,X,O,O,O,X,O,O,O,O,O
ILTZSOJ,O,X,O,X,X,O,O,O,O,O,O
ILTZOJS,O,X,O,X,X,O,O,O,O,O,O
ILTZOSJ,O,X,O,X,X,O,O,O,O,O,O
ILTOJSZ,O,X,O,X,X,O,O,O,O,O,X
ILTOJZS,O,X,O,X,X,O,O,O,O,O,X
ILTOSJZ,O,X,O,X,X,O,O,O,O,O,O
ILTOSZJ,O,X,O,X,X,O,O,O,O,O,O
ILTOZJS,O,X,O,X,X,O,O,O,O,O,O
ILTOZSJ,O,X,O,X,X,O,O,O,O,O,O
ILJTSZO,X,X,O,O,O,X,O,O,O,O,X
ILJTSOZ,X,X,O,O,O,X,O,O,O,O,X
ILJTZSO,X,X,O,O,O,X,O,O,O,O,X
