sequence,v115@vhFm/IXjBTkB9tByuB0sB,v115@vhFi/IXjBzkB9tB2uB0sB,v115@vhGm/I5lBXjBTkB9tByuB0sB,v115@vhGi/I5lBXjBzkB9tB2uB0sB,v115@vhGZEJCgBXjBTlB9tBWvB0sB,v115@vhGx/IXjBOpB6qB9tBzpB0sB,v115@vhGx/IXjBKpBzkB+qB9tB0sB,v115@vhGOEJ6lBXjBzkB9tB0sBxuB,v115@vhGZEJGgBXjBzkB9tBSvB0sB,v115@vhGKEJzfB+lBXjB9tB0sBxuB,v115@vhG9IJmgBTfBPrBypBUtBxuB
TISJLZO,X,O,O,O,O,O,O,O,O,O,O
TISJLOZ,X,O,O,O,O,O,O,O,O,O,O
TISJZLO,X,O,O,O,O,O,O,O,O,O,O
TISJZOL,X,O,X,O,O,O,X,O,X,O,O
TISJOLZ,X,O,X,O,O,O,X,O,X,O,X
TISJOZL,X,O,X,O,O,O,X,O,X,O,X
TISZLJO,X,X,O,O,O,X,O,O,O,O,O
TISZLOJ,O,X,O,X,X,O,O,O,O,O,O
TISZJLO,X,O,O,O,O,O,O,O,O,O,O
TISZJOL,X,O,X,O,O,O,X,O,X,O,O
TISZOLJ,X,X,O,X,X,O,X,O,O,O,O
TISZOJL,X,X,X,O,O,O,X,O,X,O,O
TISOLJZ,X,X,O,X,X,O,X,O,O,O,X
TISOLZJ,X,X,O,X,X,O,X,O,O,O,X
TISOJLZ,X,X,X,O,O,O,X,O,X,O,X
TISOJZL,X,X,X,O,O,O,X,O,X,O,X
TISOZLJ,X,X,O,X,X,O,X,O,O,O,X
TISOZJL,X,X,X,O,O,O,X,O,X,O,X
TIZLJSO,X,X,O,O,O,X,O,O,O,O,O
TIZLJOS,X,X,O,O,O,X,O,O,O,O,O
TIZLSJO,X,X,O,O,O,X,O,O,O,O,O
TIZLSOJ,O,X,O,X,X,O,O,O,O,O,O
TIZLOJS,O,X,O,X,X,O,O,O,O,O,O
TIZLOSJ,O,X,O,X,X,O,O,O,O,O,O
TIZJLSO,X,O,O,O,O,O,O,O,O,O,O
TIZJLOS,X,O,O,O,O,O,O,O,O,O,O
TIZJSLO,X,O,O,O,O,O,O,O,O,O,O
TIZJSOL,X,O,X,O,O,O,X,O,X,O,O
TIZJOLS,X,O,X,O,O,O,X,O,X,O,X
