sequence,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8Je67Iv?hFOcBxYBzaB0dBXjBlsB,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8Je67Iv?hFOcBxYBzaBXeB0iBlsB,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8Je02Iv?hFxYBzaB6iBOjBXhBlsB,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8Je67Iv?hFOcBzaBxdB0dBXjBlsB,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8JeO8Iv?hFCbBxdBTbBXeB0iBlsB,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8JeX3Iv?hFzaBxdB0bB6iBOjBlsB,v115@pgB8HeA8DeA8DeA8DeB8BeH8BeG8CeH8AeB8Je02Iv?hFzaBxdBXcB6iBOjBlsB
TILJSZO,X,O,X,X,O,X,X
TILJSOZ,X,O,O,X,O,X,X
TILJZSO,O,X,X,X,O,X,X
TILJZOS,O,X,O,X,O,X,X
TILJOSZ,X,X,O,O,O,X,X
TILJOZS,X,X,O,O,O,X,X
TILSJZO,X,O,X,X,O,X,X
TILSJOZ,X,O,X,X,O,X,X
TILSZJO,X,O,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,O,X,X
TILZJOS,O,X,X,X,O,X,X
TILZSJO,O,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X
TILOJSZ,X,X,O,O,O,X,X
TILOJZS,X,X,O,O,O,X,X
TILOSJZ,X,X,X,O,X,O,X
TILOSZJ,X,X,X,X,X,O,X
TILOZJS,X,X,O,O,X,X,O
TILOZSJ,X,X,X,X,X,X,O
TIJLSZO,X,O,X,X,O,X,X
TIJLSOZ,X,O,O,X,O,X,X
TIJLZSO,O,X,X,X,O,X,X
TIJLZOS,O,X,O,X,O,X,X
TIJLOSZ,X,X,O,O,O,X,X
TIJLOZS,X,X,O,O,O,X,X
TIJSLZO,X,O,X,X,O,X,X
TIJSLOZ,X,O,X,X,O,X,X
TIJSZLO,X,O,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X
TIJSOZL,X,O,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X
TIJZLOS,O,X,X,X,O,X,X
TIJZSLO,O,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X
TIJZOSL,O,X,X,X,X,X,X
TIJOLSZ,X,O,O,O,O,X,X
TIJOLZS,O,X,O,O,O,X,X
TIJOSLZ,X,O,X,O,X,O,X
TIJOSZL,X,O,X,X,X,O,X
TIJOZLS,O,X,O,O,X,X,O
TIJOZSL,O,X,X,X,X,X,O
TISLJZO,X,O,X,X,O,X,X
TISLJOZ,X,O,X,X,O,X,X
TISLZJO,X,O,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X
TISLOJZ,X,O,X,X,X,X,X
TISLOZJ,X,O,X,X,X,X,X
TISJLZO,X,O,X,X,O,X,X
TISJLOZ,X,O,X,X,O,X,X
TISJZLO,X,O,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X
TISJOZL,X,O,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,X
TISZLOJ,X,X,X,X,X,X,X
TISZJLO,X,O,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X
TISZOLJ,X,O,X,X,X,X,X
TISZOJL,X,O,X,X,X,X,X
TISOLJZ,X,O,X,O,X,O,X
TISOLZJ,X,O,X,X,X,O,X
TISOJLZ,X,O,X,O,X,O,X
TISOJZL,X,O,X,X,X,O,X
TISOZLJ,X,O,X,X,X,O,O
TISOZJL,X,O,X,X,X,O,O
TIZLJSO,O,X,X,X,O,X,X
TIZLJOS,O,X,X,X,O,X,X
TIZLSJO,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,X,X
TIZJLSO,O,X,X,X,O,X,X
TIZJLOS,O,X,X,X,O,X,X
TIZJSLO,O,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X,X
TIZJOSL,O,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X
TIZSJLO,O,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,O
TIZOLSJ,O,X,X,X,X,X,O
TIZOJLS,O,X,X,O,X,X,O
TIZOJSL,O,X,X,X,X,X,O
TIZOSLJ,O,X,X,X,X,O,O
TIZOSJL,O,X,X,X,X,O,O
TIOLJSZ,X,O,O,O,O,X,X
TIOLJZS,O,X,O,O,O,X,X
TIOLSJZ,X,O,X,O,X,O,X
TIOLSZJ,X,O,X,X,X,O,X
TIOLZJS,O,X,O,O,X,X,O
TIOLZSJ,O,X,X,X,X,X,O
TIOJLSZ,X,O,O,O,O,X,X
TIOJLZS,O,X,O,O,O,X,X
TIOJSLZ,X,O,X,O,X,O,X
TIOJSZL,X,O,X,X,X,O,X
TIOJZLS,O,X,O,O,X,X,O
TIOJZSL,O,X,X,X,X,X,O
TIOSLJZ,X,O,X,O,X,O,X
TIOSLZJ,X,O,X,X,X,O,X
