sequence,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?zlB3kBMfBiVB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?TkB0lBPhByfB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?zlB3kBifB0bB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBTfB?OVB0gB6mBPiB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBTfB?0gB6mBmhB3bB,v115@1gA8GeE8BeB8AeF8BeH8AeJ8AeB8Jep5IvhFNnBvmB?zhBKkBGlB0aB
TOJSIZL,O,X,O,X,X,X
TOJSLIZ,X,X,O,X,X,X
TOJSLZI,X,X,O,X,X,X
TOJSZIL,O,X,O,X,X,X
TOJSZLI,O,X,O,X,X,X
TOJZILS,X,O,O,O,X,X
TOJZISL,X,O,O,X,X,X
TOJZLIS,X,O,X,O,X,X
TOJZLSI,X,O,X,O,X,X
TOJZSIL,X,O,O,X,X,X
TOJZSLI,X,O,O,X,X,X
TOSILJZ,X,X,O,X,X,X
TOSILZJ,X,X,O,X,X,X
TOSIJLZ,O,X,O,X,X,X
TOSIJZL,O,X,O,X,X,X
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,O,X,O,X,X,X
TOSLIJZ,X,X,O,X,X,X
TOSLIZJ,X,X,O,X,X,X
TOSLJIZ,X,X,O,X,X,X
TOSLJZI,X,X,O,X,X,X
TOSLZIJ,X,X,O,X,X,X
TOSLZJI,X,X,O,X,X,X
TOSJILZ,O,X,O,X,X,X
TOSJIZL,O,X,O,X,X,X
TOSJLIZ,X,X,O,X,X,X
TOSJLZI,X,X,O,X,X,X
TOSJZIL,O,X,O,X,X,X
TOSJZLI,O,X,O,X,X,X
TOSZILJ,O,X,O,X,X,X
TOSZIJL,O,X,O,X,X,X
TOSZLIJ,O,X,O,X,X,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,X,O,X,X,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,X,O,X,O,O,X
TOZILSJ,X,O,X,O,O,X
TOZIJLS,X,O,O,O,X,X
TOZIJSL,X,O,O,X,X,X
TOZISLJ,X,O,O,X,O,X
TOZISJL,X,O,O,X,X,X
TOZLIJS,X,O,X,O,O,X
TOZLISJ,X,O,X,O,O,X
TOZLJIS,X,O,X,O,O,X
TOZLJSI,X,O,X,O,O,X
TOZLSIJ,X,O,X,O,O,X
TOZLSJI,X,O,X,O,O,X
TOZJILS,X,O,O,O,X,X
TOZJISL,X,O,O,X,X,X
TOZJLIS,X,O,X,O,X,X
TOZJLSI,X,O,X,O,X,X
TOZJSIL,X,O,O,X,X,X
TOZJSLI,X,O,O,X,X,X
TOZSILJ,X,O,O,X,O,X
TOZSIJL,X,O,O,X,X,X
TOZSLIJ,X,O,O,X,O,X
TOZSLJI,X,O,O,X,O,X
TOZSJIL,X,O,O,X,X,X
TOZSJLI,X,O,O,X,X,X
ITLJSZO,X,X,X,X,X,O
ITLJSOZ,X,X,X,X,X,O
ITLJZSO,X,X,X,X,X,O
ITLJZOS,X,X,X,X,X,X
ITLJOSZ,X,X,X,X,X,X
ITLJOZS,X,X,X,X,X,X
ITLSJZO,X,X,X,O,X,O
ITLSJOZ,X,X,X,O,X,O
ITLSZJO,X,X,X,O,X,O
ITLSZOJ,X,X,X,O,X,O
ITLSOJZ,X,X,X,O,X,O
ITLSOZJ,X,X,X,O,X,O
ITLZJSO,X,X,X,X,O,O
ITLZJOS,X,X,X,X,O,X
ITLZSJO,X,X,X,O,O,O
ITLZSOJ,X,X,X,O,O,O
ITLZOJS,X,X,X,O,O,X
ITLZOSJ,X,X,X,O,O,X
ITLOJSZ,X,X,X,O,X,X
ITLOJZS,X,X,X,O,X,X
ITLOSJZ,X,X,X,O,X,X
ITLOSZJ,X,X,X,O,X,X
ITLOZJS,X,X,X,O,O,X
ITLOZSJ,X,X,X,O,O,X
ITJLSZO,O,X,O,X,X,X
ITJLSOZ,O,X,O,X,X,X
ITJLZSO,X,O,X,X,X,X
ITJLZOS,X,O,X,X,X,X
ITJLOSZ,O,O,O,X,X,X
ITJLOZS,X,O,O,X,X,X
ITJSLZO,O,X,O,X,X,X
ITJSLOZ,O,X,O,X,X,X
ITJSZLO,O,O,O,X,X,X
ITJSZOL,O,O,O,X,X,X
ITJSOLZ,O,O,O,X,X,X
ITJSOZL,O,O,O,X,X,X
ITJZLSO,X,O,X,X,X,X
ITJZLOS,X,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X
ITJZSOL,O,O,O,X,X,X
ITJZOLS,X,O,O,X,X,X
ITJZOSL,O,O,O,X,X,X
ITJOLSZ,O,O,O,X,X,X
ITJOLZS,X,O,O,X,X,X
ITJOSLZ,O,O,O,X,X,X
ITJOSZL,O,O,O,X,X,X
ITJOZLS,X,O,O,X,X,X
ITJOZSL,O,O,O,X,X,X
ITSLJZO,X,X,O,X,X,O
ITSLJOZ,X,X,O,X,X,O
ITSLZJO,X,X,X,X,X,O
ITSLZOJ,X,X,O,X,X,O
ITSLOJZ,X,X,O,X,X,O
ITSLOZJ,X,X,O,X,X,O
ITSJLZO,O,X,O,X,X,X
ITSJLOZ,O,X,O,X,X,X
ITSJZLO,O,X,O,X,X,X
ITSJZOL,O,X,O,X,X,X
ITSJOLZ,O,X,O,X,X,X
ITSJOZL,O,X,O,X,X,X
ITSZLJO,O,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X
ITSZJLO,O,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X
ITSOLJZ,X,X,O,X,X,O
ITSOLZJ,X,X,O,X,X,O
ITSOJLZ,O,X,O,X,X,O
ITSOJZL,O,X,O,X,X,X
ITSOZLJ,O,X,O,X,X,O
ITSOZJL,O,X,O,X,X,X
ITZLJSO,X,X,X,X,O,X
ITZLJOS,X,X,X,X,O,X
ITZLSJO,X,X,X,O,O,X
ITZLSOJ,X,X,X,O,O,X
ITZLOJS,X,X,X,O,O,X
ITZLOSJ,X,X,X,O,O,X
ITZJLSO,X,O,X,X,X,X
ITZJLOS,X,O,X,X,X,X
ITZJSLO,X,O,X,X,X,X
ITZJSOL,X,O,X,X,X,X
ITZJOLS,X,O,X,X,X,X
ITZJOSL,X,O,X,X,X,X
ITZSLJO,X,X,X,X,O,X
ITZSLOJ,X,X,X,X,O,X
ITZSJLO,X,O,X,X,X,X
ITZSJOL,X,O,X,X,X,X
ITZSOLJ,X,O,X,X,O,X
ITZSOJL,X,O,X,X,X,X
ITZOLJS,X,O,X,O,O,X
ITZOLSJ,X,O,X,O,O,X
ITZOJLS,X,O,X,O,X,X
ITZOJSL,X,O,X,X,X,X
ITZOSLJ,X,O,X,X,O,X
ITZOSJL,X,O,X,X,X,X
ITOLJSZ,X,O,X,O,X,X
ITOLJZS,X,O,X,O,X,X
ITOLSJZ,X,X,X,O,X,X
ITOLSZJ,X,X,X,O,X,X
ITOLZJS,X,O,X,O,O,X
ITOLZSJ,X,O,X,O,O,X
ITOJLSZ,O,O,O,O,X,X
ITOJLZS,X,O,O,O,X,X
ITOJSLZ,O,O,O,X,X,X
ITOJSZL,O,O,O,X,X,X
ITOJZLS,X,O,O,O,X,X
ITOJZSL,O,O,O,X,X,X
ITOSLJZ,X,X,O,X,X,X
ITOSLZJ,X,X,O,X,X,X
ITOSJLZ,O,X,O,X,X,X
ITOSJZL,O,X,O,X,X,X
ITOSZLJ,O,X,O,X,X,X
ITOSZJL,O,X,O,X,X,X
ITOZLJS,X,O,X,O,O,X
ITOZLSJ,X,O,X,O,O,X
ITOZJLS,X,O,O,O,X,X
ITOZJSL,X,O,O,X,X,X
ITOZSLJ,X,O,O,X,O,X
ITOZSJL,X,O,O,X,X,X
ILTJSZO,X,X,X,X,X,O
ILTJSOZ,X,X,X,X,X,O
ILTJZSO,X,X,X,X,X,O
ILTJZOS,X,X,X,X,X,X
ILTJOSZ,X,X,X,X,X,X
ILTJOZS,X,X,X,X,X,X
ILTSJZO,X,X,X,O,X,O
ILTSJOZ,X,X,X,O,X,O
ILTSZJO,X,X,X,O,X,O
ILTSZOJ,X,X,X,O,X,O
ILTSOJZ,X,X,X,O,X,O
ILTSOZJ,X,X,X,O,X,O
ILTZJSO,X,X,X,X,O,O
ILTZJOS,X,X,X,X,O,X
ILTZSJO,X,X,X,O,O,O
ILTZSOJ,X,X,X,O,O,O
ILTZOJS,X,X,X,O,O,X
ILTZOSJ,X,X,X,O,O,X
ILTOJSZ,X,X,X,O,X,X
ILTOJZS,X,X,X,O,X,X
ILTOSJZ,X,X,X,O,X,X
ILTOSZJ,X,X,X,O,X,X
ILTOZJS,X,X,X,O,O,X
ILTOZSJ,X,X,X,O,O,X
ILJTSZO,O,X,O,X,X,O
ILJTSOZ,O,X,O,X,X,O
ILJTZSO,X,O,X,X,X,O
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,O,O,O,X,X,X
ILJTOZS,X,O,O,X,X,X
ILJSTZO,O,X,O,O,X,O
ILJSTOZ,O,X,O,O,X,O
ILJSZTO,O,X,O,O,X,O
ILJSZOT,O,X,O,O,X,O
ILJSOTZ,O,X,O,O,X,O
ILJSOZT,O,X,O,O,X,O
ILJZTSO,X,O,X,X,O,O
ILJZTOS,X,O,X,X,O,X
ILJZSTO,X,O,X,O,O,O
ILJZSOT,X,O,X,O,O,O
ILJZOTS,X,O,X,O,O,X
ILJZOST,X,O,X,O,O,O
ILJOTSZ,O,O,O,O,X,X
ILJOTZS,X,O,O,O,X,X
ILJOSTZ,O,O,O,O,X,O
ILJOSZT,O,O,O,O,X,O
ILJOZTS,X,O,O,O,O,X
ILJOZST,X,O,O,O,O,O
ILSTJZO,X,X,O,O,X,O
ILSTJOZ,X,X,O,O,X,O
ILSTZJO,X,X,X,O,X,O
ILSTZOJ,X,X,O,O,X,O
ILSTOJZ,X,X,O,O,X,O
ILSTOZJ,X,X,O,O,X,O
ILSJTZO,O,X,O,O,X,O
ILSJTOZ,O,X,O,O,X,O
ILSJZTO,O,X,O,O,X,O
ILSJZOT,O,X,O,O,X,O
ILSJOTZ,O,X,O,O,X,O
ILSJOZT,O,X,O,O,X,O
ILSZTJO,O,X,X,O,O,O
ILSZTOJ,O,X,O,O,O,O
ILSZJTO,O,X,O,O,O,O
ILSZJOT,O,X,O,O,O,O
ILSZOTJ,O,X,O,O,O,O
ILSZOJT,O,X,O,O,O,O
ILSOTJZ,X,X,O,O,X,O
ILSOTZJ,X,X,O,O,X,O
ILSOJTZ,O,X,O,O,X,O
ILSOJZT,O,X,O,O,X,O
ILSOZTJ,O,X,O,O,O,O
ILSOZJT,O,X,O,O,O,O
ILZTJSO,X,X,X,X,O,O
ILZTJOS,X,X,X,X,O,X
ILZTSJO,X,X,X,O,O,O
ILZTSOJ,X,X,X,O,O,O
ILZTOJS,X,X,X,O,O,X
ILZTOSJ,X,X,X,O,O,X
ILZJTSO,X,O,X,X,O,O
ILZJTOS,X,O,X,X,O,X
ILZJSTO,X,O,X,O,O,O
ILZJSOT,X,O,X,O,O,O
ILZJOTS,X,O,X,O,O,X
ILZJOST,X,O,X,O,O,O
ILZSTJO,X,X,X,O,O,O
ILZSTOJ,X,X,X,O,O,O
ILZSJTO,X,O,X,O,O,O
ILZSJOT,X,O,X,O,O,O
ILZSOTJ,X,O,X,O,O,O
ILZSOJT,X,O,X,O,O,O
ILZOTJS,X,O,X,O,O,X
ILZOTSJ,X,O,X,O,O,X
ILZOJTS,X,O,X,O,O,X
ILZOJST,X,O,X,O,O,O
ILZOSTJ,X,O,X,O,O,O
ILZOSJT,X,O,X,O,O,O
ILOTJSZ,X,O,X,O,X,X
ILOTJZS,X,O,X,O,X,X
ILOTSJZ,X,X,X,O,X,X
ILOTSZJ,X,X,X,O,X,X
ILOTZJS,X,O,X,O,O,X
ILOTZSJ,X,O,X,O,O,X
ILOJTSZ,O,O,O,O,X,X
ILOJTZS,X,O,O,O,X,X
ILOJSTZ,O,O,O,O,X,O
ILOJSZT,O,O,O,O,X,O
ILOJZTS,X,O,O,O,O,X
ILOJZST,X,O,O,O,O,O
ILOSTJZ,X,X,O,O,X,O
ILOSTZJ,X,X,O,O,X,O
ILOSJTZ,O,O,O,O,X,O
ILOSJZT,O,O,O,O,X,O
ILOSZTJ,O,O,O,O,O,O
ILOSZJT,O,O,O,O,O,O
ILOZTJS,X,O,X,O,O,X
ILOZTSJ,X,O,X,O,O,X
ILOZJTS,X,O,O,O,O,X
ILOZJST,X,O,O,O,O,O
ILOZSTJ,X,O,O,O,O,O
ILOZSJT,X,O,O,O,O,O
IJTLSZO,O,X,O,X,X,X
IJTLSOZ,O,X,O,X,X,X
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,O,O,O,X,X,X
IJTLOZS,X,O,O,X,X,X
IJTSLZO,O,X,O,X,X,X
IJTSLOZ,O,X,O,X,X,X
IJTSZLO,O,O,O,X,X,X
IJTSZOL,O,O,O,X,X,X
IJTSOLZ,O,O,O,X,X,X
IJTSOZL,O,O,O,X,X,X
IJTZLSO,X,O,X,X,X,X
IJTZLOS,X,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X
IJTZSOL,O,O,O,X,X,X
IJTZOLS,X,O,O,X,X,X
IJTZOSL,O,O,O,X,X,X
IJTOLSZ,O,O,O,X,X,X
IJTOLZS,X,O,O,X,X,X
IJTOSLZ,O,O,O,X,X,X
IJTOSZL,O,O,O,X,X,X
IJTOZLS,X,O,O,X,X,X
IJTOZSL,O,O,O,X,X,X
IJLTSZO,O,X,O,X,X,O
IJLTSOZ,O,X,O,X,X,O
IJLTZSO,X,O,X,X,X,O
IJLTZOS,X,O,X,X,X,X
IJLTOSZ,O,O,O,X,X,X
IJLTOZS,X,O,O,X,X,X
IJLSTZO,O,X,O,O,X,O
IJLSTOZ,O,X,O,O,X,O
IJLSZTO,O,X,O,O,X,O
IJLSZOT,O,X,O,O,X,O
IJLSOTZ,O,X,O,O,X,O
IJLSOZT,O,X,O,O,X,O
IJLZTSO,X,O,X,X,O,O
IJLZTOS,X,O,X,X,O,X
IJLZSTO,X,O,X,O,O,O
IJLZSOT,X,O,X,O,O,O
IJLZOTS,X,O,X,O,O,X
IJLZOST,X,O,X,O,O,O
IJLOTSZ,O,O,O,O,X,X
IJLOTZS,X,O,O,O,X,X
IJLOSTZ,O,O,O,O,X,O
IJLOSZT,O,O,O,O,X,O
IJLOZTS,X,O,O,O,O,X
IJLOZST,X,O,O,O,O,O
IJSTLZO,O,X,O,X,X,X
IJSTLOZ,O,X,O,X,X,X
IJSTZLO,O,O,O,X,X,X
IJSTZOL,O,O,O,X,X,X
IJSTOLZ,O,O,O,X,X,X
IJSTOZL,O,O,O,X,X,X
IJSLTZO,O,X,O,X,X,O
IJSLTOZ,O,X,O,X,X,O
IJSLZTO,O,X,O,X,X,O
IJSLZOT,O,X,O,X,X,O
IJSLOTZ,O,X,O,X,X,O
IJSLOZT,O,X,O,X,X,O
IJSZTLO,O,O,O,X,X,X
IJSZTOL,O,O,O,X,X,X
IJSZLTO,O,O,O,X,X,X
IJSZLOT,O,O,O,X,X,X
IJSZOTL,O,O,O,X,X,X
IJSZOLT,O,O,O,X,X,X
IJSOTLZ,O,O,O,X,X,O
IJSOTZL,O,O,O,X,X,X
IJSOLTZ,O,O,O,X,X,O
IJSOLZT,O,O,O,X,X,O
IJSOZTL,O,O,O,X,X,X
IJSOZLT,O,O,O,X,X,X
IJZTLSO,X,O,X,X,X,X
IJZTLOS,X,O,X,X,X,X
IJZTSLO,O,O,O,X,X,X
IJZTSOL,O,O,O,X,X,X
IJZTOLS,X,O,O,X,X,X
IJZTOSL,O,O,O,X,X,X
IJZLTSO,X,O,X,X,O,X
IJZLTOS,X,O,X,X,O,X
IJZLSTO,X,O,X,O,O,X
IJZLSOT,X,O,X,O,O,X
IJZLOTS,X,O,X,O,O,X
IJZLOST,X,O,X,O,O,X
IJZSTLO,O,O,O,X,X,X
IJZSTOL,O,O,O,X,X,X
IJZSLTO,O,O,O,X,O,X
IJZSLOT,O,O,O,X,O,X
IJZSOTL,O,O,O,X,X,X
IJZSOLT,O,O,O,X,O,X
IJZOTLS,X,O,O,O,X,X
IJZOTSL,O,O,O,X,X,X
IJZOLTS,X,O,O,O,O,X
IJZOLST,X,O,O,O,O,X
IJZOSTL,O,O,O,X,X,X
IJZOSLT,O,O,O,O,O,X
IJOTLSZ,O,O,O,O,X,X
IJOTLZS,X,O,O,O,X,X
IJOTSLZ,O,O,O,X,X,X
IJOTSZL,O,O,O,X,X,X
IJOTZLS,X,O,O,O,X,X
IJOTZSL,O,O,O,X,X,X
IJOLTSZ,O,O,O,O,X,X
IJOLTZS,X,O,O,O,X,X
IJOLSTZ,O,O,O,O,X,X
IJOLSZT,O,O,O,O,X,X
IJOLZTS,X,O,O,O,O,X
IJOLZST,X,O,O,O,O,X
IJOSTLZ,O,O,O,X,X,X
IJOSTZL,O,O,O,X,X,X
IJOSLTZ,O,O,O,O,X,X
IJOSLZT,O,O,O,O,X,X
IJOSZTL,O,O,O,X,X,X
IJOSZLT,O,O,O,O,X,X
IJOZTLS,X,O,O,O,X,X
IJOZTSL,O,O,O,X,X,X
IJOZLTS,X,O,O,O,O,X
IJOZLST,X,O,O,O,O,X
IJOZSTL,O,O,O,X,X,X
IJOZSLT,O,O,O,O,O,X
ISTLJZO,X,X,O,X,X,O
ISTLJOZ,X,X,O,X,X,O
ISTLZJO,X,X,X,X,X,O
ISTLZOJ,X,X,O,X,X,O
ISTLOJZ,X,X,O,X,X,O
ISTLOZJ,X,X,O,X,X,O
ISTJLZO,O,X,O,X,X,X
ISTJLOZ,O,X,O,X,X,X
ISTJZLO,O,X,O,X,X,X
ISTJZOL,O,X,O,X,X,X
ISTJOLZ,O,X,O,X,X,X
ISTJOZL,O,X,O,X,X,X
ISTZLJO,O,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X
ISTZJLO,O,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X
ISTOLJZ,X,X,O,X,X,O
ISTOLZJ,X,X,O,X,X,O
ISTOJLZ,O,X,O,X,X,O
ISTOJZL,O,X,O,X,X,X
ISTOZLJ,O,X,O,X,X,O
ISTOZJL,O,X,O,X,X,X
ISLTJZO,X,X,O,O,X,O
ISLTJOZ,X,X,O,O,X,O
ISLTZJO,X,X,X,O,X,O
ISLTZOJ,X,X,O,O,X,O
ISLTOJZ,X,X,O,O,X,O
ISLTOZJ,X,X,O,O,X,O
ISLJTZO,O,X,O,O,X,O
ISLJTOZ,O,X,O,O,X,O
ISLJZTO,O,X,O,O,X,O
ISLJZOT,O,X,O,O,X,O
ISLJOTZ,O,X,O,O,X,O
ISLJOZT,O,X,O,O,X,O
ISLZTJO,O,X,X,O,O,O
ISLZTOJ,O,X,O,O,O,O
ISLZJTO,O,X,O,O,O,O
ISLZJOT,O,X,O,O,O,O
ISLZOTJ,O,X,O,O,O,O
ISLZOJT,O,X,O,O,O,O
ISLOTJZ,X,X,O,O,X,O
ISLOTZJ,X,X,O,O,X,O
ISLOJTZ,O,X,O,O,X,O
ISLOJZT,O,X,O,O,X,O
ISLOZTJ,O,X,O,O,O,O
ISLOZJT,O,X,O,O,O,O
ISJTLZO,O,X,O,X,X,X
ISJTLOZ,O,X,O,X,X,X
ISJTZLO,O,O,O,X,X,X
ISJTZOL,O,O,O,X,X,X
ISJTOLZ,O,O,O,X,X,X
ISJTOZL,O,O,O,X,X,X
ISJLTZO,O,X,O,X,X,O
ISJLTOZ,O,X,O,X,X,O
ISJLZTO,O,X,O,X,X,O
ISJLZOT,O,X,O,X,X,O
ISJLOTZ,O,X,O,X,X,O
ISJLOZT,O,X,O,X,X,O
ISJZTLO,O,O,O,X,X,X
ISJZTOL,O,O,O,X,X,X
ISJZLTO,O,O,O,X,X,X
ISJZLOT,O,O,O,X,X,X
ISJZOTL,O,O,O,X,X,X
ISJZOLT,O,O,O,X,X,X
ISJOTLZ,O,O,O,X,X,O
ISJOTZL,O,O,O,X,X,X
ISJOLTZ,O,O,O,X,X,O
ISJOLZT,O,O,O,X,X,O
ISJOZTL,O,O,O,X,X,X
ISJOZLT,O,O,O,X,X,X
ISZTLJO,O,X,X,X,O,X
ISZTLOJ,O,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,X,X,X,X
ISZTOLJ,O,O,X,X,O,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,O,X,X,O,O,O
ISZLTOJ,O,X,O,O,O,O
ISZLJTO,O,O,O,O,O,O
ISZLJOT,O,O,O,O,O,O
ISZLOTJ,O,O,O,O,O,O
ISZLOJT,O,O,O,O,O,O
ISZJTLO,O,O,O,X,X,X
ISZJTOL,O,O,O,X,X,X
ISZJLTO,O,O,O,X,O,X
ISZJLOT,O,O,O,X,O,X
ISZJOTL,O,O,O,X,X,X
ISZJOLT,O,O,O,X,O,X
ISZOTLJ,O,O,O,X,O,O
ISZOTJL,O,O,O,X,X,X
ISZOLTJ,O,O,O,O,O,O
ISZOLJT,O,O,O,O,O,O
ISZOJTL,O,O,O,X,X,X
ISZOJLT,O,O,O,O,O,X
ISOTLJZ,X,X,O,X,X,O
ISOTLZJ,X,X,O,X,X,O
ISOTJLZ,O,X,O,X,X,O
ISOTJZL,O,X,O,X,X,X
ISOTZLJ,O,X,O,X,X,O
ISOTZJL,O,X,O,X,X,X
ISOLTJZ,X,X,O,O,X,O
ISOLTZJ,X,X,O,O,X,O
ISOLJTZ,O,O,O,O,X,O
ISOLJZT,O,O,O,O,X,O
ISOLZTJ,O,O,O,O,O,O
ISOLZJT,O,O,O,O,O,O
ISOJTLZ,O,O,O,X,X,O
ISOJTZL,O,O,O,X,X,X
ISOJLTZ,O,O,O,O,X,O
ISOJLZT,O,O,O,O,X,O
ISOJZTL,O,O,O,X,X,X
ISOJZLT,O,O,O,O,X,X
ISOZTLJ,O,O,O,X,O,O
ISOZTJL,O,O,O,X,X,X
ISOZLTJ,O,O,O,O,O,O
ISOZLJT,O,O,O,O,O,O
ISOZJTL,O,O,O,X,X,X
ISOZJLT,O,O,O,O,O,X
IZTLJSO,X,X,X,X,O,X
IZTLJOS,X,X,X,X,O,X
IZTLSJO,X,X,X,O,O,X
IZTLSOJ,X,X,X,O,O,X
IZTLOJS,X,X,X,O,O,X
IZTLOSJ,X,X,X,O,O,X
IZTJLSO,X,O,X,X,X,X
IZTJLOS,X,O,X,X,X,X
IZTJSLO,X,O,X,X,X,X
IZTJSOL,X,O,X,X,X,X
IZTJOLS,X,O,X,X,X,X
IZTJOSL,X,O,X,X,X,X
IZTSLJO,X,X,X,X,O,X
IZTSLOJ,X,X,X,X,O,X
IZTSJLO,X,O,X,X,X,X
IZTSJOL,X,O,X,X,X,X
IZTSOLJ,X,O,X,X,O,X
IZTSOJL,X,O,X,X,X,X
IZTOLJS,X,O,X,O,O,X
IZTOLSJ,X,O,X,O,O,X
IZTOJLS,X,O,X,O,X,X
IZTOJSL,X,O,X,X,X,X
IZTOSLJ,X,O,X,X,O,X
IZTOSJL,X,O,X,X,X,X
IZLTJSO,X,X,X,X,O,O
IZLTJOS,X,X,X,X,O,X
IZLTSJO,X,X,X,O,O,O
IZLTSOJ,X,X,X,O,O,O
IZLTOJS,X,X,X,O,O,X
IZLTOSJ,X,X,X,O,O,X
IZLJTSO,X,O,X,X,O,O
IZLJTOS,X,O,X,X,O,X
IZLJSTO,X,O,X,O,O,O
IZLJSOT,X,O,X,O,O,O
IZLJOTS,X,O,X,O,O,X
IZLJOST,X,O,X,O,O,O
IZLSTJO,X,X,X,O,O,O
IZLSTOJ,X,X,X,O,O,O
IZLSJTO,X,O,X,O,O,O
IZLSJOT,X,O,X,O,O,O
IZLSOTJ,X,O,X,O,O,O
IZLSOJT,X,O,X,O,O,O
IZLOTJS,X,O,X,O,O,X
IZLOTSJ,X,O,X,O,O,X
IZLOJTS,X,O,X,O,O,X
IZLOJST,X,O,X,O,O,O
IZLOSTJ,X,O,X,O,O,O
IZLOSJT,X,O,X,O,O,O
IZJTLSO,X,O,X,X,X,X
IZJTLOS,X,O,X,X,X,X
IZJTSLO,O,O,O,X,X,X
IZJTSOL,O,O,O,X,X,X
IZJTOLS,X,O,O,X,X,X
IZJTOSL,O,O,O,X,X,X
IZJLTSO,X,O,X,X,O,X
IZJLTOS,X,O,X,X,O,X
IZJLSTO,X,O,X,O,O,X
IZJLSOT,X,O,X,O,O,X
IZJLOTS,X,O,X,O,O,X
IZJLOST,X,O,X,O,O,X
IZJSTLO,O,O,O,X,X,X
IZJSTOL,O,O,O,X,X,X
IZJSLTO,O,O,O,X,O,X
IZJSLOT,O,O,O,X,O,X
IZJSOTL,O,O,O,X,X,X
IZJSOLT,O,O,O,X,O,X
IZJOTLS,X,O,O,O,X,X
IZJOTSL,O,O,O,X,X,X
IZJOLTS,X,O,O,O,O,X
IZJOLST,X,O,O,O,O,X
IZJOSTL,O,O,O,X,X,X
IZJOSLT,O,O,O,O,O,X
IZSTLJO,O,X,X,X,O,X
IZSTLOJ,O,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,O,O,X,X,X,X
IZSTOLJ,O,O,X,X,O,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,X,X,O,O,O
IZSLTOJ,O,X,O,O,O,O
IZSLJTO,O,O,O,O,O,O
IZSLJOT,O,O,O,O,O,O
IZSLOTJ,O,O,O,O,O,O
IZSLOJT,O,O,O,O,O,O
IZSJTLO,O,O,O,X,X,X
IZSJTOL,O,O,O,X,X,X
IZSJLTO,O,O,O,X,O,X
IZSJLOT,O,O,O,X,O,X
IZSJOTL,O,O,O,X,X,X
IZSJOLT,O,O,O,X,O,X
IZSOTLJ,O,O,O,X,O,O
IZSOTJL,O,O,O,X,X,X
IZSOLTJ,O,O,O,O,O,O
IZSOLJT,O,O,O,O,O,O
IZSOJTL,O,O,O,X,X,X
IZSOJLT,O,O,O,O,O,X
IZOTLJS,X,O,X,O,O,X
IZOTLSJ,X,O,X,O,O,X
IZOTJLS,X,O,O,O,X,X
IZOTJSL,X,O,O,X,X,X
IZOTSLJ,X,O,O,X,O,X
IZOTSJL,X,O,O,X,X,X
IZOLTJS,X,O,X,O,O,X
IZOLTSJ,X,O,X,O,O,X
IZOLJTS,X,O,O,O,O,X
IZOLJST,X,O,O,O,O,X
IZOLSTJ,X,O,O,O,O,X
IZOLSJT,X,O,O,O,O,X
IZOJTLS,X,O,O,O,X,X
IZOJTSL,O,O,O,X,X,X
IZOJLTS,X,O,O,O,O,X
IZOJLST,X,O,O,O,O,X
IZOJSTL,O,O,O,X,X,X
IZOJSLT,O,O,O,O,O,X
IZOSTLJ,O,O,O,X,O,X
IZOSTJL,O,O,O,X,X,X
IZOSLTJ,O,O,O,O,O,X
IZOSLJT,O,O,O,O,O,X
IZOSJTL,O,O,O,X,X,X
IZOSJLT,O,O,O,O,O,X
IOTLJSZ,X,O,X,O,X,X
IOTLJZS,X,O,X,O,X,X
IOTLSJZ,X,X,X,O,X,X
IOTLSZJ,X,X,X,O,X,X
IOTLZJS,X,O,X,O,O,X
IOTLZSJ,X,O,X,O,O,X
IOTJLSZ,O,O,O,O,X,X
IOTJLZS,X,O,O,O,X,X
IOTJSLZ,O,O,O,X,X,X
IOTJSZL,O,O,O,X,X,X
IOTJZLS,X,O,O,O,X,X
IOTJZSL,O,O,O,X,X,X
IOTSLJZ,X,X,O,X,X,X
