sequence,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFWdBTZB?ygBRiB0iBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhFqcBxYB?2gBXeB0iBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFTZBygB?RiBGiB8sBFsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeG3IvhF/dBceB?ibBRhBziBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?3cBmiBCjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je32IvhFRYBceB?ygBznBFnBGsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFmXBSeB?XcBRiBziBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFTXB/dB?OjBRhBCjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?3cBusBisBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhFqcB2gB?xdB0dBXjBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFxXBTZB?VhBusBasBftB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeG3IvhFceBibB?RhBfoBTnBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Je17IvhF0XBTZB?xgB3nBmnB6sB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFUYBTbB?OjB5nBfsBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeR4IvhFceBmbB?zcBqiB3gBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFWdBTbB?RiB3nBcoBlsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbBxdB?1hB3nBOoB6sB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jex4IvhFTbB0cB?3nBOoB6sBFrB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jea8IvhFxYBTbB?FeBGiB8sBfsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeF3IvhFTbB3cB?miB5nBctBisB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU3IvhFTbByhB?XeB5nBOtBFsB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jec7IvhFTXB6iB?OjBRmB/sBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8JeU4IvhFibBOjB?5nBfsBzlBFtB,v115@pgC8GeB8HeB8GeH8BeG8CeH8AeB8Jez2IvhF2gBRiB?cjBqnBfnBlsB
TILJSZO,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILJSOZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOSZ,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
