sequence,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeGBJvhEJnBsiB?6eB3VBzLB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeGBJvhEJnBsiB?6eBTVBPRB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeTAJvhE0hBveB?KVBpLBOGB,v115@9gB8HeB8BeA8CeD8AeB8BeH8BeC8JeTAJvhE0hBveB?+VBJLB6GB
JILTOSZ,X,O,X,O
JILTOZS,X,O,X,O
JILSTZO,O,X,X,O
JILSTOZ,O,X,X,O
JILSZTO,O,X,X,O
JILSZOT,O,O,X,O
JILSOTZ,O,O,X,O
JILSOZT,O,O,X,O
JILZTSO,O,X,X,O
JILZTOS,X,O,X,O
JILZSTO,O,X,X,O
JILZSOT,O,O,X,O
JILZOTS,X,O,X,O
JILZOST,O,O,X,O
JILOTSZ,X,O,X,O
JILOTZS,X,O,X,O
JILOSTZ,O,O,X,O
JILOSZT,O,O,X,O
JILOZTS,X,O,X,O
JILOZST,O,O,X,O
JISTLZO,O,X,X,O
JISTLOZ,O,X,X,O
JISTZLO,O,X,X,O
JISTZOL,O,X,X,O
JISTOLZ,O,X,X,O
JISTOZL,O,X,X,O
JISLTZO,O,X,X,O
JISLTOZ,O,X,X,O
JISLZTO,O,X,X,O
JISLZOT,O,O,X,O
JISLOTZ,O,O,X,O
JISLOZT,O,O,X,O
JISZTLO,O,X,X,O
JISZTOL,O,X,X,O
JISZLTO,O,X,X,O
JISZLOT,O,O,X,O
JISZOTL,O,O,X,O
JISZOLT,O,O,X,O
JISOTLZ,O,O,X,O
JISOTZL,O,O,X,O
JISOLTZ,O,O,X,O
JISOLZT,O,O,X,O
JISOZTL,O,O,X,O
JISOZLT,O,O,X,O
JIZTLSO,O,X,X,O
JIZTLOS,X,O,X,O
JIZTSLO,O,X,X,O
JIZTSOL,O,X,X,O
JIZTOLS,X,O,X,O
JIZTOSL,X,O,X,O
JIZLTSO,O,X,X,O
JIZLTOS,X,O,X,O
JIZLSTO,O,X,X,O
JIZLSOT,O,O,X,O
JIZLOTS,X,O,X,O
JIZLOST,O,O,X,O
JIZSTLO,O,X,X,O
JIZSTOL,O,X,X,O
JIZSLTO,O,X,X,O
JIZSLOT,O,O,X,O
JIZSOTL,O,O,X,O
JIZSOLT,O,O,X,O
JIZOTLS,X,O,X,O
JIZOTSL,X,O,X,O
JIZOLTS,X,O,X,O
JIZOLST,O,O,X,O
JIZOSTL,O,O,X,O
JIZOSLT,O,O,X,O
JIOTLSZ,X,O,X,O
JIOTLZS,X,O,X,O
JIOTSLZ,X,O,X,O
JIOTSZL,X,O,X,O
JIOTZLS,X,O,X,O
JIOTZSL,X,O,X,O
JIOLTSZ,X,O,X,O
JIOLTZS,X,O,X,O
JIOLSTZ,O,O,X,O
JIOLSZT,O,O,X,O
JIOLZTS,X,O,X,O
JIOLZST,O,O,X,O
JIOSTLZ,O,O,X,O
JIOSTZL,O,O,X,O
JIOSLTZ,O,O,X,O
JIOSLZT,O,O,X,O
JIOSZTL,O,O,X,O
JIOSZLT,O,O,X,O
JIOZTLS,X,O,X,O
JIOZTSL,X,O,X,O
JIOZLTS,X,O,X,O
JIOZLST,O,O,X,O
JIOZSTL,O,O,X,O
JIOZSLT,O,O,X,O
JLTISZO,O,X,O,X
JLTISOZ,O,X,O,X
JLTIZSO,O,X,O,X
JLTIZOS,X,O,O,X
JLTIOSZ,X,O,O,X
JLTIOZS,X,O,O,X
JLTSIZO,O,X,O,X
JLTSIOZ,O,X,O,X
JLTSZIO,O,X,O,X
JLTSZOI,O,X,O,X
JLTSOIZ,O,X,O,X
JLTSOZI,O,X,O,X
JLTZISO,O,X,O,X
JLTZIOS,X,O,O,X
JLTZSIO,O,X,O,X
JLTZSOI,O,X,O,X
JLTZOIS,X,O,O,X
JLTZOSI,X,O,O,X
JLTOISZ,X,O,O,X
JLTOIZS,X,O,O,X
JLTOSIZ,X,O,O,X
JLTOSZI,X,O,O,X
JLTOZIS,X,O,O,X
JLTOZSI,X,O,O,X
JLITSZO,O,X,O,O
JLITSOZ,O,X,O,O
JLITZSO,O,X,O,O
JLITZOS,X,O,O,O
JLITOSZ,X,O,O,O
JLITOZS,X,O,O,O
JLISTZO,O,X,O,O
JLISTOZ,O,X,O,O
JLISZTO,O,X,O,O
JLISZOT,O,O,O,O
JLISOTZ,O,O,O,O
JLISOZT,O,O,O,O
JLIZTSO,O,X,O,O
JLIZTOS,X,O,O,O
JLIZSTO,O,X,O,O
JLIZSOT,O,O,O,O
JLIZOTS,X,O,O,O
JLIZOST,O,O,O,O
JLIOTSZ,X,O,O,O
JLIOTZS,X,O,O,O
JLIOSTZ,O,O,O,O
JLIOSZT,O,O,O,O
JLIOZTS,X,O,O,O
JLIOZST,O,O,O,O
JLSTIZO,O,X,O,X
JLSTIOZ,O,X,O,X
JLSTZIO,O,X,O,X
JLSTZOI,O,X,O,X
JLSTOIZ,O,X,O,X
JLSTOZI,O,X,O,X
JLSITZO,O,X,O,O
JLSITOZ,O,X,O,O
JLSIZTO,O,X,O,O
JLSIZOT,O,O,O,O
JLSIOTZ,O,O,O,O
JLSIOZT,O,O,O,O
JLSZTIO,O,X,O,X
JLSZTOI,O,X,O,X
JLSZITO,O,X,O,O
JLSZIOT,O,O,O,O
JLSZOTI,O,O,O,X
JLSZOIT,O,O,O,O
JLSOTIZ,O,O,O,X
JLSOTZI,O,O,O,X
JLSOITZ,O,O,O,O
JLSOIZT,O,O,O,O
JLSOZTI,O,O,O,X
JLSOZIT,O,O,O,O
JLZTISO,O,X,O,X
JLZTIOS,X,O,O,X
JLZTSIO,O,X,O,X
JLZTSOI,O,X,O,X
JLZTOIS,X,O,O,X
JLZTOSI,X,O,O,X
JLZITSO,O,X,O,O
JLZITOS,X,O,O,O
JLZISTO,O,X,O,O
JLZISOT,O,O,O,O
JLZIOTS,X,O,O,O
JLZIOST,O,O,O,O
JLZSTIO,O,X,O,X
JLZSTOI,O,X,O,X
JLZSITO,O,X,O,O
JLZSIOT,O,O,O,O
JLZSOTI,O,O,O,X
JLZSOIT,O,O,O,O
JLZOTIS,X,O,O,X
JLZOTSI,X,O,O,X
JLZOITS,X,O,O,O
JLZOIST,O,O,O,O
JLZOSTI,O,O,O,X
JLZOSIT,O,O,O,O
JLOTISZ,X,O,O,X
JLOTIZS,X,O,O,X
JLOTSIZ,X,O,O,X
JLOTSZI,X,O,O,X
JLOTZIS,X,O,O,X
JLOTZSI,X,O,O,X
JLOITSZ,X,O,O,O
JLOITZS,X,O,O,O
JLOISTZ,O,O,O,O
JLOISZT,O,O,O,O
JLOIZTS,X,O,O,O
JLOIZST,O,O,O,O
JLOSTIZ,O,O,O,X
JLOSTZI,O,O,O,X
JLOSITZ,O,O,O,O
JLOSIZT,O,O,O,O
JLOSZTI,O,O,O,X
JLOSZIT,O,O,O,O
JLOZTIS,X,O,O,X
JLOZTSI,X,O,O,X
JLOZITS,X,O,O,O
JLOZIST,O,O,O,O
JLOZSTI,O,O,O,X
JLOZSIT,O,O,O,O
JSTILZO,O,X,X,O
JSTILOZ,O,X,X,O
JSTIZLO,O,X,X,O
JSTIZOL,O,X,X,O
JSTIOLZ,O,X,X,O
JSTIOZL,O,X,X,O
JSTLIZO,O,X,X,X
JSTLIOZ,O,X,X,X
JSTLZIO,O,X,X,X
JSTLZOI,O,X,X,X
JSTLOIZ,O,X,X,X
JSTLOZI,O,X,X,X
JSTZILO,O,X,X,O
JSTZIOL,O,X,X,O
JSTZLIO,O,X,X,X
JSTZLOI,O,X,X,X
JSTZOIL,O,X,X,O
JSTZOLI,O,X,X,X
JSTOILZ,O,X,X,O
JSTOIZL,O,X,X,O
JSTOLIZ,O,X,X,X
JSTOLZI,O,X,X,X
JSTOZIL,O,X,X,O
JSTOZLI,O,X,X,X
JSITLZO,O,X,X,O
JSITLOZ,O,X,X,O
JSITZLO,O,X,X,O
JSITZOL,O,X,X,O
JSITOLZ,O,X,X,O
JSITOZL,O,X,X,O
JSILTZO,O,X,X,O
JSILTOZ,O,X,X,O
JSILZTO,O,X,X,O
JSILZOT,O,O,X,O
JSILOTZ,O,O,X,O
JSILOZT,O,O,X,O
JSIZTLO,O,X,X,O
JSIZTOL,O,X,X,O
JSIZLTO,O,X,X,O
JSIZLOT,O,O,X,O
JSIZOTL,O,O,X,O
JSIZOLT,O,O,X,O
JSIOTLZ,O,O,X,O
JSIOTZL,O,O,X,O
JSIOLTZ,O,O,X,O
JSIOLZT,O,O,X,O
JSIOZTL,O,O,X,O
JSIOZLT,O,O,X,O
JSLTIZO,O,X,O,X
JSLTIOZ,O,X,O,X
JSLTZIO,O,X,O,X
JSLTZOI,O,X,O,X
JSLTOIZ,O,X,O,X
JSLTOZI,O,X,O,X
JSLITZO,O,X,O,O
JSLITOZ,O,X,O,O
JSLIZTO,O,X,O,O
JSLIZOT,O,O,O,O
JSLIOTZ,O,O,O,O
JSLIOZT,O,O,O,O
JSLZTIO,O,X,O,X
JSLZTOI,O,X,O,X
JSLZITO,O,X,O,O
JSLZIOT,O,O,O,O
JSLZOTI,O,O,O,X
JSLZOIT,O,O,O,O
JSLOTIZ,O,O,O,X
JSLOTZI,O,O,O,X
JSLOITZ,O,O,O,O
JSLOIZT,O,O,O,O
JSLOZTI,O,O,O,X
JSLOZIT,O,O,O,O
JSZTILO,O,X,X,O
JSZTIOL,O,X,X,O
JSZTLIO,O,X,X,X
JSZTLOI,O,X,X,X
JSZTOIL,O,X,X,O
JSZTOLI,O,X,X,X
JSZITLO,O,X,X,O
JSZITOL,O,X,X,O
JSZILTO,O,X,X,O
JSZILOT,O,O,X,O
JSZIOTL,O,O,X,O
JSZIOLT,O,O,X,O
JSZLTIO,O,X,O,X
JSZLTOI,O,X,O,X
JSZLITO,O,X,O,O
JSZLIOT,O,O,O,O
JSZLOTI,O,O,O,X
JSZLOIT,O,O,O,O
JSZOTIL,O,O,X,O
JSZOTLI,O,O,X,X
JSZOITL,O,O,X,O
JSZOILT,O,O,X,O
JSZOLTI,O,O,O,X
JSZOLIT,O,O,O,O
JSOTILZ,O,O,X,O
JSOTIZL,O,O,X,O
JSOTLIZ,O,O,X,X
JSOTLZI,O,O,X,X
JSOTZIL,O,O,X,O
JSOTZLI,O,O,X,X
JSOITLZ,O,O,X,O
JSOITZL,O,O,X,O
JSOILTZ,O,O,X,O
JSOILZT,O,O,X,O
JSOIZTL,O,O,X,O
JSOIZLT,O,O,X,O
JSOLTIZ,O,O,O,X
JSOLTZI,O,O,O,X
JSOLITZ,O,O,O,O
JSOLIZT,O,O,O,O
JSOLZTI,O,O,O,X
JSOLZIT,O,O,O,O
JSOZTIL,O,O,X,O
JSOZTLI,O,O,X,X
JSOZITL,O,O,X,O
JSOZILT,O,O,X,O
JSOZLTI,O,O,O,X
JSOZLIT,O,O,O,O
JZTILSO,O,X,X,O
JZTILOS,X,O,X,O
JZTISLO,O,X,X,O
JZTISOL,O,X,X,O
JZTIOLS,X,O,X,O
JZTIOSL,X,O,X,O
JZTLISO,O,X,X,X
JZTLIOS,X,O,X,X
JZTLSIO,O,X,X,X
JZTLSOI,O,X,X,X
JZTLOIS,X,O,X,X
JZTLOSI,X,O,X,X
JZTSILO,O,X,X,O
JZTSIOL,O,X,X,O
JZTSLIO,O,X,X,X
JZTSLOI,O,X,X,X
JZTSOIL,O,X,X,O
JZTSOLI,O,X,X,X
JZTOILS,X,O,X,O
JZTOISL,X,O,X,O
JZTOLIS,X,O,X,X
JZTOLSI,X,O,X,X
JZTOSIL,X,O,X,O
JZTOSLI,X,O,X,X
JZITLSO,O,X,X,O
JZITLOS,X,O,X,O
JZITSLO,O,X,X,O
JZITSOL,O,X,X,O
JZITOLS,X,O,X,O
JZITOSL,X,O,X,O
JZILTSO,O,X,X,O
JZILTOS,X,O,X,O
JZILSTO,O,X,X,O
JZILSOT,O,O,X,O
JZILOTS,X,O,X,O
JZILOST,O,O,X,O
JZISTLO,O,X,X,O
JZISTOL,O,X,X,O
JZISLTO,O,X,X,O
JZISLOT,O,O,X,O
JZISOTL,O,O,X,O
JZISOLT,O,O,X,O
JZIOTLS,X,O,X,O
JZIOTSL,X,O,X,O
JZIOLTS,X,O,X,O
JZIOLST,O,O,X,O
JZIOSTL,O,O,X,O
JZIOSLT,O,O,X,O
JZLTISO,O,X,O,X
JZLTIOS,X,O,O,X
JZLTSIO,O,X,O,X
JZLTSOI,O,X,O,X
JZLTOIS,X,O,O,X
JZLTOSI,X,O,O,X
JZLITSO,O,X,O,O
JZLITOS,X,O,O,O
JZLISTO,O,X,O,O
JZLISOT,O,O,O,O
JZLIOTS,X,O,O,O
JZLIOST,O,O,O,O
JZLSTIO,O,X,O,X
JZLSTOI,O,X,O,X
JZLSITO,O,X,O,O
JZLSIOT,O,O,O,O
JZLSOTI,O,O,O,X
JZLSOIT,O,O,O,O
JZLOTIS,X,O,O,X
JZLOTSI,X,O,O,X
JZLOITS,X,O,O,O
JZLOIST,O,O,O,O
JZLOSTI,O,O,O,X
JZLOSIT,O,O,O,O
JZSTILO,O,X,X,O
JZSTIOL,O,X,X,O
JZSTLIO,O,X,X,X
JZSTLOI,O,X,X,X
JZSTOIL,O,X,X,O
JZSTOLI,O,X,X,X
JZSITLO,O,X,X,O
JZSITOL,O,X,X,O
JZSILTO,O,X,X,O
JZSILOT,O,O,X,O
JZSIOTL,O,O,X,O
JZSIOLT,O,O,X,O
JZSLTIO,O,X,O,X
JZSLTOI,O,X,O,X
JZSLITO,O,X,O,O
JZSLIOT,O,O,O,O
JZSLOTI,O,O,O,X
JZSLOIT,O,O,O,O
JZSOTIL,O,O,X,O
JZSOTLI,O,O,X,X
JZSOITL,O,O,X,O
JZSOILT,O,O,X,O
JZSOLTI,O,O,O,X
JZSOLIT,O,O,O,O
JZOTILS,X,O,X,O
JZOTISL,X,O,X,O
JZOTLIS,X,O,X,X
JZOTLSI,X,O,X,X
JZOTSIL,X,O,X,O
JZOTSLI,X,O,X,X
JZOITLS,X,O,X,O
JZOITSL,X,O,X,O
JZOILTS,X,O,X,O
JZOILST,O,O,X,O
JZOISTL,O,O,X,O
JZOISLT,O,O,X,O
JZOLTIS,X,O,O,X
JZOLTSI,X,O,O,X
JZOLITS,X,O,O,O
JZOLIST,O,O,O,O
JZOLSTI,O,O,O,X
JZOLSIT,O,O,O,O
JZOSTIL,O,O,X,O
JZOSTLI,O,O,X,X
JZOSITL,O,O,X,O
JZOSILT,O,O,X,O
JZOSLTI,O,O,O,X
JZOSLIT,O,O,O,O
JOTILSZ,X,O,X,O
JOTILZS,X,O,X,O
JOTISLZ,X,O,X,O
JOTISZL,X,O,X,O
JOTIZLS,X,O,X,O
JOTIZSL,X,O,X,O
JOTLISZ,X,O,X,X
JOTLIZS,X,O,X,X
JOTLSIZ,X,O,X,X
JOTLSZI,X,O,X,X
JOTLZIS,X,O,X,X
JOTLZSI,X,O,X,X
JOTSILZ,X,O,X,O
JOTSIZL,X,O,X,O
JOTSLIZ,X,O,X,X
JOTSLZI,X,O,X,X
JOTSZIL,X,O,X,O
JOTSZLI,X,O,X,X
JOTZILS,X,O,X,O
JOTZISL,X,O,X,O
JOTZLIS,X,O,X,X
JOTZLSI,X,O,X,X
JOTZSIL,X,O,X,O
JOTZSLI,X,O,X,X
JOITLSZ,X,O,X,O
JOITLZS,X,O,X,O
JOITSLZ,X,O,X,O
JOITSZL,X,O,X,O
JOITZLS,X,O,X,O
JOITZSL,X,O,X,O
JOILTSZ,X,O,X,O
JOILTZS,X,O,X,O
JOILSTZ,O,O,X,O
JOILSZT,O,O,X,O
JOILZTS,X,O,X,O
JOILZST,O,O,X,O
JOISTLZ,O,O,X,O
JOISTZL,O,O,X,O
JOISLTZ,O,O,X,O
JOISLZT,O,O,X,O
JOISZTL,O,O,X,O
JOISZLT,O,O,X,O
JOIZTLS,X,O,X,O
JOIZTSL,X,O,X,O
JOIZLTS,X,O,X,O
JOIZLST,O,O,X,O
JOIZSTL,O,O,X,O
JOIZSLT,O,O,X,O
JOLTISZ,X,O,O,X
JOLTIZS,X,O,O,X
JOLTSIZ,X,O,O,X
JOLTSZI,X,O,O,X
JOLTZIS,X,O,O,X
JOLTZSI,X,O,O,X
JOLITSZ,X,O,O,O
JOLITZS,X,O,O,O
JOLISTZ,O,O,O,O
JOLISZT,O,O,O,O
JOLIZTS,X,O,O,O
JOLIZST,O,O,O,O
JOLSTIZ,O,O,O,X
JOLSTZI,O,O,O,X
JOLSITZ,O,O,O,O
JOLSIZT,O,O,O,O
JOLSZTI,O,O,O,X
JOLSZIT,O,O,O,O
JOLZTIS,X,O,O,X
JOLZTSI,X,O,O,X
JOLZITS,X,O,O,O
JOLZIST,O,O,O,O
JOLZSTI,O,O,O,X
JOLZSIT,O,O,O,O
JOSTILZ,O,O,X,O
JOSTIZL,O,O,X,O
JOSTLIZ,O,O,X,X
JOSTLZI,O,O,X,X
JOSTZIL,O,O,X,O
JOSTZLI,O,O,X,X
JOSITLZ,O,O,X,O
JOSITZL,O,O,X,O
JOSILTZ,O,O,X,O
JOSILZT,O,O,X,O
JOSIZTL,O,O,X,O
JOSIZLT,O,O,X,O
JOSLTIZ,O,O,O,X
JOSLTZI,O,O,O,X
JOSLITZ,O,O,O,O
JOSLIZT,O,O,O,O
JOSLZTI,O,O,O,X
JOSLZIT,O,O,O,O
JOSZTIL,O,O,X,O
JOSZTLI,O,O,X,X
JOSZITL,O,O,X,O
JOSZILT,O,O,X,O
JOSZLTI,O,O,O,X
JOSZLIT,O,O,O,O
JOZTILS,X,O,X,O
JOZTISL,X,O,X,O
JOZTLIS,X,O,X,X
JOZTLSI,X,O,X,X
JOZTSIL,X,O,X,O
JOZTSLI,X,O,X,X
JOZITLS,X,O,X,O
JOZITSL,X,O,X,O
JOZILTS,X,O,X,O
JOZILST,O,O,X,O
JOZISTL,O,O,X,O
JOZISLT,O,O,X,O
JOZLTIS,X,O,O,X
JOZLTSI,X,O,O,X
JOZLITS,X,O,O,O
JOZLIST,O,O,O,O
JOZLSTI,O,O,O,X
JOZLSIT,O,O,O,O
JOZSTIL,O,O,X,O
JOZSTLI,O,O,X,X
JOZSITL,O,O,X,O
JOZSILT,O,O,X,O
JOZSLTI,O,O,O,X
JOZSLIT,O,O,O,O
STILJZO,O,X,X,X
STILJOZ,O,X,X,X
STILZJO,O,X,X,X
STILZOJ,O,X,X,X
STILOJZ,O,X,X,X
STILOZJ,O,X,X,X
STIJLZO,O,X,X,X
STIJLOZ,O,X,X,X
STIJZLO,O,X,X,X
STIJZOL,O,X,X,X
STIJOLZ,O,X,X,X
STIJOZL,O,X,X,X
STIZLJO,O,X,X,X
STIZLOJ,O,X,X,X
STIZJLO,O,X,X,X
STIZJOL,O,X,X,X
STIZOLJ,O,X,X,X
STIZOJL,O,X,X,X
STIOLJZ,O,X,X,X
STIOLZJ,O,X,X,X
STIOJLZ,O,X,X,X
STIOJZL,O,X,X,X
STIOZLJ,O,X,X,X
STIOZJL,O,X,X,X
STLIJZO,O,X,O,X
STLIJOZ,O,X,O,X
STLIZJO,O,X,O,X
STLIZOJ,O,X,O,X
STLIOJZ,O,X,O,X
STLIOZJ,O,X,O,X
STLJIZO,O,X,O,X
STLJIOZ,O,X,O,X
STLJZIO,O,X,O,X
STLJZOI,O,X,O,X
STLJOIZ,O,X,O,X
STLJOZI,O,X,O,X
STLZIJO,O,X,O,X
STLZIOJ,O,X,O,X
STLZJIO,O,X,O,X
STLZJOI,O,X,O,X
STLZOIJ,O,X,O,X
STLZOJI,O,X,O,X
STLOIJZ,O,X,O,X
STLOIZJ,O,X,O,X
STLOJIZ,O,X,O,X
STLOJZI,O,X,O,X
STLOZIJ,O,X,O,X
STLOZJI,O,X,O,X
STJILZO,O,X,X,O
STJILOZ,O,X,X,O
STJIZLO,O,X,X,O
STJIZOL,O,X,X,O
STJIOLZ,O,X,X,O
STJIOZL,O,X,X,O
STJLIZO,O,X,X,X
STJLIOZ,O,X,X,X
STJLZIO,O,X,X,X
STJLZOI,O,X,X,X
STJLOIZ,O,X,X,X
STJLOZI,O,X,X,X
STJZILO,O,X,X,O
STJZIOL,O,X,X,O
STJZLIO,O,X,X,X
STJZLOI,O,X,X,X
STJZOIL,O,X,X,O
STJZOLI,O,X,X,X
STJOILZ,O,X,X,O
STJOIZL,O,X,X,O
STJOLIZ,O,X,X,X
STJOLZI,O,X,X,X
STJOZIL,O,X,X,O
STJOZLI,O,X,X,X
STZILJO,O,X,X,X
STZILOJ,O,X,X,X
STZIJLO,O,X,X,X
STZIJOL,O,X,X,X
STZIOLJ,O,X,X,X
STZIOJL,O,X,X,X
STZLIJO,O,X,O,X
STZLIOJ,O,X,O,X
STZLJIO,O,X,O,X
STZLJOI,O,X,O,X
STZLOIJ,O,X,O,X
STZLOJI,O,X,O,X
STZJILO,O,X,X,O
STZJIOL,O,X,X,O
STZJLIO,O,X,X,X
STZJLOI,O,X,X,X
STZJOIL,O,X,X,O
STZJOLI,O,X,X,X
STZOILJ,O,X,X,X
STZOIJL,O,X,X,X
STZOLIJ,O,X,O,X
STZOLJI,O,X,O,X
STZOJIL,O,X,X,O
STZOJLI,O,X,X,X
STOILJZ,O,X,X,X
STOILZJ,O,X,X,X
STOIJLZ,O,X,X,X
STOIJZL,O,X,X,X
STOIZLJ,O,X,X,X
STOIZJL,O,X,X,X
STOLIJZ,O,X,O,X
STOLIZJ,O,X,O,X
STOLJIZ,O,X,O,X
STOLJZI,O,X,O,X
STOLZIJ,O,X,O,X
STOLZJI,O,X,O,X
STOJILZ,O,X,X,O
STOJIZL,O,X,X,O
STOJLIZ,O,X,X,X
STOJLZI,O,X,X,X
STOJZIL,O,X,X,O
STOJZLI,O,X,X,X
STOZILJ,O,X,X,X
STOZIJL,O,X,X,X
STOZLIJ,O,X,O,X
STOZLJI,O,X,O,X
STOZJIL,O,X,X,O
STOZJLI,O,X,X,X
SITLJZO,O,X,X,X
SITLJOZ,O,X,X,X
SITLZJO,O,X,X,X
SITLZOJ,O,X,X,X
SITLOJZ,O,X,X,X
SITLOZJ,O,X,X,X
SITJLZO,O,X,X,X
SITJLOZ,O,X,X,X
SITJZLO,O,X,X,X
SITJZOL,O,X,X,X
SITJOLZ,O,X,X,X
SITJOZL,O,X,X,X
SITZLJO,O,X,X,X
SITZLOJ,O,X,X,X
SITZJLO,O,X,X,X
SITZJOL,O,X,X,X
SITZOLJ,O,X,X,X
SITZOJL,O,X,X,X
SITOLJZ,O,X,X,X
SITOLZJ,O,X,X,X
SITOJLZ,O,X,X,X
SITOJZL,O,X,X,X
SITOZLJ,O,X,X,X
SITOZJL,O,X,X,X
SILTJZO,O,X,O,X
SILTJOZ,O,X,O,X
SILTZJO,O,X,O,X
SILTZOJ,O,X,O,X
SILTOJZ,O,X,O,X
SILTOZJ,O,X,O,X
SILJTZO,O,X,O,X
SILJTOZ,O,X,O,X
SILJZTO,O,X,O,X
SILJZOT,O,O,O,X
SILJOTZ,O,O,O,X
SILJOZT,O,O,O,X
SILZTJO,O,X,O,X
SILZTOJ,O,X,O,X
SILZJTO,O,X,O,X
SILZJOT,O,O,O,X
SILZOTJ,O,O,O,X
SILZOJT,O,O,O,X
SILOTJZ,O,O,O,X
SILOTZJ,O,O,O,X
SILOJTZ,O,O,O,X
SILOJZT,O,O,O,X
SILOZTJ,O,O,O,X
SILOZJT,O,O,O,X
SIJTLZO,O,X,X,O
SIJTLOZ,O,X,X,O
SIJTZLO,O,X,X,O
SIJTZOL,O,X,X,O
SIJTOLZ,O,X,X,O
SIJTOZL,O,X,X,O
SIJLTZO,O,X,X,O
SIJLTOZ,O,X,X,O
SIJLZTO,O,X,X,O
SIJLZOT,O,O,X,O
SIJLOTZ,O,O,X,O
SIJLOZT,O,O,X,O
SIJZTLO,O,X,X,O
SIJZTOL,O,X,X,O
SIJZLTO,O,X,X,O
SIJZLOT,O,O,X,O
SIJZOTL,O,O,X,O
SIJZOLT,O,O,X,O
SIJOTLZ,O,O,X,O
SIJOTZL,O,O,X,O
SIJOLTZ,O,O,X,O
SIJOLZT,O,O,X,O
SIJOZTL,O,O,X,O
SIJOZLT,O,O,X,O
SIZTLJO,O,X,X,X
SIZTLOJ,O,X,X,X
SIZTJLO,O,X,X,X
SIZTJOL,O,X,X,X
SIZTOLJ,O,X,X,X
SIZTOJL,O,X,X,X
SIZLTJO,O,X,O,X
SIZLTOJ,O,X,O,X
SIZLJTO,O,X,O,X
SIZLJOT,O,O,O,X
SIZLOTJ,O,O,O,X
SIZLOJT,O,O,O,X
SIZJTLO,O,X,X,O
SIZJTOL,O,X,X,O
SIZJLTO,O,X,X,O
SIZJLOT,O,O,X,O
SIZJOTL,O,O,X,O
SIZJOLT,O,O,X,O
SIZOTLJ,O,O,X,X
SIZOTJL,O,O,X,X
SIZOLTJ,O,O,O,X
SIZOLJT,O,O,O,X
SIZOJTL,O,O,X,O
SIZOJLT,O,O,X,O
SIOTLJZ,O,O,X,X
SIOTLZJ,O,O,X,X
SIOTJLZ,O,O,X,X
SIOTJZL,O,O,X,X
SIOTZLJ,O,O,X,X
SIOTZJL,O,O,X,X
SIOLTJZ,O,O,O,X
SIOLTZJ,O,O,O,X
SIOLJTZ,O,O,O,X
SIOLJZT,O,O,O,X
SIOLZTJ,O,O,O,X
SIOLZJT,O,O,O,X
SIOJTLZ,O,O,X,O
SIOJTZL,O,O,X,O
SIOJLTZ,O,O,X,O
SIOJLZT,O,O,X,O
SIOJZTL,O,O,X,O
SIOJZLT,O,O,X,O
SIOZTLJ,O,O,X,X
SIOZTJL,O,O,X,X
SIOZLTJ,O,O,O,X
SIOZLJT,O,O,O,X
SIOZJTL,O,O,X,O
SIOZJLT,O,O,X,O
SLTIJZO,O,X,O,X
SLTIJOZ,O,X,O,X
SLTIZJO,O,X,O,X
SLTIZOJ,O,X,O,X
SLTIOJZ,O,X,O,X
SLTIOZJ,O,X,O,X
SLTJIZO,O,X,O,X
SLTJIOZ,O,X,O,X
SLTJZIO,O,X,O,X
SLTJZOI,O,X,O,X
SLTJOIZ,O,X,O,X
SLTJOZI,O,X,O,X
SLTZIJO,O,X,O,X
SLTZIOJ,O,X,O,X
SLTZJIO,O,X,O,X
SLTZJOI,O,X,O,X
SLTZOIJ,O,X,O,X
SLTZOJI,O,X,O,X
SLTOIJZ,O,X,O,X
SLTOIZJ,O,X,O,X
SLTOJIZ,O,X,O,X
SLTOJZI,O,X,O,X
SLTOZIJ,O,X,O,X
SLTOZJI,O,X,O,X
SLITJZO,O,X,O,X
SLITJOZ,O,X,O,X
SLITZJO,O,X,O,X
SLITZOJ,O,X,O,X
SLITOJZ,O,X,O,X
SLITOZJ,O,X,O,X
SLIJTZO,O,X,O,X
SLIJTOZ,O,X,O,X
SLIJZTO,O,X,O,X
SLIJZOT,O,O,O,X
SLIJOTZ,O,O,O,X
SLIJOZT,O,O,O,X
SLIZTJO,O,X,O,X
SLIZTOJ,O,X,O,X
SLIZJTO,O,X,O,X
SLIZJOT,O,O,O,X
SLIZOTJ,O,O,O,X
SLIZOJT,O,O,O,X
SLIOTJZ,O,O,O,X
SLIOTZJ,O,O,O,X
SLIOJTZ,O,O,O,X
SLIOJZT,O,O,O,X
SLIOZTJ,O,O,O,X
SLIOZJT,O,O,O,X
SLJTIZO,O,X,O,X
SLJTIOZ,O,X,O,X
SLJTZIO,O,X,O,X
SLJTZOI,O,X,O,X
SLJTOIZ,O,X,O,X
SLJTOZI,O,X,O,X
SLJITZO,O,X,O,O
SLJITOZ,O,X,O,O
SLJIZTO,O,X,O,O
SLJIZOT,O,O,O,O
SLJIOTZ,O,O,O,O
SLJIOZT,O,O,O,O
SLJZTIO,O,X,O,X
SLJZTOI,O,X,O,X
