sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBamBFiBf?sBGsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhETeB/mBFiBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB
TILJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,O,X,O,X,O,X,X,X,X,X,X,O
TILJZOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TILJOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
TILSJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X,X,X,O
TILZJOS,X,O,O,O,X,X,X,X,X,X,X,X,O
TILZSJO,X,O,X,O,X,O,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,O,X,X,X,X,X,X,O
TILZOJS,X,O,O,O,X,X,X,X,X,X,X,X,O
TILZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
TILOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
TILOSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
TILOZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
TILOZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
TIJLSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJLZOS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,O,X,O,X,O,X,X,X,X,X
TIJZLOS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJZSLO,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,X,O,O,X,X,O,X,X,X,X,X
TIJZOLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJZOSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
TIJOZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJZOL,O,X,X,O,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
