sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TZOJILS,X,X,X,X,X,O
TZOJISL,X,X,X,X,X,O
TZOJLIS,X,X,X,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,X,X,X,X,X,O
TZOJSLI,X,X,X,X,X,O
TZOSILJ,X,X,X,X,X,O
TZOSIJL,X,X,X,X,X,O
TZOSLIJ,X,X,X,X,X,O
TZOSLJI,X,X,X,X,X,O
TZOSJIL,X,X,X,X,X,O
TZOSJLI,X,X,X,X,X,O
TOILJSZ,X,O,X,O,O,X
TOILJZS,X,O,X,O,O,X
TOILSJZ,X,X,X,O,O,X
TOILSZJ,X,X,X,O,O,X
TOILZJS,X,O,X,O,X,X
TOILZSJ,X,O,X,O,X,X
TOIJLSZ,X,O,X,O,O,X
TOIJLZS,X,O,X,O,O,X
TOIJSLZ,X,O,X,O,O,X
TOIJSZL,X,O,X,O,O,X
TOIJZLS,X,O,X,O,O,X
TOIJZSL,X,O,X,O,O,X
TOISLJZ,X,O,X,O,O,X
TOISLZJ,X,O,X,O,O,X
TOISJLZ,X,O,X,O,O,X
TOISJZL,X,O,X,O,O,X
TOISZLJ,X,X,X,X,O,X
TOISZJL,X,X,X,X,O,X
TOIZLJS,X,O,X,X,X,X
TOIZLSJ,X,O,X,X,X,X
TOIZJLS,X,O,X,X,X,X
TOIZJSL,X,O,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,O,X,O,O,X
TOLIJZS,X,O,X,O,O,X
TOLISJZ,X,X,X,O,O,X
TOLISZJ,X,X,X,O,O,X
TOLIZJS,X,O,X,O,X,X
TOLIZSJ,X,O,X,O,X,X
TOLJISZ,X,O,X,O,O,X
TOLJIZS,X,O,X,O,O,X
TOLJSIZ,X,X,X,O,O,X
TOLJSZI,X,X,X,O,O,X
TOLJZIS,X,O,X,O,X,X
TOLJZSI,X,O,X,O,X,X
TOLSIJZ,X,X,X,O,O,X
TOLSIZJ,X,X,X,O,O,X
TOLSJIZ,X,X,X,O,O,X
TOLSJZI,X,X,X,O,O,X
TOLSZIJ,X,X,X,O,O,X
TOLSZJI,X,X,X,O,O,X
TOLZIJS,X,O,X,O,X,X
TOLZISJ,X,O,X,O,X,X
TOLZJIS,X,O,X,O,X,X
TOLZJSI,X,O,X,O,X,X
TOLZSIJ,X,O,X,O,X,X
TOLZSJI,X,O,X,O,X,X
TOJILSZ,X,O,X,O,O,X
TOJILZS,X,O,X,O,O,X
TOJISLZ,X,O,X,O,O,X
TOJISZL,X,O,X,O,O,X
TOJIZLS,X,O,X,O,O,X
TOJIZSL,X,O,X,O,O,X
TOJLISZ,X,O,X,O,O,X
TOJLIZS,X,O,X,O,O,X
TOJLSIZ,X,X,X,O,O,X
TOJLSZI,X,X,X,O,O,X
TOJLZIS,X,O,X,O,X,X
TOJLZSI,X,O,X,O,X,X
TOJSILZ,X,O,X,O,O,X
TOJSIZL,X,O,X,O,O,X
TOJSLIZ,X,O,X,O,O,X
TOJSLZI,X,O,X,O,O,X
TOJSZIL,X,X,X,X,O,X
TOJSZLI,X,X,X,X,O,X
TOJZILS,X,O,X,X,X,X
TOJZISL,X,O,X,X,X,X
TOJZLIS,X,O,X,X,X,X
TOJZLSI,X,O,X,X,X,X
TOJZSIL,X,X,X,X,X,X
TOJZSLI,X,X,X,X,X,X
TOSILJZ,X,O,X,O,O,X
TOSILZJ,X,O,X,O,O,X
TOSIJLZ,X,O,X,O,O,X
TOSIJZL,X,O,X,O,O,X
TOSIZLJ,X,X,X,X,O,X
TOSIZJL,X,X,X,X,O,X
TOSLIJZ,X,O,X,O,O,X
TOSLIZJ,X,O,X,O,O,X
TOSLJIZ,X,O,X,O,O,X
TOSLJZI,X,O,X,O,O,X
TOSLZIJ,X,O,X,O,O,X
TOSLZJI,X,O,X,O,O,X
TOSJILZ,X,O,X,O,O,X
TOSJIZL,X,O,X,O,O,X
TOSJLIZ,X,O,X,O,O,X
TOSJLZI,X,O,X,O,O,X
TOSJZIL,X,X,X,X,O,X
TOSJZLI,X,X,X,X,O,X
TOSZILJ,X,X,X,X,O,X
TOSZIJL,X,X,X,X,O,X
TOSZLIJ,X,X,X,X,O,X
TOSZLJI,X,X,X,X,O,X
TOSZJIL,X,X,X,X,O,X
TOSZJLI,X,X,X,X,O,X
TOZILJS,X,O,X,X,X,X
TOZILSJ,X,O,X,X,X,X
TOZIJLS,X,O,X,X,X,X
TOZIJSL,X,O,X,X,X,X
TOZISLJ,X,X,X,X,X,X
TOZISJL,X,X,X,X,X,X
TOZLIJS,X,O,X,X,X,X
TOZLISJ,X,O,X,X,X,X
TOZLJIS,X,O,X,X,X,X
TOZLJSI,X,O,X,X,X,X
TOZLSIJ,X,O,X,X,X,X
TOZLSJI,X,O,X,X,X,X
TOZJILS,X,O,X,X,X,X
TOZJISL,X,O,X,X,X,X
TOZJLIS,X,O,X,X,X,X
TOZJLSI,X,O,X,X,X,X
TOZJSIL,X,X,X,X,X,X
TOZJSLI,X,X,X,X,X,X
TOZSILJ,X,X,X,X,X,X
TOZSIJL,X,X,X,X,X,X
TOZSLIJ,X,X,X,X,X,X
TOZSLJI,X,X,X,X,X,X
TOZSJIL,X,X,X,X,X,X
TOZSJLI,X,X,X,X,X,X
ITLJSZO,O,X,O,O,X,O
ITLJSOZ,O,O,O,O,O,O
ITLJZSO,O,X,O,O,X,O
ITLJZOS,X,O,O,O,O,X
ITLJOSZ,O,O,O,O,O,O
ITLJOZS,X,O,O,O,O,X
ITLSJZO,O,X,O,X,X,O
ITLSJOZ,O,X,O,X,X,O
ITLSZJO,O,X,O,X,X,O
ITLSZOJ,O,X,O,X,X,O
ITLSOJZ,O,X,O,X,X,X
ITLSOZJ,O,X,O,X,X,X
ITLZJSO,X,X,X,O,X,X
ITLZJOS,X,X,X,O,X,X
ITLZSJO,X,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X
ITLZOJS,X,O,X,O,X,X
ITLZOSJ,X,O,X,O,X,X
ITLOJSZ,X,O,O,O,O,X
ITLOJZS,X,O,O,O,O,X
ITLOSJZ,X,X,O,O,O,X
ITLOSZJ,X,X,O,O,O,X
ITLOZJS,X,O,X,O,X,X
ITLOZSJ,X,O,X,O,X,X
ITJLSZO,O,O,O,O,O,O
ITJLSOZ,O,O,O,O,O,O
ITJLZSO,O,X,O,O,X,O
ITJLZOS,X,O,O,O,O,O
ITJLOSZ,O,O,O,O,O,O
ITJLOZS,X,O,O,O,O,X
ITJSLZO,O,O,O,O,O,O
ITJSLOZ,O,O,O,O,O,O
ITJSZLO,O,O,O,O,O,O
ITJSZOL,O,O,O,O,O,O
ITJSOLZ,O,O,O,O,O,O
ITJSOZL,O,O,O,O,O,O
ITJZLSO,O,X,O,O,X,O
ITJZLOS,X,O,O,O,O,O
ITJZSLO,O,O,O,O,O,O
ITJZSOL,O,O,O,O,O,O
ITJZOLS,X,O,X,O,O,O
ITJZOSL,X,O,O,O,O,O
ITJOLSZ,O,O,O,O,O,O
ITJOLZS,X,O,O,O,O,X
ITJOSLZ,O,O,O,O,O,O
ITJOSZL,O,O,O,O,O,O
ITJOZLS,X,O,X,O,O,O
ITJOZSL,X,O,O,O,O,O
ITSLJZO,O,O,O,X,X,O
ITSLJOZ,O,O,O,X,X,O
ITSLZJO,O,X,O,X,X,O
ITSLZOJ,O,O,O,X,X,O
ITSLOJZ,O,O,O,X,X,X
ITSLOZJ,O,O,O,X,X,X
ITSJLZO,O,O,O,X,O,O
ITSJLOZ,O,O,O,O,O,O
ITSJZLO,O,O,O,X,O,O
ITSJZOL,O,O,O,O,O,O
ITSJOLZ,O,O,O,O,O,O
ITSJOZL,O,O,O,O,O,O
ITSZLJO,O,X,O,X,X,O
ITSZLOJ,O,X,O,X,X,O
ITSZJLO,O,X,O,X,O,O
ITSZJOL,O,X,O,X,O,O
ITSZOLJ,O,X,X,X,O,O
ITSZOJL,O,X,X,X,O,O
ITSOLJZ,O,O,X,O,O,X
ITSOLZJ,O,O,X,O,O,X
ITSOJLZ,O,O,X,O,O,X
ITSOJZL,O,O,X,O,O,X
ITSOZLJ,O,X,X,X,O,X
ITSOZJL,O,X,X,X,O,X
ITZLJSO,X,X,X,X,X,X
ITZLJOS,X,X,X,X,X,X
ITZLSJO,X,X,X,X,X,X
ITZLSOJ,X,X,X,X,X,X
ITZLOJS,X,X,X,X,X,X
ITZLOSJ,X,X,X,X,X,X
ITZJLSO,X,X,O,X,X,O
ITZJLOS,X,X,X,X,X,O
ITZJSLO,X,X,O,X,X,O
ITZJSOL,X,X,O,X,X,O
ITZJOLS,X,X,X,X,X,O
ITZJOSL,X,X,O,X,X,O
ITZSLJO,X,X,O,X,X,O
ITZSLOJ,X,X,O,X,X,O
ITZSJLO,X,X,O,X,X,O
ITZSJOL,X,X,O,X,X,O
ITZSOLJ,X,X,X,X,X,O
ITZSOJL,X,X,X,X,X,O
ITZOLJS,X,X,X,X,X,X
ITZOLSJ,X,X,X,X,X,X
ITZOJLS,X,X,X,X,X,O
ITZOJSL,X,X,X,X,X,O
ITZOSLJ,X,X,X,X,X,O
ITZOSJL,X,X,X,X,X,O
ITOLJSZ,X,O,X,O,O,X
ITOLJZS,X,O,X,O,O,X
ITOLSJZ,X,X,X,O,O,X
ITOLSZJ,X,X,X,O,O,X
ITOLZJS,X,O,X,O,X,X
ITOLZSJ,X,O,X,O,X,X
ITOJLSZ,X,O,X,O,O,X
ITOJLZS,X,O,X,O,O,X
ITOJSLZ,X,O,X,O,O,X
ITOJSZL,X,O,X,O,O,X
ITOJZLS,X,O,X,O,O,X
ITOJZSL,X,O,X,O,O,X
ITOSLJZ,X,O,X,O,O,X
ITOSLZJ,X,O,X,O,O,X
ITOSJLZ,X,O,X,O,O,X
ITOSJZL,X,O,X,O,O,X
ITOSZLJ,X,X,X,X,O,X
ITOSZJL,X,X,X,X,O,X
ITOZLJS,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X
ITOZJLS,X,O,X,X,X,X
ITOZJSL,X,O,X,X,X,X
ITOZSLJ,X,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X
ILTJSZO,O,X,O,O,X,O
ILTJSOZ,O,O,O,O,O,O
ILTJZSO,O,X,O,O,X,O
ILTJZOS,X,O,O,O,O,X
ILTJOSZ,O,O,O,O,O,O
ILTJOZS,X,O,O,O,O,X
ILTSJZO,O,X,O,X,X,O
ILTSJOZ,O,X,O,X,X,O
ILTSZJO,O,X,O,X,X,O
ILTSZOJ,O,X,O,X,X,O
ILTSOJZ,O,X,O,X,X,X
ILTSOZJ,O,X,O,X,X,X
ILTZJSO,X,X,X,O,X,X
ILTZJOS,X,X,X,O,X,X
ILTZSJO,X,X,X,X,X,X
ILTZSOJ,X,O,X,X,X,X
ILTZOJS,X,O,X,O,X,X
ILTZOSJ,X,O,X,O,X,X
ILTOJSZ,X,O,O,O,O,X
ILTOJZS,X,O,O,O,O,X
ILTOSJZ,X,X,O,O,O,X
ILTOSZJ,X,X,O,O,O,X
ILTOZJS,X,O,X,O,X,X
ILTOZSJ,X,O,X,O,X,X
ILJTSZO,O,O,O,O,O,O
ILJTSOZ,O,O,O,O,O,O
ILJTZSO,O,X,O,O,X,O
ILJTZOS,X,O,O,O,O,O
ILJTOSZ,O,O,O,O,O,O
ILJTOZS,X,O,O,O,O,X
ILJSTZO,O,O,O,O,O,O
ILJSTOZ,O,O,O,O,O,O
ILJSZTO,O,O,O,O,O,O
ILJSZOT,O,O,O,O,O,O
ILJSOTZ,O,O,O,O,O,O
ILJSOZT,O,O,O,O,O,O
ILJZTSO,O,X,O,O,X,O
ILJZTOS,X,O,O,O,O,O
ILJZSTO,O,X,O,O,X,O
ILJZSOT,O,O,O,O,X,O
ILJZOTS,X,O,O,O,O,O
ILJZOST,X,O,O,O,O,O
ILJOTSZ,O,O,O,O,O,O
ILJOTZS,X,O,O,O,O,X
ILJOSTZ,O,O,O,O,O,O
ILJOSZT,O,O,O,O,O,O
ILJOZTS,X,O,O,O,O,X
ILJOZST,X,O,O,O,O,X
ILSTJZO,O,O,O,X,X,O
ILSTJOZ,O,O,O,X,X,O
ILSTZJO,O,X,O,X,X,O
ILSTZOJ,O,O,O,X,X,O
ILSTOJZ,O,O,O,X,X,X
ILSTOZJ,O,O,O,X,X,X
ILSJTZO,O,O,O,O,O,O
ILSJTOZ,O,O,O,O,O,O
ILSJZTO,O,O,O,O,O,O
ILSJZOT,O,O,O,O,O,O
ILSJOTZ,O,O,O,O,O,O
ILSJOZT,O,O,O,O,O,O
ILSZTJO,O,X,O,X,X,O
ILSZTOJ,O,O,O,X,X,O
ILSZJTO,O,O,O,O,O,O
ILSZJOT,O,O,O,O,O,O
ILSZOTJ,O,O,O,O,O,O
ILSZOJT,O,O,O,O,O,O
ILSOTJZ,O,O,O,O,O,X
ILSOTZJ,O,O,O,O,O,X
ILSOJTZ,O,O,O,O,O,O
ILSOJZT,O,O,O,O,O,O
ILSOZTJ,O,O,O,O,O,O
ILSOZJT,O,O,O,O,O,O
ILZTJSO,X,X,X,O,X,X
ILZTJOS,X,X,X,O,X,X
ILZTSJO,X,X,X,X,X,X
ILZTSOJ,X,O,X,X,X,X
ILZTOJS,X,O,X,O,X,X
ILZTOSJ,X,O,X,O,X,X
ILZJTSO,O,X,O,O,X,O
ILZJTOS,X,O,O,O,O,O
ILZJSTO,O,X,O,O,X,O
ILZJSOT,O,O,O,O,X,O
ILZJOTS,X,O,O,O,O,O
ILZJOST,X,O,O,O,O,O
ILZSTJO,O,X,O,X,X,O
ILZSTOJ,O,O,O,X,X,O
ILZSJTO,O,X,O,O,X,O
ILZSJOT,O,O,O,O,X,O
ILZSOTJ,O,O,O,O,X,O
ILZSOJT,O,O,O,O,X,O
ILZOTJS,X,O,X,O,X,X
ILZOTSJ,X,O,X,O,X,X
ILZOJTS,X,O,O,O,O,O
ILZOJST,X,O,O,O,O,O
ILZOSTJ,X,O,O,O,O,O
ILZOSJT,X,O,O,O,O,O
ILOTJSZ,X,O,O,O,O,X
ILOTJZS,X,O,O,O,O,X
ILOTSJZ,X,X,O,O,O,X
ILOTSZJ,X,X,O,O,O,X
ILOTZJS,X,O,X,O,X,X
ILOTZSJ,X,O,X,O,X,X
ILOJTSZ,O,O,O,O,O,O
ILOJTZS,X,O,O,O,O,X
ILOJSTZ,O,O,O,O,O,O
ILOJSZT,O,O,O,O,O,O
ILOJZTS,X,O,O,O,O,X
ILOJZST,X,O,O,O,O,X
ILOSTJZ,O,O,O,O,O,X
ILOSTZJ,O,O,O,O,O,X
ILOSJTZ,O,O,O,O,O,O
ILOSJZT,O,O,O,O,O,O
ILOSZTJ,O,O,O,O,O,O
ILOSZJT,O,O,O,O,O,O
ILOZTJS,X,O,X,O,X,X
ILOZTSJ,X,O,X,O,X,X
ILOZJTS,X,O,O,O,O,X
ILOZJST,X,O,O,O,O,X
ILOZSTJ,X,O,O,O,O,X
ILOZSJT,X,O,O,O,O,X
IJTLSZO,O,O,O,O,O,O
IJTLSOZ,O,O,O,O,O,O
IJTLZSO,O,X,O,O,X,O
IJTLZOS,X,O,O,O,O,O
IJTLOSZ,O,O,O,O,O,O
IJTLOZS,X,O,O,O,O,X
IJTSLZO,O,O,O,O,O,O
IJTSLOZ,O,O,O,O,O,O
IJTSZLO,O,O,O,O,O,O
IJTSZOL,O,O,O,O,O,O
IJTSOLZ,O,O,O,O,O,O
IJTSOZL,O,O,O,O,O,O
IJTZLSO,O,X,O,O,X,O
IJTZLOS,X,O,O,O,O,O
IJTZSLO,O,O,O,O,O,O
IJTZSOL,O,O,O,O,O,O
IJTZOLS,X,O,X,O,O,O
IJTZOSL,X,O,O,O,O,O
IJTOLSZ,O,O,O,O,O,O
IJTOLZS,X,O,O,O,O,X
IJTOSLZ,O,O,O,O,O,O
IJTOSZL,O,O,O,O,O,O
IJTOZLS,X,O,X,O,O,O
IJTOZSL,X,O,O,O,O,O
IJLTSZO,O,O,O,O,O,O
IJLTSOZ,O,O,O,O,O,O
IJLTZSO,O,X,O,O,X,O
IJLTZOS,X,O,O,O,O,O
IJLTOSZ,O,O,O,O,O,O
IJLTOZS,X,O,O,O,O,X
IJLSTZO,O,O,O,O,O,O
IJLSTOZ,O,O,O,O,O,O
IJLSZTO,O,O,O,O,O,O
IJLSZOT,O,O,O,O,O,O
IJLSOTZ,O,O,O,O,O,O
IJLSOZT,O,O,O,O,O,O
IJLZTSO,O,X,O,O,X,O
IJLZTOS,X,O,O,O,O,O
IJLZSTO,O,X,O,O,X,O
IJLZSOT,O,O,O,O,X,O
IJLZOTS,X,O,O,O,O,O
IJLZOST,X,O,O,O,O,O
IJLOTSZ,O,O,O,O,O,O
IJLOTZS,X,O,O,O,O,X
IJLOSTZ,O,O,O,O,O,O
IJLOSZT,O,O,O,O,O,O
IJLOZTS,X,O,O,O,O,X
IJLOZST,X,O,O,O,O,X
IJSTLZO,O,O,O,O,O,O
IJSTLOZ,O,O,O,O,O,O
IJSTZLO,O,O,O,O,O,O
IJSTZOL,O,O,O,O,O,O
IJSTOLZ,O,O,O,O,O,O
IJSTOZL,O,O,O,O,O,O
IJSLTZO,O,O,O,O,O,O
IJSLTOZ,O,O,O,O,O,O
IJSLZTO,O,O,O,O,O,O
IJSLZOT,O,O,O,O,O,O
IJSLOTZ,O,O,O,O,O,O
IJSLOZT,O,O,O,O,O,O
IJSZTLO,O,O,O,O,O,O
IJSZTOL,O,O,O,O,O,O
IJSZLTO,O,O,O,O,O,O
IJSZLOT,O,O,O,O,O,O
IJSZOTL,O,O,O,O,O,O
IJSZOLT,O,O,O,O,O,O
IJSOTLZ,O,O,O,O,O,O
IJSOTZL,O,O,O,O,O,O
IJSOLTZ,O,O,O,O,O,O
IJSOLZT,O,O,O,O,O,O
IJSOZTL,O,O,O,O,O,O
IJSOZLT,O,O,O,O,O,O
IJZTLSO,O,X,O,O,X,O
IJZTLOS,X,O,O,O,O,O
IJZTSLO,O,O,O,O,O,O
IJZTSOL,O,O,O,O,O,O
IJZTOLS,X,O,X,O,O,O
IJZTOSL,X,O,O,O,O,O
IJZLTSO,O,X,O,O,X,O
IJZLTOS,X,O,O,O,O,O
IJZLSTO,O,X,O,O,X,O
IJZLSOT,O,X,O,O,X,O
IJZLOTS,X,O,O,O,O,O
IJZLOST,X,O,O,O,O,O
IJZSTLO,O,O,O,O,O,O
IJZSTOL,O,O,O,O,O,O
IJZSLTO,O,O,O,O,O,O
IJZSLOT,O,O,O,O,O,O
IJZSOTL,O,O,O,O,O,O
IJZSOLT,O,O,O,O,O,O
IJZOTLS,X,O,X,O,O,O
IJZOTSL,X,O,O,O,O,O
IJZOLTS,X,O,X,O,O,O
IJZOLST,X,O,X,O,O,O
IJZOSTL,X,O,O,O,O,O
IJZOSLT,X,O,O,O,O,O
IJOTLSZ,O,O,O,O,O,O
IJOTLZS,X,O,O,O,O,X
IJOTSLZ,O,O,O,O,O,O
IJOTSZL,O,O,O,O,O,O
IJOTZLS,X,O,X,O,O,O
IJOTZSL,X,O,O,O,O,O
IJOLTSZ,O,O,O,O,O,O
IJOLTZS,X,O,O,O,O,X
IJOLSTZ,O,O,O,O,O,O
IJOLSZT,O,O,O,O,O,O
IJOLZTS,X,O,O,O,O,X
IJOLZST,X,O,O,O,O,X
IJOSTLZ,O,O,O,O,O,O
IJOSTZL,O,O,O,O,O,O
IJOSLTZ,O,O,O,O,O,O
IJOSLZT,O,O,O,O,O,O
IJOSZTL,O,O,O,O,O,O
IJOSZLT,O,O,O,O,O,O
IJOZTLS,X,O,X,O,O,O
IJOZTSL,X,O,O,O,O,O
IJOZLTS,X,O,X,O,O,O
IJOZLST,X,O,X,O,O,O
IJOZSTL,X,O,O,O,O,O
IJOZSLT,X,O,O,O,O,O
ISTLJZO,O,O,O,X,X,O
ISTLJOZ,O,O,O,X,X,O
ISTLZJO,O,X,O,X,X,O
ISTLZOJ,O,O,O,X,X,O
ISTLOJZ,O,O,O,X,X,X
ISTLOZJ,O,O,O,X,X,X
ISTJLZO,O,O,O,X,O,O
ISTJLOZ,O,O,O,O,O,O
ISTJZLO,O,O,O,X,O,O
ISTJZOL,O,O,O,O,O,O
ISTJOLZ,O,O,O,O,O,O
ISTJOZL,O,O,O,O,O,O
ISTZLJO,O,X,O,X,X,O
ISTZLOJ,O,X,O,X,X,O
ISTZJLO,O,X,O,X,O,O
ISTZJOL,O,X,O,X,O,O
ISTZOLJ,O,X,X,X,O,O
ISTZOJL,O,X,X,X,O,O
ISTOLJZ,O,O,X,O,O,X
ISTOLZJ,O,O,X,O,O,X
ISTOJLZ,O,O,X,O,O,X
ISTOJZL,O,O,X,O,O,X
ISTOZLJ,O,X,X,X,O,X
ISTOZJL,O,X,X,X,O,X
ISLTJZO,O,O,O,X,X,O
ISLTJOZ,O,O,O,X,X,O
ISLTZJO,O,X,O,X,X,O
ISLTZOJ,O,O,O,X,X,O
ISLTOJZ,O,O,O,X,X,X
ISLTOZJ,O,O,O,X,X,X
ISLJTZO,O,O,O,O,O,O
ISLJTOZ,O,O,O,O,O,O
ISLJZTO,O,O,O,O,O,O
ISLJZOT,O,O,O,O,O,O
ISLJOTZ,O,O,O,O,O,O
ISLJOZT,O,O,O,O,O,O
ISLZTJO,O,X,O,X,X,O
ISLZTOJ,O,O,O,X,X,O
ISLZJTO,O,O,O,O,O,O
ISLZJOT,O,O,O,O,O,O
ISLZOTJ,O,O,O,O,O,O
ISLZOJT,O,O,O,O,O,O
ISLOTJZ,O,O,O,O,O,X
ISLOTZJ,O,O,O,O,O,X
ISLOJTZ,O,O,O,O,O,O
ISLOJZT,O,O,O,O,O,O
ISLOZTJ,O,O,O,O,O,O
ISLOZJT,O,O,O,O,O,O
ISJTLZO,O,O,O,O,O,O
ISJTLOZ,O,O,O,O,O,O
ISJTZLO,O,O,O,O,O,O
ISJTZOL,O,O,O,O,O,O
ISJTOLZ,O,O,O,O,O,O
ISJTOZL,O,O,O,O,O,O
ISJLTZO,O,O,O,O,O,O
ISJLTOZ,O,O,O,O,O,O
ISJLZTO,O,O,O,O,O,O
ISJLZOT,O,O,O,O,O,O
ISJLOTZ,O,O,O,O,O,O
ISJLOZT,O,O,O,O,O,O
ISJZTLO,O,O,O,O,O,O
ISJZTOL,O,O,O,O,O,O
ISJZLTO,O,O,O,O,O,O
ISJZLOT,O,O,O,O,O,O
ISJZOTL,O,O,O,O,O,O
ISJZOLT,O,O,O,O,O,O
ISJOTLZ,O,O,O,O,O,O
ISJOTZL,O,O,O,O,O,O
ISJOLTZ,O,O,O,O,O,O
ISJOLZT,O,O,O,O,O,O
ISJOZTL,O,O,O,O,O,O
ISJOZLT,O,O,O,O,O,O
ISZTLJO,O,X,O,X,X,O
ISZTLOJ,O,X,O,X,X,O
ISZTJLO,O,X,O,X,O,O
ISZTJOL,O,X,O,X,O,O
ISZTOLJ,O,X,X,X,O,O
ISZTOJL,O,X,X,X,O,O
ISZLTJO,O,X,O,X,X,O
ISZLTOJ,O,O,O,X,X,O
ISZLJTO,O,O,O,X,O,O
ISZLJOT,O,O,O,X,O,O
ISZLOTJ,O,O,O,X,O,O
ISZLOJT,O,O,O,X,O,O
ISZJTLO,O,O,O,X,O,O
ISZJTOL,O,O,O,O,O,O
ISZJLTO,O,O,O,X,O,O
ISZJLOT,O,O,O,X,O,O
ISZJOTL,O,O,O,O,O,O
ISZJOLT,O,O,O,O,O,O
ISZOTLJ,O,X,X,X,O,O
ISZOTJL,O,X,X,X,O,O
ISZOLTJ,O,O,O,O,O,O
ISZOLJT,O,O,O,O,O,O
ISZOJTL,O,O,O,O,O,O
ISZOJLT,O,O,O,O,O,O
ISOTLJZ,O,O,X,O,O,X
ISOTLZJ,O,O,X,O,O,X
ISOTJLZ,O,O,X,O,O,X
ISOTJZL,O,O,X,O,O,X
ISOTZLJ,O,X,X,X,O,X
ISOTZJL,O,X,X,X,O,X
ISOLTJZ,O,O,O,O,O,X
ISOLTZJ,O,O,O,O,O,X
ISOLJTZ,O,O,O,O,O,O
ISOLJZT,O,O,O,O,O,O
ISOLZTJ,O,O,O,O,O,O
ISOLZJT,O,O,O,O,O,O
ISOJTLZ,O,O,O,O,O,O
ISOJTZL,O,O,O,O,O,O
ISOJLTZ,O,O,O,O,O,O
ISOJLZT,O,O,O,O,O,O
ISOJZTL,O,O,O,O,O,O
ISOJZLT,O,O,O,O,O,O
ISOZTLJ,O,X,X,X,O,O
ISOZTJL,O,X,X,X,O,O
ISOZLTJ,O,O,O,O,O,O
ISOZLJT,O,O,O,O,O,O
ISOZJTL,O,O,O,O,O,O
ISOZJLT,O,O,O,O,O,O
IZTLJSO,X,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X
IZTLSJO,X,X,X,X,X,X
IZTLSOJ,X,X,X,X,X,X
IZTLOJS,X,X,X,X,X,X
IZTLOSJ,X,X,X,X,X,X
IZTJLSO,X,X,O,X,X,O
IZTJLOS,X,X,X,X,X,O
IZTJSLO,X,X,O,X,X,O
IZTJSOL,X,X,O,X,X,O
IZTJOLS,X,X,X,X,X,O
IZTJOSL,X,X,O,X,X,O
IZTSLJO,X,X,O,X,X,O
IZTSLOJ,X,X,O,X,X,O
IZTSJLO,X,X,O,X,X,O
IZTSJOL,X,X,O,X,X,O
IZTSOLJ,X,X,X,X,X,O
IZTSOJL,X,X,X,X,X,O
IZTOLJS,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,X
IZTOJLS,X,X,X,X,X,O
IZTOJSL,X,X,X,X,X,O
IZTOSLJ,X,X,X,X,X,O
IZTOSJL,X,X,X,X,X,O
IZLTJSO,X,X,X,O,X,X
IZLTJOS,X,X,X,O,X,X
IZLTSJO,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X
IZLTOJS,X,O,X,O,X,X
IZLTOSJ,X,O,X,O,X,X
IZLJTSO,O,X,O,O,X,O
IZLJTOS,X,O,O,O,O,O
IZLJSTO,O,X,O,O,X,O
IZLJSOT,O,O,O,O,X,O
IZLJOTS,X,O,O,O,O,O
IZLJOST,X,O,O,O,O,O
IZLSTJO,O,X,O,X,X,O
IZLSTOJ,O,O,O,X,X,O
IZLSJTO,O,X,O,O,X,O
IZLSJOT,O,O,O,O,X,O
IZLSOTJ,O,O,O,O,X,O
IZLSOJT,O,O,O,O,X,O
IZLOTJS,X,O,X,O,X,X
IZLOTSJ,X,O,X,O,X,X
IZLOJTS,X,O,O,O,O,O
IZLOJST,X,O,O,O,O,O
IZLOSTJ,X,O,O,O,O,O
IZLOSJT,X,O,O,O,O,O
IZJTLSO,O,X,O,O,X,O
IZJTLOS,X,O,O,O,O,O
IZJTSLO,O,O,O,O,O,O
IZJTSOL,O,O,O,O,O,O
IZJTOLS,X,O,X,O,O,O
IZJTOSL,X,O,O,O,O,O
IZJLTSO,O,X,O,O,X,O
IZJLTOS,X,O,O,O,O,O
IZJLSTO,O,X,O,O,X,O
IZJLSOT,O,X,O,O,X,O
IZJLOTS,X,O,O,O,O,O
IZJLOST,X,O,O,O,O,O
IZJSTLO,O,O,O,O,O,O
