sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TLIOSZJ,X,X,O,O,O,X
TLIOZJS,X,O,X,O,X,X
TLIOZSJ,X,O,X,O,X,X
TLJISZO,O,X,O,O,X,O
TLJISOZ,O,O,O,O,O,O
TLJIZSO,O,X,O,O,X,O
TLJIZOS,X,O,O,O,O,X
TLJIOSZ,O,O,O,O,O,O
TLJIOZS,X,O,O,O,O,X
TLJSIZO,O,X,O,X,X,O
TLJSIOZ,O,X,O,X,X,O
TLJSZIO,O,X,O,X,X,O
TLJSZOI,O,X,O,X,X,O
TLJSOIZ,O,X,O,X,X,X
TLJSOZI,O,X,O,X,X,X
TLJZISO,X,X,X,O,X,X
TLJZIOS,X,X,X,O,X,X
TLJZSIO,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X
TLJZOSI,X,X,X,O,X,X
TLJOISZ,X,O,O,O,O,X
TLJOIZS,X,O,O,O,O,X
TLJOSIZ,X,X,O,O,O,X
TLJOSZI,X,X,O,O,O,X
TLJOZIS,X,O,X,O,X,X
TLJOZSI,X,O,X,O,X,X
TLSIJZO,O,X,O,X,X,O
TLSIJOZ,O,X,O,X,X,O
TLSIZJO,O,X,O,X,X,O
TLSIZOJ,O,X,O,X,X,O
TLSIOJZ,O,X,O,X,X,X
TLSIOZJ,O,X,O,X,X,X
TLSJIZO,O,X,O,X,X,O
TLSJIOZ,O,X,O,X,X,O
TLSJZIO,O,X,O,X,X,O
TLSJZOI,O,X,O,X,X,O
TLSJOIZ,O,X,O,X,X,X
TLSJOZI,O,X,O,X,X,X
TLSZIJO,O,X,O,X,X,O
TLSZIOJ,O,X,O,X,X,O
TLSZJIO,O,X,O,X,X,O
TLSZJOI,O,X,O,X,X,O
TLSZOIJ,O,X,O,X,X,O
TLSZOJI,O,X,O,X,X,O
TLSOIJZ,O,X,O,X,X,X
TLSOIZJ,O,X,O,X,X,X
TLSOJIZ,O,X,O,X,X,X
TLSOJZI,O,X,O,X,X,X
TLSOZIJ,O,X,O,X,X,X
TLSOZJI,O,X,O,X,X,X
TLZIJSO,X,X,X,O,X,X
TLZIJOS,X,X,X,O,X,X
TLZISJO,X,X,X,X,X,X
TLZISOJ,X,O,X,X,X,X
TLZIOJS,X,O,X,O,X,X
TLZIOSJ,X,O,X,O,X,X
TLZJISO,X,X,X,O,X,X
TLZJIOS,X,X,X,O,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,X,X,O,X,X
TLZJOSI,X,X,X,O,X,X
TLZSIJO,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X
TLZSJIO,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X
TLZSOIJ,X,O,X,X,X,X
TLZSOJI,X,O,X,X,X,X
TLZOIJS,X,O,X,O,X,X
TLZOISJ,X,O,X,O,X,X
TLZOJIS,X,O,X,O,X,X
TLZOJSI,X,O,X,O,X,X
TLZOSIJ,X,O,X,O,X,X
TLZOSJI,X,O,X,O,X,X
TLOIJSZ,X,O,O,O,O,X
TLOIJZS,X,O,O,O,O,X
TLOISJZ,X,X,O,O,O,X
TLOISZJ,X,X,O,O,O,X
TLOIZJS,X,O,X,O,X,X
TLOIZSJ,X,O,X,O,X,X
TLOJISZ,X,O,O,O,O,X
TLOJIZS,X,O,O,O,O,X
TLOJSIZ,X,X,O,O,O,X
TLOJSZI,X,X,O,O,O,X
TLOJZIS,X,O,X,O,X,X
TLOJZSI,X,O,X,O,X,X
TLOSIJZ,X,X,O,O,O,X
TLOSIZJ,X,X,O,O,O,X
TLOSJIZ,X,X,O,O,O,X
TLOSJZI,X,X,O,O,O,X
TLOSZIJ,X,X,O,O,O,X
TLOSZJI,X,X,O,O,O,X
TLOZIJS,X,O,X,O,X,X
TLOZISJ,X,O,X,O,X,X
TLOZJIS,X,O,X,O,X,X
TLOZJSI,X,O,X,O,X,X
TLOZSIJ,X,O,X,O,X,X
TLOZSJI,X,O,X,O,X,X
TJILSZO,O,O,O,O,O,O
TJILSOZ,O,O,O,O,O,O
TJILZSO,O,X,O,O,X,O
TJILZOS,X,O,O,O,O,O
TJILOSZ,O,O,O,O,O,O
TJILOZS,X,O,O,O,O,X
TJISLZO,O,O,O,O,O,O
TJISLOZ,O,O,O,O,O,O
TJISZLO,O,O,O,O,O,O
TJISZOL,O,O,O,O,O,O
TJISOLZ,O,O,O,O,O,O
TJISOZL,O,O,O,O,O,O
TJIZLSO,O,X,O,O,X,O
TJIZLOS,X,O,O,O,O,O
TJIZSLO,O,O,O,O,O,O
TJIZSOL,O,O,O,O,O,O
TJIZOLS,X,O,X,O,O,O
TJIZOSL,X,O,O,O,O,O
TJIOLSZ,O,O,O,O,O,O
TJIOLZS,X,O,O,O,O,X
TJIOSLZ,O,O,O,O,O,O
TJIOSZL,O,O,O,O,O,O
TJIOZLS,X,O,X,O,O,O
TJIOZSL,X,O,O,O,O,O
TJLISZO,O,X,O,O,X,O
TJLISOZ,O,O,O,O,O,O
TJLIZSO,O,X,O,O,X,O
TJLIZOS,X,O,O,O,O,X
TJLIOSZ,O,O,O,O,O,O
TJLIOZS,X,O,O,O,O,X
TJLSIZO,O,X,O,X,X,O
TJLSIOZ,O,X,O,X,X,O
TJLSZIO,O,X,O,X,X,O
TJLSZOI,O,X,O,X,X,O
TJLSOIZ,O,X,O,X,X,X
TJLSOZI,O,X,O,X,X,X
TJLZISO,X,X,X,O,X,X
TJLZIOS,X,X,X,O,X,X
TJLZSIO,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,O,X,X
TJLZOSI,X,X,X,O,X,X
TJLOISZ,X,O,O,O,O,X
TJLOIZS,X,O,O,O,O,X
TJLOSIZ,X,X,O,O,O,X
TJLOSZI,X,X,O,O,O,X
TJLOZIS,X,O,X,O,X,X
TJLOZSI,X,O,X,O,X,X
TJSILZO,O,O,O,X,O,O
TJSILOZ,O,O,O,O,O,O
TJSIZLO,O,O,O,X,O,O
TJSIZOL,O,O,O,O,O,O
TJSIOLZ,O,O,O,O,O,O
TJSIOZL,O,O,O,O,O,O
TJSLIZO,O,O,O,X,X,O
TJSLIOZ,O,O,O,X,X,O
TJSLZIO,O,X,O,X,X,O
TJSLZOI,O,X,O,X,X,O
TJSLOIZ,O,O,O,X,X,X
TJSLOZI,O,O,O,X,X,X
TJSZILO,O,X,O,X,O,O
TJSZIOL,O,X,O,X,O,O
TJSZLIO,O,X,O,X,X,O
TJSZLOI,O,X,O,X,X,O
TJSZOIL,O,X,X,X,O,O
TJSZOLI,O,X,X,X,O,O
TJSOILZ,O,O,X,O,O,X
TJSOIZL,O,O,X,O,O,X
TJSOLIZ,O,O,X,O,O,X
TJSOLZI,O,O,X,O,O,X
TJSOZIL,O,X,X,X,O,X
TJSOZLI,O,X,X,X,O,X
TJZILSO,X,X,O,O,X,O
TJZILOS,X,X,X,O,X,O
TJZISLO,X,X,O,O,X,O
TJZISOL,X,X,O,X,X,O
TJZIOLS,X,X,X,O,X,O
TJZIOSL,X,X,O,X,X,O
TJZLISO,X,X,X,O,X,X
TJZLIOS,X,X,X,O,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,O,X,X
TJZLOSI,X,X,X,O,X,X
TJZSILO,X,X,O,X,X,O
TJZSIOL,X,X,O,X,X,O
TJZSLIO,X,X,O,X,X,O
TJZSLOI,X,X,O,X,X,O
TJZSOIL,X,X,X,X,X,O
TJZSOLI,X,X,X,X,X,O
TJZOILS,X,X,X,X,X,O
TJZOISL,X,X,X,X,X,O
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,O
TJZOSLI,X,X,X,X,X,O
