sequence,v115@FhB8IeA8AeA8BeB8CeA8AeI8Je2MJvhEflB0iBThB6?lBJkB
TSLOZJI,X
TSJILZO,O
TSJILOZ,O
TSJIZLO,O
TSJIZOL,O
TSJIOLZ,O
TSJIOZL,O
TSJLIZO,O
TSJLIOZ,O
TSJLZIO,O
TSJLZOI,O
TSJLOIZ,O
TSJLOZI,O
TSJZILO,O
TSJZIOL,O
TSJZLIO,O
TSJZLOI,O
TSJZOIL,O
TSJZOLI,O
TSJOILZ,O
TSJOIZL,O
TSJOLIZ,O
TSJOLZI,O
TSJOZIL,O
TSJOZLI,O
TSZILJO,X
TSZILOJ,X
TSZIJLO,X
TSZIJOL,X
TSZIOLJ,X
TSZIOJL,X
TSZLIJO,X
TSZLIOJ,X
TSZLJIO,X
TSZLJOI,X
TSZLOIJ,X
TSZLOJI,X
TSZJILO,X
TSZJIOL,X
TSZJLIO,X
TSZJLOI,X
TSZJOIL,X
TSZJOLI,X
TSZOILJ,X
TSZOIJL,X
TSZOLIJ,X
TSZOLJI,X
TSZOJIL,X
TSZOJLI,X
TSOILJZ,O
TSOILZJ,X
TSOIJLZ,O
TSOIJZL,O
TSOIZLJ,X
TSOIZJL,X
TSOLIJZ,O
TSOLIZJ,X
TSOLJIZ,O
TSOLJZI,O
TSOLZIJ,X
TSOLZJI,X
TSOJILZ,O
TSOJIZL,O
TSOJLIZ,O
TSOJLZI,O
TSOJZIL,O
TSOJZLI,O
TSOZILJ,X
TSOZIJL,X
TSOZLIJ,X
TSOZLJI,X
TSOZJIL,X
TSOZJLI,X
TZILJSO,X
TZILJOS,X
TZILSJO,X
TZILSOJ,X
TZILOJS,X
TZILOSJ,X
TZIJLSO,X
TZIJLOS,X
TZIJSLO,X
TZIJSOL,X
TZIJOLS,X
TZIJOSL,X
TZISLJO,X
TZISLOJ,X
TZISJLO,X
TZISJOL,X
TZISOLJ,X
TZISOJL,X
TZIOLJS,X
TZIOLSJ,X
TZIOJLS,X
TZIOJSL,X
TZIOSLJ,X
TZIOSJL,X
TZLIJSO,X
TZLIJOS,X
TZLISJO,X
TZLISOJ,X
TZLIOJS,X
TZLIOSJ,X
TZLJISO,X
TZLJIOS,X
TZLJSIO,X
TZLJSOI,X
TZLJOIS,X
TZLJOSI,X
TZLSIJO,X
TZLSIOJ,X
TZLSJIO,X
TZLSJOI,X
TZLSOIJ,X
TZLSOJI,X
TZLOIJS,X
TZLOISJ,X
TZLOJIS,X
TZLOJSI,X
TZLOSIJ,X
TZLOSJI,X
TZJILSO,X
TZJILOS,X
