sequence,v115@HhD8FeC8GeD8AeB8BeA8JexGJvhCToBFrB0sB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCCnBToB0sB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCWsBxnBXtB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCqsBToBFrB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCRnBctBGsB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCCoBFrBXtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBCoBXtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBusBctB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCCnBxsBXtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBWtBXtB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCFrBCtBFtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBFtBCtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCzmBCtBFtB,v115@HhD8FeC8GeD8AeB8BeA8JemGJvhCFrBFtBCtB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCWsBctBlsB,v115@HhD8FeC8GeD8AeB8BeA8JedLJvhCWsBToB0sB,v115@HhD8FeC8GeD8AeB8BeA8JeGIJvhCRrBzsBirB
TTILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILSJZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTILSJOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTILSZJO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTILSZOJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTILSOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTILSOZJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TTILZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILZJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILZSOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILZOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILOJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILOSJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILOZJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TTIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
