sequence,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhEZhBCdB?zfBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEuhBciB?zfBamBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhETbBZhB?uhBciBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhEZhBuhB?ciBXgBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhETbBxcB?OmBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhEZhBGdB?XgBzhBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBZhB?CdBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBZhB?qhBTiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhETdBXgB?OmB0hBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBZhB?SiBzhBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeWAJvhEZhBSiB?XgBzhBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeWCJvhERgBzfB?amBXiBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhEciBxgB?3hBmlBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEfiBzfB?UhB6nBmrB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEFdBzfB?imBGmBcsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhEZhBzfB?UnBCnBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeR7IvhEzfBFhB?3mB+nBasB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhExcBzfB?KmBUnBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeG7IvhEzfB/mB?FiBimBcsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhEciBXgB?ThBxrBmrB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeOBJvhETdBFgB?xrBfsBCqB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeC7IvhElcBXgB?2mBxrBcsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeu/IvhEcgBimB?/mBTnBFsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8Jeq/IvhETbBZhB?FiBfsBGsB,v115@zgA8GeC8GeC8BeA8CeG8DeH8AeC8JeWAJvhExhBXgB?lmBimBcsB
TILJSZO,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILJSOZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSZJO,O,O,O,O,X,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILSOJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSOZJ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZJSO,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,O,O,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOZJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJLSOZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLZSO,X,X,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIJSLOZ,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TIJSZOL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O
TIJSOLZ,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSOZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJZLSO,X,X,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZSOL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJZOLS,X,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOSZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIJOZLS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISLJOZ,O,X,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISLZJO,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISLOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISLOZJ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISJLZO,O,X,X,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TISJLOZ,O,X,X,X,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,O,X,X,O,X
TISJZLO,O,X,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O
TISJZOL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,O
TISJOLZ,O,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOZL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TISZLJO,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISZJLO,O,X,O,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZOLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISZOJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOLJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISOLZJ,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TISOJLZ,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOJZL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISOZLJ,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOZJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLJSO,X,O,O,O,X,X,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,O,O,X,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJSOL,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O
TIZJOLS,X,O,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
