sequence,v115@9gD8DeF8CeG8BeH8CeC8JeqLJvhFdiBsdBpUBzVBOV?B3TB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBlmB2wB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBFiBqrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhB0rBirB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBTrBmrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBNrBzrB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhB3mB2wB,v115@9gD8DeF8CeG8BeH8CeC8JexBJvhBimB1wB,v115@9gD8DeF8CeG8BeH8CeC8JeNLJvhB6rBOsB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBurBFsB,v115@9gD8DeF8CeG8BeH8CeC8JeXCJvhB0rBOrB,v115@9gD8DeF8CeG8BeH8CeC8JeZGJvhBtmBXsB,v115@9gD8DeF8CeG8BeH8CeC8JeOGJvhBXiB1wB,v115@9gD8DeF8CeG8BeH8CeC8JelGJvhBOrBXsB,v115@9gD8DeF8CeG8BeH8CeC8Je0BJvhBNrBXsB,v115@9gD8DeF8CeG8BeH8CeC8Je2GJvhBcrBXsB,v115@9gD8DeF8CeG8BeH8CeC8JeXCJvhBNrB0rB,v115@9gD8DeF8CeG8BeH8CeC8Je2GJvhBTrBFsB,v115@9gD8DeF8CeG8BeH8CeC8Je/GJvhBFiB2wB,v115@9gD8DeF8CeG8BeH8CeC8Jeq4IvhF9ZBZQBzVB0rBXn?BOrB,v115@9gD8DeF8CeG8BeH8CeC8Jeq4IvhF9ZBZQBzVB2mBMr?BXsB
comments,mL's 5-4 upstack,,,,,,,,,,,,,,,,,,,factory recovery,factory recovery
TILJSZO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILJSOZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILJZSO,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TILJZOS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TILJOSZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILJOZS,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TILSJZO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILSJOZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILSZJO,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TILSZOJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TILSOJZ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O
TILSOZJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
TILZJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TILZJOS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TILZSJO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZSOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TILZOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOJSZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOJZS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TILOSJZ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILOSZJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOZJS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O
TILOZSJ,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLSZO,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLSOZ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLZSO,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TIJLZOS,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TIJLOSZ,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TIJLOZS,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,O,O
TIJSLZO,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O
TIJSLOZ,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O
TIJSZLO,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O
TIJSZOL,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O
TIJSOLZ,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O
TIJSOZL,O,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O
TIJZLSO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJZLOS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJZSLO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJZSOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJZOLS,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJZOSL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
TIJOLSZ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJOLZS,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O
