sequence,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUByQB+GB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8Je3BJvhEMWBzYB?pUB2QBqGB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?iWBMPBvSB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhFJRBtWB?3XBSeBMUB+LB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?aZBGYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhF3WBMLB?eZBSYBpUBFRB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhEvWBJGB?0XB+ZBqNB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SBKLB,v115@pgB8HeB8HeD8CeG8CeI8AeI8AeC8JeTBJvhERcB+ZB?MWB3SByQB
comments,L_tetramino J_tetramino hamburger,J_tetramino L_tetramino hamburger,reliable,gamu (try to hold J_tetramino),sdpc,sdpc,mr tspins std,castletop tki,fonzie tki
TILJSZO,O,X,X,O,O,X,X,X,X
TILJSOZ,O,X,X,O,X,X,X,X,X
TILJZSO,O,X,X,O,O,X,X,X,X
TILJZOS,O,X,X,O,X,X,X,X,X
TILJOSZ,O,X,X,O,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,X,X,X
TILSJZO,O,X,X,O,O,X,X,X,X
TILSJOZ,O,X,X,O,X,X,X,X,X
TILSZJO,O,X,X,O,O,X,X,X,X
TILSZOJ,O,X,X,O,O,X,X,X,X
TILSOJZ,O,X,X,O,O,X,X,X,X
TILSOZJ,O,X,X,O,O,X,X,X,X
TILZJSO,O,X,X,O,O,X,X,X,X
TILZJOS,O,X,X,O,X,X,X,X,X
TILZSJO,O,X,X,O,O,X,X,X,X
TILZSOJ,O,X,X,O,O,X,X,X,X
TILZOJS,O,X,X,O,O,X,X,X,X
TILZOSJ,O,X,X,O,O,X,X,X,X
TILOJSZ,O,X,X,O,O,X,X,X,X
TILOJZS,O,X,X,O,O,X,X,X,X
TILOSJZ,O,X,X,O,O,X,X,X,X
TILOSZJ,O,X,X,O,O,X,X,X,X
TILOZJS,O,X,X,O,O,X,X,X,X
TILOZSJ,O,X,X,O,O,X,X,X,X
TIJLSZO,X,O,X,O,O,O,X,X,X
TIJLSOZ,X,O,X,O,X,X,X,X,X
TIJLZSO,X,O,X,O,O,O,X,X,X
TIJLZOS,X,O,X,O,X,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X,X,X
TIJLOZS,X,O,X,O,X,X,X,X,X
TIJSLZO,X,O,X,O,O,O,X,X,X
TIJSLOZ,X,O,X,O,X,X,X,X,X
TIJSZLO,X,O,X,X,O,O,X,X,X
TIJSZOL,X,O,X,X,X,O,X,X,X
TIJSOLZ,X,O,X,O,X,O,X,X,X
TIJSOZL,X,O,X,O,X,O,O,X,X
TIJZLSO,X,O,X,O,O,O,X,X,X
TIJZLOS,X,O,X,O,X,X,X,X,X
TIJZSLO,X,O,X,X,O,O,X,X,X
TIJZSOL,X,O,X,X,X,O,X,X,X
TIJZOLS,X,O,X,O,X,O,X,X,X
TIJZOSL,X,O,X,O,X,O,X,X,X
TIJOLSZ,X,O,X,O,X,O,X,X,X
TIJOLZS,X,O,X,O,X,O,X,X,X
TIJOSLZ,X,O,X,O,X,O,X,X,X
TIJOSZL,X,O,X,O,X,O,O,X,X
TIJOZLS,X,O,X,O,X,O,O,X,X
TIJOZSL,X,O,X,O,X,O,O,X,X
TISLJZO,O,X,X,O,O,X,X,X,X
TISLJOZ,O,X,X,O,X,X,X,X,X
TISLZJO,O,X,X,O,O,X,X,X,X
TISLZOJ,O,X,X,O,O,X,X,X,X
TISLOJZ,O,X,X,O,O,X,X,X,X
TISLOZJ,O,X,X,O,O,X,X,X,X
TISJLZO,X,O,X,O,O,O,X,X,X
TISJLOZ,X,O,X,O,X,X,X,X,X
TISJZLO,X,O,X,X,O,O,X,X,X
TISJZOL,X,O,X,X,X,O,X,X,X
TISJOLZ,X,O,X,O,X,O,X,X,X
TISJOZL,X,O,X,O,X,O,O,X,X
TISZLJO,O,X,X,X,O,X,X,X,X
TISZLOJ,O,X,X,X,O,X,X,X,X
TISZJLO,X,O,X,X,O,O,X,X,X
TISZJOL,X,O,X,X,X,O,X,X,X
TISZOLJ,O,X,X,X,O,X,X,X,X
TISZOJL,X,O,X,X,O,O,X,X,X
TISOLJZ,O,X,X,O,O,X,X,X,X
TISOLZJ,O,X,X,O,O,X,X,X,X
TISOJLZ,X,O,X,O,O,O,X,X,X
TISOJZL,X,O,X,O,O,O,O,X,X
TISOZLJ,O,X,X,O,O,X,O,X,X
TISOZJL,X,O,X,O,O,O,O,X,X
TIZLJSO,O,X,X,O,O,X,X,X,X
TIZLJOS,O,X,X,O,X,X,X,X,X
TIZLSJO,O,X,X,O,O,X,X,X,X
TIZLSOJ,O,X,X,O,O,X,X,X,X
TIZLOJS,O,X,X,O,O,X,X,X,X
TIZLOSJ,O,X,X,O,O,X,X,X,X
TIZJLSO,X,O,X,O,O,O,X,X,X
TIZJLOS,X,O,X,O,X,X,X,X,X
TIZJSLO,X,O,X,X,O,O,X,X,X
TIZJSOL,X,O,X,X,X,O,X,X,X
TIZJOLS,X,O,X,O,X,O,X,X,X
TIZJOSL,X,O,X,O,X,O,X,X,X
TIZSLJO,O,X,X,X,O,X,X,X,X
TIZSLOJ,O,X,X,X,O,X,X,X,X
TIZSJLO,X,O,X,X,O,O,X,X,X
TIZSJOL,X,O,X,X,X,O,X,X,X
TIZSOLJ,O,X,X,X,O,X,X,X,X
TIZSOJL,X,O,X,X,O,O,X,X,X
TIZOLJS,O,X,X,O,O,X,X,X,X
TIZOLSJ,O,X,X,O,O,X,X,X,X
TIZOJLS,X,O,X,O,O,O,X,X,X
TIZOJSL,X,O,X,O,O,O,X,X,X
TIZOSLJ,O,X,X,O,O,X,X,X,X
TIZOSJL,X,O,X,O,O,O,X,X,X
TIOLJSZ,O,X,X,O,O,X,X,X,X
TIOLJZS,O,X,X,O,O,X,X,X,X
TIOLSJZ,O,X,X,O,O,X,X,X,X
TIOLSZJ,O,X,X,O,O,X,X,X,X
TIOLZJS,O,X,X,O,O,X,X,X,X
TIOLZSJ,O,X,X,O,O,X,X,X,X
TIOJLSZ,X,O,X,O,O,O,X,X,X
TIOJLZS,X,O,X,O,O,O,X,X,X
TIOJSLZ,X,O,X,O,O,O,X,X,X
TIOJSZL,X,O,X,O,O,O,O,X,X
TIOJZLS,X,O,X,O,O,O,O,X,X
TIOJZSL,X,O,X,O,O,O,O,X,X
TIOSLJZ,O,X,X,O,O,X,X,X,X
TIOSLZJ,O,X,X,O,O,X,X,X,X
TIOSJLZ,X,O,X,O,O,O,X,X,X
TIOSJZL,X,O,X,O,O,O,O,X,X
TIOSZLJ,O,X,X,O,O,X,O,X,X
TIOSZJL,X,O,X,O,O,O,O,X,X
TIOZLJS,O,X,X,O,O,X,O,X,X
TIOZLSJ,O,X,X,O,O,X,O,X,X
TIOZJLS,X,O,X,O,O,O,O,X,X
TIOZJSL,X,O,X,O,O,O,O,X,X
