sequence,v115@8gA8IeC8GeC8GeC8BeF8JezHJvhEpPBenBscBvqBKa?B,v115@8gA8IeC8GeC8GeC8BeF8JesKJvhEugBPgBJVBTnBao?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjBTnBCiBWd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjB+nBzhBSd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcB2sBziBid?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcBysBTiBmd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBTU?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBzQ?B,v115@8gA8IeC8GeC8GeC8BeF8JexLJvhEmnBSmBsaBPdBzd?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEmVBUmBPnBJjB6n?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBpS?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBJZ?B
comments,J_tetramino>Z_tetramino,Z_tetramino>J_tetramino,STSD - O_tetramino>L_tetramino>J_tetramino,STSD - J_tetramino>O_tetramino>L_tetramino,STSD - Z_tetramino>I_tetramino - J_tetramino>O_tetramino>L_tetramino,STSD - Z_tetramino>I_tetramino - L_tetramino>O_tetramino>J_tetramino,STSD,STSD,STSD,STSD (fill in wall w/ next bag),STSD,STSD (fill in wall w/ next bag)
TILJSZO,O,X,X,X,X,X,X,X,O,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,O,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,O,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,O,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,O,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,O,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,O,X,X,X
TILSZJO,X,O,X,X,X,X,X,X,O,X,X,X
TILSZOJ,X,O,X,X,X,X,X,X,X,O,X,X
TILSOJZ,O,X,X,X,X,X,X,X,X,O,X,X
