sequence,v115@VhC8FeD8BeA8JeRGJvhEKpBMtBusBvfBrVB,v115@VhC8FeD8BeA8Je01IvhE/fBKpBRmBGoBzsB,v115@VhC8FeD8BeA8JeXNJvhDCqBZkBUhBzcB,v115@VhC8FeD8BeA8Je5AJvhEmfB3hBTkBctByuB,v115@VhC8FeD8BeA8Je5AJvhEifB3hBzkBctB2uB,v115@VhC8FeD8BeA8JeSAJvhEZkB3hBGlBctBzpB,v115@VhC8FeD8BeA8JeZ6IvhEzfB3hBSqBctB2uB,v115@VhC8FeD8BeA8JemJJvhFykBpgB3hBMtBlnBTpB,v115@VhC8FeD8BeA8JeiJJvhF2kBpgBMtB3hBlnBzpB,v115@VhC8FeD8BeA8Jee8IvhEZkB3hBqpBTlBctB,v115@VhC8FeD8BeA8Jeq/IvhEZkBulB3hBctBzpB,v115@VhC8FeD8BeA8Jez7IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8JeT1IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8Jea8IvhE5gB3hBTkBeqBctB,v115@VhC8FeD8BeA8JeO1IvhEZkB3hBqpBTlBctB
comments,impcross,impcross,cool TSS into 8L PC path,box,box,box (6L PC chance),J_tetraminospin build,box,box,L_tetraminoO_tetraminoJ_tetramino box alternative,D,B,C,mL I_tetraminoJ_tetraminoL_tetraminoO_tetramino thing,skull emoji
TILJSZO,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O
TILJZSO,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILJZOS,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O
TILSJZO,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O
TILSZJO,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILSZOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
TILSOJZ,X,O,X,O,X,X,X,X,X,O,X,O,O,X,O
TILSOZJ,O,O,X,O,X,X,X,X,X,O,X,O,O,X,O
TILZJSO,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILZJOS,X,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILZSJO,O,X,X,X,X,X,X,X,O,X,X,O,O,O,O
TILZSOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
TILZOJS,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O
TILZOSJ,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O
TILOJSZ,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O
TILOJZS,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O
