sequence,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBFn?BKmB,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBKc?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBGlBJa?BzaB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBpgBzf?BOfB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBGbBzQBJQ?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBzVBOVBpW?BFdB
TLIOJZS,O,X,O,O,X,O
TLIOSJZ,O,X,O,O,X,O
TLIOSZJ,O,X,O,O,X,O
TLIOZJS,O,X,O,O,X,O
TLIOZSJ,O,X,O,O,X,O
TLJISZO,O,O,O,O,O,X
TLJISOZ,O,O,O,O,O,X
TLJIZSO,O,O,O,O,O,X
TLJIZOS,O,O,O,O,O,X
TLJIOSZ,O,O,O,O,O,X
TLJIOZS,O,O,O,O,O,X
TLJSIZO,O,O,O,O,O,X
TLJSIOZ,O,O,O,O,O,X
TLJSZIO,O,O,O,O,O,X
TLJSZOI,O,O,O,O,O,O
TLJSOIZ,O,O,O,O,O,O
TLJSOZI,O,O,O,O,O,O
TLJZISO,O,O,O,O,O,X
TLJZIOS,O,O,O,O,O,X
TLJZSIO,O,O,O,O,O,X
TLJZSOI,O,O,O,O,O,O
TLJZOIS,O,O,O,O,O,O
TLJZOSI,O,O,O,O,O,O
TLJOISZ,O,O,O,O,O,O
TLJOIZS,O,O,O,O,O,O
TLJOSIZ,O,O,O,O,O,O
TLJOSZI,O,O,O,O,O,O
TLJOZIS,O,O,O,O,O,O
TLJOZSI,O,O,O,O,O,O
TLSIJZO,O,O,O,O,O,X
TLSIJOZ,O,O,O,O,O,X
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,X,O,O,X,O
TLSIOJZ,O,X,O,O,X,O
TLSIOZJ,O,X,O,O,X,O
TLSJIZO,O,O,O,O,O,X
TLSJIOZ,O,O,O,O,O,X
TLSJZIO,O,O,O,O,O,X
TLSJZOI,O,O,O,O,O,O
TLSJOIZ,O,O,O,O,O,O
TLSJOZI,O,O,O,O,O,O
TLSZIJO,O,O,O,O,O,X
TLSZIOJ,O,X,O,O,X,O
TLSZJIO,O,O,O,O,O,X
TLSZJOI,O,O,O,O,O,O
TLSZOIJ,O,X,O,O,X,O
TLSZOJI,O,X,O,O,X,O
TLSOIJZ,O,X,O,O,X,O
TLSOIZJ,O,X,O,O,X,O
TLSOJIZ,O,X,O,O,X,O
TLSOJZI,O,X,O,O,X,O
TLSOZIJ,O,X,O,O,X,O
TLSOZJI,O,X,O,O,X,O
TLZIJSO,O,O,O,O,O,X
TLZIJOS,O,O,O,O,O,X
TLZISJO,O,O,O,O,O,X
TLZISOJ,O,X,O,O,X,O
TLZIOJS,O,X,O,O,X,O
TLZIOSJ,O,X,O,O,X,O
TLZJISO,O,O,O,O,O,X
TLZJIOS,O,O,O,O,O,X
TLZJSIO,O,O,O,O,O,X
TLZJSOI,O,O,O,O,O,O
TLZJOIS,O,O,O,O,O,O
TLZJOSI,O,O,O,O,O,O
TLZSIJO,O,O,O,O,O,X
TLZSIOJ,O,X,O,O,X,O
TLZSJIO,O,O,O,O,O,X
TLZSJOI,O,O,O,O,O,O
TLZSOIJ,O,X,O,O,X,O
TLZSOJI,O,X,O,O,X,O
TLZOIJS,O,X,O,O,X,O
TLZOISJ,O,X,O,O,X,O
TLZOJIS,O,X,O,O,X,O
TLZOJSI,O,X,O,O,X,O
TLZOSIJ,O,X,O,O,X,O
TLZOSJI,O,X,O,O,X,O
TLOIJSZ,O,X,O,O,X,O
TLOIJZS,O,X,O,O,X,O
TLOISJZ,O,X,O,O,X,O
TLOISZJ,O,X,O,O,X,O
TLOIZJS,O,X,O,O,X,O
TLOIZSJ,O,X,O,O,X,O
TLOJISZ,O,X,O,O,X,O
TLOJIZS,O,X,O,O,X,O
TLOJSIZ,O,X,O,O,X,O
TLOJSZI,O,X,O,O,X,O
TLOJZIS,O,X,O,O,X,O
TLOJZSI,O,X,O,O,X,O
TLOSIJZ,O,X,O,O,X,O
TLOSIZJ,O,X,O,O,X,O
TLOSJIZ,O,X,O,O,X,O
TLOSJZI,O,X,O,O,X,O
TLOSZIJ,O,X,O,O,X,O
TLOSZJI,O,X,O,O,X,O
TLOZIJS,O,X,O,O,X,O
TLOZISJ,O,X,O,O,X,O
TLOZJIS,O,X,O,O,X,O
TLOZJSI,O,X,O,O,X,O
TLOZSIJ,O,X,O,O,X,O
TLOZSJI,O,X,O,O,X,O
TJILSZO,O,O,O,O,O,X
TJILSOZ,O,O,O,O,O,X
TJILZSO,O,O,O,O,O,X
TJILZOS,O,O,O,O,O,X
TJILOSZ,O,O,O,O,O,X
TJILOZS,O,O,O,O,O,X
TJISLZO,O,O,O,X,X,X
TJISLOZ,O,O,O,X,X,X
TJISZLO,O,O,O,X,X,X
TJISZOL,O,O,O,X,X,X
TJISOLZ,O,O,O,X,X,X
TJISOZL,O,O,O,X,X,X
TJIZLSO,O,O,O,O,O,X
TJIZLOS,O,O,O,O,O,X
TJIZSLO,O,O,O,X,X,X
TJIZSOL,O,O,O,X,X,X
TJIZOLS,O,O,O,O,O,X
TJIZOSL,O,O,O,O,X,X
TJIOLSZ,O,O,O,O,O,X
TJIOLZS,O,O,O,O,O,X
TJIOSLZ,O,O,O,O,X,X
TJIOSZL,O,O,O,O,X,X
TJIOZLS,O,O,O,O,O,X
TJIOZSL,O,O,O,O,X,X
TJLISZO,O,O,O,O,O,X
TJLISOZ,O,O,O,O,O,X
TJLIZSO,O,O,O,O,O,X
TJLIZOS,O,O,O,O,O,X
TJLIOSZ,O,O,O,O,O,X
TJLIOZS,O,O,O,O,O,X
TJLSIZO,O,O,O,O,O,X
TJLSIOZ,O,O,O,O,O,X
TJLSZIO,O,O,O,O,O,X
TJLSZOI,O,O,O,O,O,O
TJLSOIZ,O,O,O,O,O,O
TJLSOZI,O,O,O,O,O,O
TJLZISO,O,O,O,O,O,X
TJLZIOS,O,O,O,O,O,X
TJLZSIO,O,O,O,O,O,X
TJLZSOI,O,O,O,O,O,O
TJLZOIS,O,O,O,O,O,O
TJLZOSI,O,O,O,O,O,O
TJLOISZ,O,O,O,O,O,O
