sequence,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDqCBAAvhF3hB1kBTeBsgBGiBifB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBKNMgC6OBAAvhF2kBfjB6jBzcBsgBlfB,v115@RhA8AeH8AeI8JexHYaAFLDmClcJSAVDEHBEooRBJoA?VBTnjWCqOBAAvhF3hBTeBsgBifBGdBlfB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBz+aFDs/AAAvhF3fBFjBzcBsgBiaBGjB,v115@RhA8AeH8AeI8JexGYaAFLDmClcJSAVDEHBEooRBJoA?VBzvaFDsOBAAvhF3fBGjBzcBsgBiaBFjB,v115@RhA8AeH8AeI8JeXDYaAFLDmClcJSAVDEHBEooRBToA?VBpXWWCv/AAAvhFRmBUdBVhBKfBzaBGjB,v115@RhA8AeH8AeI8JezAYaAFLDmClcJSAVDEHBEooRBPoA?VBzP9VC6OBAAvhF3fB+jBRiBiaB0hBliB,v115@RhA8AeH8AeI8Je1GYaAFLDmClcJSAVDEHBEooRBUoA?VBTejWCv/AAAvhF3fBxiBsgBiaBTjBGiB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBvuLuCqCBAAvhFTfBViBUeBXcBmaBSoB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBUtHgCpCBAAvhFVmB3fB+jBzdBRcBiaB,v115@RhA8AeH8AeI8JeUCYaAFLDmClcJSAVDEHBEooRBaoA?VBU3TWCp/AAAvhFVmBTfBfjB6jBRcBmaB,v115@RhA8AeH8AeI8JeWIYaAFLDmClcJSAVDEHBEooRBKoA?VBJ9aFD0CBAAvhFRmB3fBTeBUcBFdBiaB,v115@RhA8AeH8AeI8JeUDYaAFLDmClcJSAVDEHBEooRBaoA?VBUNMgCK+AAAvhFVnBXhBKfBzaBGeBRcB,v115@RhA8AeH8AeI8JeSIYaAFLDmClcJSAVDEHBEooRBMoA?VBJ3jFD0/AAAvhFRmBTfBXeBUcBFdBmaB,v115@RhA8AeH8AeI8JeRGYaAFLDmClcJSAVDEHBEooRBJoA?VBqHUWCvOBAAvhF+jBsiBXdBKfBzaBFcB
TILJSZO,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TILJSOZ,O,X,O,X,X,O,X,X,X,O,X,O,O,O,O
TILJZSO,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
TILJZOS,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
TILJOSZ,O,X,O,X,X,O,X,X,X,O,X,O,X,O,O
TILJOZS,O,X,X,X,X,O,X,X,X,X,X,O,O,O,O
TILSJZO,O,X,O,O,X,O,X,O,X,O,X,O,O,O,O
TILSJOZ,O,X,O,O,X,O,X,X,X,O,O,O,O,O,O
TILSZJO,O,X,O,O,X,O,X,O,X,O,X,O,O,O,X
TILSZOJ,O,X,O,O,X,O,X,O,O,O,O,O,O,O,X
TILSOJZ,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O
TILSOZJ,O,X,O,O,X,O,X,O,O,O,O,O,O,O,X
TILZJSO,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
TILZJOS,O,X,X,X,X,O,X,X,X,O,X,O,O,O,O
TILZSJO,O,X,X,O,X,O,X,O,X,O,O,O,O,O,X
TILZSOJ,O,X,X,O,X,O,X,O,O,O,O,O,O,O,X
TILZOJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
TILZOSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
TILOJSZ,O,X,O,X,X,O,X,X,O,X,O,X,X,O,O
TILOJZS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
TILOSJZ,O,X,O,O,X,O,X,X,O,X,O,X,O,O,O
TILOSZJ,O,X,O,O,X,O,X,X,O,X,O,X,O,O,X
TILOZJS,O,X,X,X,X,O,X,X,O,X,O,X,O,O,O
TILOZSJ,O,X,X,O,X,O,X,X,O,X,O,X,O,O,X
TIJLSZO,O,O,O,X,X,O,X,X,X,O,X,O,O,O,O
TIJLSOZ,O,O,O,X,X,O,X,X,X,O,X,O,O,O,O
TIJLZSO,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
TIJLZOS,O,O,X,X,X,O,X,X,X,O,X,O,O,O,O
TIJLOSZ,O,O,O,X,X,O,X,X,X,O,X,O,X,O,O
TIJLOZS,O,O,X,X,X,O,X,X,X,X,X,O,O,O,O
