sequence,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex8XaAFLDmClcJSAVDEHB?EooRBJoAVBUnjWCz/AAAvhFFZBzSBsWBKVBXRBGZB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex8XaAFLDmClcJSAVDEHB?EooRBJoAVBKnjWCzOBAAvhFGZBzSBsWBKVBXRBFZB,v115@9gC8AeJ8AeJ8AeJ8AeC8Je33XaAFLDmClcJSAVDEHB?EooRBToAVBKH8LC6OBAAvhF+ZBzTBKVBRWBUYBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jez2XaAFLDmClcJSAVDEHB?EooRBPoAVBK+rtC6OBAAvhF+ZBRYBKVBXRB0XBlYB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeU4XaAFLDmClcJSAVDEHB?EooRBaoAVBKH8LCzOBAAvhF+ZBzTBKVBRWB3XBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8Je18XaAFLDmClcJSAVDEHB?EooRBUoAVBpXstCv/AAAvhFxYBsWBKVBXRBTZBGYB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeU4XaAFLDmClcJSAVDEHB?EooRBaoAVBqSFgCzOBAAvhFWZBKVBRWBTZB3XBlWB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeW+XaAFLDmClcJSAVDEHB?EooRBKoAVBJ3TWC6OBAAvhFRcBTUBXTBKVBURBFSB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeV9XaAFLDmClcJSAVDEHB?EooRBUoAVB6vytCM+AAAvhF0WB+ZBzTB3SBKVBRRB,v115@9gC8AeJ8AeJ8AeJ8AeC8JeV9XaAFLDmClcJSAVDEHB?EooRBUoAVBzvKWCa+AAAvhFXXB+ZBzTBKVBURBRSB,v115@9gC8AeJ8AeJ8AeJ8AeC8Jex9XaAFLDmClcJSAVDEHB?EooRBJoAVBTnjWCqOBAAvhF3XBTUBsWBKVBGTBFRB
TILJSZO,X,X,X,X,X,X,X,O,O,O,O
TILJSOZ,X,X,X,X,X,X,X,O,O,O,O
TILJZSO,O,O,X,X,X,O,X,O,O,O,X
TILJZOS,O,O,X,X,X,X,X,O,O,O,X
TILJOSZ,X,X,X,X,X,X,X,O,O,O,O
TILJOZS,O,O,X,X,X,X,X,O,O,O,X
TILSJZO,X,X,X,X,X,X,X,O,O,O,O
TILSJOZ,X,X,X,X,X,X,X,O,O,O,O
TILSZJO,O,X,X,X,X,O,X,O,O,O,O
TILSZOJ,O,X,X,X,X,O,X,O,O,O,O
TILSOJZ,X,X,X,X,X,X,X,O,O,O,O
TILSOZJ,O,X,X,X,X,X,X,O,X,O,O
TILZJSO,O,O,X,X,X,O,X,O,O,O,X
TILZJOS,O,O,X,X,X,X,X,O,O,O,X
TILZSJO,O,O,X,X,X,O,X,O,O,O,X
TILZSOJ,O,O,X,X,X,O,X,O,O,O,X
TILZOJS,O,O,X,X,X,X,X,O,O,X,X
TILZOSJ,O,O,X,X,X,O,X,O,O,X,X
TILOJSZ,X,X,X,X,X,X,X,O,X,O,O
TILOJZS,O,O,X,X,X,X,X,O,X,O,X
TILOSJZ,X,X,X,X,X,X,X,O,X,O,O
TILOSZJ,O,X,X,X,X,X,X,O,X,O,O
TILOZJS,O,O,X,X,X,X,X,O,X,X,X
TILOZSJ,O,O,X,X,X,O,X,O,X,X,X
TIJLSZO,X,X,X,X,X,X,X,O,O,O,O
TIJLSOZ,X,X,X,X,X,X,X,O,O,O,O
TIJLZSO,O,O,X,X,X,O,X,O,O,O,X
TIJLZOS,O,O,X,X,X,X,X,O,O,O,X
TIJLOSZ,X,X,X,X,X,X,X,O,O,O,O
TIJLOZS,O,O,X,X,X,X,X,O,O,O,X
TIJSLZO,X,X,X,X,X,X,X,O,O,O,O
TIJSLOZ,X,X,X,X,X,X,X,O,O,O,O
TIJSZLO,X,X,X,X,X,X,X,O,O,O,O
