sequence,v115@DhB8IeB8GeC8FeE8Jex/IvhF0hB6oBOpBllBzpBXrB,v115@DhB8IeB8GeC8FeE8JeOEJvhFXgB0hB6oB1uBxqBzqB,v115@DhB8IeB8GeC8FeE8Je/EJvhFFgB0hB6oB2uBxqBzqB,v115@DhB8IeB8GeC8FeE8Jex/IvhF6oBOpB0lBlmBzpBXrB,v115@DhB8IeB8GeC8FeE8JexAJvhF6oBOpBXlBlmBzqB0pB,v115@DhB8IeB8GeC8FeE8JecEJvhFxgB6oBXlBlmBzqB2uB,v115@DhB8IeB8GeC8FeE8Jex/IvhF0hB6oBllBmpBXrBTpB,v115@DhB8IeB8GeC8FeE8Jex/IvhF6oB0lBlmBmpBTpBXrB
ISLJZOT,O,X,O,X,X,X,X,X
ISLJOTZ,O,X,O,X,X,X,X,X
ISLJOZT,O,X,O,X,X,X,X,X
ISLZTJO,O,O,X,X,X,X,O,X
ISLZTOJ,O,O,X,X,X,X,O,X
ISLZJTO,O,X,O,X,X,X,O,X
ISLZJOT,O,X,O,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X,X
ISLOTJZ,O,X,X,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X,X,X
ISLOJTZ,O,X,X,X,X,X,X,X
ISLOJZT,O,X,X,X,X,X,X,X
ISLOZTJ,O,X,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X,X
ISJTLZO,O,X,O,X,X,X,O,X
ISJTLOZ,O,X,O,X,X,X,O,X
ISJTZLO,O,X,O,X,X,X,O,X
ISJTZOL,O,X,O,X,X,X,O,X
ISJTOLZ,O,X,O,X,X,X,O,X
ISJTOZL,O,X,O,X,X,X,O,X
ISJLTZO,O,X,O,X,X,X,O,X
ISJLTOZ,O,X,O,X,X,X,O,X
ISJLZTO,O,X,O,X,X,X,O,X
ISJLZOT,O,X,O,X,X,X,X,X
ISJLOTZ,O,X,O,X,X,X,X,X
ISJLOZT,O,X,O,X,X,X,X,X
ISJZTLO,O,X,O,X,X,X,O,X
ISJZTOL,O,X,O,X,X,X,O,X
ISJZLTO,O,X,O,X,X,X,O,X
ISJZLOT,O,X,O,X,X,X,X,X
ISJZOTL,X,X,O,X,X,X,X,X
ISJZOLT,O,X,O,X,X,X,X,X
ISJOTLZ,O,X,O,X,X,X,X,X
ISJOTZL,O,X,O,X,X,X,X,X
ISJOLTZ,O,X,O,X,X,X,X,X
ISJOLZT,O,X,O,X,X,X,X,X
ISJOZTL,X,X,O,X,X,X,X,X
ISJOZLT,O,X,O,X,X,X,X,X
ISZTLJO,O,O,X,X,X,X,O,X
ISZTLOJ,O,O,X,X,X,X,O,X
ISZTJLO,O,O,X,X,X,X,O,X
ISZTJOL,O,O,X,X,X,X,O,X
ISZTOLJ,O,O,X,X,X,X,O,X
ISZTOJL,O,O,X,X,X,X,X,X
ISZLTJO,O,O,X,X,X,X,O,X
ISZLTOJ,O,O,X,X,X,X,O,X
ISZLJTO,O,X,O,X,X,X,O,X
ISZLJOT,O,X,O,X,X,X,X,X
ISZLOTJ,O,X,X,X,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X,X
ISZJTLO,O,X,O,X,X,X,O,X
ISZJTOL,O,X,O,X,X,X,O,X
ISZJLTO,O,X,O,X,X,X,O,X
ISZJLOT,O,X,O,X,X,X,X,X
ISZJOTL,X,X,O,X,X,X,X,X
ISZJOLT,O,X,O,X,X,X,X,X
ISZOTLJ,O,X,X,X,X,X,X,X
ISZOTJL,O,X,X,X,X,X,X,X
ISZOLTJ,O,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X,X
ISOTLJZ,O,X,X,X,X,X,X,X
ISOTLZJ,O,X,X,X,X,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X
ISOTJZL,O,X,X,X,X,X,X,X
ISOTZLJ,O,X,X,X,X,X,X,X
ISOTZJL,O,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X,X,X
ISOLJTZ,O,X,X,X,X,X,X,X
ISOLJZT,O,X,X,X,X,X,X,X
ISOLZTJ,O,X,X,X,X,X,X,X
ISOLZJT,O,X,X,X,X,X,X,X
ISOJTLZ,O,X,X,X,X,X,X,X
ISOJTZL,O,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X
ISOJZTL,O,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,X,X,X,X
ISOZTLJ,O,X,X,X,X,X,X,X
ISOZTJL,O,X,X,X,X,X,X,X
ISOZLTJ,O,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,X,X,X,X
ISOZJTL,O,X,X,X,X,X,X,X
ISOZJLT,O,X,X,X,X,X,X,X
IZTLJSO,X,O,O,X,X,X,X,X
IZTLJOS,X,O,X,X,X,X,X,X
IZTLSJO,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,X,X,X,X,X,X
IZTLOJS,X,O,X,X,X,X,X,X
IZTLOSJ,X,O,X,X,X,X,X,X
IZTJLSO,X,O,O,X,X,X,X,X
IZTJLOS,X,O,X,X,X,X,X,X
IZTJSLO,X,O,O,X,X,X,X,X
IZTJSOL,X,O,O,X,X,X,X,X
IZTJOLS,X,O,X,X,X,X,X,X
IZTJOSL,X,O,X,X,X,X,X,X
IZTSLJO,X,O,X,X,X,X,X,X
IZTSLOJ,X,O,X,X,X,X,X,X
IZTSJLO,X,O,X,X,X,X,X,X
IZTSJOL,X,O,X,X,X,X,X,X
IZTSOLJ,X,O,X,X,X,X,X,X
IZTSOJL,X,O,X,X,X,X,X,X
IZTOLJS,X,O,X,X,X,X,X,X
IZTOLSJ,X,O,X,X,X,X,X,X
IZTOJLS,X,O,X,X,X,X,X,X
IZTOJSL,X,O,X,X,X,X,X,X
IZTOSLJ,X,O,X,X,X,X,X,X
IZTOSJL,X,O,X,X,X,X,X,X
IZLTJSO,X,O,O,X,X,X,X,X
IZLTJOS,X,O,X,X,X,X,X,X
IZLTSJO,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,X,X,X
IZLTOSJ,X,O,X,X,X,X,X,X
IZLJTSO,O,O,O,X,X,X,X,X
IZLJTOS,O,O,X,X,X,X,X,X
IZLJSTO,O,X,O,X,X,X,O,X
IZLJSOT,O,X,O,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,X,X
IZLJOST,O,X,O,X,X,X,X,X
IZLSTJO,O,O,X,X,X,X,O,X
IZLSTOJ,O,O,X,X,X,X,O,X
IZLSJTO,O,X,O,X,X,X,O,X
IZLSJOT,O,X,O,X,X,X,X,X
IZLSOTJ,O,X,X,X,X,X,X,X
IZLSOJT,O,X,X,X,X,X,X,X
IZLOTJS,O,O,X,X,X,X,X,X
IZLOTSJ,O,O,X,X,X,X,X,X
IZLOJTS,O,X,X,X,X,X,X,X
IZLOJST,O,X,O,X,X,X,X,X
IZLOSTJ,O,X,X,X,X,X,X,X
IZLOSJT,O,X,X,X,X,X,X,X
IZJTLSO,O,O,O,X,X,X,X,X
IZJTLOS,O,O,X,X,X,X,X,X
IZJTSLO,X,O,O,X,X,X,X,X
IZJTSOL,X,O,O,X,X,X,X,X
IZJTOLS,X,O,X,X,X,X,X,X
IZJTOSL,X,O,X,X,X,X,X,X
IZJLTSO,O,O,O,X,X,X,X,X
IZJLTOS,O,O,X,X,X,X,X,X
IZJLSTO,O,X,O,X,X,X,O,X
IZJLSOT,O,X,O,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X
IZJLOST,O,X,O,X,X,X,X,X
IZJSTLO,O,X,O,X,X,X,O,X
IZJSTOL,O,X,O,X,X,X,O,X
IZJSLTO,O,X,O,X,X,X,O,X
IZJSLOT,O,X,O,X,X,X,X,X
IZJSOTL,X,X,O,X,X,X,X,X
IZJSOLT,O,X,O,X,X,X,X,X
IZJOTLS,O,X,X,X,X,X,X,X
IZJOTSL,O,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X
IZJOLST,O,X,O,X,X,X,X,X
IZJOSTL,O,X,O,X,X,X,X,X
IZJOSLT,O,X,O,X,X,X,X,X
IZSTLJO,O,O,X,X,X,X,O,X
IZSTLOJ,O,O,X,X,X,X,O,X
IZSTJLO,O,O,X,X,X,X,O,X
IZSTJOL,O,O,X,X,X,X,O,X
IZSTOLJ,O,O,X,X,X,X,O,X
IZSTOJL,O,O,X,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,O,X
IZSLTOJ,O,O,X,X,X,X,O,X
IZSLJTO,O,X,O,X,X,X,O,X
IZSLJOT,O,X,O,X,X,X,X,X
IZSLOTJ,O,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,X,X,X,X
IZSJTLO,O,X,O,X,X,X,O,X
IZSJTOL,O,X,O,X,X,X,O,X
IZSJLTO,O,X,O,X,X,X,O,X
IZSJLOT,O,X,O,X,X,X,X,X
IZSJOTL,X,X,O,X,X,X,X,X
IZSJOLT,O,X,O,X,X,X,X,X
IZSOTLJ,O,X,X,X,X,X,X,X
IZSOTJL,O,X,X,X,X,X,X,X
IZSOLTJ,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,X,X,X,X
IZSOJTL,O,X,X,X,X,X,X,X
IZSOJLT,O,X,X,X,X,X,X,X
IZOTLJS,O,O,X,X,X,X,X,X
IZOTLSJ,O,O,X,X,X,X,X,X
IZOTJLS,O,O,X,X,X,X,X,X
IZOTJSL,O,O,X,X,X,X,X,X
IZOTSLJ,O,O,X,X,X,X,X,X
IZOTSJL,X,O,X,X,X,X,X,X
IZOLTJS,O,O,X,X,X,X,X,X
IZOLTSJ,O,O,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X
IZOLJST,O,X,O,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X
IZOJTLS,O,X,X,X,X,X,X,X
IZOJTSL,O,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X
IZOJLST,O,X,O,X,X,X,X,X
IZOJSTL,O,X,O,X,X,X,X,X
IZOJSLT,O,X,O,X,X,X,X,X
IZOSTLJ,O,X,X,X,X,X,X,X
IZOSTJL,O,X,X,X,X,X,X,X
IZOSLTJ,O,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,X,X,X
IZOSJLT,O,X,X,X,X,X,X,X
IOTLJSZ,O,O,X,X,O,O,X,X
IOTLJZS,O,O,X,O,X,X,X,X
IOTLSJZ,X,O,X,X,O,O,X,X
IOTLSZJ,O,O,X,X,O,O,X,X
IOTLZJS,O,O,X,O,X,X,X,X
IOTLZSJ,O,O,X,X,O,O,X,X
IOTJLSZ,O,O,X,X,O,O,X,X
IOTJLZS,O,O,X,O,X,X,X,X
IOTJSLZ,O,O,X,X,O,O,X,X
IOTJSZL,O,O,X,X,O,O,X,X
IOTJZLS,O,O,X,O,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X
IOTSLJZ,X,O,X,X,O,O,X,X
IOTSLZJ,O,O,X,X,O,O,X,X
IOTSJLZ,X,O,X,X,O,O,X,X
IOTSJZL,X,O,X,X,O,O,X,X
IOTSZLJ,O,O,X,X,O,O,X,X
IOTSZJL,X,O,X,X,O,O,X,X
IOTZLJS,O,O,X,O,X,X,X,X
IOTZLSJ,O,O,X,X,O,O,X,X
IOTZJLS,O,O,X,O,X,X,X,X
IOTZJSL,O,O,X,O,X,X,X,X
IOTZSLJ,O,O,X,X,O,O,X,X
IOTZSJL,X,O,X,X,O,O,X,X
IOLTJSZ,O,O,X,X,O,O,X,X
IOLTJZS,O,O,X,O,X,X,X,X
IOLTSJZ,X,O,X,X,O,O,X,X
IOLTSZJ,O,O,X,X,O,O,X,X
IOLTZJS,O,O,X,O,X,X,X,X
IOLTZSJ,O,O,X,X,O,O,X,X
IOLJTSZ,O,X,X,X,O,X,X,X
IOLJTZS,O,X,X,O,X,X,X,X
IOLJSTZ,O,X,O,X,O,X,X,X
IOLJSZT,O,X,O,O,X,X,X,X
IOLJZTS,O,X,X,O,X,X,X,X
IOLJZST,O,X,O,O,X,X,X,X
IOLSTJZ,O,X,X,X,O,O,X,X
IOLSTZJ,O,X,X,X,O,O,X,X
IOLSJTZ,O,X,X,X,O,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X
IOLSZTJ,O,X,X,X,X,O,X,X
IOLSZJT,O,X,X,X,X,X,X,X
IOLZTJS,O,O,X,O,X,X,X,X
IOLZTSJ,O,O,X,X,X,X,X,X
IOLZJTS,O,X,X,O,X,X,X,X
IOLZJST,O,X,O,O,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X
IOJTLZS,O,X,X,O,X,X,X,X
IOJTSLZ,O,X,X,X,O,X,X,X
IOJTSZL,O,X,X,X,O,X,X,X
IOJTZLS,O,X,X,O,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X
IOJLTSZ,O,X,X,X,O,X,X,X
IOJLTZS,O,X,X,O,X,X,X,X
IOJLSTZ,O,X,O,X,O,X,X,X
IOJLSZT,O,X,O,O,X,X,X,X
IOJLZTS,O,X,X,O,X,X,X,X
IOJLZST,O,X,O,O,X,X,X,X
IOJSTLZ,O,X,O,X,O,X,X,X
IOJSTZL,O,X,O,X,O,X,X,X
IOJSLTZ,O,X,O,X,O,X,X,X
IOJSLZT,O,X,O,O,X,X,X,X
IOJSZTL,O,X,O,O,X,X,X,X
IOJSZLT,O,X,O,O,X,X,X,X
IOJZTLS,O,X,X,O,X,X,X,X
IOJZTSL,O,X,X,O,X,X,X,X
IOJZLTS,O,X,X,O,X,X,X,X
IOJZLST,O,X,O,O,X,X,X,X
IOJZSTL,O,X,O,O,X,X,X,X
IOJZSLT,O,X,O,O,X,X,X,X
IOSTLJZ,O,X,X,X,O,O,X,X
IOSTLZJ,O,X,X,X,O,O,X,X
IOSTJLZ,O,X,X,X,O,O,X,X
IOSTJZL,O,X,X,X,O,O,X,X
IOSTZLJ,O,X,X,X,O,O,X,X
IOSTZJL,O,X,X,X,O,O,X,X
IOSLTJZ,O,X,X,X,O,O,X,X
IOSLTZJ,O,X,X,X,O,O,X,X
IOSLJTZ,O,X,X,X,O,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X
IOSLZTJ,O,X,X,X,X,O,X,X
IOSLZJT,O,X,X,X,X,X,X,X
IOSJTLZ,O,X,X,X,O,X,X,X
IOSJTZL,O,X,X,X,O,X,X,X
IOSJLTZ,O,X,X,X,O,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X
IOSJZTL,O,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X
IOSZTLJ,O,X,X,X,X,O,X,X
IOSZTJL,O,X,X,X,X,O,X,X
IOSZLTJ,O,X,X,X,X,O,X,X
IOSZLJT,O,X,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,X,X,X
IOZTLJS,O,O,X,O,X,X,X,X
IOZTLSJ,O,O,X,X,X,X,X,X
IOZTJLS,O,O,X,O,X,X,X,X
IOZTJSL,O,O,X,O,X,X,X,X
IOZTSLJ,O,O,X,X,X,X,X,X
IOZTSJL,X,O,X,X,X,X,X,X
IOZLTJS,O,O,X,O,X,X,X,X
IOZLTSJ,O,O,X,X,X,X,X,X
IOZLJTS,O,X,X,O,X,X,X,X
IOZLJST,O,X,O,O,X,X,X,X
IOZLSTJ,O,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X
IOZJTLS,O,X,X,O,X,X,X,X
IOZJTSL,O,X,X,O,X,X,X,X
IOZJLTS,O,X,X,O,X,X,X,X
IOZJLST,O,X,O,O,X,X,X,X
IOZJSTL,O,X,O,O,X,X,X,X
IOZJSLT,O,X,O,O,X,X,X,X
IOZSTLJ,O,X,X,X,X,X,X,X
IOZSTJL,O,X,X,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,X,X,X
IOZSJLT,O,X,X,X,X,X,X,X
LTIJSZO,X,O,O,X,X,X,X,X
LTIJSOZ,X,O,O,X,X,X,X,X
LTIJZSO,X,O,O,X,X,X,X,X
LTIJZOS,X,O,X,X,X,X,X,O
LTIJOSZ,X,O,X,X,O,O,X,X
LTIJOZS,X,O,X,O,X,X,X,X
LTISJZO,X,O,X,X,X,X,X,X
LTISJOZ,X,O,X,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,X,X
LTISZOJ,X,O,X,X,X,X,X,X
LTISOJZ,X,O,X,X,O,O,X,X
LTISOZJ,X,O,X,X,O,O,X,X
LTIZJSO,X,O,O,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X,X
LTIZSJO,X,O,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X
LTIZOSJ,X,O,X,X,O,O,X,X
LTIOJSZ,X,O,X,X,O,O,X,X
LTIOJZS,X,O,X,O,X,X,X,X
LTIOSJZ,X,O,X,X,O,O,X,X
LTIOSZJ,X,O,X,X,O,O,X,X
LTIOZJS,X,O,X,O,X,X,X,X
LTIOZSJ,X,O,X,X,O,O,X,X
LTJISZO,O,O,O,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X
LTJIZSO,O,O,O,X,X,X,X,X
LTJIZOS,O,O,X,X,X,X,X,O
LTJIOSZ,O,O,X,X,O,O,X,X
LTJIOZS,O,O,X,O,X,X,X,X
LTJSIZO,O,O,O,X,X,X,O,X
LTJSIOZ,O,O,O,X,X,X,O,X
LTJSZIO,O,O,O,X,X,X,O,X
LTJSZOI,O,O,O,X,X,X,O,O
LTJSOIZ,O,O,O,X,O,X,O,X
LTJSOZI,O,O,O,O,O,X,O,X
LTJZISO,O,O,O,X,X,X,X,X
LTJZIOS,O,O,X,X,X,X,X,O
LTJZSIO,O,O,O,X,X,X,O,X
LTJZSOI,O,O,O,X,X,X,O,O
LTJZOIS,O,O,X,O,X,X,X,O
LTJZOSI,O,O,X,O,O,X,X,O
LTJOISZ,O,O,X,X,O,O,X,X
LTJOIZS,O,O,X,O,X,X,X,X
LTJOSIZ,O,O,X,X,O,O,X,X
LTJOSZI,O,O,X,O,O,O,X,X
LTJOZIS,O,O,X,O,X,X,X,O
LTJOZSI,O,O,X,O,O,X,X,O
LTSIJZO,O,O,X,X,X,X,O,X
LTSIJOZ,O,O,X,X,X,X,O,X
LTSIZJO,O,O,X,X,X,X,O,X
LTSIZOJ,O,O,X,X,X,X,O,X
LTSIOJZ,O,O,X,X,O,O,X,X
LTSIOZJ,O,O,X,X,O,O,O,X
LTSJIZO,O,O,X,X,X,X,O,X
LTSJIOZ,O,O,X,X,X,X,O,X
LTSJZIO,O,O,X,X,X,X,O,X
LTSJZOI,O,O,X,X,X,X,O,O
LTSJOIZ,O,O,X,X,O,X,O,X
LTSJOZI,O,O,X,O,O,X,O,X
LTSZIJO,O,O,X,X,X,X,O,X
LTSZIOJ,O,O,X,X,X,X,O,X
LTSZJIO,O,O,X,X,X,X,O,X
LTSZJOI,O,O,X,X,X,X,O,X
LTSZOIJ,O,X,X,X,X,X,O,X
LTSZOJI,O,O,X,X,X,X,O,X
LTSOIJZ,O,O,X,X,O,O,X,X
LTSOIZJ,O,O,X,X,O,O,O,X
LTSOJIZ,O,O,X,X,O,O,O,X
LTSOJZI,O,O,X,O,O,O,O,X
LTSOZIJ,O,X,X,X,O,O,O,X
LTSOZJI,O,O,X,O,O,O,O,X
LTZIJSO,X,O,O,X,X,X,X,X
LTZIJOS,X,O,X,X,X,X,X,X
LTZISJO,X,O,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,X,X,X
LTZIOJS,X,O,X,X,X,X,X,X
LTZIOSJ,X,O,X,X,O,O,X,X
LTZJISO,O,O,O,X,X,X,X,X
LTZJIOS,O,O,X,X,X,X,X,O
LTZJSIO,O,O,O,X,X,X,O,X
LTZJSOI,O,O,O,X,X,X,O,O
LTZJOIS,O,O,X,O,X,X,X,O
LTZJOSI,O,O,X,O,O,X,X,O
LTZSIJO,O,O,X,X,X,X,O,X
LTZSIOJ,O,O,X,X,X,X,O,X
LTZSJIO,O,O,X,X,X,X,O,X
LTZSJOI,O,O,X,X,X,X,O,X
LTZSOIJ,O,X,X,X,X,X,O,X
LTZSOJI,O,O,X,X,X,X,O,X
LTZOIJS,O,O,X,O,X,X,X,X
LTZOISJ,O,O,X,X,O,O,X,X
LTZOJIS,O,O,X,O,X,X,X,X
LTZOJSI,O,O,X,O,O,X,X,X
LTZOSIJ,O,X,X,X,O,O,X,X
LTZOSJI,O,O,X,O,O,O,X,X
LTOIJSZ,O,O,X,X,O,O,X,X
LTOIJZS,O,O,X,O,X,X,X,X
LTOISJZ,X,O,X,X,O,O,X,X
LTOISZJ,O,O,X,X,O,O,X,X
LTOIZJS,O,O,X,O,X,X,X,X
LTOIZSJ,O,O,X,X,O,O,X,X
LTOJISZ,O,O,X,X,O,O,X,X
LTOJIZS,O,O,X,O,X,X,X,X
LTOJSIZ,O,O,X,X,O,O,X,X
LTOJSZI,O,O,X,O,O,O,X,X
LTOJZIS,O,O,X,O,X,X,X,O
LTOJZSI,O,O,X,O,O,X,X,O
LTOSIJZ,O,O,X,X,O,O,X,X
LTOSIZJ,O,O,X,X,O,O,X,X
LTOSJIZ,O,O,X,X,O,O,X,X
LTOSJZI,O,O,X,O,O,O,X,X
LTOSZIJ,O,X,X,X,O,O,X,X
LTOSZJI,O,O,X,O,O,O,X,X
LTOZIJS,O,O,X,O,X,X,X,X
LTOZISJ,O,O,X,X,O,O,X,X
LTOZJIS,O,O,X,O,X,X,X,X
LTOZJSI,O,O,X,O,O,X,X,X
LTOZSIJ,O,X,X,X,O,O,X,X
LTOZSJI,O,O,X,O,O,O,X,X
LITJSZO,X,O,O,X,X,X,X,X
LITJSOZ,X,O,O,X,X,X,X,X
LITJZSO,X,O,O,X,X,X,X,X
LITJZOS,X,O,X,X,X,X,X,O
LITJOSZ,X,O,X,X,O,O,X,X
LITJOZS,X,O,X,O,X,X,X,X
LITSJZO,X,O,X,X,X,X,X,X
LITSJOZ,X,O,X,X,X,X,X,X
LITSZJO,X,O,X,X,X,X,X,X
LITSZOJ,X,O,X,X,X,X,X,X
LITSOJZ,X,O,X,X,O,O,X,X
LITSOZJ,X,O,X,X,O,O,X,X
LITZJSO,X,O,O,X,X,X,X,X
LITZJOS,X,O,X,X,X,X,X,X
LITZSJO,X,O,X,X,X,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X
LITZOSJ,X,O,X,X,O,O,X,X
LITOJSZ,X,O,X,X,O,O,X,X
LITOJZS,X,O,X,O,X,X,X,X
LITOSJZ,X,O,X,X,O,O,X,X
LITOSZJ,X,O,X,X,O,O,X,X
LITOZJS,X,O,X,O,X,X,X,X
LITOZSJ,X,O,X,X,O,O,X,X
LIJTSZO,O,O,O,X,X,X,X,X
LIJTSOZ,O,O,O,X,X,X,X,X
LIJTZSO,O,O,O,X,X,X,X,X
LIJTZOS,O,O,X,X,X,X,X,O
LIJTOSZ,O,O,X,X,O,X,X,X
LIJTOZS,O,O,X,O,X,X,X,X
LIJSTZO,O,X,O,X,X,X,O,X
LIJSTOZ,O,X,O,X,X,X,O,X
LIJSZTO,O,X,O,X,X,X,O,X
LIJSZOT,O,X,O,X,X,X,X,X
LIJSOTZ,O,X,O,X,X,X,X,X
LIJSOZT,O,X,O,O,X,X,X,X
LIJZTSO,O,O,O,X,X,X,X,X
LIJZTOS,O,O,X,X,X,X,X,O
LIJZSTO,O,X,O,X,X,X,O,X
LIJZSOT,O,X,O,X,X,X,X,X
LIJZOTS,O,X,X,O,X,X,X,X
LIJZOST,O,X,O,O,X,X,X,X
LIJOTSZ,O,X,X,X,O,X,X,X
LIJOTZS,O,X,X,O,X,X,X,X
LIJOSTZ,O,X,O,X,O,X,X,X
LIJOSZT,O,X,O,O,X,X,X,X
LIJOZTS,O,X,X,O,X,X,X,X
LIJOZST,O,X,O,O,X,X,X,X
LISTJZO,O,O,X,X,X,X,O,X
LISTJOZ,O,O,X,X,X,X,O,X
LISTZJO,O,O,X,X,X,X,O,X
LISTZOJ,O,O,X,X,X,X,O,X
LISTOJZ,O,O,X,X,X,X,X,X
LISTOZJ,O,O,X,X,X,X,O,X
LISJTZO,O,X,O,X,X,X,O,X
LISJTOZ,O,X,O,X,X,X,O,X
LISJZTO,O,X,O,X,X,X,O,X
LISJZOT,O,X,O,X,X,X,X,X
LISJOTZ,O,X,O,X,X,X,X,X
LISJOZT,O,X,O,X,X,X,X,X
LISZTJO,O,O,X,X,X,X,O,X
LISZTOJ,O,O,X,X,X,X,O,X
LISZJTO,O,X,O,X,X,X,O,X
LISZJOT,O,X,O,X,X,X,X,X
LISZOTJ,O,X,X,X,X,X,X,X
LISZOJT,O,X,X,X,X,X,X,X
LISOTJZ,O,X,X,X,X,X,X,X
LISOTZJ,O,X,X,X,X,X,X,X
LISOJTZ,O,X,X,X,X,X,X,X
LISOJZT,O,X,X,X,X,X,X,X
LISOZTJ,O,X,X,X,X,X,X,X
LISOZJT,O,X,X,X,X,X,X,X
LIZTJSO,X,O,O,X,X,X,X,X
LIZTJOS,X,O,X,X,X,X,X,X
LIZTSJO,X,O,X,X,X,X,X,X
LIZTSOJ,X,O,X,X,X,X,X,X
LIZTOJS,X,O,X,X,X,X,X,X
LIZTOSJ,X,O,X,X,X,X,X,X
LIZJTSO,O,O,O,X,X,X,X,X
LIZJTOS,O,O,X,X,X,X,X,X
LIZJSTO,O,X,O,X,X,X,O,X
LIZJSOT,O,X,O,X,X,X,X,X
LIZJOTS,O,X,X,X,X,X,X,X
LIZJOST,O,X,O,X,X,X,X,X
LIZSTJO,O,O,X,X,X,X,O,X
LIZSTOJ,O,O,X,X,X,X,O,X
LIZSJTO,O,X,O,X,X,X,O,X
LIZSJOT,O,X,O,X,X,X,X,X
LIZSOTJ,O,X,X,X,X,X,X,X
LIZSOJT,O,X,X,X,X,X,X,X
LIZOTJS,O,O,X,X,X,X,X,X
LIZOTSJ,O,O,X,X,X,X,X,X
LIZOJTS,O,X,X,X,X,X,X,X
LIZOJST,O,X,O,X,X,X,X,X
LIZOSTJ,O,X,X,X,X,X,X,X
LIZOSJT,O,X,X,X,X,X,X,X
LIOTJSZ,O,O,X,X,O,O,X,X
LIOTJZS,O,O,X,O,X,X,X,X
LIOTSJZ,X,O,X,X,O,O,X,X
LIOTSZJ,O,O,X,X,O,O,X,X
LIOTZJS,O,O,X,O,X,X,X,X
LIOTZSJ,O,O,X,X,O,O,X,X
LIOJTSZ,O,X,X,X,O,X,X,X
LIOJTZS,O,X,X,O,X,X,X,X
LIOJSTZ,O,X,O,X,O,X,X,X
LIOJSZT,O,X,O,O,X,X,X,X
LIOJZTS,O,X,X,O,X,X,X,X
LIOJZST,O,X,O,O,X,X,X,X
LIOSTJZ,O,X,X,X,O,O,X,X
LIOSTZJ,O,X,X,X,O,O,X,X
LIOSJTZ,O,X,X,X,O,X,X,X
LIOSJZT,O,X,X,X,X,X,X,X
LIOSZTJ,O,X,X,X,X,O,X,X
LIOSZJT,O,X,X,X,X,X,X,X
LIOZTJS,O,O,X,O,X,X,X,X
LIOZTSJ,O,O,X,X,X,X,X,X
