sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBzfBvbBM?aBJLBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBlrBMqBv?pBzfBJVB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBlrB0pBT?lB3fBJVB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jeu9IvhF6UBlrBXqBT?kBUgBJVB
ILTJSZO,X,O,X,X
ILTJSOZ,X,O,X,O
ILTJZSO,X,O,O,X
ILTJZOS,X,X,O,X
ILTJOSZ,O,X,X,X
ILTJOZS,O,X,O,X
ILTSJZO,X,O,X,X
ILTSJOZ,X,O,X,O
ILTSZJO,X,O,X,X
ILTSZOJ,X,O,X,X
ILTSOJZ,X,O,X,O
ILTSOZJ,X,O,X,O
ILTZJSO,X,O,O,X
ILTZJOS,X,X,O,X
ILTZSJO,X,O,O,X
ILTZSOJ,X,O,O,X
ILTZOJS,X,X,O,X
ILTZOSJ,X,X,O,X
ILTOJSZ,O,X,X,X
ILTOJZS,O,X,O,X
ILTOSJZ,O,X,X,X
ILTOSZJ,O,X,X,X
ILTOZJS,O,X,O,X
ILTOZSJ,O,X,O,X
ILJTSZO,X,O,X,X
ILJTSOZ,X,O,X,O
ILJTZSO,X,O,O,X
ILJTZOS,X,X,O,X
ILJTOSZ,O,X,X,X
ILJTOZS,O,X,O,X
ILJSTZO,X,O,X,X
ILJSTOZ,X,O,X,O
ILJSZTO,X,O,X,X
ILJSZOT,X,O,X,X
ILJSOTZ,X,O,X,O
ILJSOZT,X,O,X,O
ILJZTSO,X,O,O,X
ILJZTOS,X,X,O,X
ILJZSTO,X,O,O,X
ILJZSOT,X,O,O,X
ILJZOTS,X,X,O,X
ILJZOST,X,X,O,X
ILJOTSZ,O,X,X,X
ILJOTZS,O,X,O,X
ILJOSTZ,O,X,X,X
ILJOSZT,O,X,X,X
ILJOZTS,O,X,O,X
ILJOZST,O,X,O,X
ILSTJZO,X,O,X,X
ILSTJOZ,X,O,X,O
ILSTZJO,X,O,X,X
ILSTZOJ,X,O,X,X
ILSTOJZ,X,O,X,O
ILSTOZJ,X,O,X,O
ILSJTZO,X,O,X,X
ILSJTOZ,X,O,X,O
ILSJZTO,X,O,X,X
ILSJZOT,X,O,X,X
ILSJOTZ,X,O,X,O
ILSJOZT,X,O,X,O
ILSZTJO,X,O,X,X
ILSZTOJ,X,O,X,X
ILSZJTO,X,O,X,X
ILSZJOT,X,O,X,X
ILSZOTJ,X,O,X,X
ILSZOJT,X,O,X,X
ILSOTJZ,X,O,X,O
ILSOTZJ,X,O,X,O
ILSOJTZ,X,O,X,O
ILSOJZT,X,O,X,O
ILSOZTJ,X,O,X,O
ILSOZJT,X,O,X,O
ILZTJSO,X,O,O,X
ILZTJOS,X,X,O,X
ILZTSJO,X,O,O,X
ILZTSOJ,X,O,O,X
ILZTOJS,X,X,O,X
ILZTOSJ,X,X,O,X
ILZJTSO,X,O,O,X
ILZJTOS,X,X,O,X
ILZJSTO,X,O,O,X
ILZJSOT,X,O,O,X
ILZJOTS,X,X,O,X
ILZJOST,X,X,O,X
ILZSTJO,X,O,O,X
ILZSTOJ,X,O,O,X
ILZSJTO,X,O,O,X
ILZSJOT,X,O,O,X
ILZSOTJ,X,O,O,X
ILZSOJT,X,O,O,X
ILZOTJS,X,X,O,X
ILZOTSJ,X,X,O,X
ILZOJTS,X,X,O,X
ILZOJST,X,X,O,X
ILZOSTJ,X,X,O,X
ILZOSJT,X,X,O,X
ILOTJSZ,O,X,X,X
ILOTJZS,O,X,O,X
ILOTSJZ,O,X,X,X
ILOTSZJ,O,X,X,X
ILOTZJS,O,X,O,X
ILOTZSJ,O,X,O,X
ILOJTSZ,O,X,X,X
ILOJTZS,O,X,O,X
ILOJSTZ,O,X,X,X
ILOJSZT,O,X,X,X
ILOJZTS,O,X,O,X
ILOJZST,O,X,O,X
ILOSTJZ,O,X,X,X
ILOSTZJ,O,X,X,X
ILOSJTZ,O,X,X,X
ILOSJZT,O,X,X,X
ILOSZTJ,O,X,X,X
ILOSZJT,O,X,X,X
ILOZTJS,O,X,O,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,X,O,X
ILOZJST,O,X,O,X
ILOZSTJ,O,X,O,X
ILOZSJT,O,X,O,X
IJTLSZO,X,O,X,X
IJTLSOZ,X,O,X,O
IJTLZSO,X,O,O,X
IJTLZOS,X,X,O,X
IJTLOSZ,O,X,X,X
IJTLOZS,O,X,O,X
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,X,O
IJTSZLO,X,O,X,X
IJTSZOL,X,O,X,X
IJTSOLZ,X,O,X,O
IJTSOZL,X,O,X,O
IJTZLSO,X,O,O,X
IJTZLOS,X,X,O,X
IJTZSLO,X,O,O,X
IJTZSOL,X,O,O,X
IJTZOLS,X,X,O,X
IJTZOSL,X,X,O,X
IJTOLSZ,O,X,X,X
IJTOLZS,O,X,O,X
IJTOSLZ,O,X,X,X
IJTOSZL,O,X,X,X
IJTOZLS,O,X,O,X
IJTOZSL,O,X,O,X
IJLTSZO,X,O,X,X
IJLTSOZ,X,O,X,O
IJLTZSO,X,O,O,X
IJLTZOS,X,X,O,X
IJLTOSZ,O,X,X,X
IJLTOZS,O,X,O,X
IJLSTZO,X,O,X,X
IJLSTOZ,X,O,X,O
IJLSZTO,X,O,X,X
IJLSZOT,X,O,X,X
IJLSOTZ,X,O,X,O
IJLSOZT,X,O,X,O
IJLZTSO,X,O,O,X
IJLZTOS,X,X,O,X
IJLZSTO,X,O,O,X
IJLZSOT,X,O,O,X
IJLZOTS,X,X,O,X
IJLZOST,X,X,O,X
IJLOTSZ,O,X,X,X
IJLOTZS,O,X,O,X
IJLOSTZ,O,X,X,X
IJLOSZT,O,X,X,X
IJLOZTS,O,X,O,X
IJLOZST,O,X,O,X
IJSTLZO,X,O,X,X
IJSTLOZ,X,O,X,O
IJSTZLO,X,O,X,X
IJSTZOL,X,O,X,X
IJSTOLZ,X,O,X,O
IJSTOZL,X,O,X,O
IJSLTZO,X,O,X,X
IJSLTOZ,X,O,X,O
IJSLZTO,X,O,X,X
IJSLZOT,X,O,X,X
IJSLOTZ,X,O,X,O
IJSLOZT,X,O,X,O
IJSZTLO,X,O,X,X
IJSZTOL,X,O,X,X
IJSZLTO,X,O,X,X
IJSZLOT,X,O,X,X
IJSZOTL,X,O,X,X
IJSZOLT,X,O,X,X
IJSOTLZ,X,O,X,O
IJSOTZL,X,O,X,O
IJSOLTZ,X,O,X,O
IJSOLZT,X,O,X,O
IJSOZTL,X,O,X,O
IJSOZLT,X,O,X,O
IJZTLSO,X,O,O,X
IJZTLOS,X,X,O,X
IJZTSLO,X,O,O,X
IJZTSOL,X,O,O,X
IJZTOLS,X,X,O,X
IJZTOSL,X,X,O,X
IJZLTSO,X,O,O,X
IJZLTOS,X,X,O,X
IJZLSTO,X,O,O,X
IJZLSOT,X,O,O,X
IJZLOTS,X,X,O,X
IJZLOST,X,X,O,X
IJZSTLO,X,O,O,X
IJZSTOL,X,O,O,X
IJZSLTO,X,O,O,X
IJZSLOT,X,O,O,X
IJZSOTL,X,O,O,X
IJZSOLT,X,O,O,X
IJZOTLS,X,X,O,X
IJZOTSL,X,X,O,X
IJZOLTS,X,X,O,X
IJZOLST,X,X,O,X
IJZOSTL,X,X,O,X
IJZOSLT,X,X,O,X
IJOTLSZ,O,X,X,X
IJOTLZS,O,X,O,X
IJOTSLZ,O,X,X,X
IJOTSZL,O,X,X,X
IJOTZLS,O,X,O,X
IJOTZSL,O,X,O,X
IJOLTSZ,O,X,X,X
IJOLTZS,O,X,O,X
IJOLSTZ,O,X,X,X
IJOLSZT,O,X,X,X
IJOLZTS,O,X,O,X
IJOLZST,O,X,O,X
IJOSTLZ,O,X,X,X
IJOSTZL,O,X,X,X
IJOSLTZ,O,X,X,X
IJOSLZT,O,X,X,X
IJOSZTL,O,X,X,X
IJOSZLT,O,X,X,X
IJOZTLS,O,X,O,X
IJOZTSL,O,X,O,X
IJOZLTS,O,X,O,X
IJOZLST,O,X,O,X
IJOZSTL,O,X,O,X
IJOZSLT,O,X,O,X
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,X,O
ISTLZJO,X,O,X,X
ISTLZOJ,X,O,X,X
ISTLOJZ,X,O,X,O
ISTLOZJ,X,O,X,O
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,X,O
ISTJZLO,X,O,X,X
ISTJZOL,X,O,X,X
ISTJOLZ,X,O,X,O
ISTJOZL,X,O,X,O
ISTZLJO,X,O,X,X
ISTZLOJ,X,O,X,X
ISTZJLO,X,O,X,X
ISTZJOL,X,O,X,X
ISTZOLJ,X,O,X,X
ISTZOJL,X,O,X,X
ISTOLJZ,X,O,X,O
ISTOLZJ,X,O,X,O
ISTOJLZ,X,O,X,O
ISTOJZL,X,O,X,O
ISTOZLJ,X,O,X,O
ISTOZJL,X,O,X,O
ISLTJZO,X,O,X,X
ISLTJOZ,X,O,X,O
ISLTZJO,X,O,X,X
ISLTZOJ,X,O,X,X
ISLTOJZ,X,O,X,O
ISLTOZJ,X,O,X,O
ISLJTZO,X,O,X,X
ISLJTOZ,X,O,X,O
ISLJZTO,X,O,X,X
ISLJZOT,X,O,X,X
ISLJOTZ,X,O,X,O
ISLJOZT,X,O,X,O
ISLZTJO,X,O,X,X
ISLZTOJ,X,O,X,X
ISLZJTO,X,O,X,X
ISLZJOT,X,O,X,X
ISLZOTJ,X,O,X,X
ISLZOJT,X,O,X,X
ISLOTJZ,X,O,X,O
ISLOTZJ,X,O,X,O
ISLOJTZ,X,O,X,O
ISLOJZT,X,O,X,O
ISLOZTJ,X,O,X,O
ISLOZJT,X,O,X,O
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,X,O
ISJTZLO,X,O,X,X
ISJTZOL,X,O,X,X
ISJTOLZ,X,O,X,O
ISJTOZL,X,O,X,O
ISJLTZO,X,O,X,X
ISJLTOZ,X,O,X,O
ISJLZTO,X,O,X,X
ISJLZOT,X,O,X,X
ISJLOTZ,X,O,X,O
ISJLOZT,X,O,X,O
ISJZTLO,X,O,X,X
ISJZTOL,X,O,X,X
ISJZLTO,X,O,X,X
ISJZLOT,X,O,X,X
ISJZOTL,X,O,X,X
ISJZOLT,X,O,X,X
ISJOTLZ,X,O,X,O
ISJOTZL,X,O,X,O
ISJOLTZ,X,O,X,O
ISJOLZT,X,O,X,O
ISJOZTL,X,O,X,O
ISJOZLT,X,O,X,O
ISZTLJO,X,O,X,X
ISZTLOJ,X,O,X,X
ISZTJLO,X,O,X,X
ISZTJOL,X,O,X,X
ISZTOLJ,X,O,X,X
ISZTOJL,X,O,X,X
ISZLTJO,X,O,X,X
ISZLTOJ,X,O,X,X
ISZLJTO,X,O,X,X
ISZLJOT,X,O,X,X
ISZLOTJ,X,O,X,X
ISZLOJT,X,O,X,X
ISZJTLO,X,O,X,X
ISZJTOL,X,O,X,X
ISZJLTO,X,O,X,X
ISZJLOT,X,O,X,X
ISZJOTL,X,O,X,X
ISZJOLT,X,O,X,X
ISZOTLJ,X,O,X,X
ISZOTJL,X,O,X,X
ISZOLTJ,X,O,X,X
ISZOLJT,X,O,X,X
ISZOJTL,X,O,X,X
ISZOJLT,X,O,X,X
ISOTLJZ,X,O,X,O
ISOTLZJ,X,O,X,O
ISOTJLZ,X,O,X,O
ISOTJZL,X,O,X,O
ISOTZLJ,X,O,X,O
ISOTZJL,X,O,X,O
ISOLTJZ,X,O,X,O
ISOLTZJ,X,O,X,O
ISOLJTZ,X,O,X,O
ISOLJZT,X,O,X,O
ISOLZTJ,X,O,X,O
ISOLZJT,X,O,X,O
ISOJTLZ,X,O,X,O
ISOJTZL,X,O,X,O
ISOJLTZ,X,O,X,O
ISOJLZT,X,O,X,O
ISOJZTL,X,O,X,O
ISOJZLT,X,O,X,O
ISOZTLJ,X,O,X,O
ISOZTJL,X,O,X,O
ISOZLTJ,X,O,X,O
ISOZLJT,X,O,X,O
ISOZJTL,X,O,X,O
ISOZJLT,X,O,X,O
IZTLJSO,X,O,O,X
IZTLJOS,X,X,O,X
IZTLSJO,X,O,O,X
IZTLSOJ,X,O,O,X
IZTLOJS,X,X,O,X
IZTLOSJ,X,X,O,X
IZTJLSO,X,O,O,X
IZTJLOS,X,X,O,X
IZTJSLO,X,O,O,X
IZTJSOL,X,O,O,X
IZTJOLS,X,X,O,X
IZTJOSL,X,X,O,X
IZTSLJO,X,O,O,X
IZTSLOJ,X,O,O,X
IZTSJLO,X,O,O,X
IZTSJOL,X,O,O,X
IZTSOLJ,X,O,O,X
IZTSOJL,X,O,O,X
IZTOLJS,X,X,O,X
IZTOLSJ,X,X,O,X
IZTOJLS,X,X,O,X
IZTOJSL,X,X,O,X
IZTOSLJ,X,X,O,X
IZTOSJL,X,X,O,X
IZLTJSO,X,O,O,X
IZLTJOS,X,X,O,X
IZLTSJO,X,O,O,X
IZLTSOJ,X,O,O,X
IZLTOJS,X,X,O,X
IZLTOSJ,X,X,O,X
IZLJTSO,X,O,O,X
IZLJTOS,X,X,O,X
IZLJSTO,X,O,O,X
IZLJSOT,X,O,O,X
IZLJOTS,X,X,O,X
IZLJOST,X,X,O,X
IZLSTJO,X,O,O,X
IZLSTOJ,X,O,O,X
IZLSJTO,X,O,O,X
IZLSJOT,X,O,O,X
IZLSOTJ,X,O,O,X
IZLSOJT,X,O,O,X
IZLOTJS,X,X,O,X
IZLOTSJ,X,X,O,X
IZLOJTS,X,X,O,X
IZLOJST,X,X,O,X
IZLOSTJ,X,X,O,X
IZLOSJT,X,X,O,X
IZJTLSO,X,O,O,X
IZJTLOS,X,X,O,X
IZJTSLO,X,O,O,X
IZJTSOL,X,O,O,X
IZJTOLS,X,X,O,X
IZJTOSL,X,X,O,X
IZJLTSO,X,O,O,X
IZJLTOS,X,X,O,X
IZJLSTO,X,O,O,X
IZJLSOT,X,O,O,X
IZJLOTS,X,X,O,X
IZJLOST,X,X,O,X
IZJSTLO,X,O,O,X
IZJSTOL,X,O,O,X
IZJSLTO,X,O,O,X
IZJSLOT,X,O,O,X
IZJSOTL,X,O,O,X
IZJSOLT,X,O,O,X
IZJOTLS,X,X,O,X
IZJOTSL,X,X,O,X
IZJOLTS,X,X,O,X
IZJOLST,X,X,O,X
IZJOSTL,X,X,O,X
IZJOSLT,X,X,O,X
IZSTLJO,X,O,O,X
IZSTLOJ,X,O,O,X
IZSTJLO,X,O,O,X
IZSTJOL,X,O,O,X
IZSTOLJ,X,O,O,X
IZSTOJL,X,O,O,X
IZSLTJO,X,O,O,X
IZSLTOJ,X,O,O,X
IZSLJTO,X,O,O,X
IZSLJOT,X,O,O,X
IZSLOTJ,X,O,O,X
IZSLOJT,X,O,O,X
IZSJTLO,X,O,O,X
IZSJTOL,X,O,O,X
IZSJLTO,X,O,O,X
IZSJLOT,X,O,O,X
IZSJOTL,X,O,O,X
IZSJOLT,X,O,O,X
IZSOTLJ,X,O,O,X
IZSOTJL,X,O,O,X
IZSOLTJ,X,O,O,X
IZSOLJT,X,O,O,X
IZSOJTL,X,O,O,X
IZSOJLT,X,O,O,X
IZOTLJS,X,X,O,X
IZOTLSJ,X,X,O,X
IZOTJLS,X,X,O,X
IZOTJSL,X,X,O,X
IZOTSLJ,X,X,O,X
IZOTSJL,X,X,O,X
IZOLTJS,X,X,O,X
IZOLTSJ,X,X,O,X
IZOLJTS,X,X,O,X
IZOLJST,X,X,O,X
IZOLSTJ,X,X,O,X
IZOLSJT,X,X,O,X
IZOJTLS,X,X,O,X
IZOJTSL,X,X,O,X
IZOJLTS,X,X,O,X
IZOJLST,X,X,O,X
IZOJSTL,X,X,O,X
IZOJSLT,X,X,O,X
IZOSTLJ,X,X,O,X
IZOSTJL,X,X,O,X
IZOSLTJ,X,X,O,X
IZOSLJT,X,X,O,X
IZOSJTL,X,X,O,X
IZOSJLT,X,X,O,X
IOTLJSZ,O,X,X,X
IOTLJZS,O,X,O,X
IOTLSJZ,O,X,X,X
IOTLSZJ,O,X,X,X
IOTLZJS,O,X,O,X
IOTLZSJ,O,X,O,X
IOTJLSZ,O,X,X,X
IOTJLZS,O,X,O,X
IOTJSLZ,O,X,X,X
IOTJSZL,O,X,X,X
IOTJZLS,O,X,O,X
IOTJZSL,O,X,O,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,O,X,X,X
IOTSJZL,O,X,X,X
IOTSZLJ,O,X,X,X
IOTSZJL,O,X,X,X
IOTZLJS,O,X,O,X
IOTZLSJ,O,X,O,X
IOTZJLS,O,X,O,X
IOTZJSL,O,X,O,X
IOTZSLJ,O,X,O,X
IOTZSJL,O,X,O,X
IOLTJSZ,O,X,X,X
IOLTJZS,O,X,O,X
IOLTSJZ,O,X,X,X
IOLTSZJ,O,X,X,X
IOLTZJS,O,X,O,X
IOLTZSJ,O,X,O,X
IOLJTSZ,O,X,X,X
IOLJTZS,O,X,O,X
IOLJSTZ,O,X,X,X
IOLJSZT,O,X,X,X
IOLJZTS,O,X,O,X
IOLJZST,O,X,O,X
IOLSTJZ,O,X,X,X
IOLSTZJ,O,X,X,X
IOLSJTZ,O,X,X,X
IOLSJZT,O,X,X,X
IOLSZTJ,O,X,X,X
IOLSZJT,O,X,X,X
IOLZTJS,O,X,O,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,X,O,X
IOLZJST,O,X,O,X
IOLZSTJ,O,X,O,X
IOLZSJT,O,X,O,X
IOJTLSZ,O,X,X,X
IOJTLZS,O,X,O,X
IOJTSLZ,O,X,X,X
IOJTSZL,O,X,X,X
IOJTZLS,O,X,O,X
IOJTZSL,O,X,O,X
IOJLTSZ,O,X,X,X
IOJLTZS,O,X,O,X
IOJLSTZ,O,X,X,X
IOJLSZT,O,X,X,X
IOJLZTS,O,X,O,X
IOJLZST,O,X,O,X
IOJSTLZ,O,X,X,X
IOJSTZL,O,X,X,X
IOJSLTZ,O,X,X,X
IOJSLZT,O,X,X,X
IOJSZTL,O,X,X,X
IOJSZLT,O,X,X,X
IOJZTLS,O,X,O,X
IOJZTSL,O,X,O,X
IOJZLTS,O,X,O,X
IOJZLST,O,X,O,X
IOJZSTL,O,X,O,X
IOJZSLT,O,X,O,X
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,O,X,X,X
IOSTJZL,O,X,X,X
IOSTZLJ,O,X,X,X
IOSTZJL,O,X,X,X
IOSLTJZ,O,X,X,X
IOSLTZJ,O,X,X,X
IOSLJTZ,O,X,X,X
IOSLJZT,O,X,X,X
IOSLZTJ,O,X,X,X
IOSLZJT,O,X,X,X
IOSJTLZ,O,X,X,X
IOSJTZL,O,X,X,X
IOSJLTZ,O,X,X,X
IOSJLZT,O,X,X,X
IOSJZTL,O,X,X,X
IOSJZLT,O,X,X,X
IOSZTLJ,O,X,X,X
IOSZTJL,O,X,X,X
IOSZLTJ,O,X,X,X
IOSZLJT,O,X,X,X
IOSZJTL,O,X,X,X
IOSZJLT,O,X,X,X
IOZTLJS,O,X,O,X
IOZTLSJ,O,X,O,X
IOZTJLS,O,X,O,X
IOZTJSL,O,X,O,X
IOZTSLJ,O,X,O,X
IOZTSJL,O,X,O,X
IOZLTJS,O,X,O,X
IOZLTSJ,O,X,O,X
IOZLJTS,O,X,O,X
IOZLJST,O,X,O,X
IOZLSTJ,O,X,O,X
IOZLSJT,O,X,O,X
IOZJTLS,O,X,O,X
IOZJTSL,O,X,O,X
IOZJLTS,O,X,O,X
IOZJLST,O,X,O,X
IOZJSTL,O,X,O,X
IOZJSLT,O,X,O,X
IOZSTLJ,O,X,O,X
IOZSTJL,O,X,O,X
IOZSLTJ,O,X,O,X
IOZSLJT,O,X,O,X
IOZSJTL,O,X,O,X
IOZSJLT,O,X,O,X
LTIJSZO,X,O,X,X
LTIJSOZ,X,O,X,O
LTIJZSO,X,O,O,X
LTIJZOS,X,X,O,X
LTIJOSZ,O,X,X,X
LTIJOZS,O,X,O,X
LTISJZO,X,O,X,X
LTISJOZ,X,O,X,O
LTISZJO,X,O,X,X
LTISZOJ,X,O,X,X
LTISOJZ,X,O,X,O
LTISOZJ,X,O,X,O
LTIZJSO,X,O,O,X
LTIZJOS,X,X,O,X
LTIZSJO,X,O,O,X
LTIZSOJ,X,O,O,X
LTIZOJS,X,X,O,X
LTIZOSJ,X,X,O,X
LTIOJSZ,O,X,X,X
LTIOJZS,O,X,O,X
LTIOSJZ,O,X,X,X
LTIOSZJ,O,X,X,X
LTIOZJS,O,X,O,X
LTIOZSJ,O,X,O,X
LTJISZO,X,O,X,X
LTJISOZ,X,O,X,O
LTJIZSO,X,O,O,X
LTJIZOS,X,X,O,X
LTJIOSZ,O,X,X,X
LTJIOZS,O,X,O,X
LTJSIZO,X,O,X,X
LTJSIOZ,X,O,X,O
LTJSZIO,X,O,O,X
LTJSZOI,X,O,O,O
LTJSOIZ,O,O,X,O
LTJSOZI,O,O,O,O
LTJZISO,X,O,O,X
LTJZIOS,X,X,O,X
LTJZSIO,X,O,O,X
LTJZSOI,X,O,O,O
LTJZOIS,O,X,O,X
LTJZOSI,O,O,O,X
LTJOISZ,O,X,X,X
LTJOIZS,O,X,O,X
LTJOSIZ,O,O,X,O
LTJOSZI,O,O,O,O
LTJOZIS,O,X,O,X
LTJOZSI,O,O,O,X
LTSIJZO,X,O,X,X
LTSIJOZ,X,O,X,O
LTSIZJO,X,O,X,X
LTSIZOJ,X,O,X,X
LTSIOJZ,X,O,X,O
LTSIOZJ,X,O,X,O
LTSJIZO,X,O,X,X
LTSJIOZ,X,O,X,O
LTSJZIO,X,O,O,X
LTSJZOI,X,O,O,O
LTSJOIZ,O,O,X,O
LTSJOZI,O,O,O,O
LTSZIJO,X,O,O,X
LTSZIOJ,X,O,O,X
LTSZJIO,X,O,O,X
LTSZJOI,X,O,O,O
LTSZOIJ,X,O,O,O
LTSZOJI,X,O,O,O
LTSOIJZ,O,O,X,O
LTSOIZJ,O,O,X,O
LTSOJIZ,O,O,X,O
LTSOJZI,O,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,X,O,O,X
LTZIJOS,X,X,O,X
LTZISJO,X,O,O,X
LTZISOJ,X,O,O,X
LTZIOJS,X,X,O,X
LTZIOSJ,X,X,O,X
LTZJISO,X,O,O,X
LTZJIOS,X,X,O,X
LTZJSIO,X,O,O,X
LTZJSOI,X,O,O,O
LTZJOIS,O,X,O,X
LTZJOSI,O,O,O,X
LTZSIJO,X,O,O,X
LTZSIOJ,X,O,O,X
LTZSJIO,X,O,O,X
LTZSJOI,X,O,O,O
LTZSOIJ,X,O,O,O
LTZSOJI,X,O,O,O
LTZOIJS,O,X,O,X
LTZOISJ,O,X,O,X
LTZOJIS,O,X,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,X,X,X
LTOIJZS,O,X,O,X
LTOISJZ,O,X,X,X
LTOISZJ,O,X,X,X
LTOIZJS,O,X,O,X
LTOIZSJ,O,X,O,X
LTOJISZ,O,X,X,X
LTOJIZS,O,X,O,X
LTOJSIZ,O,O,X,O
LTOJSZI,O,O,O,O
LTOJZIS,O,X,O,X
LTOJZSI,O,O,O,X
LTOSIJZ,O,O,X,O
LTOSIZJ,O,O,X,O
LTOSJIZ,O,O,X,O
LTOSJZI,O,O,O,O
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,O
LTOZIJS,O,X,O,X
LTOZISJ,O,X,O,X
LTOZJIS,O,X,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,X,O,X,X
LITJSOZ,X,O,X,O
LITJZSO,X,O,O,X
LITJZOS,X,X,O,X
LITJOSZ,O,X,X,X
LITJOZS,O,X,O,X
LITSJZO,X,O,X,X
LITSJOZ,X,O,X,O
LITSZJO,X,O,X,X
LITSZOJ,X,O,X,X
LITSOJZ,X,O,X,O
LITSOZJ,X,O,X,O
LITZJSO,X,O,O,X
LITZJOS,X,X,O,X
LITZSJO,X,O,O,X
LITZSOJ,X,O,O,X
LITZOJS,X,X,O,X
LITZOSJ,X,X,O,X
LITOJSZ,O,X,X,X
LITOJZS,O,X,O,X
LITOSJZ,O,X,X,X
LITOSZJ,O,X,X,X
LITOZJS,O,X,O,X
LITOZSJ,O,X,O,X
LIJTSZO,X,O,X,X
LIJTSOZ,X,O,X,O
LIJTZSO,X,O,O,X
LIJTZOS,X,X,O,X
LIJTOSZ,O,X,X,X
LIJTOZS,O,X,O,X
LIJSTZO,X,O,X,X
LIJSTOZ,X,O,X,O
LIJSZTO,X,O,X,X
LIJSZOT,X,O,X,X
LIJSOTZ,X,O,X,O
LIJSOZT,X,O,X,O
LIJZTSO,X,O,O,X
LIJZTOS,X,X,O,X
LIJZSTO,X,O,O,X
LIJZSOT,X,O,O,X
LIJZOTS,X,X,O,X
LIJZOST,X,X,O,X
LIJOTSZ,O,X,X,X
LIJOTZS,O,X,O,X
LIJOSTZ,O,X,X,X
LIJOSZT,O,X,X,X
LIJOZTS,O,X,O,X
LIJOZST,O,X,O,X
LISTJZO,X,O,X,X
LISTJOZ,X,O,X,O
LISTZJO,X,O,X,X
LISTZOJ,X,O,X,X
LISTOJZ,X,O,X,O
LISTOZJ,X,O,X,O
LISJTZO,X,O,X,X
LISJTOZ,X,O,X,O
LISJZTO,X,O,X,X
LISJZOT,X,O,X,X
LISJOTZ,X,O,X,O
LISJOZT,X,O,X,O
LISZTJO,X,O,X,X
LISZTOJ,X,O,X,X
LISZJTO,X,O,X,X
LISZJOT,X,O,X,X
LISZOTJ,X,O,X,X
LISZOJT,X,O,X,X
LISOTJZ,X,O,X,O
LISOTZJ,X,O,X,O
LISOJTZ,X,O,X,O
LISOJZT,X,O,X,O
LISOZTJ,X,O,X,O
LISOZJT,X,O,X,O
LIZTJSO,X,O,O,X
LIZTJOS,X,X,O,X
LIZTSJO,X,O,O,X
LIZTSOJ,X,O,O,X
LIZTOJS,X,X,O,X
LIZTOSJ,X,X,O,X
LIZJTSO,X,O,O,X
LIZJTOS,X,X,O,X
LIZJSTO,X,O,O,X
LIZJSOT,X,O,O,X
LIZJOTS,X,X,O,X
LIZJOST,X,X,O,X
LIZSTJO,X,O,O,X
LIZSTOJ,X,O,O,X
LIZSJTO,X,O,O,X
LIZSJOT,X,O,O,X
LIZSOTJ,X,O,O,X
LIZSOJT,X,O,O,X
LIZOTJS,X,X,O,X
LIZOTSJ,X,X,O,X
LIZOJTS,X,X,O,X
LIZOJST,X,X,O,X
LIZOSTJ,X,X,O,X
LIZOSJT,X,X,O,X
LIOTJSZ,O,X,X,X
LIOTJZS,O,X,O,X
LIOTSJZ,O,X,X,X
LIOTSZJ,O,X,X,X
LIOTZJS,O,X,O,X
LIOTZSJ,O,X,O,X
LIOJTSZ,O,X,X,X
LIOJTZS,O,X,O,X
LIOJSTZ,O,X,X,X
LIOJSZT,O,X,X,X
LIOJZTS,O,X,O,X
LIOJZST,O,X,O,X
LIOSTJZ,O,X,X,X
LIOSTZJ,O,X,X,X
LIOSJTZ,O,X,X,X
LIOSJZT,O,X,X,X
LIOSZTJ,O,X,X,X
LIOSZJT,O,X,X,X
LIOZTJS,O,X,O,X
LIOZTSJ,O,X,O,X
LIOZJTS,O,X,O,X
LIOZJST,O,X,O,X
LIOZSTJ,O,X,O,X
LIOZSJT,O,X,O,X
LJTISZO,X,O,X,X
LJTISOZ,X,O,X,O
LJTIZSO,X,O,O,X
LJTIZOS,X,X,O,X
LJTIOSZ,O,X,X,X
LJTIOZS,O,X,O,X
LJTSIZO,X,O,X,X
LJTSIOZ,X,O,X,O
