sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
TJOLIZS,O,O,X,X,O,X,O,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,O,X,X,X,X
TJOLSZI,X,X,X,X,X,X,O,X,X,X,X
TJOLZIS,X,O,X,X,O,X,O,X,X,X,X
TJOLZSI,X,O,X,X,X,X,O,X,X,X,X
TJOSILZ,X,X,X,O,X,X,O,X,X,O,X
TJOSIZL,X,X,X,O,X,X,O,X,X,O,X
TJOSLIZ,X,X,X,X,X,X,O,X,X,O,X
TJOSLZI,X,X,X,X,X,X,O,X,X,O,X
TJOSZIL,X,X,X,O,X,X,O,O,X,O,X
TJOSZLI,X,X,X,X,X,X,O,O,X,O,X
TJOZILS,O,X,X,O,O,X,O,O,X,X,X
TJOZISL,O,X,X,O,O,X,O,O,X,O,X
TJOZLIS,O,O,X,X,O,X,O,O,X,X,X
TJOZLSI,O,O,X,X,X,X,O,O,X,X,X
TJOZSIL,O,X,X,O,X,X,O,O,X,O,X
TJOZSLI,O,O,X,X,X,X,O,O,X,O,X
TSILJZO,X,X,O,O,X,O,X,X,X,O,X
TSILJOZ,X,X,O,O,X,O,X,X,X,O,O
TSILZJO,X,X,O,O,X,O,X,X,X,X,X
TSILZOJ,X,X,O,O,X,O,X,X,X,X,X
TSILOJZ,X,X,O,O,X,O,X,X,X,O,O
TSILOZJ,X,X,O,O,X,O,X,X,X,X,O
TSIJLZO,X,X,O,O,X,O,X,X,X,O,X
TSIJLOZ,X,X,O,O,X,O,X,X,X,O,X
TSIJZLO,X,X,O,O,X,O,X,X,X,O,X
TSIJZOL,X,X,X,O,X,O,X,X,X,O,X
TSIJOLZ,X,X,X,O,X,O,X,X,X,O,X
TSIJOZL,X,X,X,O,X,O,X,X,X,O,X
TSIZLJO,X,X,O,O,X,O,X,X,X,X,X
TSIZLOJ,X,X,O,O,X,O,X,X,X,X,X
TSIZJLO,X,X,O,O,X,O,X,X,X,X,X
TSIZJOL,X,X,X,O,X,O,X,X,X,X,X
TSIZOLJ,X,X,X,O,X,O,X,X,X,X,X
TSIZOJL,X,X,X,O,X,O,X,X,X,X,X
TSIOLJZ,X,X,X,O,X,O,X,X,X,O,O
TSIOLZJ,X,X,X,O,X,O,X,X,X,X,O
TSIOJLZ,X,X,X,O,X,O,X,X,X,O,X
TSIOJZL,X,X,X,O,X,O,X,X,X,O,X
TSIOZLJ,X,X,X,O,X,O,X,X,X,X,O
TSIOZJL,X,X,X,O,X,O,X,X,X,X,X
TSLIJZO,X,X,O,X,X,O,X,X,X,O,X
TSLIJOZ,X,X,O,X,X,O,X,X,X,O,O
TSLIZJO,X,X,O,X,X,O,X,X,X,X,X
TSLIZOJ,X,X,O,X,X,O,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,O,X,X,X,O,O
TSLIOZJ,X,X,O,X,X,O,X,X,X,X,O
TSLJIZO,X,X,O,X,X,O,X,X,X,O,X
TSLJIOZ,X,X,O,X,X,O,X,X,X,O,O
TSLJZIO,X,X,O,X,X,O,X,X,X,O,X
TSLJZOI,X,X,O,X,X,X,X,X,X,O,X
TSLJOIZ,X,X,O,X,X,O,X,X,X,O,O
TSLJOZI,X,X,O,X,X,X,X,X,X,O,O
TSLZIJO,X,X,O,X,X,O,X,X,X,X,X
TSLZIOJ,X,X,O,X,X,O,X,X,X,X,X
TSLZJIO,X,X,O,X,X,O,X,X,X,X,X
TSLZJOI,X,X,O,X,X,X,X,X,X,X,X
TSLZOIJ,X,X,O,X,X,X,X,X,X,X,X
TSLZOJI,X,X,O,X,X,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,O,X,X,X,O,O
TSLOIZJ,X,X,O,X,X,O,X,X,X,X,O
TSLOJIZ,X,X,O,X,X,O,X,X,X,O,O
TSLOJZI,X,X,O,X,X,X,X,X,X,O,O
TSLOZIJ,X,X,O,X,X,X,X,X,X,X,O
TSLOZJI,X,X,O,X,X,X,X,X,X,X,O
TSJILZO,X,X,O,O,X,O,X,X,X,O,X
TSJILOZ,X,X,O,O,X,O,X,X,X,O,X
TSJIZLO,X,X,O,O,X,O,X,X,X,O,X
TSJIZOL,X,X,X,O,X,O,X,X,X,O,X
TSJIOLZ,X,X,X,O,X,O,X,X,X,O,X
TSJIOZL,X,X,X,O,X,O,X,X,X,O,X
TSJLIZO,X,X,O,X,X,O,X,X,X,O,X
TSJLIOZ,X,X,O,X,X,O,X,X,X,O,X
TSJLZIO,X,X,O,X,X,O,X,X,X,O,X
TSJLZOI,X,X,O,X,X,X,X,X,X,O,X
TSJLOIZ,X,X,O,X,X,O,X,X,X,O,X
TSJLOZI,X,X,O,X,X,X,X,X,X,O,X
TSJZILO,X,X,O,O,X,O,X,O,X,O,X
TSJZIOL,X,X,X,O,X,O,X,O,X,O,X
TSJZLIO,X,X,O,X,X,O,X,O,X,O,X
TSJZLOI,X,X,O,X,X,X,X,O,X,O,X
TSJZOIL,X,X,X,O,X,X,X,O,X,O,X
TSJZOLI,X,X,X,X,X,X,X,O,X,O,X
TSJOILZ,X,X,X,O,X,O,X,X,X,O,X
TSJOIZL,X,X,X,O,X,O,X,X,X,O,X
TSJOLIZ,X,X,X,X,X,O,X,X,X,O,X
TSJOLZI,X,X,X,X,X,X,X,X,X,O,X
TSJOZIL,X,X,X,O,X,X,X,O,X,O,X
TSJOZLI,X,X,X,X,X,X,X,O,X,O,X
TSZILJO,X,X,O,O,X,O,X,O,X,X,X
TSZILOJ,X,X,O,O,X,O,X,O,X,X,X
TSZIJLO,X,X,O,O,X,O,X,O,X,X,X
TSZIJOL,X,X,X,O,X,O,X,O,X,X,X
TSZIOLJ,X,X,X,O,X,O,X,O,X,X,X
TSZIOJL,X,X,X,O,X,O,X,O,X,X,X
TSZLIJO,X,X,O,X,X,O,X,O,X,X,X
TSZLIOJ,X,X,O,X,X,O,X,O,X,X,X
TSZLJIO,X,X,O,X,X,O,X,O,X,X,X
TSZLJOI,X,X,O,X,X,X,X,O,X,X,X
TSZLOIJ,X,X,O,X,X,X,X,O,X,X,X
TSZLOJI,X,X,O,X,X,X,X,O,X,X,X
TSZJILO,X,X,O,O,X,O,X,O,X,X,X
TSZJIOL,X,X,X,O,X,O,X,O,X,X,X
TSZJLIO,X,X,O,X,X,O,X,O,X,X,X
TSZJLOI,X,X,O,X,X,X,X,O,X,X,X
TSZJOIL,X,X,X,O,X,X,X,O,X,X,X
TSZJOLI,X,X,X,X,X,X,X,O,X,X,X
TSZOILJ,X,X,X,O,X,X,X,O,X,X,X
TSZOIJL,X,X,X,O,X,X,X,O,X,X,X
TSZOLIJ,X,X,X,X,X,X,X,O,X,X,X
TSZOLJI,X,X,X,X,X,X,X,O,X,X,X
TSZOJIL,X,X,X,O,X,X,X,O,X,X,X
TSZOJLI,X,X,X,X,X,X,X,O,X,X,X
TSOILJZ,X,X,X,O,X,O,X,X,X,O,O
TSOILZJ,X,X,X,O,X,O,X,X,X,X,O
TSOIJLZ,X,X,X,O,X,O,X,X,X,O,X
TSOIJZL,X,X,X,O,X,O,X,X,X,O,X
TSOIZLJ,X,X,X,O,X,O,X,X,X,X,O
TSOIZJL,X,X,X,O,X,O,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,O,X,X,X,O,O
TSOLIZJ,X,X,X,X,X,O,X,X,X,X,O
TSOLJIZ,X,X,X,X,X,O,X,X,X,O,O
TSOLJZI,X,X,X,X,X,X,X,X,X,O,O
TSOLZIJ,X,X,X,X,X,X,X,X,X,X,O
TSOLZJI,X,X,X,X,X,X,X,X,X,X,O
TSOJILZ,X,X,X,O,X,O,X,X,X,O,X
TSOJIZL,X,X,X,O,X,O,X,X,X,O,X
TSOJLIZ,X,X,X,X,X,O,X,X,X,O,X
TSOJLZI,X,X,X,X,X,X,X,X,X,O,X
TSOJZIL,X,X,X,O,X,X,X,O,X,O,X
TSOJZLI,X,X,X,X,X,X,X,O,X,O,X
TSOZILJ,X,X,X,O,X,X,X,O,X,X,O
TSOZIJL,X,X,X,O,X,X,X,O,X,X,X
TSOZLIJ,X,X,X,X,X,X,X,O,X,X,O
TSOZLJI,X,X,X,X,X,X,X,O,X,X,O
TSOZJIL,X,X,X,O,X,X,X,O,X,X,X
TSOZJLI,X,X,X,X,X,X,X,O,X,X,X
TZILJSO,X,O,O,O,X,O,X,O,O,X,X
TZILJOS,X,O,O,O,O,O,X,O,O,X,X
TZILSJO,X,O,O,O,X,O,X,O,O,X,X
TZILSOJ,X,O,O,O,X,O,X,O,O,X,X
TZILOJS,X,O,O,O,O,X,X,O,O,X,X
TZILOSJ,X,O,O,O,O,X,X,O,O,X,X
TZIJLSO,X,O,O,O,X,O,X,O,O,X,X
TZIJLOS,X,O,O,O,O,O,X,O,O,X,X
TZIJSLO,X,O,O,O,X,O,X,O,X,X,X
TZIJSOL,X,X,X,O,O,O,X,O,X,X,X
TZIJOLS,X,X,X,O,O,X,X,O,O,X,X
TZIJOSL,X,X,X,O,O,O,X,O,X,X,X
TZISLJO,X,O,O,O,X,O,X,O,X,X,X
TZISLOJ,X,O,O,O,X,O,X,O,X,X,X
TZISJLO,X,O,O,O,X,O,X,O,X,X,X
TZISJOL,X,X,X,O,O,O,X,O,X,X,X
TZISOLJ,X,X,X,O,O,O,X,O,X,X,X
TZISOJL,X,X,X,O,O,O,X,O,X,X,X
TZIOLJS,X,X,X,O,O,X,X,O,O,X,X
TZIOLSJ,X,X,X,O,O,X,X,O,O,X,X
TZIOJLS,X,X,X,O,O,X,X,O,O,X,X
TZIOJSL,X,X,X,O,O,O,X,O,X,X,X
TZIOSLJ,X,X,X,O,O,O,X,O,X,X,X
TZIOSJL,X,X,X,O,O,O,X,O,X,X,X
TZLIJSO,X,O,O,X,X,O,X,O,O,X,X
TZLIJOS,X,O,O,X,O,O,X,O,O,X,X
TZLISJO,X,O,O,X,X,O,X,O,O,X,X
TZLISOJ,X,O,O,X,X,O,X,O,O,X,X
TZLIOJS,X,O,O,X,O,X,X,O,O,X,X
TZLIOSJ,X,O,O,X,O,X,X,O,O,X,X
TZLJISO,X,O,O,X,X,O,X,O,O,X,X
TZLJIOS,X,O,O,X,O,O,X,O,O,X,X
TZLJSIO,X,O,O,X,X,O,X,O,O,X,X
TZLJSOI,O,O,O,X,X,X,X,O,O,X,X
TZLJOIS,O,O,O,X,O,X,X,O,O,X,X
TZLJOSI,O,O,O,X,X,X,X,O,O,X,X
TZLSIJO,X,O,O,X,X,O,X,O,O,X,X
TZLSIOJ,X,O,O,X,X,O,X,O,O,X,X
TZLSJIO,X,O,O,X,X,O,X,O,O,X,X
TZLSJOI,O,O,O,X,X,X,X,O,O,X,X
TZLSOIJ,O,O,O,X,X,X,X,O,O,X,X
TZLSOJI,O,O,O,X,X,X,X,O,O,X,X
TZLOIJS,O,O,O,X,O,X,X,O,O,X,X
TZLOISJ,O,O,O,X,O,X,X,O,O,X,X
TZLOJIS,O,O,O,X,O,X,X,O,O,X,X
TZLOJSI,O,O,O,X,X,X,X,O,O,X,X
TZLOSIJ,O,O,O,X,X,X,X,O,O,X,X
TZLOSJI,O,O,O,X,X,X,X,O,O,X,X
TZJILSO,X,O,O,O,X,O,X,O,O,X,X
TZJILOS,X,O,O,O,O,O,X,O,O,X,X
TZJISLO,X,O,O,O,X,O,X,O,X,X,X
TZJISOL,X,X,X,O,O,O,X,O,X,X,X
TZJIOLS,X,X,X,O,O,X,X,O,O,X,X
TZJIOSL,X,X,X,O,O,O,X,O,X,X,X
TZJLISO,X,O,O,X,X,O,X,O,O,X,X
TZJLIOS,X,O,O,X,O,O,X,O,O,X,X
TZJLSIO,X,O,O,X,X,O,X,O,O,X,X
TZJLSOI,O,O,O,X,X,X,X,O,O,X,X
TZJLOIS,O,O,O,X,O,X,X,O,O,X,X
TZJLOSI,O,O,O,X,X,X,X,O,O,X,X
TZJSILO,X,O,O,O,X,O,X,O,X,X,X
TZJSIOL,X,X,X,O,X,O,X,O,X,X,X
TZJSLIO,X,O,O,X,X,O,X,O,X,X,X
TZJSLOI,O,O,O,X,X,X,X,O,X,X,X
TZJSOIL,O,X,X,O,X,X,X,O,X,X,X
TZJSOLI,O,O,X,X,X,X,X,O,X,X,X
TZJOILS,O,X,X,O,O,X,X,O,O,X,X
TZJOISL,O,X,X,O,O,X,X,O,X,X,X
TZJOLIS,O,O,X,X,O,X,X,O,O,X,X
TZJOLSI,O,O,X,X,X,X,X,O,O,X,X
TZJOSIL,O,X,X,O,X,X,X,O,X,X,X
TZJOSLI,O,O,X,X,X,X,X,O,X,X,X
TZSILJO,X,O,O,O,X,O,X,O,X,X,X
TZSILOJ,X,O,O,O,X,O,X,O,X,X,X
TZSIJLO,X,O,O,O,X,O,X,O,X,X,X
TZSIJOL,X,X,X,O,X,O,X,O,X,X,X
TZSIOLJ,X,X,X,O,X,O,X,O,X,X,X
TZSIOJL,X,X,X,O,X,O,X,O,X,X,X
TZSLIJO,X,O,O,X,X,O,X,O,X,X,X
TZSLIOJ,X,O,O,X,X,O,X,O,X,X,X
TZSLJIO,X,O,O,X,X,O,X,O,X,X,X
TZSLJOI,O,O,O,X,X,X,X,O,X,X,X
TZSLOIJ,O,O,O,X,X,X,X,O,X,X,X
TZSLOJI,O,O,O,X,X,X,X,O,X,X,X
TZSJILO,X,O,O,O,X,O,X,O,X,X,X
TZSJIOL,X,X,X,O,X,O,X,O,X,X,X
TZSJLIO,X,O,O,X,X,O,X,O,X,X,X
TZSJLOI,O,O,O,X,X,X,X,O,X,X,X
TZSJOIL,O,X,X,O,X,X,X,O,X,X,X
TZSJOLI,O,O,X,X,X,X,X,O,X,X,X
TZSOILJ,O,X,X,O,X,X,X,O,X,X,X
TZSOIJL,O,X,X,O,X,X,X,O,X,X,X
TZSOLIJ,O,O,X,X,X,X,X,O,X,X,X
TZSOLJI,O,O,X,X,X,X,X,O,X,X,X
TZSOJIL,O,X,X,O,X,X,X,O,X,X,X
TZSOJLI,O,O,X,X,X,X,X,O,X,X,X
TZOILJS,O,X,X,O,O,X,X,O,O,X,X
TZOILSJ,O,X,X,O,O,X,X,O,O,X,X
TZOIJLS,O,X,X,O,O,X,X,O,O,X,X
TZOIJSL,O,X,X,O,O,X,X,O,X,X,X
TZOISLJ,O,X,X,O,O,X,X,O,X,X,X
TZOISJL,O,X,X,O,O,X,X,O,X,X,X
TZOLIJS,O,O,X,X,O,X,X,O,O,X,X
TZOLISJ,O,O,X,X,O,X,X,O,O,X,X
TZOLJIS,O,O,X,X,O,X,X,O,O,X,X
TZOLJSI,O,O,X,X,X,X,X,O,O,X,X
TZOLSIJ,O,O,X,X,X,X,X,O,O,X,X
TZOLSJI,O,O,X,X,X,X,X,O,O,X,X
TZOJILS,O,X,X,O,O,X,X,O,O,X,X
TZOJISL,O,X,X,O,O,X,X,O,X,X,X
TZOJLIS,O,O,X,X,O,X,X,O,O,X,X
TZOJLSI,O,O,X,X,X,X,X,O,O,X,X
TZOJSIL,O,X,X,O,X,X,X,O,X,X,X
TZOJSLI,O,O,X,X,X,X,X,O,X,X,X
TZOSILJ,O,X,X,O,X,X,X,O,X,X,X
TZOSIJL,O,X,X,O,X,X,X,O,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,O,X,X,X
TZOSLJI,O,O,X,X,X,X,X,O,X,X,X
TZOSJIL,O,X,X,O,X,X,X,O,X,X,X
TZOSJLI,O,O,X,X,X,X,X,O,X,X,X
TOILJSZ,X,X,X,O,O,X,O,X,X,X,O
TOILJZS,O,X,X,O,O,X,O,X,X,X,O
TOILSJZ,X,X,X,O,O,X,O,X,X,O,O
TOILSZJ,X,X,X,O,O,X,X,X,O,X,O
TOILZJS,O,X,X,O,O,X,X,X,O,X,O
TOILZSJ,O,X,X,O,O,X,X,X,O,X,O
TOIJLSZ,X,X,X,O,O,X,O,X,X,X,X
TOIJLZS,O,X,X,O,O,X,O,X,X,X,X
TOIJSLZ,X,X,X,O,O,X,O,X,X,O,X
TOIJSZL,X,X,X,O,O,X,O,X,X,O,X
TOIJZLS,O,X,X,O,O,X,O,X,X,X,X
TOIJZSL,O,X,X,O,O,X,O,X,X,O,X
TOISLJZ,X,X,X,O,O,X,O,X,X,O,O
TOISLZJ,X,X,X,O,O,X,X,X,X,X,O
TOISJLZ,X,X,X,O,O,X,O,X,X,O,X
TOISJZL,X,X,X,O,O,X,O,X,X,O,X
TOISZLJ,X,X,X,O,O,X,X,X,X,X,O
TOISZJL,X,X,X,O,O,X,X,X,X,X,X
TOIZLJS,O,X,X,O,O,X,X,X,O,X,O
TOIZLSJ,O,X,X,O,O,X,X,X,O,X,O
TOIZJLS,O,X,X,O,O,X,X,X,O,X,X
TOIZJSL,O,X,X,O,O,X,X,X,X,X,X
TOIZSLJ,O,X,X,O,O,X,X,X,X,X,O
TOIZSJL,O,X,X,O,O,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,O,X,O,X,X,X,O
TOLIJZS,O,O,X,X,O,X,O,X,X,X,O
TOLISJZ,X,X,X,X,O,X,O,X,X,O,O
TOLISZJ,X,X,X,X,O,X,X,X,O,X,O
TOLIZJS,O,O,X,X,O,X,X,X,O,X,O
TOLIZSJ,O,O,X,X,O,X,X,X,O,X,O
TOLJISZ,X,X,X,X,O,X,O,X,X,X,O
TOLJIZS,O,O,X,X,O,X,O,X,X,X,O
TOLJSIZ,X,X,X,X,X,X,O,X,X,X,O
TOLJSZI,X,X,X,X,X,X,O,X,X,X,O
TOLJZIS,X,O,X,X,O,X,O,X,X,X,O
TOLJZSI,X,O,X,X,X,X,O,X,X,X,O
TOLSIJZ,X,X,X,X,X,X,O,X,X,O,O
TOLSIZJ,X,X,X,X,X,X,X,X,O,X,O
TOLSJIZ,X,X,X,X,X,X,O,X,X,O,O
TOLSJZI,X,X,X,X,X,X,O,X,X,O,O
TOLSZIJ,X,X,X,X,X,X,X,X,O,X,O
TOLSZJI,X,X,X,X,X,X,X,X,O,X,O
TOLZIJS,X,O,X,X,O,X,X,X,O,X,O
TOLZISJ,X,O,X,X,O,X,X,X,O,X,O
TOLZJIS,X,O,X,X,O,X,X,X,O,X,O
TOLZJSI,X,O,X,X,X,X,X,X,O,X,O
TOLZSIJ,X,O,X,X,X,X,X,X,O,X,O
TOLZSJI,X,O,X,X,X,X,X,X,O,X,O
TOJILSZ,X,X,X,O,O,X,O,X,X,X,X
TOJILZS,O,X,X,O,O,X,O,X,X,X,X
TOJISLZ,X,X,X,O,O,X,O,X,X,O,X
TOJISZL,X,X,X,O,O,X,O,X,X,O,X
TOJIZLS,O,X,X,O,O,X,O,X,X,X,X
TOJIZSL,O,X,X,O,O,X,O,X,X,O,X
TOJLISZ,X,X,X,X,O,X,O,X,X,X,X
TOJLIZS,O,O,X,X,O,X,O,X,X,X,X
TOJLSIZ,X,X,X,X,X,X,O,X,X,X,X
TOJLSZI,X,X,X,X,X,X,O,X,X,X,X
TOJLZIS,X,O,X,X,O,X,O,X,X,X,X
TOJLZSI,X,O,X,X,X,X,O,X,X,X,X
TOJSILZ,X,X,X,O,X,X,O,X,X,O,X
TOJSIZL,X,X,X,O,X,X,O,X,X,O,X
TOJSLIZ,X,X,X,X,X,X,O,X,X,O,X
TOJSLZI,X,X,X,X,X,X,O,X,X,O,X
TOJSZIL,X,X,X,O,X,X,O,O,X,O,X
TOJSZLI,X,X,X,X,X,X,O,O,X,O,X
TOJZILS,O,X,X,O,O,X,O,O,X,X,X
TOJZISL,O,X,X,O,O,X,O,O,X,O,X
TOJZLIS,O,O,X,X,O,X,O,O,X,X,X
TOJZLSI,O,O,X,X,X,X,O,O,X,X,X
TOJZSIL,O,X,X,O,X,X,O,O,X,O,X
TOJZSLI,O,O,X,X,X,X,O,O,X,O,X
TOSILJZ,X,X,X,O,X,X,O,X,X,O,O
TOSILZJ,X,X,X,O,X,X,X,X,X,X,O
TOSIJLZ,X,X,X,O,X,X,O,X,X,O,X
TOSIJZL,X,X,X,O,X,X,O,X,X,O,X
TOSIZLJ,X,X,X,O,X,X,X,X,X,X,O
TOSIZJL,X,X,X,O,X,X,X,X,X,X,X
TOSLIJZ,X,X,X,X,X,X,O,X,X,O,O
TOSLIZJ,X,X,X,X,X,X,X,X,X,X,O
TOSLJIZ,X,X,X,X,X,X,O,X,X,O,O
TOSLJZI,X,X,X,X,X,X,O,X,X,O,O
TOSLZIJ,X,X,X,X,X,X,X,X,X,X,O
TOSLZJI,X,X,X,X,X,X,X,X,X,X,O
TOSJILZ,X,X,X,O,X,X,O,X,X,O,X
TOSJIZL,X,X,X,O,X,X,O,X,X,O,X
TOSJLIZ,X,X,X,X,X,X,O,X,X,O,X
TOSJLZI,X,X,X,X,X,X,O,X,X,O,X
TOSJZIL,X,X,X,O,X,X,O,O,X,O,X
TOSJZLI,X,X,X,X,X,X,O,O,X,O,X
TOSZILJ,X,X,X,O,X,X,X,O,X,X,O
TOSZIJL,X,X,X,O,X,X,X,O,X,X,X
TOSZLIJ,X,X,X,X,X,X,X,O,X,X,O
TOSZLJI,X,X,X,X,X,X,X,O,X,X,O
TOSZJIL,X,X,X,O,X,X,X,O,X,X,X
TOSZJLI,X,X,X,X,X,X,X,O,X,X,X
TOZILJS,O,X,X,O,O,X,X,O,O,X,O
TOZILSJ,O,X,X,O,O,X,X,O,O,X,O
TOZIJLS,O,X,X,O,O,X,X,O,O,X,X
TOZIJSL,O,X,X,O,O,X,X,O,X,X,X
TOZISLJ,O,X,X,O,O,X,X,O,X,X,O
TOZISJL,O,X,X,O,O,X,X,O,X,X,X
TOZLIJS,O,O,X,X,O,X,X,O,O,X,O
TOZLISJ,O,O,X,X,O,X,X,O,O,X,O
TOZLJIS,O,O,X,X,O,X,X,O,O,X,O
TOZLJSI,O,O,X,X,X,X,X,O,O,X,O
TOZLSIJ,O,O,X,X,X,X,X,O,O,X,O
TOZLSJI,O,O,X,X,X,X,X,O,O,X,O
TOZJILS,O,X,X,O,O,X,X,O,O,X,X
TOZJISL,O,X,X,O,O,X,X,O,X,X,X
TOZJLIS,O,O,X,X,O,X,X,O,O,X,X
TOZJLSI,O,O,X,X,X,X,X,O,O,X,X
TOZJSIL,O,X,X,O,X,X,X,O,X,X,X
TOZJSLI,O,O,X,X,X,X,X,O,X,X,X
TOZSILJ,O,X,X,O,X,X,X,O,X,X,O
TOZSIJL,O,X,X,O,X,X,X,O,X,X,X
TOZSLIJ,O,O,X,X,X,X,X,O,X,X,O
TOZSLJI,O,O,X,X,X,X,X,O,X,X,O
TOZSJIL,O,X,X,O,X,X,X,O,X,X,X
TOZSJLI,O,O,X,X,X,X,X,O,X,X,X
ITLJSZO,X,X,O,O,X,O,X,X,X,X,X
ITLJSOZ,X,X,O,O,X,O,X,X,X,X,O
ITLJZSO,X,O,O,O,X,O,X,X,X,X,X
ITLJZOS,X,O,O,O,O,O,O,X,X,X,X
ITLJOSZ,X,X,O,O,O,X,O,X,X,X,O
ITLJOZS,X,O,O,O,O,X,O,X,X,X,O
ITLSJZO,X,X,O,O,X,O,X,X,X,O,X
ITLSJOZ,X,X,O,O,X,O,X,X,X,O,O
ITLSZJO,X,X,O,O,X,O,X,X,O,X,X
ITLSZOJ,X,X,O,O,X,O,X,X,O,X,X
ITLSOJZ,X,X,O,O,X,O,X,X,X,O,O
ITLSOZJ,X,X,O,O,X,O,X,X,O,X,O
ITLZJSO,X,O,O,O,X,O,X,X,O,X,X
ITLZJOS,X,O,O,O,O,O,X,X,O,X,X
ITLZSJO,X,O,O,O,X,O,X,X,O,X,X
ITLZSOJ,X,O,O,O,X,O,X,X,O,X,X
ITLZOJS,X,O,O,O,O,X,X,X,O,X,X
ITLZOSJ,X,O,O,O,O,X,X,X,O,X,X
ITLOJSZ,X,X,O,O,O,X,O,X,X,X,O
ITLOJZS,X,O,O,O,O,X,O,X,X,X,O
ITLOSJZ,X,X,O,O,O,X,O,X,X,O,O
ITLOSZJ,X,X,O,O,O,X,X,X,O,X,O
ITLOZJS,X,O,O,O,O,X,X,X,O,X,O
ITLOZSJ,X,O,O,O,O,X,X,X,O,X,O
ITJLSZO,X,X,O,O,X,O,X,X,X,X,X
ITJLSOZ,X,X,O,O,X,O,X,X,X,X,X
ITJLZSO,X,O,O,O,X,O,X,X,X,X,X
ITJLZOS,X,O,O,O,O,O,O,X,X,X,X
ITJLOSZ,X,X,O,O,O,X,O,X,X,X,X
ITJLOZS,X,O,O,O,O,X,O,X,X,X,X
ITJSLZO,X,X,O,O,X,O,X,X,X,O,X
ITJSLOZ,X,X,O,O,X,O,X,X,X,O,X
ITJSZLO,X,X,O,O,X,O,X,X,X,O,X
ITJSZOL,X,X,X,O,O,O,X,X,X,O,X
ITJSOLZ,X,X,X,O,O,O,X,X,X,O,X
ITJSOZL,X,X,X,O,O,O,X,X,X,O,X
ITJZLSO,X,O,O,O,X,O,X,X,X,X,X
ITJZLOS,X,O,O,O,O,O,O,X,X,X,X
ITJZSLO,X,O,O,O,X,O,X,X,X,O,X
ITJZSOL,X,X,X,O,O,O,X,X,X,O,X
ITJZOLS,X,X,X,O,O,X,O,X,X,X,X
ITJZOSL,X,X,X,O,O,O,O,X,X,O,X
ITJOLSZ,X,X,X,O,O,X,O,X,X,X,X
ITJOLZS,X,X,X,O,O,X,O,X,X,X,X
ITJOSLZ,X,X,X,O,O,O,O,X,X,O,X
ITJOSZL,X,X,X,O,O,O,O,X,X,O,X
ITJOZLS,X,X,X,O,O,X,O,X,X,X,X
ITJOZSL,X,X,X,O,O,O,O,X,X,O,X
ITSLJZO,X,X,O,O,X,O,X,X,X,O,X
ITSLJOZ,X,X,O,O,X,O,X,X,X,O,O
ITSLZJO,X,X,O,O,X,O,X,X,X,X,X
ITSLZOJ,X,X,O,O,X,O,X,X,X,X,X
ITSLOJZ,X,X,O,O,X,O,X,X,X,O,O
ITSLOZJ,X,X,O,O,X,O,X,X,X,X,O
ITSJLZO,X,X,O,O,X,O,X,X,X,O,X
ITSJLOZ,X,X,O,O,X,O,X,X,X,O,X
ITSJZLO,X,X,O,O,X,O,X,X,X,O,X
ITSJZOL,X,X,X,O,O,O,X,X,X,O,X
ITSJOLZ,X,X,X,O,O,O,X,X,X,O,X
ITSJOZL,X,X,X,O,O,O,X,X,X,O,X
ITSZLJO,X,X,O,O,X,O,X,X,X,X,X
ITSZLOJ,X,X,O,O,X,O,X,X,X,X,X
ITSZJLO,X,X,O,O,X,O,X,X,X,X,X
ITSZJOL,X,X,X,O,O,O,X,X,X,X,X
ITSZOLJ,X,X,X,O,O,O,X,X,X,X,X
ITSZOJL,X,X,X,O,O,O,X,X,X,X,X
ITSOLJZ,X,X,X,O,O,O,X,X,X,O,O
ITSOLZJ,X,X,X,O,O,O,X,X,X,X,O
ITSOJLZ,X,X,X,O,O,O,X,X,X,O,X
