sequence,v115@KhA8FeD8AeB8CeG8AeB8Jef9IvhFxaBTfBigBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeZ6IvhFfdBqfBTbBcmB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je/7IvhFTaBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JeK0IvhFcgB5jBTfBOmBXi?BdoB,v115@KhA8FeD8AeB8CeG8AeB8Je/wIvhFZaB8hBzfBamB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8JezxIvhF/bBZhB8hBykB+o?BlnB,v115@KhA8FeD8AeB8CeG8AeB8Je86IvhF/eB2kBxgBliBim?BToB,v115@KhA8FeD8AeB8CeG8AeB8Jea+IvhF5eBOgBTfBFhBXi?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je/1IvhFKfBZhBFgBzhBGj?BUoB,v115@KhA8FeD8AeB8CeG8AeB8Je83IvhFZaBeiBzfBFhBfo?B6oB,v115@KhA8FeD8AeB8CeG8AeB8Jec1IvhFFbBXcBmdB5jBTf?BCiB
TIZJOSL,X,X,X,O,O,O,X,X,X,X,X
TIZSLJO,X,O,O,O,X,O,X,X,X,X,X
TIZSLOJ,X,O,O,O,X,O,X,X,X,X,X
TIZSJLO,X,O,O,O,X,O,X,X,X,X,X
TIZSJOL,X,X,X,O,O,O,X,X,X,X,X
TIZSOLJ,X,X,X,O,O,O,X,X,X,X,X
TIZSOJL,X,X,X,O,O,O,X,X,X,X,X
TIZOLJS,X,X,X,O,O,X,X,X,O,X,X
TIZOLSJ,X,X,X,O,O,X,X,X,O,X,X
TIZOJLS,X,X,X,O,O,X,X,X,O,X,X
TIZOJSL,X,X,X,O,O,O,X,X,X,X,X
TIZOSLJ,X,X,X,O,O,O,X,X,X,X,X
TIZOSJL,X,X,X,O,O,O,X,X,X,X,X
TIOLJSZ,X,X,X,O,O,X,O,X,X,X,O
TIOLJZS,X,X,X,O,O,X,O,X,X,X,O
TIOLSJZ,X,X,X,O,O,X,O,X,X,O,O
TIOLSZJ,X,X,X,O,O,X,X,X,O,X,O
TIOLZJS,X,X,X,O,O,X,X,X,O,X,O
TIOLZSJ,X,X,X,O,O,X,X,X,O,X,O
TIOJLSZ,X,X,X,O,O,X,O,X,X,X,X
TIOJLZS,X,X,X,O,O,X,O,X,X,X,X
TIOJSLZ,X,X,X,O,O,O,O,X,X,O,X
TIOJSZL,X,X,X,O,O,O,O,X,X,O,X
TIOJZLS,X,X,X,O,O,X,O,X,X,X,X
TIOJZSL,X,X,X,O,O,O,O,X,X,O,X
TIOSLJZ,X,X,X,O,O,O,O,X,X,O,O
TIOSLZJ,X,X,X,O,O,O,X,X,X,X,O
TIOSJLZ,X,X,X,O,O,O,O,X,X,O,X
TIOSJZL,X,X,X,O,O,O,O,X,X,O,X
TIOSZLJ,X,X,X,O,O,O,X,X,X,X,O
TIOSZJL,X,X,X,O,O,O,X,X,X,X,X
TIOZLJS,X,X,X,O,O,X,X,X,O,X,O
TIOZLSJ,X,X,X,O,O,X,X,X,O,X,O
TIOZJLS,X,X,X,O,O,X,X,X,O,X,X
TIOZJSL,X,X,X,O,O,O,X,X,X,X,X
TIOZSLJ,X,X,X,O,O,O,X,X,X,X,O
TIOZSJL,X,X,X,O,O,O,X,X,X,X,X
TLIJSZO,X,X,O,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,O,X,X,X,X,O
TLIJZSO,X,O,O,X,X,O,X,X,X,X,X
TLIJZOS,X,O,O,X,O,O,O,X,X,X,X
TLIJOSZ,X,X,O,X,O,X,O,X,X,X,O
TLIJOZS,X,O,O,X,O,X,O,X,X,X,O
TLISJZO,X,X,O,X,X,O,X,X,X,O,X
TLISJOZ,X,X,O,X,X,O,X,X,X,O,O
TLISZJO,X,X,O,X,X,O,X,X,O,X,X
TLISZOJ,X,X,O,X,X,O,X,X,O,X,X
TLISOJZ,X,X,O,X,X,O,X,X,X,O,O
TLISOZJ,X,X,O,X,X,O,X,X,O,X,O
TLIZJSO,X,O,O,X,X,O,X,X,O,X,X
TLIZJOS,X,O,O,X,O,O,X,X,O,X,X
TLIZSJO,X,O,O,X,X,O,X,X,O,X,X
TLIZSOJ,X,O,O,X,X,O,X,X,O,X,X
TLIZOJS,X,O,O,X,O,X,X,X,O,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,O,X,X
TLIOJSZ,X,X,O,X,O,X,O,X,X,X,O
TLIOJZS,X,O,O,X,O,X,O,X,X,X,O
TLIOSJZ,X,X,O,X,O,X,O,X,X,O,O
TLIOSZJ,X,X,O,X,O,X,X,X,O,X,O
TLIOZJS,X,O,O,X,O,X,X,X,O,X,O
TLIOZSJ,X,O,O,X,O,X,X,X,O,X,O
TLJISZO,X,X,O,X,X,O,X,X,X,X,X
TLJISOZ,X,X,O,X,X,O,X,X,X,X,O
TLJIZSO,X,O,O,X,X,O,X,X,X,X,X
TLJIZOS,X,O,O,X,O,O,O,X,X,X,X
TLJIOSZ,X,X,O,X,O,X,O,X,X,X,O
TLJIOZS,X,O,O,X,O,X,O,X,X,X,O
TLJSIZO,X,X,O,X,X,O,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,O,X,X,X,X,O
TLJSZIO,X,X,O,X,X,O,X,X,X,X,X
