sequence,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEMeBZLB?qkBXmBTgB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEJLBqkB?0lBThBPdB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEJLBqkB?0lB3hBzbB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhERqBzfB?qgBvhBMeB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhERqBSlB?ThBXbBMeB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeTwIvhEUdBXhB?6oBWqBRnB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8Je+IJvhEzkB5gB?MmBPdBacB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeJrIvhEqkBvlB?ToBUiBubB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeRHJvhEvjBUdB?ClBebBTQB,v115@zgB8HeA8IeA8IeA8DeB8CeG8AeB8JeRHJvhEvjBKdB?ukBTlBUWB
comments,reasonable? LST,reasonable? LST,reasonable? LST,reasonable? LST,reasonable? LST,Cosmo's dono,idk,TSS (TST shape),washing machine,washing machine
TILJSZO,O,X,O,X,O,O,X,X,O,X
TILJSOZ,O,X,X,X,O,O,X,X,O,O
TILJZSO,O,X,O,X,O,O,X,X,O,X
TILJZOS,X,O,O,X,O,O,X,X,O,X
TILJOSZ,X,O,X,X,O,O,X,X,O,O
TILJOZS,X,O,X,X,O,O,X,X,O,O
TILSJZO,O,X,O,X,O,O,X,O,O,X
TILSJOZ,O,X,X,X,O,O,X,O,O,O
TILSZJO,X,X,O,X,X,O,X,O,O,X
TILSZOJ,X,X,O,X,X,O,X,O,O,X
TILSOJZ,O,X,X,X,O,O,X,O,O,X
TILSOZJ,X,X,X,X,X,O,X,O,O,X
TILZJSO,X,X,O,X,X,O,X,X,O,X
TILZJOS,X,O,O,X,X,O,X,X,O,X
TILZSJO,X,X,O,X,X,O,X,O,O,X
TILZSOJ,X,X,O,X,X,O,X,O,O,X
TILZOJS,X,O,O,X,X,O,X,X,O,X
TILZOSJ,X,O,O,X,X,O,X,O,O,X
TILOJSZ,X,O,X,X,O,O,X,X,O,X
TILOJZS,X,O,X,X,O,O,X,X,O,X
TILOSJZ,X,O,X,X,O,O,X,O,O,X
TILOSZJ,X,O,X,X,X,O,X,O,O,X
TILOZJS,X,O,X,X,X,O,X,X,O,X
TILOZSJ,X,O,X,X,X,O,X,O,O,X
TIJLSZO,O,X,O,X,O,O,X,X,X,X
TIJLSOZ,O,X,X,X,O,O,X,X,X,O
TIJLZSO,O,X,O,X,O,O,X,X,X,X
TIJLZOS,X,O,O,X,O,O,X,X,X,X
TIJLOSZ,X,O,X,X,O,O,X,X,X,O
TIJLOZS,X,O,X,X,O,O,X,X,X,O
TIJSLZO,O,X,O,X,X,O,X,X,X,X
TIJSLOZ,O,X,X,X,X,O,X,X,X,O
TIJSZLO,O,X,X,X,X,O,X,X,X,X
TIJSZOL,X,X,X,O,X,O,X,X,X,X
TIJSOLZ,X,X,X,O,X,O,X,X,X,O
TIJSOZL,X,X,X,O,X,O,X,X,X,O
TIJZLSO,O,X,X,X,O,O,X,X,X,X
TIJZLOS,X,X,X,X,O,O,X,X,X,X
TIJZSLO,O,X,X,X,X,O,X,X,X,X
TIJZSOL,X,X,X,O,X,O,X,X,X,X
TIJZOLS,X,X,X,O,O,O,X,X,X,X
TIJZOSL,X,X,X,O,X,O,X,X,X,X
TIJOLSZ,X,O,X,O,O,O,X,X,X,O
TIJOLZS,X,O,X,O,O,O,X,X,X,O
TIJOSLZ,X,O,X,O,X,O,X,X,X,O
TIJOSZL,X,X,X,O,X,O,X,X,X,O
TIJOZLS,X,X,X,O,O,O,X,X,X,O
