sequence,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYBX?eB0iBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jei1IvhFRXBceB3aBG?dBziBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxdB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jey6IvhFGXBxdBTaB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jem1IvhFRXBTaBFeBf?oBUnBCtB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBRXBceBf?oBFnBusB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeO6IvhF8aBRXBXeBz?nBFnBCtB
TILJSZO,X,O,O,X,O,X,X,X
TILJSOZ,X,O,O,O,O,X,X,X
TILJZSO,O,X,O,X,O,X,X,X
TILJZOS,O,X,X,O,O,X,X,X
TILJOSZ,X,O,X,O,O,X,X,X
TILJOZS,O,X,X,O,O,X,X,X
TILSJZO,X,O,O,X,O,X,X,X
TILSJOZ,X,O,O,O,O,X,X,X
TILSZJO,X,O,O,X,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X,X
TILSOJZ,X,O,O,O,X,X,X,X
TILSOZJ,X,O,O,X,X,X,X,X
TILZJSO,O,X,O,X,O,X,X,X
TILZJOS,O,X,X,O,O,X,X,X
TILZSJO,O,X,O,X,X,X,X,X
TILZSOJ,O,X,O,X,X,X,X,X
TILZOJS,O,X,X,O,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X
TILOJSZ,X,O,X,O,O,X,X,X
TILOJZS,O,X,X,O,O,X,X,X
TILOSJZ,X,O,X,O,X,X,X,X
TILOSZJ,X,O,X,X,X,X,X,X
TILOZJS,O,X,X,O,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X
TIJLSZO,X,O,O,X,O,X,X,X
TIJLSOZ,X,O,O,O,O,X,X,X
TIJLZSO,O,X,O,X,O,X,X,X
TIJLZOS,O,X,X,O,O,X,X,X
TIJLOSZ,X,O,X,O,O,X,X,X
TIJLOZS,O,X,X,O,O,X,X,X
TIJSLZO,X,O,O,X,O,X,X,X
TIJSLOZ,X,O,O,O,O,X,X,X
TIJSZLO,X,O,O,X,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X,X
TIJSOLZ,X,O,O,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X,X
TIJZLSO,O,X,O,X,O,X,X,X
TIJZLOS,O,X,X,O,O,X,X,X
TIJZSLO,O,X,O,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X
TIJOLSZ,X,X,X,O,O,X,X,X
TIJOLZS,X,X,X,O,O,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X
TISLJZO,X,O,O,X,O,X,X,X
TISLJOZ,X,O,O,O,O,X,X,X
TISLZJO,X,O,O,X,X,X,X,X
TISLZOJ,X,O,O,X,X,X,X,X
TISLOJZ,X,O,O,O,X,X,X,X
TISLOZJ,X,O,O,X,X,X,X,X
TISJLZO,X,O,O,X,O,X,X,X
TISJLOZ,X,O,O,O,O,X,X,X
TISJZLO,X,O,O,X,X,X,X,X
TISJZOL,X,X,O,X,X,X,X,X
TISJOLZ,X,O,O,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,X
TISZLJO,X,O,O,X,X,X,X,X
TISZLOJ,X,O,O,X,X,X,X,X
TISZJLO,X,O,O,X,X,X,X,X
TISZJOL,X,X,O,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X
TISOLJZ,X,O,O,X,X,X,X,X
TISOLZJ,X,O,O,X,X,X,X,X
