sequence,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBCeBT?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEmcBfjB6jBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBGeB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBzdB+jB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBfjB6?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEKhBzcBGeBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBSjB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBCeBTjB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEyhBGeBUjBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhECeBTjBXmB8?mBOrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzdB+jBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEGeBUjBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBGeB/mBU?jBdrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBSjB/mBU?jBdrB
TISOJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TISOZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TIZLJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TIZLJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TIZLSJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
TIZLSOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
TIZLOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TIZJLOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TIZJSLO,O,O,O,O,O,O,X,X,O,X,X,O,X,X
TIZJSOL,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TIZJOLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIZJOSL,O,X,O,O,O,X,X,X,X,X,X,X,X,X
TIZSLJO,O,O,O,O,O,O,X,X,O,X,X,O,X,X
TIZSLOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TIZSJLO,O,O,O,O,O,O,X,X,O,X,X,O,X,X
TIZSJOL,O,X,O,O,O,X,X,X,X,X,X,O,X,X
TIZSOLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,O,X,X,X,X,X,X,O,X,X
TIZOLJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIZOLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIZOJSL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIZOSJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
TIOLJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIOLSZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TIOLZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TIOJLZS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOJSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TIOSJLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TIOSZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
TIOZLJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOZLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
TIOZJSL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TIOZSJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
TLIJSZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLIJZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLIJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TLISJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
TLISJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
TLISZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
TLIZJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
TLIZSJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
