sequence,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBCeBT?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEmcBfjB6jBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBGeB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEicBzdB+jB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEOhB8hBfjB6?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEKhBzcBGeBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBSjB3hBU?jBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhE2hBCeBTjB3?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEyhBGeBUjBT?hBFrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhECeBTjBXmB8?mBOrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzdB+jBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEGeBUjBXmBl?mBirB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBGeB/mBU?jBdrB,v115@9gD8FeD8BeB8BeC8CeH8AeE8Jex6IvhEzcBSjB/mBU?jBdrB
IZJTLOS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJTSLO,X,X,O,O,O,O,X,X,O,X,X,O,X,X
IZJTSOL,X,X,O,O,X,X,X,X,X,X,X,O,X,X
IZJTOLS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJTOSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJLTSO,X,X,O,X,X,O,O,X,O,X,X,X,X,X
IZJLTOS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJLSTO,X,X,O,X,O,X,O,X,O,X,X,O,X,X
IZJLSOT,O,X,O,X,O,X,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJLOST,O,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJSTLO,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IZJSTOL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IZJSLTO,X,O,O,X,O,X,X,X,O,X,X,O,X,X
IZJSLOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJSOTL,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IZJSOLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZJOTLS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZJOTSL,X,X,O,O,X,X,X,X,X,X,X,X,X,X
IZJOLTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOLST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJOSTL,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IZJOSLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSTLJO,X,O,O,X,O,O,X,X,O,X,X,O,X,X
IZSTLOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
IZSTJLO,X,O,O,X,O,O,X,X,O,X,X,O,X,X
IZSTJOL,X,X,O,X,O,X,X,X,X,X,X,O,X,X
IZSTOLJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IZSTOJL,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZSLTJO,X,O,O,X,O,X,X,X,X,X,X,O,X,X
IZSLTOJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
IZSLJTO,X,O,O,X,O,X,X,X,O,X,X,O,X,X
IZSLJOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,X,X,O,X,O,O,X,X,O,X,X,O,X,X
IZSJTOL,X,X,O,X,X,X,X,X,X,X,O,O,X,X
IZSJLTO,X,O,O,X,O,X,X,X,O,X,X,O,X,X
IZSJLOT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,O,O,O,X
IZSJOLT,O,X,O,O,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZSOLJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,O,X,O,O,X
IZSOJLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZOTLJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IZOTLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IZOTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLJTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOJTLS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IZOJTSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJSTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOJSLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IZOSLJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IZOSJLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOTLJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOTLJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
IOTLSJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOTLSZJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOTLZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOTLZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,X,O,O,X,X,X,X,X,X
IOTJLZS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOTJSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOTJSZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJZSL,O,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTSJLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOTSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTSZJL,O,O,O,X,O,X,X,X,X,O,X,X,X,X
IOTZLJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOTZLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOTZJSL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZSJL,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLTJZS,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTZJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLTZSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,O,O,X,O,X,X,X,X
IOLJZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOLSTJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSJTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSJZT,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLSZJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZTJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZJTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZJST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLZSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJTLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJTLZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOJTZLS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
IOJLTZS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJLSTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IOJLSZT,X,X,X,O,X,X,O,O,X,O,X,X,X,X
IOJLZTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOJSTLZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOJSLTZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
IOJSLZT,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IOJSZTL,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJSZLT,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOJZTLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X
IOJZLTS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJZSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSLT,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSTLZJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSTJLZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSTJZL,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSTZJL,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSLTJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOSLTZJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOSLJTZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X
IOSLJZT,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSLZJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOSJTLZ,X,X,X,O,X,X,X,X,X,X,O,X,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSJLTZ,X,O,X,O,X,X,X,O,X,X,O,X,X,X
IOSJLZT,X,X,X,O,X,X,X,O,X,O,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,O,O,X,X,X
IOSJZLT,X,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZLJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSZJLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOZTLJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOZTLSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZTJLS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
IOZTJSL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZTSJL,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLTJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLJTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJTLS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
IOZJTSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZJSLT,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSLJT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOZSJLT,O,X,O,X,O,X,X,X,X,O,X,X,X,X
LTIJSZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIJSOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTIJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTIJOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LTIJOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTISJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTISJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTISZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTISZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTISOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTIZJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LTIZJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTIZSJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
LTIZSOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIZOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTIZOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTIOJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LTIOSJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIOZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJISZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJISOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LTJIOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTJSIZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJSIOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJSZIO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJSZOI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTJSOZI,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJZIOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJZSIO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJZSOI,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJZOIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJZOSI,X,X,X,X,X,O,O,X,O,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LTJOIZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTJOSIZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LTJOSZI,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTJOZSI,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LTSIJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSIJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSIZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTSIZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSIOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSJIZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSJIOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSJZIO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,O,O,O,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSJOZI,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTSZIOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LTSZJOI,X,X,O,O,O,O,X,X,O,X,X,X,X,X
LTSZOIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSZOJI,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSOIJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LTSOJIZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOJZI,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,O,X,O,O,X,X,X,X,X,X,X,O
LTSOZJI,X,O,O,X,O,O,X,X,X,X,X,X,X,O
LTZIJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LTZIJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTZISJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
LTZISOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZIOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZIOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJISO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LTZJIOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTZJSIO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LTZJSOI,X,X,O,X,O,O,O,X,O,X,X,X,X,X
LTZJOIS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTZJOSI,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LTZSIJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
LTZSIOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZSJIO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
LTZSJOI,X,X,O,X,O,O,X,X,O,X,X,X,X,X
LTZSOIJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZSOJI,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTZOIJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZOISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOJIS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZOJSI,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LTZOSIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOIJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTOIJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LTOISJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOISZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOIZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LTOIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOJISZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTOJIZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LTOJSIZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTOJSZI,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LTOJZIS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LTOJZSI,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LTOSIJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOSIZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOSJIZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOSJZI,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LTOSZIJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOSZJI,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOZIJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LTOZISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZJIS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LTOZJSI,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LTOZSIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZSJI,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LITJSZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LITJSOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LITJZSO,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LITJZOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LITJOSZ,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LITJOZS,X,X,X,X,X,O,O,O,X,X,X,X,X,X
LITSJZO,X,O,O,O,O,X,O,X,X,X,X,X,X,X
LITSJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LITSZJO,O,O,O,O,O,O,X,X,O,X,X,X,X,X
LITSZOJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LITSOJZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LITSOZJ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
LITZJSO,O,X,O,X,O,O,O,X,O,X,X,X,X,X
LITZJOS,O,X,X,X,X,O,O,X,O,X,X,X,X,X
LITZSJO,O,X,O,X,O,O,X,X,O,X,X,X,X,X
LITZSOJ,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LITZOJS,O,X,X,X,X,O,X,X,O,X,X,X,X,X
LITZOSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOJSZ,X,O,X,X,X,X,O,O,X,X,X,X,X,X
LITOJZS,O,X,X,X,X,O,O,O,X,X,X,X,X,X
LITOSJZ,X,O,X,X,X,X,X,O,X,X,X,X,X,X
LITOSZJ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LITOZJS,O,X,X,X,X,O,X,O,O,X,X,X,X,X
LITOZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTSZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJTSOZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJTZSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJTOSZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJTOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJSTZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSTOZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LIJSZTO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJSZOT,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,X,O,X,O,X,X,X,X,X,X,O,X,X,X
LIJSOZT,X,X,X,O,X,X,O,X,X,X,X,X,X,X
LIJZTSO,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJZSTO,X,X,X,X,X,X,O,X,O,X,X,X,X,X
LIJZSOT,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJZOTS,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJZOST,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LIJOTSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X
LIJOTZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJOSTZ,X,X,X,O,X,X,X,O,X,X,O,X,X,X
LIJOSZT,X,X,X,O,X,X,O,O,X,X,X,X,X,X
LIJOZTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LIJOZST,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LISTJZO,X,O,X,X,O,X,O,X,X,X,X,X,X,X
LISTJOZ,X,O,X,O,X,X,O,X,X,X,X,X,X,X
LISTZJO,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LISTZOJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LISTOZJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LISJTZO,X,O,X,X,O,X,O,X,X,X,X,X,X,X
