sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhECcB0fBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem7IvhESiBxfB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jey/IvhEzbBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB
TIZSOJL,X,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOJLS,X,O,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOJLZS,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
