sequence,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEWhBxcBzfBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBGdB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBGdBigBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBciBzfBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhEzbBCdB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBzbBuhBc?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhERbBuhBciBi?gBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Je//IvhEagBRcBciBG?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhEygBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEegBCcBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhECcB0fBxhBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem7IvhESiBxfB0fBz?hBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jey/IvhEzbBWiB0fBX?iBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhETdB0fBfnBm?lB6rB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhEciBzfB5mBf?rBmrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8JeT6IvhEXgBxhBCiB8?rBmqB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jem6IvhExcB0fBzmBf?mBCsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jex6IvhESiB0fBzmBm?lBlrB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhElcBzfBurBf?rBcsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhExcBzfBurBf?rBFsB,v115@7gB8HeC8BeB8BeG8CeH8AeD8Jei6IvhERcBzfBurBc?sBFrB
IZOJTLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJLTS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJLST,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,X,X,X
IZOJSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOJSLT,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,X,O,O,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
IZOSLJT,X,X,X,O,O,O,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IZOSJLT,X,X,X,X,O,O,X,O,X,X,X,X,X,O,O,O,O,O,X,X,X
IOTLJSZ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTLJZS,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTJLZS,O,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTJZLS,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZJLS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOTZSJL,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLTSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLJTSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOLJTZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOLJSTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOLJSZT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
IOLJZTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOLJZST,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O
IOLSTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLSZJT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZTJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLZTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOLZJST,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IOLZSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZSJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
IOJTLSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOJTLZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJTSLZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJTSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJTZLS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IOJTZSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJLTSZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
IOJLTZS,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJLSTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJLSZT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,O,X
IOJLZTS,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O
IOJLZST,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O
IOJSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
IOJSLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X
IOJSZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJSZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
IOJZTLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJZTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJZLTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
IOJZLST,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O
IOJZSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOJZSLT,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSTLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSTZJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOSLZJT,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOSJTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
IOSZLJT,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOSZJLT,O,X,X,X,O,O,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
IOZTLJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTLSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZTJSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTSJL,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZLTJS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZLTSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZLJST,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLSJT,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
IOZJTLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJTSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOZJLST,X,X,X,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOZJSLT,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
IOZSLJT,X,X,X,O,O,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOZSJLT,X,X,X,X,O,O,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X
LTIJSZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTIJZSO,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIJOSZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIJOZS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTISJZO,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZJSO,X,O,X,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTIZSJO,X,O,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJSZ,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIOJZS,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTIOSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOSZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJISZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJIOSZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJIOZS,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJSIZO,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZISO,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,X,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTJZOSI,X,O,X,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJOIZS,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTJOSIZ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTJOSZI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZIS,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTJOZSI,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSIZJO,O,X,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,X,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSJOZI,O,X,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSZIJO,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIZJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOJZI,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZJI,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,X,O,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTZIJOS,X,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZISJO,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIOJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZJISO,O,O,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTZJIOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LTZJSIO,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,O,X,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X
LTZJOSI,X,O,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOIJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOJIS,X,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZOJSI,X,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,X,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIJSZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTOIJZS,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTOISJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJISZ,O,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTOJIZS,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
LTOJSIZ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOJSZI,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOJZIS,O,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X
LTOJZSI,O,O,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOSIJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSIZJ,O,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSJIZ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOSJZI,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOSZIJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOSZJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZIJS,X,O,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOZISJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZJIS,O,O,X,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
LTOZJSI,O,O,O,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOZSIJ,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LITJSOZ,O,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
LITJZSO,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LITJZOS,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X
LITJOSZ,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
