sequence,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBXcBCXB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBXmB?8gBzcBCXB,,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBXcBKVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBXmB?8gBzcBKVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEJlBzlB?shBKVBPWB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDshByqB?3gBTVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhFJlBqlB?ThBMeBlnBPnB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDZQBMmB?PdBTlB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDMmBPdB?TlBqbB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEMeBJlB?zlBvhByaB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhEMeBJlB?TVBXmBChB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8JeJFJvhEzlBshB?+oB3VBiQB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8JepDJvhEaoBUiB?/lBubBTVB,v115@9gB8HeB8HeB8CeB8CeB8AeD8AeB8Je+IJvhDMmBPdB?TlBKVB
comments,"OSZ thing, congruent to a dono B path",,"50%, 91.67%",OSZ thing,,"L before S, earlyish I","L before S, late I",,"late L, Z before S",Z before S,J before Z,"J before Z, S before L","S before L, earlyish I",S before J,"Z before S, late I"
TILJSZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TILJOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TILJOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TILSJZO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TILSJOZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TILSZJO,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TILSZOJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TILSOJZ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TILSOZJ,X,X,,X,O,O,X,X,X,X,X,X,X,O,X
TILZJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TILZSOJ,X,X,,X,X,O,X,X,X,X,X,X,X,O,X
TILZOJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TILOJZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TILOSJZ,X,X,,O,X,O,X,O,X,X,O,X,X,O,X
TILOSZJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TILOZJS,X,X,,O,X,O,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,,O,X,O,X,X,X,X,X,X,X,O,X
TIJLSZO,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,,X,O,O,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TIJLOSZ,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TIJLOZS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TIJSLZO,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TIJSLOZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TIJSZLO,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TIJSZOL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TIJSOLZ,X,X,,X,O,X,X,X,X,X,X,O,O,X,X
TIJSOZL,X,O,,X,O,X,X,X,X,X,X,O,O,X,X
TIJZLSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,,O,X,O,X,O,X,X,O,X,X,X,X
TIJZSLO,X,X,,X,X,X,X,X,X,X,X,O,O,X,X
TIJZSOL,X,X,,X,X,X,X,X,O,X,X,O,O,X,X
TIJZOLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIJZOSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TIJOLSZ,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIJOLZS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIJOSLZ,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
TIJOSZL,O,X,,O,X,X,X,X,X,X,O,O,O,X,X
TIJOZLS,X,X,,O,X,O,X,X,X,X,O,X,X,X,X
TIJOZSL,O,X,,O,X,X,X,X,O,X,O,O,O,X,X
TISLJZO,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISLJOZ,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISLZJO,X,X,,X,O,X,X,X,X,X,X,X,O,O,X
TISLZOJ,X,X,,X,O,X,X,X,X,X,X,X,O,O,X
TISLOJZ,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISLOZJ,X,X,,X,O,X,X,X,X,X,X,X,O,O,X
TISJLZO,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISJLOZ,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISJZLO,X,O,,X,O,X,X,X,X,X,X,O,O,O,X
TISJZOL,X,O,,X,O,X,X,X,X,X,X,O,O,O,X
TISJOLZ,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISJOZL,X,O,,X,O,X,X,X,X,X,X,O,O,O,X
TISZLJO,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISZLOJ,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISZJLO,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISZJOL,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISZOLJ,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISZOJL,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISOLJZ,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISOLZJ,X,X,,X,O,X,X,X,X,X,X,X,O,O,X
TISOJLZ,X,X,,X,O,X,X,X,X,X,X,O,O,O,X
TISOJZL,X,O,,X,O,X,X,X,X,X,X,O,O,O,X
TISOZLJ,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TISOZJL,X,O,,X,O,X,X,X,X,X,X,X,O,O,X
TIZLJSO,X,X,,X,X,O,X,X,X,X,X,X,X,X,X
