sequence,v115@vhC2OJSwBTtB,v115@vhDxOJOkBTrByxB,v115@vhDxRJ6oBTrBWvB
comments,sandbox,cave_left,cave_right
ILJO,O,O,O
ILOJ,O,O,O
IJLO,O,O,O
IJOL,O,O,O
IOLJ,O,O,O
IOJL,O,O,O
LIJO,O,O,O
LIOJ,O,O,O
LJIO,O,O,O
LJOI,O,O,O
LOIJ,O,O,O
LOJI,O,O,O
JILO,O,O,O
JIOL,O,O,O
JLIO,O,O,O
JLOI,O,O,O
JOIL,O,O,O
JOLI,O,O,O
OILJ,O,O,O
OIJL,O,O,O
OLIJ,O,O,O
OLJI,O,O,O
OJIL,O,O,O
OJLI,O,O,O
