sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
TJOSILZ,O,X,X,X,X,X,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,O,X,O,X,X,X,X,X,X,X,X
TJOSLZI,O,X,O,X,X,X,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X,X,X,O,X,X
TJOSZLI,O,X,X,X,X,X,X,X,O,X,X
TJOZILS,X,O,X,X,X,X,X,X,O,O,X
TJOZISL,O,O,X,X,O,X,X,X,O,X,X
TJOZLIS,X,O,O,X,X,X,X,X,O,X,X
TJOZLSI,X,O,O,X,X,X,X,X,O,X,X
TJOZSIL,O,O,X,X,O,X,X,X,O,X,X
TJOZSLI,O,O,X,X,O,X,X,X,O,X,X
TSILJZO,O,X,X,X,X,X,X,X,X,X,O
TSILJOZ,O,X,X,X,X,X,X,X,X,X,O
TSILZJO,O,X,X,X,X,X,X,X,X,X,X
TSILZOJ,O,X,X,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X,X,X,O
TSILOZJ,O,X,X,X,X,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X,X,X,X,X,O
TSIJLOZ,O,X,X,X,X,X,X,X,X,X,O
TSIJZLO,O,X,X,X,X,X,X,X,X,X,O
TSIJZOL,O,X,X,X,X,X,X,X,X,X,O
TSIJOLZ,O,X,X,X,X,X,X,X,X,X,O
TSIJOZL,O,X,X,X,X,X,X,X,X,X,O
TSIZLJO,O,X,X,X,X,X,X,X,X,X,X
TSIZLOJ,O,X,X,X,X,X,X,X,X,X,X
TSIZJLO,O,X,X,X,X,X,X,X,X,X,O
TSIZJOL,O,O,X,X,X,X,X,X,X,X,O
TSIZOLJ,O,X,X,X,X,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X,X,X,O
TSIOLJZ,O,X,X,X,X,X,X,X,X,X,O
TSIOLZJ,O,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,X,X,X,X,O
TSIOJZL,O,X,X,X,X,X,X,X,X,X,O
TSIOZLJ,O,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,X,O
TSLIJZO,O,X,X,X,X,X,X,X,X,X,O
TSLIJOZ,O,X,O,X,X,X,X,X,X,X,O
TSLIZJO,O,O,X,X,X,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X,X,X,X
TSLIOJZ,O,X,O,X,X,X,X,X,X,X,O
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X,X,X,X,X,O
TSLJIOZ,O,X,O,X,X,X,X,X,X,X,O
TSLJZIO,O,X,X,X,X,X,X,X,X,X,O
TSLJZOI,O,X,X,X,X,X,X,X,X,X,O
TSLJOIZ,O,X,O,X,X,X,X,X,X,X,O
TSLJOZI,O,X,O,X,X,X,X,X,X,X,O
TSLZIJO,O,O,X,X,X,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X,X,X,X
TSLOIJZ,O,X,O,X,X,X,X,X,X,X,O
TSLOIZJ,O,O,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,X,O,X,X,X,X,X,X,X,O
TSLOJZI,O,X,O,X,X,X,X,X,X,X,O
TSLOZIJ,O,O,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X,X
TSJILZO,O,X,X,X,X,X,X,X,X,X,O
TSJILOZ,O,X,X,X,X,X,X,X,X,X,O
TSJIZLO,O,X,X,X,X,X,X,X,X,X,O
TSJIZOL,O,X,X,X,X,X,X,X,X,X,O
TSJIOLZ,O,X,X,X,X,X,X,X,X,X,O
TSJIOZL,O,X,X,X,X,X,X,X,X,X,O
TSJLIZO,O,X,X,X,X,X,X,X,X,X,O
TSJLIOZ,O,X,O,X,X,X,X,X,X,X,O
TSJLZIO,O,X,X,X,X,X,X,X,X,X,O
TSJLZOI,O,X,X,X,X,X,X,X,X,X,O
TSJLOIZ,O,X,O,X,X,X,X,X,X,X,O
TSJLOZI,O,X,O,X,X,X,X,X,X,X,O
TSJZILO,O,X,X,X,X,X,X,X,X,X,O
TSJZIOL,O,X,X,X,X,X,X,X,O,X,O
TSJZLIO,O,X,X,X,X,X,X,X,O,X,O
TSJZLOI,O,X,X,X,X,X,X,X,O,X,O
TSJZOIL,O,X,X,X,X,X,X,X,O,X,O
TSJZOLI,O,X,X,X,X,X,X,X,O,X,O
TSJOILZ,O,X,X,X,X,X,X,X,X,X,O
TSJOIZL,O,X,X,X,X,X,X,X,X,X,O
TSJOLIZ,O,X,O,X,X,X,X,X,X,X,O
TSJOLZI,O,X,O,X,X,X,X,X,X,X,O
TSJOZIL,O,X,X,X,X,X,X,X,O,X,O
TSJOZLI,O,X,X,X,X,X,X,X,O,X,O
TSZILJO,O,X,X,X,X,X,X,X,X,X,X
TSZILOJ,O,X,X,X,X,X,X,X,X,X,X
TSZIJLO,O,X,X,X,X,X,X,X,X,X,O
TSZIJOL,O,O,X,X,X,X,X,X,O,X,O
TSZIOLJ,O,X,X,X,X,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X,O,X,O
TSZLIJO,O,O,X,X,X,X,X,X,O,X,X
TSZLIOJ,O,O,X,X,X,X,X,X,O,X,X
TSZLJIO,O,O,X,X,X,X,X,X,O,X,X
TSZLJOI,O,O,X,X,X,X,X,X,O,X,X
TSZLOIJ,O,O,X,X,X,X,X,X,O,X,X
TSZLOJI,O,O,X,X,X,X,X,X,O,X,X
TSZJILO,O,X,X,X,X,X,X,X,X,X,O
TSZJIOL,O,O,X,X,X,X,X,X,O,X,O
TSZJLIO,O,O,X,X,X,X,X,X,O,X,O
TSZJLOI,O,O,X,X,X,X,X,X,O,X,O
TSZJOIL,O,O,X,X,X,X,X,X,O,X,O
TSZJOLI,O,O,X,X,X,X,X,X,O,X,O
TSZOILJ,O,X,X,X,X,X,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X,X,O,X,O
TSZOLIJ,O,O,X,X,X,X,X,X,O,X,X
TSZOLJI,O,O,X,X,X,X,X,X,O,X,X
TSZOJIL,O,O,X,X,X,X,X,X,O,X,O
TSZOJLI,O,O,X,X,X,X,X,X,O,X,O
TSOILJZ,O,X,X,X,X,X,X,X,X,X,O
TSOILZJ,O,X,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,X,X,X,X,X,O
TSOIJZL,O,X,X,X,X,X,X,X,X,X,O
TSOIZLJ,O,X,X,X,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X,X,X,O
TSOLIJZ,O,X,O,X,X,X,X,X,X,X,O
TSOLIZJ,O,O,X,X,X,X,X,X,X,X,X
TSOLJIZ,O,X,O,X,X,X,X,X,X,X,O
TSOLJZI,O,X,O,X,X,X,X,X,X,X,O
TSOLZIJ,O,O,X,X,X,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X,X,X,X
TSOJILZ,O,X,X,X,X,X,X,X,X,X,O
TSOJIZL,O,X,X,X,X,X,X,X,X,X,O
TSOJLIZ,O,X,O,X,X,X,X,X,X,X,O
TSOJLZI,O,X,O,X,X,X,X,X,X,X,O
TSOJZIL,O,X,X,X,X,X,X,X,O,X,O
TSOJZLI,O,X,X,X,X,X,X,X,O,X,O
TSOZILJ,O,X,X,X,X,X,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X,X,O,X,O
TSOZLIJ,O,O,X,X,X,X,X,X,O,X,X
TSOZLJI,O,O,X,X,X,X,X,X,O,X,X
TSOZJIL,O,O,X,X,X,X,X,X,O,X,O
TSOZJLI,O,O,X,X,X,X,X,X,O,X,O
TZILJSO,X,O,X,X,X,X,X,X,O,X,X
TZILJOS,X,O,X,X,X,X,X,X,O,O,X
TZILSJO,X,O,X,X,X,O,X,X,O,X,X
TZILSOJ,X,O,X,X,X,O,X,X,O,X,X
TZILOJS,X,O,X,X,X,X,X,X,O,O,X
TZILOSJ,X,O,X,X,X,X,X,X,O,X,X
TZIJLSO,X,O,X,X,X,O,X,X,O,X,X
TZIJLOS,X,O,X,X,X,X,X,X,O,O,X
TZIJSLO,O,X,X,X,O,O,X,X,X,X,X
TZIJSOL,O,O,X,X,O,X,X,X,O,X,X
TZIJOLS,X,O,X,X,X,X,X,X,O,O,X
TZIJOSL,O,O,X,X,O,X,X,X,O,X,X
TZISLJO,O,X,X,X,X,O,X,X,X,X,X
TZISLOJ,O,X,X,X,O,O,X,X,X,X,X
TZISJLO,O,X,X,X,X,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X,O,X,X
TZISOLJ,O,X,X,X,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X,O,X,X
TZIOLJS,X,O,X,X,X,X,X,X,O,O,X
TZIOLSJ,X,O,X,X,X,X,X,X,O,X,X
TZIOJLS,X,O,X,X,X,X,X,X,O,O,X
TZIOJSL,O,O,X,X,O,X,X,X,O,X,X
TZIOSLJ,O,X,X,X,O,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,X,O,X,X
TZLIJSO,X,O,X,X,X,X,X,X,O,X,X
TZLIJOS,X,O,O,X,X,X,X,X,O,X,X
TZLISJO,X,O,X,X,X,O,X,X,O,X,X
TZLISOJ,X,O,X,X,X,O,X,X,O,X,X
TZLIOJS,X,O,O,X,X,X,X,X,O,X,X
TZLIOSJ,X,O,X,X,X,X,X,X,O,X,X
TZLJISO,X,O,X,X,X,X,X,X,O,X,X
TZLJIOS,X,O,O,X,X,X,X,X,O,X,X
TZLJSIO,X,O,X,X,X,X,X,X,O,X,X
TZLJSOI,X,O,X,X,X,X,X,X,O,X,X
TZLJOIS,X,O,O,X,X,X,X,X,O,X,X
TZLJOSI,X,O,O,X,X,X,X,X,O,X,X
TZLSIJO,X,O,X,X,X,O,X,X,O,X,X
TZLSIOJ,X,O,X,X,X,O,X,X,O,X,X
TZLSJIO,X,O,X,X,X,O,X,X,O,X,X
TZLSJOI,X,O,X,X,X,O,X,X,O,X,X
TZLSOIJ,X,O,X,X,X,O,X,X,O,X,X
TZLSOJI,X,O,X,X,X,O,X,X,O,X,X
TZLOIJS,X,O,O,X,X,X,X,X,O,X,X
TZLOISJ,X,O,X,X,X,X,X,X,O,X,X
TZLOJIS,X,O,O,X,X,X,X,X,O,X,X
TZLOJSI,X,O,O,X,X,X,X,X,O,X,X
TZLOSIJ,X,O,X,X,X,X,X,X,O,X,X
TZLOSJI,X,O,X,X,X,X,X,X,O,X,X
TZJILSO,X,O,X,X,X,O,X,X,O,X,X
TZJILOS,X,O,X,X,X,X,X,X,O,O,X
TZJISLO,O,X,X,X,O,O,X,X,X,X,X
TZJISOL,O,O,X,X,O,X,X,X,O,X,X
TZJIOLS,X,O,X,X,X,X,X,X,O,O,X
TZJIOSL,O,O,X,X,O,X,X,X,O,X,X
TZJLISO,X,O,X,X,X,O,X,X,O,X,X
TZJLIOS,X,O,O,X,X,X,X,X,O,X,X
TZJLSIO,X,O,X,X,X,O,X,X,O,X,X
TZJLSOI,X,O,X,X,X,O,X,X,O,X,X
TZJLOIS,X,O,O,X,X,X,X,X,O,X,X
TZJLOSI,X,O,O,X,X,X,X,X,O,X,X
TZJSILO,O,X,X,X,O,O,X,X,X,X,X
TZJSIOL,O,O,X,X,O,X,X,X,O,X,X
TZJSLIO,O,O,X,X,O,O,X,X,O,X,X
TZJSLOI,O,O,X,X,O,O,X,X,O,X,X
TZJSOIL,O,O,X,X,O,X,X,X,O,X,X
TZJSOLI,O,O,X,X,O,X,X,X,O,X,X
TZJOILS,X,O,X,X,X,X,X,X,O,O,X
TZJOISL,O,O,X,X,O,X,X,X,O,X,X
TZJOLIS,X,O,O,X,X,X,X,X,O,X,X
TZJOLSI,X,O,O,X,X,X,X,X,O,X,X
TZJOSIL,O,O,X,X,O,X,X,X,O,X,X
TZJOSLI,O,O,X,X,O,X,X,X,O,X,X
TZSILJO,O,X,X,X,X,O,X,X,X,X,X
TZSILOJ,O,X,X,X,O,O,X,X,X,X,X
TZSIJLO,O,X,X,X,X,X,X,X,X,X,X
TZSIJOL,O,O,X,X,X,X,X,X,O,X,X
TZSIOLJ,O,X,X,X,O,X,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X,O,X,X
TZSLIJO,O,O,X,X,X,O,X,X,O,X,X
TZSLIOJ,O,O,X,X,O,O,X,X,O,X,X
TZSLJIO,O,O,X,X,X,O,X,X,O,X,X
TZSLJOI,O,O,X,X,X,O,X,X,O,X,X
TZSLOIJ,O,O,X,X,O,O,X,X,O,X,X
TZSLOJI,O,O,X,X,O,O,X,X,O,X,X
TZSJILO,O,X,X,X,X,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,X,X,X,O,X,X
TZSJLIO,O,O,X,X,X,X,X,X,O,X,X
TZSJLOI,O,O,X,X,X,X,X,X,O,X,X
TZSJOIL,O,O,X,X,X,X,X,X,O,X,X
TZSJOLI,O,O,X,X,X,X,X,X,O,X,X
TZSOILJ,O,X,X,X,O,X,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X,X,O,X,X
TZSOLIJ,O,O,X,X,O,X,X,X,O,X,X
TZSOLJI,O,O,X,X,O,X,X,X,O,X,X
TZSOJIL,O,O,X,X,X,X,X,X,O,X,X
TZSOJLI,O,O,X,X,X,X,X,X,O,X,X
TZOILJS,X,O,X,X,X,X,X,X,O,O,X
TZOILSJ,X,O,X,X,X,X,X,X,O,X,X
TZOIJLS,X,O,X,X,X,X,X,X,O,O,X
TZOIJSL,O,O,X,X,O,X,X,X,O,X,X
TZOISLJ,O,X,X,X,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X,O,X,X
TZOLIJS,X,O,O,X,X,X,X,X,O,X,X
TZOLISJ,X,O,X,X,X,X,X,X,O,X,X
TZOLJIS,X,O,O,X,X,X,X,X,O,X,X
TZOLJSI,X,O,O,X,X,X,X,X,O,X,X
TZOLSIJ,X,O,X,X,X,X,X,X,O,X,X
TZOLSJI,X,O,X,X,X,X,X,X,O,X,X
TZOJILS,X,O,X,X,X,X,X,X,O,O,X
TZOJISL,O,O,X,X,O,X,X,X,O,X,X
TZOJLIS,X,O,O,X,X,X,X,X,O,X,X
TZOJLSI,X,O,O,X,X,X,X,X,O,X,X
TZOJSIL,O,O,X,X,O,X,X,X,O,X,X
TZOJSLI,O,O,X,X,O,X,X,X,O,X,X
TZOSILJ,O,X,X,X,O,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X,O,X,X
TZOSLIJ,O,O,X,X,O,X,X,X,O,X,X
TZOSLJI,O,O,X,X,O,X,X,X,O,X,X
TZOSJIL,O,O,X,X,X,X,X,X,O,X,X
TZOSJLI,O,O,X,X,X,X,X,X,O,X,X
TOILJSZ,O,X,O,X,X,X,X,X,X,X,X
TOILJZS,X,O,O,O,X,X,X,O,X,X,X
TOILSJZ,O,X,O,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,X,X,X,X,X,X
TOILZJS,X,O,O,O,X,X,X,O,X,X,X
TOILZSJ,X,O,X,O,X,X,X,O,X,X,X
TOIJLSZ,O,X,O,X,X,X,X,X,X,X,X
TOIJLZS,X,X,O,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X,X,X,X,X,X
TOIJSZL,O,X,X,O,X,X,X,X,X,X,X
TOIJZLS,X,O,X,O,X,X,X,X,O,O,X
TOIJZSL,O,O,X,O,O,X,X,X,O,X,X
TOISLJZ,O,X,X,X,X,X,X,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X,X,X,X
TOISJLZ,O,X,X,X,X,X,X,X,X,X,X
TOISJZL,O,X,X,O,X,X,X,X,X,X,X
TOISZLJ,O,X,X,O,X,X,X,X,X,X,X
TOISZJL,O,O,X,O,X,X,X,X,X,X,X
TOIZLJS,X,O,X,O,X,X,X,X,O,O,X
TOIZLSJ,X,O,X,O,X,X,X,X,O,X,X
TOIZJLS,X,O,X,O,X,X,X,X,O,O,X
TOIZJSL,O,O,X,O,O,X,X,X,O,X,X
TOIZSLJ,O,X,X,O,O,X,X,X,X,X,X
TOIZSJL,O,O,X,O,X,X,X,X,O,X,X
TOLIJSZ,O,X,O,X,X,X,X,X,X,X,X
TOLIJZS,X,O,O,X,X,X,X,O,X,X,X
TOLISJZ,O,X,O,X,X,X,X,X,X,X,X
TOLISZJ,O,O,X,X,X,X,X,X,X,X,X
TOLIZJS,X,O,O,X,X,X,X,O,X,X,X
TOLIZSJ,X,O,X,X,X,X,X,O,X,X,X
TOLJISZ,O,X,O,X,X,X,X,X,X,X,X
TOLJIZS,X,O,O,X,X,X,X,O,X,X,X
TOLJSIZ,O,X,O,X,X,X,X,X,X,X,X
TOLJSZI,O,X,O,X,X,X,O,X,X,X,X
TOLJZIS,X,O,O,X,X,X,X,O,O,X,X
TOLJZSI,X,O,O,X,X,X,O,O,O,X,X
TOLSIJZ,O,X,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X,X,X,X
TOLSJIZ,O,X,O,X,X,X,X,X,X,X,X
TOLSJZI,O,X,O,X,X,X,O,X,X,X,X
TOLSZIJ,O,O,X,X,X,X,O,X,X,X,X
TOLSZJI,O,O,X,X,X,X,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,X,O,O,X,X
TOLZISJ,X,O,X,X,X,X,X,O,O,X,X
TOLZJIS,X,O,O,X,X,X,X,O,O,X,X
TOLZJSI,X,O,O,X,X,X,O,O,O,X,X
TOLZSIJ,X,O,X,X,X,X,O,O,O,X,X
TOLZSJI,X,O,X,X,X,X,O,X,O,X,X
TOJILSZ,O,X,O,X,X,X,X,X,X,X,X
TOJILZS,X,X,O,O,X,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,X,X,X,X,X,X
TOJISZL,O,X,X,O,X,X,X,X,X,X,X
TOJIZLS,X,O,X,O,X,X,X,X,O,O,X
TOJIZSL,O,O,X,O,O,X,X,X,O,X,X
TOJLISZ,O,X,O,X,X,X,X,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X,X,X,X,X
TOJLSIZ,O,X,O,X,X,X,X,X,X,X,X
TOJLSZI,O,X,O,X,X,X,O,X,X,X,X
TOJLZIS,X,O,O,X,X,X,X,X,O,X,X
TOJLZSI,X,O,O,X,X,X,O,X,O,X,X
TOJSILZ,O,X,X,X,X,X,X,X,X,X,X
TOJSIZL,O,X,X,X,X,X,X,X,X,X,X
TOJSLIZ,O,X,O,X,X,X,X,X,X,X,X
TOJSLZI,O,X,O,X,X,X,X,X,X,X,X
TOJSZIL,O,X,X,X,X,X,X,X,O,X,X
TOJSZLI,O,X,X,X,X,X,X,X,O,X,X
TOJZILS,X,O,X,X,X,X,X,X,O,O,X
TOJZISL,O,O,X,X,O,X,X,X,O,X,X
TOJZLIS,X,O,O,X,X,X,X,X,O,X,X
TOJZLSI,X,O,O,X,X,X,X,X,O,X,X
TOJZSIL,O,O,X,X,O,X,X,X,O,X,X
TOJZSLI,O,O,X,X,O,X,X,X,O,X,X
TOSILJZ,O,X,X,X,X,X,X,X,X,X,O
TOSILZJ,O,X,X,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,X,X,X,X,X,X,X,O
TOSIJZL,O,X,X,X,X,X,X,X,X,X,O
TOSIZLJ,O,X,X,X,X,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X,X,X,O
TOSLIJZ,O,X,O,X,X,X,X,X,X,X,O
TOSLIZJ,O,O,X,X,X,X,X,X,X,X,X
TOSLJIZ,O,X,O,X,X,X,X,X,X,X,O
TOSLJZI,O,X,O,X,X,X,X,X,X,X,O
TOSLZIJ,O,O,X,X,X,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X,X,X,X
TOSJILZ,O,X,X,X,X,X,X,X,X,X,O
TOSJIZL,O,X,X,X,X,X,X,X,X,X,O
TOSJLIZ,O,X,O,X,X,X,X,X,X,X,O
TOSJLZI,O,X,O,X,X,X,X,X,X,X,O
TOSJZIL,O,X,X,X,X,X,X,X,O,X,O
TOSJZLI,O,X,X,X,X,X,X,X,O,X,O
TOSZILJ,O,X,X,X,X,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X,O,X,O
TOSZLIJ,O,O,X,X,X,X,X,X,O,X,X
TOSZLJI,O,O,X,X,X,X,X,X,O,X,X
TOSZJIL,O,O,X,X,X,X,X,X,O,X,O
TOSZJLI,O,O,X,X,X,X,X,X,O,X,O
TOZILJS,X,O,X,X,X,X,X,X,O,O,X
TOZILSJ,X,O,X,X,X,X,X,X,O,X,X
TOZIJLS,X,O,X,X,X,X,X,X,O,O,X
TOZIJSL,O,O,X,X,O,X,X,X,O,X,X
TOZISLJ,O,X,X,X,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X,O,X,X
TOZLIJS,X,O,O,X,X,X,X,X,O,X,X
TOZLISJ,X,O,X,X,X,X,X,X,O,X,X
TOZLJIS,X,O,O,X,X,X,X,X,O,X,X
TOZLJSI,X,O,O,X,X,X,X,X,O,X,X
TOZLSIJ,X,O,X,X,X,X,X,X,O,X,X
TOZLSJI,X,O,X,X,X,X,X,X,O,X,X
TOZJILS,X,O,X,X,X,X,X,X,O,O,X
TOZJISL,O,O,X,X,O,X,X,X,O,X,X
TOZJLIS,X,O,O,X,X,X,X,X,O,X,X
TOZJLSI,X,O,O,X,X,X,X,X,O,X,X
TOZJSIL,O,O,X,X,O,X,X,X,O,X,X
TOZJSLI,O,O,X,X,O,X,X,X,O,X,X
TOZSILJ,O,X,X,X,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X,O,X,X
TOZSLIJ,O,O,X,X,O,X,X,X,O,X,X
TOZSLJI,O,O,X,X,O,X,X,X,O,X,X
TOZSJIL,O,O,X,X,X,X,X,X,O,X,X
TOZSJLI,O,O,X,X,X,X,X,X,O,X,X
ITLJSZO,O,X,X,X,X,X,X,X,X,X,X
ITLJSOZ,O,X,O,X,X,X,X,X,X,X,X
ITLJZSO,X,O,X,O,X,O,X,O,X,X,X
ITLJZOS,X,O,O,O,X,X,X,O,X,X,X
ITLJOSZ,O,X,O,X,X,X,X,X,X,X,X
ITLJOZS,X,O,O,O,X,X,X,O,X,X,X
ITLSJZO,O,X,X,X,X,X,X,X,X,X,X
ITLSJOZ,O,X,O,X,X,X,X,X,X,X,X
ITLSZJO,O,O,X,X,X,X,X,X,X,X,X
ITLSZOJ,O,O,X,X,X,X,X,X,X,X,X
ITLSOJZ,O,X,O,X,X,X,X,X,X,X,X
ITLSOZJ,O,O,X,X,X,X,X,X,X,X,X
ITLZJSO,X,O,X,O,X,X,X,O,X,X,X
ITLZJOS,X,O,O,O,X,X,X,O,X,X,X
ITLZSJO,X,O,X,O,X,O,X,X,X,X,X
ITLZSOJ,X,O,X,O,X,O,X,O,X,X,X
ITLZOJS,X,O,O,O,X,X,X,O,X,X,X
ITLZOSJ,X,O,X,O,X,X,X,O,X,X,X
ITLOJSZ,O,X,O,X,X,X,X,X,X,X,X
ITLOJZS,X,O,O,O,X,X,X,O,X,X,X
ITLOSJZ,O,X,O,X,X,X,X,X,X,X,X
ITLOSZJ,O,O,X,X,X,X,X,X,X,X,X
ITLOZJS,X,O,O,O,X,X,X,O,X,X,X
ITLOZSJ,X,O,X,O,X,X,X,O,X,X,X
ITJLSZO,O,X,X,X,X,X,X,X,X,X,X
ITJLSOZ,O,X,O,X,X,X,X,X,X,X,X
ITJLZSO,X,X,X,O,X,O,X,X,X,X,X
ITJLZOS,X,X,O,O,X,X,X,X,X,X,X
ITJLOSZ,O,X,O,X,X,X,X,X,X,X,X
ITJLOZS,X,X,O,O,X,X,X,X,X,X,X
ITJSLZO,O,X,X,X,X,X,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X,X,X,X,X
ITJSZLO,O,X,X,O,X,X,X,X,X,X,X
ITJSZOL,O,X,X,O,X,X,X,X,X,X,X
ITJSOLZ,O,X,X,X,X,X,X,X,X,X,X
ITJSOZL,O,X,X,O,X,X,X,X,X,X,X
ITJZLSO,X,X,X,O,X,O,X,X,O,X,X
ITJZLOS,X,O,X,O,X,X,X,X,O,O,X
ITJZSLO,O,X,X,O,O,O,X,X,X,X,X
ITJZSOL,O,O,X,O,O,X,X,X,O,X,X
ITJZOLS,X,O,X,O,X,X,X,X,O,O,X
ITJZOSL,O,O,X,O,O,X,X,X,O,X,X
ITJOLSZ,O,X,O,X,X,X,X,X,X,X,X
ITJOLZS,X,X,O,O,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,X,X,X,X
ITJOSZL,O,X,X,O,X,X,X,X,X,X,X
ITJOZLS,X,O,X,O,X,X,X,X,O,O,X
ITJOZSL,O,O,X,O,O,X,X,X,O,X,X
ITSLJZO,O,X,X,X,X,X,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X,X,X,X,X
ITSLZJO,O,X,X,X,X,X,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X,X,X,X,X
ITSJZLO,O,X,X,O,X,X,X,X,X,X,X
ITSJZOL,O,X,X,O,X,X,X,X,X,X,X
ITSJOLZ,O,X,X,X,X,X,X,X,X,X,X
ITSJOZL,O,X,X,O,X,X,X,X,X,X,X
ITSZLJO,O,X,X,O,X,X,X,X,X,X,X
ITSZLOJ,O,X,X,O,X,X,X,X,X,X,X
ITSZJLO,O,X,X,O,X,X,X,X,X,X,X
ITSZJOL,O,O,X,O,X,X,X,X,X,X,X
ITSZOLJ,O,X,X,O,X,X,X,X,X,X,X
ITSZOJL,O,O,X,O,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,X,X,X,X,X,X
ITSOJZL,O,X,X,O,X,X,X,X,X,X,X
ITSOZLJ,O,X,X,O,X,X,X,X,X,X,X
ITSOZJL,O,O,X,O,X,X,X,X,X,X,X
ITZLJSO,X,O,X,O,X,X,X,X,O,X,X
