sequence,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhETXB8hBCgB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKVB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZwIvhEKbB8hBTfB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZyIvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhEKfBzaB8hB+?oBXlB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Jef3IvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je/wIvhEZaB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8JeZ6IvhE3XB8hBqkBT?gB+oB,v115@BhA8IeA8EeA8BeD8CeG8AeB8Je52IvhETXBKfB8hB+?oBXlB
comments,S_tetramino > L_tetramino,O_tetramino > L_tetramino,...,(L_tetraminoS_tetramino)>O_tetramino,...,L_tetramino > O_tetramino (technically),L_tetraminospin exists,forced early doubleup,Pit
TILJSZO,X,X,X,O,X,X,O,O,X
TILJSOZ,X,X,X,O,X,X,O,O,X
TILJZSO,X,X,X,O,X,X,O,O,X
TILJZOS,X,X,X,X,X,O,O,O,X
TILJOSZ,X,X,X,X,X,O,O,O,X
TILJOZS,X,X,X,X,X,O,O,O,X
TILSJZO,X,X,X,O,X,X,O,O,X
TILSJOZ,X,X,X,O,X,X,O,O,X
TILSZJO,X,X,X,O,X,X,O,O,X
TILSZOJ,X,X,X,O,X,X,O,O,X
TILSOJZ,X,X,X,O,X,X,O,O,X
TILSOZJ,X,X,X,O,X,X,O,O,X
TILZJSO,X,X,X,O,X,X,O,O,X
TILZJOS,X,X,X,X,X,O,O,O,X
TILZSJO,X,X,X,O,X,X,O,O,X
TILZSOJ,X,X,X,O,X,X,O,O,X
TILZOJS,X,X,X,X,X,O,O,O,X
TILZOSJ,X,X,X,X,X,O,O,O,X
TILOJSZ,X,X,X,X,X,O,O,O,X
TILOJZS,X,X,X,X,X,O,O,O,X
TILOSJZ,X,X,X,X,X,O,O,O,X
TILOSZJ,X,X,X,X,X,O,O,O,X
TILOZJS,X,X,X,X,X,O,O,O,X
TILOZSJ,X,X,X,X,X,O,O,O,X
TIJLSZO,X,X,X,O,X,X,O,O,X
TIJLSOZ,X,X,X,O,X,X,O,O,X
TIJLZSO,X,X,X,O,X,X,O,O,X
TIJLZOS,X,X,X,X,X,O,O,O,X
TIJLOSZ,X,X,X,X,X,O,O,O,X
TIJLOZS,X,X,X,X,X,O,O,O,X
TIJSLZO,O,X,X,O,X,X,O,O,X
TIJSLOZ,O,X,X,O,X,X,O,O,X
TIJSZLO,O,X,X,O,X,X,O,O,X
TIJSZOL,O,O,X,X,X,X,O,X,X
TIJSOLZ,O,O,X,X,X,X,O,X,X
TIJSOZL,O,O,X,X,X,X,O,X,X
TIJZLSO,X,X,X,O,X,X,O,O,X
TIJZLOS,X,X,X,X,X,O,O,O,X
TIJZSLO,O,X,X,O,X,X,O,O,X
TIJZSOL,O,O,X,X,X,X,O,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,O,X,X
TIJOLSZ,X,O,X,X,X,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,X,O,X,X
TIJOSZL,O,O,X,X,X,X,O,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X,O,X,X
TISLJZO,O,X,X,O,X,X,O,O,X
TISLJOZ,O,X,X,O,X,X,O,O,X
TISLZJO,O,X,X,O,X,X,O,O,X
TISLZOJ,O,X,X,O,X,X,O,O,X
TISLOJZ,O,X,X,O,X,X,O,O,X
TISLOZJ,O,X,X,O,X,X,O,O,X
TISJLZO,O,X,X,O,X,X,O,O,X
TISJLOZ,O,X,X,O,X,X,O,O,X
TISJZLO,O,X,X,O,X,X,O,O,X
TISJZOL,O,O,X,X,X,X,O,X,X
TISJOLZ,O,O,X,X,X,X,O,X,X
TISJOZL,O,O,X,X,X,X,O,X,X
TISZLJO,O,X,X,O,X,X,O,O,X
TISZLOJ,O,X,X,O,X,X,O,O,X
TISZJLO,O,X,X,O,X,X,O,O,X
TISZJOL,O,O,X,X,X,X,O,X,X
TISZOLJ,O,O,X,X,X,X,O,X,X
TISZOJL,O,O,X,X,X,X,O,X,X
TISOLJZ,O,O,X,X,X,X,O,X,X
TISOLZJ,O,O,X,X,X,X,O,X,X
TISOJLZ,O,O,X,X,X,X,O,X,X
TISOJZL,O,O,X,X,X,X,O,X,X
TISOZLJ,O,O,X,X,X,X,O,X,X
TISOZJL,O,O,X,X,X,X,O,X,X
TIZLJSO,X,X,X,O,X,X,O,O,X
TIZLJOS,X,X,X,X,X,O,O,O,X
TIZLSJO,X,X,X,O,X,X,O,O,X
TIZLSOJ,X,X,X,O,X,X,O,O,X
TIZLOJS,X,X,X,X,X,O,O,O,X
TIZLOSJ,X,X,X,X,X,O,O,O,X
TIZJLSO,X,X,X,O,X,X,O,O,X
TIZJLOS,X,X,X,X,X,O,O,O,X
TIZJSLO,O,X,X,O,X,X,O,O,X
TIZJSOL,O,O,X,X,X,X,O,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X
TIZJOSL,O,O,X,X,X,X,O,X,X
TIZSLJO,O,X,X,O,X,X,O,O,X
TIZSLOJ,O,X,X,O,X,X,O,O,X
TIZSJLO,O,X,X,O,X,X,O,O,X
TIZSJOL,O,O,X,X,X,X,O,X,X
TIZSOLJ,O,O,X,X,X,X,O,X,X
TIZSOJL,O,O,X,X,X,X,O,X,X
TIZOLJS,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X,X
TIZOJSL,O,O,X,X,X,X,O,X,X
TIZOSLJ,O,O,X,X,X,X,O,X,X
TIZOSJL,O,O,X,X,X,X,O,X,X
TIOLJSZ,X,O,X,X,X,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,X,X,X,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,X,X,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X
TIOJSLZ,O,O,X,X,X,X,O,X,X
TIOJSZL,O,O,X,X,X,X,O,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,X,O,X,X
TIOSLJZ,O,O,X,X,X,X,O,X,X
TIOSLZJ,O,O,X,X,X,X,O,X,X
TIOSJLZ,O,O,X,X,X,X,O,X,X
TIOSJZL,O,O,X,X,X,X,O,X,X
TIOSZLJ,O,O,X,X,X,X,O,X,X
TIOSZJL,O,O,X,X,X,X,O,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X
TIOZJSL,O,O,X,X,X,X,O,X,X
TIOZSLJ,O,O,X,X,X,X,O,X,X
TIOZSJL,O,O,X,X,X,X,O,X,X
TLIJSZO,X,X,X,O,X,X,O,O,X
TLIJSOZ,X,X,X,O,X,X,O,O,X
TLIJZSO,X,X,X,O,X,X,O,O,X
TLIJZOS,X,X,X,X,X,O,O,O,X
TLIJOSZ,X,X,X,X,X,O,O,O,X
TLIJOZS,X,X,X,X,X,O,O,O,X
TLISJZO,X,X,X,O,X,X,O,O,X
TLISJOZ,X,X,X,O,X,X,O,O,X
TLISZJO,X,X,X,O,X,X,O,O,X
TLISZOJ,X,X,X,O,X,X,O,O,X
TLISOJZ,X,X,X,O,X,X,O,O,X
TLISOZJ,X,X,X,O,X,X,O,O,X
TLIZJSO,X,X,X,O,X,X,O,O,X
TLIZJOS,X,X,X,X,X,O,O,O,X
TLIZSJO,X,X,X,O,X,X,O,O,X
TLIZSOJ,X,X,X,O,X,X,O,O,X
TLIZOJS,X,X,X,X,X,O,O,O,X
TLIZOSJ,X,X,X,X,X,O,O,O,X
TLIOJSZ,X,X,X,X,X,O,O,O,X
TLIOJZS,X,X,X,X,X,O,O,O,X
TLIOSJZ,X,X,X,X,X,O,O,O,X
TLIOSZJ,X,X,X,X,X,O,O,O,X
TLIOZJS,X,X,X,X,X,O,O,O,X
TLIOZSJ,X,X,X,X,X,O,O,O,X
TLJISZO,X,X,X,O,X,X,O,O,X
TLJISOZ,X,X,X,O,X,X,O,O,X
TLJIZSO,X,X,X,O,X,X,O,O,X
TLJIZOS,X,X,X,X,X,O,O,O,X
TLJIOSZ,X,X,X,X,X,O,O,O,X
TLJIOZS,X,X,X,X,X,O,O,O,X
TLJSIZO,X,X,X,O,O,X,X,O,O
TLJSIOZ,X,X,X,O,O,X,X,O,O
TLJSZIO,X,X,X,O,O,X,X,O,O
TLJSZOI,X,X,X,O,O,X,X,O,O
TLJSOIZ,X,X,X,O,O,X,X,O,O
TLJSOZI,X,X,X,O,O,X,X,O,O
TLJZISO,X,X,X,O,X,X,O,O,X
TLJZIOS,X,X,X,X,X,O,O,O,X
TLJZSIO,X,X,X,O,O,X,X,O,O
TLJZSOI,X,X,X,O,O,X,X,O,O
TLJZOIS,X,X,X,X,X,O,O,O,X
TLJZOSI,X,X,X,X,X,O,X,O,O
TLJOISZ,X,X,X,X,X,O,O,O,X
TLJOIZS,X,X,X,X,X,O,O,O,X
TLJOSIZ,X,X,X,X,X,O,X,O,O
TLJOSZI,X,X,X,X,X,O,X,O,O
TLJOZIS,X,X,X,X,X,O,O,O,X
TLJOZSI,X,X,X,X,X,O,X,O,O
TLSIJZO,X,X,X,O,O,X,X,O,O
TLSIJOZ,X,X,X,O,O,X,X,O,O
TLSIZJO,X,X,X,O,O,X,X,O,O
TLSIZOJ,X,X,X,O,O,X,X,O,O
TLSIOJZ,X,X,X,O,O,X,X,O,O
TLSIOZJ,X,X,X,O,O,X,X,O,O
TLSJIZO,X,X,X,O,O,X,X,O,O
TLSJIOZ,X,X,X,O,O,X,X,O,O
TLSJZIO,X,X,X,O,O,X,X,O,O
TLSJZOI,X,X,X,O,O,X,X,O,O
TLSJOIZ,X,X,X,O,O,X,X,O,O
TLSJOZI,X,X,X,O,O,X,X,O,O
TLSZIJO,X,X,X,O,O,X,X,O,O
TLSZIOJ,X,X,X,O,O,X,X,O,O
TLSZJIO,X,X,X,O,O,X,X,O,O
TLSZJOI,X,X,X,O,O,X,X,O,O
TLSZOIJ,X,X,X,O,O,X,X,O,O
TLSZOJI,X,X,X,O,O,X,X,O,O
TLSOIJZ,X,X,X,O,O,X,X,O,O
TLSOIZJ,X,X,X,O,O,X,X,O,O
TLSOJIZ,X,X,X,O,O,X,X,O,O
TLSOJZI,X,X,X,O,O,X,X,O,O
TLSOZIJ,X,X,X,O,O,X,X,O,O
TLSOZJI,X,X,X,O,O,X,X,O,O
TLZIJSO,X,X,X,O,X,X,O,O,X
TLZIJOS,X,X,X,X,X,O,O,O,X
TLZISJO,X,X,X,O,X,X,O,O,X
TLZISOJ,X,X,X,O,X,X,O,O,X
TLZIOJS,X,X,X,X,X,O,O,O,X
TLZIOSJ,X,X,X,X,X,O,O,O,X
TLZJISO,X,X,X,O,X,X,O,O,X
TLZJIOS,X,X,X,X,X,O,O,O,X
TLZJSIO,X,X,X,O,O,X,X,O,O
TLZJSOI,X,X,X,O,O,X,X,O,O
TLZJOIS,X,X,X,X,X,O,O,O,X
TLZJOSI,X,X,X,X,X,O,X,O,O
TLZSIJO,X,X,X,O,O,X,X,O,O
TLZSIOJ,X,X,X,O,O,X,X,O,O
TLZSJIO,X,X,X,O,O,X,X,O,O
TLZSJOI,X,X,X,O,O,X,X,O,O
TLZSOIJ,X,X,X,O,O,X,X,O,O
TLZSOJI,X,X,X,O,O,X,X,O,O
TLZOIJS,X,X,X,X,X,O,O,O,X
TLZOISJ,X,X,X,X,X,O,O,O,X
TLZOJIS,X,X,X,X,X,O,O,O,X
TLZOJSI,X,X,X,X,X,O,X,O,O
TLZOSIJ,X,X,X,X,X,O,X,O,O
TLZOSJI,X,X,X,X,X,O,X,O,O
TLOIJSZ,X,X,X,X,X,O,O,O,X
TLOIJZS,X,X,X,X,X,O,O,O,X
TLOISJZ,X,X,X,X,X,O,O,O,X
TLOISZJ,X,X,X,X,X,O,O,O,X
TLOIZJS,X,X,X,X,X,O,O,O,X
TLOIZSJ,X,X,X,X,X,O,O,O,X
TLOJISZ,X,X,X,X,X,O,O,O,X
TLOJIZS,X,X,X,X,X,O,O,O,X
TLOJSIZ,X,X,X,X,X,O,X,O,O
TLOJSZI,X,X,X,X,X,O,X,O,O
TLOJZIS,X,X,X,X,X,O,O,O,X
TLOJZSI,X,X,X,X,X,O,X,O,O
TLOSIJZ,X,X,X,X,X,O,X,O,O
TLOSIZJ,X,X,X,X,X,O,X,O,O
TLOSJIZ,X,X,X,X,X,O,X,O,O
TLOSJZI,X,X,X,X,X,O,X,O,O
TLOSZIJ,X,X,X,X,X,O,X,O,O
TLOSZJI,X,X,X,X,X,O,X,O,O
TLOZIJS,X,X,X,X,X,O,O,O,X
TLOZISJ,X,X,X,X,X,O,O,O,X
TLOZJIS,X,X,X,X,X,O,O,O,X
TLOZJSI,X,X,X,X,X,O,X,O,O
TLOZSIJ,X,X,X,X,X,O,X,O,O
TLOZSJI,X,X,X,X,X,O,X,O,O
TJILSZO,X,X,X,O,X,X,O,O,X
TJILSOZ,X,X,X,O,X,X,O,O,X
TJILZSO,X,X,X,O,X,X,O,O,X
TJILZOS,X,X,X,X,X,O,O,O,X
TJILOSZ,X,X,X,X,X,O,O,O,X
TJILOZS,X,X,X,X,X,O,O,O,X
TJISLZO,O,X,X,O,X,X,O,O,X
TJISLOZ,O,X,X,O,X,X,O,O,X
TJISZLO,O,X,X,O,X,X,O,O,X
TJISZOL,O,O,X,X,X,X,O,X,X
TJISOLZ,O,O,X,X,X,X,O,X,X
TJISOZL,O,O,X,X,X,X,O,X,X
TJIZLSO,X,X,X,O,X,X,O,O,X
TJIZLOS,X,X,X,X,X,O,O,O,X
TJIZSLO,O,X,X,O,X,X,O,O,X
TJIZSOL,O,O,X,X,X,X,O,X,X
TJIZOLS,X,O,X,X,X,X,X,X,X
TJIZOSL,O,O,X,X,X,X,O,X,X
TJIOLSZ,X,O,X,X,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,X
TJIOSLZ,O,O,X,X,X,X,O,X,X
TJIOSZL,O,O,X,X,X,X,O,X,X
TJIOZLS,X,O,X,X,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,O,X,X
TJLISZO,X,X,X,O,X,X,O,O,X
TJLISOZ,X,X,X,O,X,X,O,O,X
TJLIZSO,X,X,X,O,X,X,O,O,X
TJLIZOS,X,X,X,X,X,O,O,O,X
TJLIOSZ,X,X,X,X,X,O,O,O,X
TJLIOZS,X,X,X,X,X,O,O,O,X
TJLSIZO,X,X,X,O,O,X,X,O,O
TJLSIOZ,X,X,X,O,O,X,X,O,O
TJLSZIO,X,X,X,O,O,X,X,O,O
TJLSZOI,X,X,X,O,O,X,X,O,O
TJLSOIZ,X,X,X,O,O,X,X,O,O
TJLSOZI,X,X,X,O,O,X,X,O,O
TJLZISO,X,X,X,O,X,X,O,O,X
TJLZIOS,X,X,X,X,X,O,O,O,X
TJLZSIO,X,X,X,O,O,X,X,O,O
TJLZSOI,X,X,X,O,O,X,X,O,O
TJLZOIS,X,X,X,X,X,O,O,O,X
TJLZOSI,X,X,X,X,X,O,X,O,O
TJLOISZ,X,X,X,X,X,O,O,O,X
TJLOIZS,X,X,X,X,X,O,O,O,X
TJLOSIZ,X,X,X,X,X,O,X,O,O
TJLOSZI,X,X,X,X,X,O,X,O,O
TJLOZIS,X,X,X,X,X,O,O,O,X
TJLOZSI,X,X,X,X,X,O,X,O,O
TJSILZO,O,X,X,O,O,X,X,O,O
TJSILOZ,O,X,X,O,O,X,X,O,O
TJSIZLO,O,X,X,O,O,X,X,O,O
TJSIZOL,O,O,X,X,X,X,X,X,O
TJSIOLZ,O,O,X,X,X,X,X,X,O
TJSIOZL,O,O,X,X,X,X,X,X,O
TJSLIZO,O,X,X,O,O,X,X,O,O
TJSLIOZ,O,X,X,O,O,X,X,O,O
TJSLZIO,O,X,X,O,O,X,X,O,O
TJSLZOI,O,X,O,O,O,X,X,O,O
TJSLOIZ,O,X,O,O,O,X,X,O,O
TJSLOZI,O,X,O,O,O,X,X,O,O
TJSZILO,O,X,X,O,O,X,X,O,O
TJSZIOL,O,O,X,X,X,X,X,X,O
TJSZLIO,O,X,X,O,O,X,X,O,O
TJSZLOI,O,X,O,O,O,X,X,O,O
TJSZOIL,O,O,O,X,X,X,X,X,O
TJSZOLI,O,O,O,X,X,O,X,O,O
TJSOILZ,O,O,O,X,X,X,X,X,O
TJSOIZL,O,O,O,X,X,X,X,X,O
TJSOLIZ,O,O,O,X,X,O,X,O,O
TJSOLZI,O,O,O,X,X,O,X,O,O
TJSOZIL,O,O,O,X,X,X,X,X,O
TJSOZLI,O,O,O,X,X,O,X,O,O
TJZILSO,X,X,X,O,X,X,O,O,X
TJZILOS,X,X,X,X,X,O,O,O,X
TJZISLO,O,X,X,O,X,X,O,O,X
TJZISOL,O,O,X,X,X,X,O,X,X
TJZIOLS,X,O,X,X,X,X,X,X,X
TJZIOSL,O,O,X,X,X,X,O,X,X
TJZLISO,X,X,X,O,X,X,O,O,X
TJZLIOS,X,X,X,X,X,O,O,O,X
TJZLSIO,X,X,X,O,O,X,X,O,O
TJZLSOI,X,X,X,O,O,X,X,O,O
TJZLOIS,X,X,X,X,X,O,O,O,X
TJZLOSI,X,X,X,X,X,O,X,O,O
TJZSILO,O,X,X,O,O,X,X,O,O
TJZSIOL,O,O,X,X,X,X,X,X,O
TJZSLIO,O,X,X,O,O,X,X,O,O
TJZSLOI,O,X,O,O,O,X,X,O,O
TJZSOIL,O,O,O,X,X,X,X,X,O
TJZSOLI,O,O,O,X,X,O,X,O,O
TJZOILS,X,O,X,X,X,X,X,X,X
TJZOISL,O,O,O,X,X,X,O,X,X
TJZOLIS,X,O,X,X,X,O,O,O,X
TJZOLSI,X,O,X,X,X,O,X,O,O
TJZOSIL,O,O,O,X,X,X,X,X,O
TJZOSLI,O,O,O,X,X,O,X,O,O
TJOILSZ,X,O,X,X,X,X,X,X,X
TJOILZS,X,O,X,X,X,X,X,X,X
TJOISLZ,O,O,O,X,X,X,O,X,X
TJOISZL,O,O,O,X,X,X,O,X,X
TJOIZLS,X,O,X,X,X,X,X,X,X
TJOIZSL,O,O,O,X,X,X,O,X,X
TJOLISZ,X,O,X,X,X,O,O,O,X
TJOLIZS,X,O,X,X,X,O,O,O,X
TJOLSIZ,X,O,X,X,X,O,X,O,O
TJOLSZI,X,O,X,X,X,O,X,O,O
TJOLZIS,X,O,X,X,X,O,O,O,X
TJOLZSI,X,O,X,X,X,O,X,O,O
TJOSILZ,O,O,O,X,X,X,X,X,O
TJOSIZL,O,O,O,X,X,X,X,X,O
TJOSLIZ,O,O,O,X,X,O,X,O,O
TJOSLZI,O,O,O,X,X,O,X,O,O
TJOSZIL,O,O,O,X,X,X,X,X,O
TJOSZLI,O,O,O,X,X,O,X,O,O
TJOZILS,X,O,X,X,X,X,X,X,X
TJOZISL,O,O,O,X,X,X,O,X,X
TJOZLIS,X,O,X,X,X,O,O,O,X
TJOZLSI,X,O,X,X,X,O,X,O,O
TJOZSIL,O,O,O,X,X,X,X,X,O
TJOZSLI,O,O,O,X,X,O,X,O,O
TSILJZO,O,X,X,O,O,X,X,O,O
TSILJOZ,O,X,X,O,O,X,X,O,O
TSILZJO,O,X,X,O,O,X,X,O,O
TSILZOJ,O,X,X,O,O,X,X,O,O
TSILOJZ,O,X,X,O,O,X,X,O,O
TSILOZJ,O,X,X,O,O,X,X,O,O
TSIJLZO,O,X,X,O,O,X,X,O,O
TSIJLOZ,O,X,X,O,O,X,X,O,O
TSIJZLO,O,X,X,O,O,X,X,O,O
TSIJZOL,O,O,X,X,X,X,X,X,O
TSIJOLZ,O,O,X,X,X,X,X,X,O
TSIJOZL,O,O,X,X,X,X,X,X,O
TSIZLJO,O,X,X,O,O,X,X,O,O
TSIZLOJ,O,X,X,O,O,X,X,O,O
TSIZJLO,O,X,X,O,O,X,X,O,O
TSIZJOL,O,O,X,X,X,X,X,X,O
TSIZOLJ,O,O,X,X,X,X,X,X,O
TSIZOJL,O,O,X,X,X,X,X,X,O
TSIOLJZ,O,O,X,X,X,X,X,X,O
TSIOLZJ,O,O,X,X,X,X,X,X,O
TSIOJLZ,O,O,X,X,X,X,X,X,O
TSIOJZL,O,O,X,X,X,X,X,X,O
TSIOZLJ,O,O,X,X,X,X,X,X,O
TSIOZJL,O,O,X,X,X,X,X,X,O
TSLIJZO,O,X,X,O,O,X,X,O,O
TSLIJOZ,O,X,X,O,O,X,X,O,O
TSLIZJO,O,X,X,O,O,X,X,O,O
TSLIZOJ,O,X,X,O,O,X,X,O,O
TSLIOJZ,O,X,X,O,O,X,X,O,O
TSLIOZJ,O,X,X,O,O,X,X,O,O
TSLJIZO,O,X,X,O,O,X,X,O,O
TSLJIOZ,O,X,X,O,O,X,X,O,O
TSLJZIO,O,X,X,O,O,X,X,O,O
TSLJZOI,O,X,O,O,O,X,X,O,O
TSLJOIZ,O,X,O,O,O,X,X,O,O
TSLJOZI,O,X,O,O,O,X,X,O,O
TSLZIJO,O,X,X,O,O,X,X,O,O
TSLZIOJ,O,X,X,O,O,X,X,O,O
TSLZJIO,O,X,X,O,O,X,X,O,O
TSLZJOI,O,X,O,O,O,X,X,O,O
TSLZOIJ,O,X,O,O,O,X,X,O,O
