sequence,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeuEJvhFFhB0iB6oBT?lBxrB3rB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeCAJvhFXhBxiBVqBU?nBGoBTrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeRAJvhFFiB6oBzkBG?mB3nBUrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8Jez/IvhFFiB6oBGmB3?nBRqBUrB
TLSZOJI,X,O,O,X
TLSOIJZ,X,O,O,O
TLSOIZJ,X,O,O,O
TLSOJIZ,X,O,O,X
TLSOJZI,X,O,O,X
TLSOZIJ,X,O,O,X
TLSOZJI,X,O,O,X
TLZIJSO,O,O,X,X
TLZIJOS,O,O,X,X
TLZISJO,O,O,X,X
TLZISOJ,O,O,X,X
TLZIOJS,O,X,X,X
TLZIOSJ,O,O,X,X
TLZJISO,O,O,O,X
TLZJIOS,O,O,O,X
TLZJSIO,X,O,O,X
TLZJSOI,X,O,O,X
TLZJOIS,O,O,O,X
TLZJOSI,O,O,O,X
TLZSIJO,X,O,O,X
TLZSIOJ,X,O,O,X
TLZSJIO,X,O,O,X
TLZSJOI,X,O,O,X
TLZSOIJ,X,O,O,X
TLZSOJI,X,O,O,X
TLZOIJS,O,O,O,X
TLZOISJ,O,O,O,X
TLZOJIS,O,O,O,X
TLZOJSI,O,O,O,X
TLZOSIJ,X,O,O,X
TLZOSJI,O,O,O,X
TLOIJSZ,O,O,X,X
TLOIJZS,O,O,X,X
TLOISJZ,O,O,O,X
TLOISZJ,O,O,O,X
TLOIZJS,O,O,O,X
TLOIZSJ,O,O,O,X
TLOJISZ,O,O,X,X
TLOJIZS,O,O,X,X
TLOJSIZ,O,O,X,X
TLOJSZI,O,O,X,X
TLOJZIS,O,O,X,X
TLOJZSI,O,O,X,X
TLOSIJZ,O,O,O,X
TLOSIZJ,O,O,O,X
TLOSJIZ,O,O,O,X
TLOSJZI,O,O,O,X
TLOSZIJ,X,O,O,X
TLOSZJI,O,O,O,X
TLOZIJS,O,O,O,X
TLOZISJ,O,O,O,X
TLOZJIS,O,O,O,X
TLOZJSI,O,O,O,X
TLOZSIJ,X,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,O,X,X
TJILSOZ,X,O,X,X
TJILZSO,O,O,X,X
TJILZOS,O,O,X,X
TJILOSZ,X,O,X,X
TJILOZS,O,O,X,X
TJISLZO,O,O,X,X
TJISLOZ,X,O,X,X
TJISZLO,O,O,X,X
TJISZOL,X,O,X,X
TJISOLZ,X,O,X,X
TJISOZL,X,O,X,X
TJIZLSO,O,O,X,X
TJIZLOS,O,O,X,X
TJIZSLO,O,O,X,X
TJIZSOL,X,O,X,X
TJIZOLS,O,O,X,X
TJIZOSL,X,O,X,X
TJIOLSZ,X,O,X,X
TJIOLZS,O,O,X,X
TJIOSLZ,X,O,X,X
TJIOSZL,X,O,X,X
TJIOZLS,O,O,X,X
TJIOZSL,X,O,X,X
TJLISZO,O,O,X,X
TJLISOZ,X,O,X,X
TJLIZSO,O,O,X,X
TJLIZOS,O,O,X,X
TJLIOSZ,X,O,X,X
TJLIOZS,O,O,X,X
TJLSIZO,X,O,X,X
TJLSIOZ,X,O,X,X
TJLSZIO,X,O,X,X
TJLSZOI,X,O,X,X
TJLSOIZ,X,O,X,X
TJLSOZI,X,O,X,X
TJLZISO,O,O,X,X
TJLZIOS,O,O,X,X
TJLZSIO,X,O,X,X
TJLZSOI,X,O,X,X
TJLZOIS,O,O,X,X
TJLZOSI,O,O,X,X
TJLOISZ,O,O,X,X
TJLOIZS,O,O,X,X
TJLOSIZ,O,O,X,X
TJLOSZI,O,O,X,X
TJLOZIS,O,O,X,X
TJLOZSI,O,O,X,X
TJSILZO,X,O,X,X
TJSILOZ,X,O,X,X
TJSIZLO,X,O,X,X
TJSIZOL,X,O,X,X
TJSIOLZ,X,O,X,X
TJSIOZL,X,O,X,X
TJSLIZO,X,O,X,X
TJSLIOZ,X,O,X,X
TJSLZIO,X,O,X,X
TJSLZOI,X,O,X,X
TJSLOIZ,X,O,X,X
TJSLOZI,X,O,X,X
TJSZILO,X,O,X,X
TJSZIOL,X,O,X,X
TJSZLIO,X,O,X,X
TJSZLOI,X,O,X,X
TJSZOIL,X,O,X,X
TJSZOLI,X,O,X,X
TJSOILZ,X,O,X,X
TJSOIZL,X,O,X,X
TJSOLIZ,X,O,X,X
TJSOLZI,X,O,X,X
TJSOZIL,X,O,X,X
TJSOZLI,X,O,X,X
TJZILSO,O,O,X,X
TJZILOS,O,O,X,X
TJZISLO,O,O,X,X
TJZISOL,X,O,X,X
TJZIOLS,O,O,X,X
TJZIOSL,X,O,X,X
TJZLISO,O,O,X,X
TJZLIOS,O,O,X,X
TJZLSIO,X,O,X,X
TJZLSOI,X,O,X,X
TJZLOIS,O,O,X,X
TJZLOSI,O,O,X,X
TJZSILO,X,O,X,X
TJZSIOL,X,O,X,X
TJZSLIO,X,O,X,X
TJZSLOI,X,O,X,X
TJZSOIL,X,O,X,X
TJZSOLI,X,O,X,X
TJZOILS,O,O,X,X
TJZOISL,O,O,X,X
TJZOLIS,O,O,X,X
TJZOLSI,O,O,X,X
TJZOSIL,X,O,X,X
TJZOSLI,O,O,X,X
TJOILSZ,O,O,X,X
