sequence,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeuEJvhFFhB0iB6oBT?lBxrB3rB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeCAJvhFXhBxiBVqBU?nBGoBTrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8JeRAJvhFFiB6oBzkBG?mB3nBUrB,v115@9gA8IeA8IeA8GeA8AeD8BeD8Jez/IvhFFiB6oBGmB3?nBRqBUrB
ITZJLOS,O,O,X,X
ITZJSLO,O,O,X,X
ITZJSOL,X,O,X,X
ITZJOLS,O,O,X,X
ITZJOSL,O,O,X,X
ITZSLJO,O,O,X,X
ITZSLOJ,O,O,X,X
ITZSJLO,O,O,X,X
ITZSJOL,X,O,X,X
ITZSOLJ,O,O,X,X
ITZSOJL,O,X,X,X
ITZOLJS,O,X,X,X
ITZOLSJ,O,O,X,X
ITZOJLS,O,X,X,X
ITZOJSL,O,X,X,X
ITZOSLJ,O,O,X,X
ITZOSJL,O,X,X,X
ITOLJSZ,O,O,X,O
ITOLJZS,O,O,X,X
ITOLSJZ,O,O,X,O
ITOLSZJ,O,O,X,O
ITOLZJS,O,O,X,X
ITOLZSJ,O,O,X,X
ITOJLSZ,O,O,X,O
ITOJLZS,O,O,X,X
ITOJSLZ,O,O,X,O
ITOJSZL,O,O,X,O
ITOJZLS,O,O,X,X
ITOJZSL,O,O,X,X
ITOSLJZ,O,O,X,O
ITOSLZJ,O,O,X,O
ITOSJLZ,O,O,X,O
ITOSJZL,O,O,X,O
ITOSZLJ,O,O,X,O
ITOSZJL,O,O,X,O
ITOZLJS,O,O,X,X
ITOZLSJ,O,O,X,X
ITOZJLS,O,O,X,X
ITOZJSL,O,O,X,X
ITOZSLJ,O,O,X,X
ITOZSJL,O,O,X,X
ILTJSZO,O,X,X,O
ILTJSOZ,X,X,X,O
ILTJZSO,O,X,X,X
ILTJZOS,O,X,X,X
ILTJOSZ,O,X,X,O
ILTJOZS,O,X,X,X
ILTSJZO,O,X,X,O
ILTSJOZ,X,X,X,O
ILTSZJO,O,X,X,O
ILTSZOJ,O,X,X,O
ILTSOJZ,O,X,X,O
ILTSOZJ,O,X,X,O
ILTZJSO,O,X,X,X
ILTZJOS,O,X,X,X
ILTZSJO,O,X,X,X
ILTZSOJ,O,X,X,X
ILTZOJS,O,X,X,X
ILTZOSJ,O,X,X,X
ILTOJSZ,O,X,X,O
ILTOJZS,O,X,X,X
ILTOSJZ,O,X,X,O
ILTOSZJ,O,X,X,O
ILTOZJS,O,X,X,X
ILTOZSJ,O,X,X,X
ILJTSZO,O,X,X,O
ILJTSOZ,X,X,X,O
ILJTZSO,O,X,X,X
ILJTZOS,O,X,X,X
ILJTOSZ,O,X,X,O
ILJTOZS,O,X,X,X
ILJSTZO,O,X,X,O
ILJSTOZ,X,X,X,O
ILJSZTO,O,X,X,O
ILJSZOT,X,X,X,O
ILJSOTZ,X,X,X,O
ILJSOZT,X,X,X,O
ILJZTSO,O,X,X,X
ILJZTOS,O,X,X,X
ILJZSTO,O,X,X,O
ILJZSOT,X,X,X,O
ILJZOTS,O,X,X,X
ILJZOST,O,X,X,O
ILJOTSZ,O,X,X,O
ILJOTZS,O,X,X,X
ILJOSTZ,O,X,X,O
ILJOSZT,O,X,X,O
ILJOZTS,O,X,X,X
ILJOZST,O,X,X,O
ILSTJZO,O,X,X,O
ILSTJOZ,X,X,X,O
ILSTZJO,O,X,O,O
ILSTZOJ,O,X,O,O
ILSTOJZ,O,X,O,O
ILSTOZJ,O,X,O,O
ILSJTZO,O,X,X,O
ILSJTOZ,X,X,X,O
ILSJZTO,O,X,X,O
ILSJZOT,X,X,X,O
ILSJOTZ,X,X,X,O
ILSJOZT,X,X,X,O
ILSZTJO,O,X,O,O
ILSZTOJ,O,X,O,O
ILSZJTO,O,X,O,O
ILSZJOT,X,X,O,O
ILSZOTJ,O,X,O,O
ILSZOJT,O,X,O,O
ILSOTJZ,O,X,O,O
ILSOTZJ,O,X,O,O
ILSOJTZ,O,X,O,O
ILSOJZT,O,X,O,O
ILSOZTJ,O,X,O,O
ILSOZJT,O,X,O,O
ILZTJSO,O,X,X,X
ILZTJOS,O,X,X,X
ILZTSJO,O,X,X,X
ILZTSOJ,O,X,X,X
ILZTOJS,O,X,X,X
ILZTOSJ,O,X,X,X
ILZJTSO,O,X,O,X
ILZJTOS,O,X,O,X
ILZJSTO,O,X,O,O
ILZJSOT,X,X,O,O
ILZJOTS,O,X,O,X
ILZJOST,O,X,O,O
ILZSTJO,O,X,O,O
ILZSTOJ,O,X,O,O
ILZSJTO,O,X,O,O
ILZSJOT,X,X,O,O
ILZSOTJ,O,X,O,O
ILZSOJT,O,X,O,O
ILZOTJS,O,X,O,X
ILZOTSJ,O,X,O,X
ILZOJTS,O,X,O,X
ILZOJST,O,X,O,O
ILZOSTJ,O,X,O,O
ILZOSJT,O,X,O,O
ILOTJSZ,O,X,X,O
ILOTJZS,O,X,X,X
ILOTSJZ,O,X,O,O
ILOTSZJ,O,X,O,O
ILOTZJS,O,X,O,X
ILOTZSJ,O,X,O,X
ILOJTSZ,O,X,X,O
ILOJTZS,O,X,X,X
ILOJSTZ,O,X,O,O
ILOJSZT,O,X,O,O
ILOJZTS,O,X,O,X
ILOJZST,O,X,O,O
ILOSTJZ,O,X,O,O
ILOSTZJ,O,X,O,O
ILOSJTZ,O,X,O,O
ILOSJZT,O,X,O,O
ILOSZTJ,O,X,O,O
ILOSZJT,O,X,O,O
ILOZTJS,O,X,O,X
ILOZTSJ,O,X,O,X
ILOZJTS,O,X,O,X
ILOZJST,O,X,O,O
ILOZSTJ,O,X,O,O
ILOZSJT,O,X,O,O
IJTLSZO,O,O,X,O
IJTLSOZ,X,O,X,O
IJTLZSO,O,O,X,X
IJTLZOS,O,O,X,X
IJTLOSZ,O,O,X,O
IJTLOZS,O,O,X,X
IJTSLZO,O,O,X,O
IJTSLOZ,X,O,X,O
IJTSZLO,O,O,X,O
IJTSZOL,X,O,X,O
IJTSOLZ,X,O,X,O
IJTSOZL,X,O,X,O
IJTZLSO,O,O,X,X
IJTZLOS,O,O,X,X
IJTZSLO,O,O,X,X
IJTZSOL,X,O,X,X
IJTZOLS,O,O,X,X
IJTZOSL,O,O,X,X
IJTOLSZ,O,O,X,O
IJTOLZS,O,O,X,X
IJTOSLZ,O,O,X,O
IJTOSZL,O,O,X,O
IJTOZLS,O,O,X,X
IJTOZSL,O,O,X,X
IJLTSZO,O,O,X,O
IJLTSOZ,X,O,X,O
IJLTZSO,O,O,X,X
IJLTZOS,O,O,X,X
IJLTOSZ,O,O,X,O
IJLTOZS,O,O,X,X
IJLSTZO,O,X,X,O
IJLSTOZ,X,X,X,O
IJLSZTO,O,X,X,O
IJLSZOT,X,X,X,O
IJLSOTZ,X,X,X,O
IJLSOZT,X,X,X,O
IJLZTSO,O,O,X,X
IJLZTOS,O,O,X,X
IJLZSTO,O,O,X,O
IJLZSOT,X,X,X,O
IJLZOTS,O,X,X,X
IJLZOST,O,X,X,O
IJLOTSZ,O,O,X,O
IJLOTZS,O,O,X,X
IJLOSTZ,O,O,X,O
IJLOSZT,O,X,X,O
IJLOZTS,O,X,X,X
IJLOZST,O,X,X,O
IJSTLZO,O,O,X,O
IJSTLOZ,X,O,X,O
IJSTZLO,O,O,X,O
IJSTZOL,X,O,X,O
IJSTOLZ,X,O,X,O
IJSTOZL,X,O,X,O
IJSLTZO,O,X,X,O
IJSLTOZ,X,X,X,O
IJSLZTO,O,X,X,O
IJSLZOT,X,X,X,O
IJSLOTZ,X,X,X,O
IJSLOZT,X,X,X,O
IJSZTLO,O,O,X,O
IJSZTOL,X,O,X,O
IJSZLTO,O,O,X,O
IJSZLOT,X,X,X,O
IJSZOTL,X,O,X,O
IJSZOLT,X,X,X,O
IJSOTLZ,X,O,X,O
IJSOTZL,X,O,X,O
IJSOLTZ,X,O,X,O
IJSOLZT,X,X,X,O
IJSOZTL,X,O,X,O
IJSOZLT,X,X,X,O
IJZTLSO,O,O,X,X
IJZTLOS,O,O,X,X
IJZTSLO,O,O,X,X
IJZTSOL,X,O,X,X
IJZTOLS,O,O,X,X
IJZTOSL,O,O,X,X
IJZLTSO,O,O,X,X
IJZLTOS,O,O,X,X
IJZLSTO,O,O,X,O
IJZLSOT,X,X,X,O
IJZLOTS,O,X,X,X
IJZLOST,O,X,X,O
IJZSTLO,O,O,X,O
IJZSTOL,X,O,X,O
IJZSLTO,O,O,X,O
IJZSLOT,X,X,X,O
IJZSOTL,X,O,X,O
IJZSOLT,X,X,X,O
IJZOTLS,O,O,X,X
IJZOTSL,O,O,X,X
IJZOLTS,O,X,X,X
IJZOLST,O,X,X,O
IJZOSTL,O,O,X,O
IJZOSLT,O,X,X,O
IJOTLSZ,O,O,X,O
IJOTLZS,O,O,X,X
IJOTSLZ,O,O,X,O
IJOTSZL,O,O,X,O
IJOTZLS,O,O,X,X
IJOTZSL,O,O,X,X
IJOLTSZ,O,O,X,O
IJOLTZS,O,O,X,X
IJOLSTZ,O,O,X,O
IJOLSZT,O,X,X,O
IJOLZTS,O,X,X,X
IJOLZST,O,X,X,O
IJOSTLZ,O,O,X,O
IJOSTZL,O,O,X,O
IJOSLTZ,O,O,X,O
IJOSLZT,O,X,X,O
IJOSZTL,O,O,X,O
IJOSZLT,O,O,X,O
IJOZTLS,O,O,X,X
IJOZTSL,O,O,X,X
IJOZLTS,O,O,X,X
IJOZLST,O,O,X,O
IJOZSTL,O,O,X,O
IJOZSLT,O,O,X,O
ISTLJZO,O,X,X,O
ISTLJOZ,X,X,X,O
ISTLZJO,O,X,O,O
ISTLZOJ,O,X,O,O
ISTLOJZ,O,X,O,O
ISTLOZJ,O,X,O,O
ISTJLZO,O,X,X,O
ISTJLOZ,X,X,X,O
ISTJZLO,O,X,X,O
ISTJZOL,X,X,X,O
ISTJOLZ,X,X,X,O
ISTJOZL,X,X,X,O
ISTZLJO,O,X,O,O
ISTZLOJ,O,X,O,O
ISTZJLO,O,X,O,O
ISTZJOL,X,X,O,O
ISTZOLJ,O,X,O,O
ISTZOJL,O,X,O,O
ISTOLJZ,O,X,O,O
ISTOLZJ,O,X,O,O
ISTOJLZ,O,X,O,O
ISTOJZL,O,X,X,O
ISTOZLJ,O,X,O,O
ISTOZJL,O,X,O,O
ISLTJZO,O,X,X,O
ISLTJOZ,X,X,X,O
ISLTZJO,O,X,O,O
ISLTZOJ,O,X,O,O
ISLTOJZ,O,X,O,O
ISLTOZJ,O,X,O,O
ISLJTZO,O,X,X,O
ISLJTOZ,X,X,X,O
ISLJZTO,O,X,X,O
ISLJZOT,X,X,X,O
ISLJOTZ,X,X,X,O
ISLJOZT,X,X,X,O
ISLZTJO,O,X,O,O
ISLZTOJ,O,X,O,O
ISLZJTO,O,X,O,O
ISLZJOT,X,X,O,O
ISLZOTJ,O,X,O,O
ISLZOJT,O,X,O,O
ISLOTJZ,O,X,O,O
ISLOTZJ,O,X,O,O
ISLOJTZ,O,X,O,O
ISLOJZT,O,X,O,O
ISLOZTJ,O,X,O,O
ISLOZJT,O,X,O,O
ISJTLZO,O,X,X,O
ISJTLOZ,X,X,X,O
ISJTZLO,O,X,X,O
ISJTZOL,X,X,X,O
ISJTOLZ,X,X,X,O
ISJTOZL,X,X,X,O
ISJLTZO,O,X,X,O
ISJLTOZ,X,X,X,O
ISJLZTO,O,X,X,O
ISJLZOT,X,X,X,O
ISJLOTZ,X,X,X,O
ISJLOZT,X,X,X,O
ISJZTLO,O,X,X,O
ISJZTOL,X,X,X,O
ISJZLTO,O,X,X,O
ISJZLOT,X,X,X,O
ISJZOTL,X,X,X,O
ISJZOLT,X,X,X,O
ISJOTLZ,X,X,X,O
ISJOTZL,X,X,X,O
ISJOLTZ,X,X,X,O
ISJOLZT,X,X,X,O
ISJOZTL,X,X,X,O
ISJOZLT,X,X,X,O
ISZTLJO,O,X,O,O
ISZTLOJ,O,X,O,O
ISZTJLO,O,X,O,O
ISZTJOL,X,X,O,O
ISZTOLJ,O,X,O,O
ISZTOJL,O,X,O,O
ISZLTJO,O,X,O,O
ISZLTOJ,O,X,O,O
ISZLJTO,O,X,O,O
ISZLJOT,X,X,O,O
ISZLOTJ,O,X,O,O
ISZLOJT,O,X,O,O
ISZJTLO,O,X,O,O
ISZJTOL,X,X,O,O
ISZJLTO,O,X,O,O
ISZJLOT,X,X,O,O
ISZJOTL,X,X,O,O
ISZJOLT,X,X,O,O
ISZOTLJ,O,X,O,O
ISZOTJL,O,X,O,O
ISZOLTJ,O,X,O,O
ISZOLJT,O,X,O,O
ISZOJTL,O,X,O,O
ISZOJLT,O,X,O,O
ISOTLJZ,O,X,O,O
ISOTLZJ,O,X,O,O
ISOTJLZ,O,X,O,O
ISOTJZL,O,X,X,O
ISOTZLJ,O,X,O,O
ISOTZJL,O,X,O,O
ISOLTJZ,O,X,O,O
ISOLTZJ,O,X,O,O
ISOLJTZ,O,X,O,O
ISOLJZT,O,X,O,O
ISOLZTJ,O,X,O,O
ISOLZJT,O,X,O,O
ISOJTLZ,O,X,O,O
ISOJTZL,O,X,X,O
ISOJLTZ,O,X,O,O
ISOJLZT,O,X,O,O
ISOJZTL,O,X,O,O
ISOJZLT,O,X,O,O
ISOZTLJ,O,X,O,O
ISOZTJL,O,X,O,O
ISOZLTJ,O,X,O,O
ISOZLJT,O,X,O,O
ISOZJTL,O,X,O,O
ISOZJLT,O,X,O,O
IZTLJSO,O,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,O,X,X
IZTLSOJ,O,O,X,X
IZTLOJS,O,X,X,X
IZTLOSJ,O,O,X,X
IZTJLSO,O,O,X,X
IZTJLOS,O,O,X,X
IZTJSLO,O,O,X,X
IZTJSOL,X,O,X,X
IZTJOLS,O,O,X,X
IZTJOSL,O,O,X,X
IZTSLJO,O,O,X,X
IZTSLOJ,O,O,X,X
IZTSJLO,O,O,X,X
IZTSJOL,X,O,X,X
IZTSOLJ,O,O,X,X
IZTSOJL,O,X,X,X
IZTOLJS,O,X,X,X
IZTOLSJ,O,O,X,X
IZTOJLS,O,X,X,X
IZTOJSL,O,X,X,X
IZTOSLJ,O,O,X,X
IZTOSJL,O,X,X,X
IZLTJSO,O,O,X,X
IZLTJOS,O,X,X,X
IZLTSJO,O,O,X,X
IZLTSOJ,O,O,X,X
IZLTOJS,O,X,X,X
IZLTOSJ,O,O,X,X
IZLJTSO,O,X,O,X
IZLJTOS,O,X,O,X
IZLJSTO,O,X,O,O
IZLJSOT,X,X,O,O
IZLJOTS,O,X,O,X
IZLJOST,O,X,O,O
IZLSTJO,O,O,O,O
IZLSTOJ,O,O,O,O
IZLSJTO,O,X,O,O
IZLSJOT,X,X,O,O
IZLSOTJ,O,X,O,O
IZLSOJT,O,X,O,O
IZLOTJS,O,X,O,X
IZLOTSJ,O,X,O,X
IZLOJTS,O,X,O,X
IZLOJST,O,X,O,O
IZLOSTJ,O,X,O,O
IZLOSJT,O,X,O,O
IZJTLSO,O,O,O,X
IZJTLOS,O,O,O,X
IZJTSLO,O,O,O,X
IZJTSOL,X,O,O,X
IZJTOLS,O,O,O,X
IZJTOSL,O,O,O,X
IZJLTSO,O,O,O,X
IZJLTOS,O,O,O,X
IZJLSTO,O,O,O,O
IZJLSOT,X,X,O,O
IZJLOTS,O,X,O,X
IZJLOST,O,X,O,O
IZJSTLO,O,O,O,O
IZJSTOL,X,O,O,O
IZJSLTO,O,O,O,O
IZJSLOT,X,X,O,O
IZJSOTL,X,O,O,O
IZJSOLT,X,X,O,O
IZJOTLS,O,O,O,X
IZJOTSL,O,O,O,X
IZJOLTS,O,X,O,X
IZJOLST,O,X,O,O
IZJOSTL,O,O,O,O
IZJOSLT,O,X,O,O
IZSTLJO,O,O,O,O
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,O
IZSTJOL,X,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,X,O,O
IZSLTJO,O,O,O,O
IZSLTOJ,O,O,O,O
IZSLJTO,O,X,O,O
IZSLJOT,X,X,O,O
IZSLOTJ,O,X,O,O
IZSLOJT,O,X,O,O
IZSJTLO,O,O,O,O
IZSJTOL,X,O,O,O
IZSJLTO,O,O,O,O
IZSJLOT,X,X,O,O
IZSJOTL,X,O,O,O
IZSJOLT,X,X,O,O
IZSOTLJ,O,O,O,O
IZSOTJL,O,X,O,O
IZSOLTJ,O,X,O,O
IZSOLJT,O,X,O,O
IZSOJTL,O,X,O,O
IZSOJLT,O,X,O,O
IZOTLJS,O,X,O,X
IZOTLSJ,O,O,O,X
IZOTJLS,O,X,O,X
IZOTJSL,O,X,O,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,X,O,X
IZOLTJS,O,X,O,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,X,O,X
IZOLJST,O,X,O,O
IZOLSTJ,O,X,O,O
IZOLSJT,O,X,O,O
IZOJTLS,O,X,O,X
IZOJTSL,O,X,O,X
IZOJLTS,O,X,O,X
IZOJLST,O,X,O,O
IZOJSTL,O,X,O,O
IZOJSLT,O,X,O,O
IZOSTLJ,O,O,O,O
IZOSTJL,O,X,O,O
IZOSLTJ,O,X,O,O
IZOSLJT,O,X,O,O
IZOSJTL,O,X,O,O
IZOSJLT,O,X,O,O
IOTLJSZ,O,O,X,O
IOTLJZS,O,O,X,X
IOTLSJZ,O,O,O,O
IOTLSZJ,O,O,O,O
IOTLZJS,O,O,O,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,O,X,O
IOTJLZS,O,O,X,X
IOTJSLZ,O,O,X,O
IOTJSZL,O,O,X,O
IOTJZLS,O,O,X,X
IOTJZSL,O,O,X,X
IOTSLJZ,O,O,O,O
IOTSLZJ,O,O,O,O
IOTSJLZ,O,O,O,O
IOTSJZL,O,O,X,O
IOTSZLJ,O,O,O,O
IOTSZJL,O,O,O,O
IOTZLJS,O,O,O,X
IOTZLSJ,O,O,O,X
IOTZJLS,O,O,O,X
IOTZJSL,O,O,O,X
IOTZSLJ,O,O,O,X
IOTZSJL,O,O,O,X
IOLTJSZ,O,X,X,O
IOLTJZS,O,X,X,X
IOLTSJZ,O,X,O,O
IOLTSZJ,O,X,O,O
IOLTZJS,O,X,O,X
IOLTZSJ,O,X,O,X
IOLJTSZ,O,X,X,O
IOLJTZS,O,X,X,X
IOLJSTZ,O,X,O,O
IOLJSZT,O,X,O,O
IOLJZTS,O,X,O,X
IOLJZST,O,X,O,O
IOLSTJZ,O,X,O,O
IOLSTZJ,O,X,O,O
IOLSJTZ,O,X,O,O
IOLSJZT,O,X,O,O
IOLSZTJ,O,X,O,O
IOLSZJT,O,X,O,O
IOLZTJS,O,X,O,X
IOLZTSJ,O,X,O,X
IOLZJTS,O,X,O,X
IOLZJST,O,X,O,O
IOLZSTJ,O,X,O,O
IOLZSJT,O,X,O,O
IOJTLSZ,O,O,X,O
IOJTLZS,O,O,X,X
IOJTSLZ,O,O,X,O
IOJTSZL,O,O,X,O
IOJTZLS,O,O,X,X
IOJTZSL,O,O,X,X
IOJLTSZ,O,O,X,O
IOJLTZS,O,O,X,X
IOJLSTZ,O,O,O,O
IOJLSZT,O,X,O,O
IOJLZTS,O,X,O,X
IOJLZST,O,X,O,O
IOJSTLZ,O,O,O,O
IOJSTZL,O,O,X,O
IOJSLTZ,O,O,O,O
IOJSLZT,O,X,O,O
IOJSZTL,O,O,O,O
IOJSZLT,O,O,O,O
IOJZTLS,O,O,O,X
IOJZTSL,O,O,O,X
IOJZLTS,O,O,O,X
IOJZLST,O,O,O,O
IOJZSTL,O,O,O,O
IOJZSLT,O,O,O,O
IOSTLJZ,O,O,O,O
IOSTLZJ,O,O,O,O
IOSTJLZ,O,O,O,O
IOSTJZL,O,O,X,O
IOSTZLJ,O,O,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,O,X,O,O
IOSLTZJ,O,X,O,O
IOSLJTZ,O,X,O,O
IOSLJZT,O,X,O,O
IOSLZTJ,O,X,O,O
IOSLZJT,O,X,O,O
IOSJTLZ,O,O,O,O
IOSJTZL,O,O,X,O
IOSJLTZ,O,O,O,O
IOSJLZT,O,X,O,O
IOSJZTL,O,O,O,O
IOSJZLT,O,O,O,O
IOSZTLJ,O,O,O,O
IOSZTJL,O,O,O,O
IOSZLTJ,O,O,O,O
IOSZLJT,O,X,O,O
IOSZJTL,O,O,O,O
IOSZJLT,O,O,O,O
IOZTLJS,O,O,O,X
IOZTLSJ,O,O,O,X
IOZTJLS,O,O,O,X
IOZTJSL,O,O,O,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,O,O,O,X
IOZLTSJ,O,O,O,X
IOZLJTS,O,X,O,X
IOZLJST,O,X,O,O
IOZLSTJ,O,O,O,O
IOZLSJT,O,X,O,O
IOZJTLS,O,O,O,X
IOZJTSL,O,O,O,X
IOZJLTS,O,O,O,X
IOZJLST,O,O,O,O
IOZJSTL,O,O,O,O
IOZJSLT,O,O,O,O
IOZSTLJ,O,O,O,O
IOZSTJL,O,O,O,O
IOZSLTJ,O,O,O,O
IOZSLJT,O,X,O,O
IOZSJTL,O,O,O,O
IOZSJLT,O,O,O,O
LTIJSZO,O,O,X,O
LTIJSOZ,X,O,X,O
LTIJZSO,O,O,X,X
LTIJZOS,O,O,X,X
LTIJOSZ,O,O,X,O
LTIJOZS,O,O,X,X
LTISJZO,O,O,X,O
LTISJOZ,X,O,X,O
LTISZJO,O,O,X,O
LTISZOJ,O,O,X,O
LTISOJZ,O,X,X,O
LTISOZJ,O,X,X,O
LTIZJSO,O,O,X,X
LTIZJOS,O,O,X,X
LTIZSJO,O,O,X,X
LTIZSOJ,O,O,X,X
LTIZOJS,O,X,X,X
LTIZOSJ,O,O,X,X
LTIOJSZ,O,O,X,O
LTIOJZS,O,O,X,X
LTIOSJZ,O,O,X,O
LTIOSZJ,O,O,X,O
LTIOZJS,O,O,X,X
LTIOZSJ,O,O,X,X
LTJISZO,O,O,X,X
LTJISOZ,X,O,X,X
LTJIZSO,O,O,X,X
LTJIZOS,O,O,X,X
LTJIOSZ,X,O,X,X
LTJIOZS,O,O,X,X
LTJSIZO,X,O,X,X
LTJSIOZ,X,O,X,X
LTJSZIO,X,O,X,X
LTJSZOI,X,O,X,X
LTJSOIZ,X,O,X,X
LTJSOZI,X,O,X,X
LTJZISO,O,O,X,X
LTJZIOS,O,O,X,X
LTJZSIO,X,O,X,X
LTJZSOI,X,O,X,X
LTJZOIS,O,O,X,X
LTJZOSI,O,O,X,X
LTJOISZ,O,O,X,X
LTJOIZS,O,O,X,X
LTJOSIZ,O,O,X,X
LTJOSZI,O,O,X,X
LTJOZIS,O,O,X,X
LTJOZSI,O,O,X,X
LTSIJZO,X,O,X,O
LTSIJOZ,X,O,X,O
LTSIZJO,X,O,O,O
LTSIZOJ,X,O,O,O
LTSIOJZ,X,X,O,O
LTSIOZJ,X,X,O,O
LTSJIZO,X,O,X,O
LTSJIOZ,X,O,X,O
LTSJZIO,X,O,O,X
LTSJZOI,X,O,O,X
LTSJOIZ,X,O,O,X
LTSJOZI,X,O,O,X
LTSZIJO,X,O,O,O
LTSZIOJ,X,O,O,O
LTSZJIO,X,O,O,X
LTSZJOI,X,O,O,X
LTSZOIJ,X,O,O,X
LTSZOJI,X,O,O,X
LTSOIJZ,X,O,O,O
LTSOIZJ,X,O,O,O
LTSOJIZ,X,O,O,X
LTSOJZI,X,O,O,X
LTSOZIJ,X,O,O,X
LTSOZJI,X,O,O,X
LTZIJSO,O,O,X,X
LTZIJOS,O,O,X,X
LTZISJO,O,O,X,X
LTZISOJ,O,O,X,X
LTZIOJS,O,X,X,X
LTZIOSJ,O,O,X,X
LTZJISO,O,O,O,X
LTZJIOS,O,O,O,X
LTZJSIO,X,O,O,X
LTZJSOI,X,O,O,X
LTZJOIS,O,O,O,X
LTZJOSI,O,O,O,X
LTZSIJO,X,O,O,X
LTZSIOJ,X,O,O,X
LTZSJIO,X,O,O,X
LTZSJOI,X,O,O,X
LTZSOIJ,X,O,O,X
LTZSOJI,X,O,O,X
LTZOIJS,O,O,O,X
LTZOISJ,O,O,O,X
LTZOJIS,O,O,O,X
LTZOJSI,O,O,O,X
LTZOSIJ,X,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,O,X,X
LTOIJZS,O,O,X,X
LTOISJZ,O,O,O,X
LTOISZJ,O,O,O,X
LTOIZJS,O,O,O,X
LTOIZSJ,O,O,O,X
LTOJISZ,O,O,X,X
LTOJIZS,O,O,X,X
LTOJSIZ,O,O,X,X
LTOJSZI,O,O,X,X
LTOJZIS,O,O,X,X
LTOJZSI,O,O,X,X
LTOSIJZ,O,O,O,X
LTOSIZJ,O,O,O,X
LTOSJIZ,O,O,O,X
LTOSJZI,O,O,O,X
LTOSZIJ,X,O,O,X
LTOSZJI,O,O,O,X
LTOZIJS,O,O,O,X
LTOZISJ,O,O,O,X
LTOZJIS,O,O,O,X
LTOZJSI,O,O,O,X
LTOZSIJ,X,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,O,X,X,O
LITJSOZ,X,X,X,O
LITJZSO,O,X,X,X
LITJZOS,O,X,X,X
LITJOSZ,O,X,X,O
LITJOZS,O,X,X,X
LITSJZO,O,X,X,O
LITSJOZ,X,X,X,O
LITSZJO,O,X,X,O
LITSZOJ,O,X,X,O
LITSOJZ,O,X,X,O
LITSOZJ,O,X,X,O
LITZJSO,O,X,X,X
LITZJOS,O,X,X,X
LITZSJO,O,X,X,X
LITZSOJ,O,X,X,X
LITZOJS,O,X,X,X
LITZOSJ,O,X,X,X
LITOJSZ,O,X,X,O
LITOJZS,O,X,X,X
LITOSJZ,O,X,X,O
LITOSZJ,O,X,X,O
LITOZJS,O,X,X,X
LITOZSJ,O,X,X,X
LIJTSZO,O,X,X,O
LIJTSOZ,X,X,X,O
LIJTZSO,O,X,X,X
LIJTZOS,O,X,X,X
LIJTOSZ,O,X,X,O
LIJTOZS,O,X,X,X
LIJSTZO,O,X,X,O
LIJSTOZ,X,X,X,O
LIJSZTO,O,X,X,O
LIJSZOT,X,X,X,O
LIJSOTZ,X,X,X,O
LIJSOZT,X,X,X,O
LIJZTSO,O,X,X,X
LIJZTOS,O,X,X,X
LIJZSTO,O,X,X,O
LIJZSOT,X,X,X,O
LIJZOTS,O,X,X,X
LIJZOST,O,X,X,O
LIJOTSZ,O,X,X,O
LIJOTZS,O,X,X,X
LIJOSTZ,O,X,X,O
LIJOSZT,O,X,X,O
LIJOZTS,O,X,X,X
LIJOZST,O,X,X,O
LISTJZO,O,X,X,O
LISTJOZ,X,X,X,O
LISTZJO,O,X,O,O
LISTZOJ,O,X,O,O
LISTOJZ,O,X,O,O
LISTOZJ,O,X,O,O
LISJTZO,O,X,X,O
LISJTOZ,X,X,X,O
LISJZTO,O,X,X,O
LISJZOT,X,X,X,O
LISJOTZ,X,X,X,O
LISJOZT,X,X,X,O
LISZTJO,O,X,O,O
LISZTOJ,O,X,O,O
LISZJTO,O,X,O,O
LISZJOT,X,X,O,O
LISZOTJ,O,X,O,O
LISZOJT,O,X,O,O
LISOTJZ,O,X,O,O
LISOTZJ,O,X,O,O
LISOJTZ,O,X,O,O
LISOJZT,O,X,O,O
LISOZTJ,O,X,O,O
LISOZJT,O,X,O,O
LIZTJSO,O,X,X,X
LIZTJOS,O,X,X,X
LIZTSJO,O,X,X,X
LIZTSOJ,O,X,X,X
LIZTOJS,O,X,X,X
LIZTOSJ,O,X,X,X
LIZJTSO,O,X,O,X
LIZJTOS,O,X,O,X
LIZJSTO,O,X,O,O
LIZJSOT,X,X,O,O
LIZJOTS,O,X,O,X
LIZJOST,O,X,O,O
LIZSTJO,O,X,O,O
LIZSTOJ,O,X,O,O
LIZSJTO,O,X,O,O
