sequence,v115@GhA8DeA8DeA8CeB8DeA8AeD8CeB8JeZEJvhFCgB0hB?miBXlBtsBzrB,v115@GhA8DeA8DeA8CeB8DeA8AeD8CeB8JeZEJvhFqkBTgB?0hBdoBGsBXsB,v115@GhA8DeA8DeA8CeB8DeA8AeD8CeB8JeZEJvhFCgB0hB?doBXlBTnBWxB,v115@GhA8DeA8DeA8CeB8DeA8AeD8CeB8Jex/IvhF0hBdoB?OpBXlBCsBTsB
TOLJISZ,O,O,X,X
TOLJIZS,O,O,X,X
TOLJSIZ,O,O,X,O
TOLJSZI,O,O,X,O
TOLJZIS,O,O,X,X
TOLJZSI,O,O,X,O
TOLSIJZ,O,O,X,X
TOLSIZJ,O,O,X,X
TOLSJIZ,O,O,X,O
TOLSJZI,O,O,X,O
TOLSZIJ,O,O,X,X
TOLSZJI,O,X,X,O
TOLZIJS,O,O,X,X
TOLZISJ,O,O,X,X
TOLZJIS,O,O,X,X
TOLZJSI,O,O,X,O
TOLZSIJ,O,O,X,X
TOLZSJI,O,X,X,O
TOJILSZ,O,O,X,X
TOJILZS,O,O,X,X
TOJISLZ,O,X,O,X
TOJISZL,O,X,O,X
TOJIZLS,O,O,X,X
TOJIZSL,O,X,O,X
TOJLISZ,O,O,X,X
TOJLIZS,O,O,X,X
TOJLSIZ,O,O,X,O
TOJLSZI,O,O,X,O
TOJLZIS,O,O,X,X
TOJLZSI,O,O,X,O
TOJSILZ,O,X,O,O
TOJSIZL,O,X,O,O
TOJSLIZ,O,O,O,O
TOJSLZI,O,O,O,O
TOJSZIL,O,X,O,O
TOJSZLI,O,O,O,O
TOJZILS,O,O,X,X
TOJZISL,O,X,O,X
TOJZLIS,O,O,X,X
TOJZLSI,O,O,X,X
TOJZSIL,O,X,O,O
TOJZSLI,O,O,O,O
TOSILJZ,O,X,O,X
TOSILZJ,O,X,O,X
TOSIJLZ,O,X,O,X
TOSIJZL,O,X,O,X
TOSIZLJ,O,X,O,X
TOSIZJL,O,X,X,X
TOSLIJZ,O,O,O,X
TOSLIZJ,O,O,O,X
TOSLJIZ,O,O,O,O
TOSLJZI,O,O,O,O
TOSLZIJ,O,O,O,X
TOSLZJI,O,X,X,O
TOSJILZ,O,X,O,O
TOSJIZL,O,X,O,O
TOSJLIZ,O,O,O,O
TOSJLZI,O,O,O,O
TOSJZIL,O,X,O,O
TOSJZLI,O,O,O,O
TOSZILJ,O,X,O,X
TOSZIJL,O,X,X,X
TOSZLIJ,O,O,O,X
TOSZLJI,O,X,X,X
TOSZJIL,O,X,X,O
TOSZJLI,O,X,X,O
TOZILJS,O,O,X,X
TOZILSJ,O,O,X,X
TOZIJLS,O,X,X,X
TOZIJSL,O,X,X,X
TOZISLJ,O,X,O,X
TOZISJL,O,X,X,X
TOZLIJS,O,O,X,X
TOZLISJ,O,O,X,X
TOZLJIS,O,O,X,X
TOZLJSI,O,O,X,X
TOZLSIJ,O,O,X,X
TOZLSJI,O,X,X,X
TOZJILS,O,O,X,X
TOZJISL,O,X,X,X
TOZJLIS,O,O,X,X
TOZJLSI,O,O,X,X
TOZJSIL,O,X,X,O
TOZJSLI,O,O,X,O
TOZSILJ,O,X,O,X
TOZSIJL,O,X,X,X
TOZSLIJ,O,O,O,X
TOZSLJI,O,X,X,X
TOZSJIL,O,X,X,O
TOZSJLI,O,X,X,O
ITLJSZO,O,O,O,O
ITLJSOZ,O,O,O,O
ITLJZSO,O,O,O,O
ITLJZOS,X,O,X,X
ITLJOSZ,X,O,X,X
ITLJOZS,X,O,X,X
ITLSJZO,O,O,O,O
ITLSJOZ,O,O,O,O
ITLSZJO,O,X,O,O
ITLSZOJ,O,O,O,X
ITLSOJZ,O,O,O,X
ITLSOZJ,O,O,O,X
ITLZJSO,O,O,X,O
ITLZJOS,X,O,X,X
ITLZSJO,O,X,O,O
ITLZSOJ,O,O,O,X
ITLZOJS,X,O,X,X
ITLZOSJ,X,O,X,X
ITLOJSZ,O,O,X,X
ITLOJZS,O,O,X,X
ITLOSJZ,O,O,X,X
ITLOSZJ,O,O,X,X
ITLOZJS,O,O,X,X
ITLOZSJ,O,O,X,X
ITJLSZO,O,O,O,O
ITJLSOZ,O,O,O,O
ITJLZSO,O,O,O,O
ITJLZOS,X,O,X,X
ITJLOSZ,X,O,X,X
ITJLOZS,X,O,X,X
ITJSLZO,O,O,O,O
ITJSLOZ,O,O,O,O
ITJSZLO,O,O,O,O
ITJSZOL,O,X,O,O
ITJSOLZ,O,X,O,O
ITJSOZL,O,X,O,O
ITJZLSO,O,O,O,X
ITJZLOS,X,O,X,X
ITJZSLO,O,O,O,O
ITJZSOL,O,X,O,O
ITJZOLS,X,O,X,X
ITJZOSL,O,X,O,X
ITJOLSZ,O,O,X,X
ITJOLZS,O,O,X,X
ITJOSLZ,O,X,O,X
ITJOSZL,O,X,O,X
ITJOZLS,O,O,X,X
ITJOZSL,O,X,O,X
ITSLJZO,O,O,O,O
ITSLJOZ,O,O,O,O
ITSLZJO,O,X,O,O
ITSLZOJ,O,O,O,X
ITSLOJZ,O,O,O,X
ITSLOZJ,O,O,O,X
ITSJLZO,O,O,O,O
ITSJLOZ,O,O,O,O
ITSJZLO,O,O,O,O
ITSJZOL,O,X,O,O
ITSJOLZ,O,X,O,O
ITSJOZL,O,X,O,O
ITSZLJO,O,X,O,X
ITSZLOJ,O,O,O,X
ITSZJLO,O,X,O,O
ITSZJOL,O,X,O,O
ITSZOLJ,O,X,O,X
ITSZOJL,O,X,X,X
ITSOLJZ,O,X,O,X
ITSOLZJ,O,X,O,X
ITSOJLZ,O,X,O,X
ITSOJZL,O,X,O,X
ITSOZLJ,O,X,O,X
ITSOZJL,O,X,X,X
ITZLJSO,O,O,X,X
ITZLJOS,X,O,X,X
ITZLSJO,O,X,O,X
ITZLSOJ,O,O,O,X
ITZLOJS,X,O,X,X
ITZLOSJ,X,O,X,X
ITZJLSO,O,O,O,X
ITZJLOS,X,O,X,X
ITZJSLO,O,O,O,O
ITZJSOL,O,X,O,O
ITZJOLS,X,O,X,X
ITZJOSL,O,X,O,X
ITZSLJO,O,X,O,X
ITZSLOJ,O,O,O,X
ITZSJLO,O,X,O,O
ITZSJOL,O,X,O,O
ITZSOLJ,O,X,O,X
ITZSOJL,O,X,X,X
ITZOLJS,O,O,X,X
ITZOLSJ,O,O,X,X
ITZOJLS,O,X,X,X
ITZOJSL,O,X,X,X
ITZOSLJ,O,X,O,X
ITZOSJL,O,X,X,X
ITOLJSZ,O,O,X,X
ITOLJZS,O,O,X,X
ITOLSJZ,O,O,X,X
ITOLSZJ,O,O,X,X
ITOLZJS,O,O,X,X
ITOLZSJ,O,O,X,X
ITOJLSZ,O,O,X,X
ITOJLZS,O,O,X,X
ITOJSLZ,O,X,O,X
ITOJSZL,O,X,O,X
ITOJZLS,O,O,X,X
ITOJZSL,O,X,O,X
ITOSLJZ,O,X,O,X
ITOSLZJ,O,X,O,X
ITOSJLZ,O,X,O,X
ITOSJZL,O,X,O,X
ITOSZLJ,O,X,O,X
ITOSZJL,O,X,X,X
ITOZLJS,O,O,X,X
ITOZLSJ,O,O,X,X
ITOZJLS,O,X,X,X
ITOZJSL,O,X,X,X
ITOZSLJ,O,X,O,X
