sequence,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFlgBRiBzkB3nB0r?BirB,v115@GhA8IeA8CeA8DeF8CeC8Je1FJvhFxhBynBTkBcrBmk?BXsB,v115@GhA8IeA8CeA8DeF8CeC8Je0/IvhFlgB3hBziB2pBxr?BywB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFxgB8nBypBFmB3r?BOsB,v115@GhA8IeA8CeA8DeF8CeC8JeOEJvhFxgBiiBzkB3nB0r?BFrB,v115@GhA8IeA8CeA8DeF8CeC8Je3AJvhFRiB0kBOrBlnBik?BzrB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhFlgBmiBypBxrBcr?BXsB,v115@GhA8IeA8CeA8DeF8CeC8JeT/IvhF8nBypBRmBmlB3r?BFsB
TILJSZO,X,X,O,O,X,X,O,X
TILJSOZ,X,X,O,O,X,X,O,X
TILJZSO,X,X,O,X,X,X,O,X
TILJZOS,X,X,O,X,X,X,O,X
TILJOSZ,X,X,O,O,X,X,O,X
TILJOZS,X,X,O,X,X,X,O,X
TILSJZO,X,X,O,O,X,X,O,X
TILSJOZ,X,X,O,O,X,X,O,X
TILSZJO,X,X,X,O,X,X,O,X
TILSZOJ,X,X,X,O,X,X,O,X
TILSOJZ,X,X,O,O,X,X,O,X
TILSOZJ,X,X,X,O,X,X,O,X
TILZJSO,X,X,X,X,X,X,O,X
TILZJOS,X,O,X,X,X,X,O,X
TILZSJO,X,X,X,O,X,X,O,X
TILZSOJ,X,O,X,O,X,X,O,X
TILZOJS,X,O,X,X,X,X,O,O
TILZOSJ,X,O,X,O,X,X,O,O
TILOJSZ,X,X,O,O,X,X,O,X
TILOJZS,X,X,O,X,X,X,O,X
TILOSJZ,X,X,O,O,X,X,O,X
TILOSZJ,X,X,X,O,X,X,O,X
TILOZJS,X,O,X,X,X,X,O,O
TILOZSJ,X,O,X,O,X,X,O,O
TIJLSZO,X,X,O,O,X,O,O,X
TIJLSOZ,X,X,O,O,X,X,O,X
TIJLZSO,X,X,O,X,X,O,O,X
TIJLZOS,X,X,O,X,X,X,O,X
TIJLOSZ,X,X,O,O,X,X,O,X
TIJLOZS,X,X,O,X,X,X,O,X
TIJSLZO,O,X,O,O,X,O,X,X
TIJSLOZ,O,X,O,O,X,X,X,X
TIJSZLO,O,X,O,O,X,O,X,X
TIJSZOL,O,X,O,X,X,O,X,X
TIJSOLZ,O,X,O,X,X,X,X,X
TIJSOZL,O,X,O,X,X,O,X,X
TIJZLSO,X,X,O,X,X,O,X,X
TIJZLOS,X,X,O,X,X,X,X,X
