sequence,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeqGJvhFTiB5oBlkB3?lBmlB0pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke2EJvhFTiB5oBFmBC?lB0mBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeUAJvhFamBGiB5oBz?mBFqB/pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeT/IvhFcnB5oBVqBG?mBimBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBSnB5oBV?rBmmBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBC?nBFnBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBF?nBCnBzpB
TILJSZO,X,X,X,X,O,O,O
TILJSOZ,O,X,X,X,X,X,X
TILJZSO,X,X,X,X,O,O,O
TILJZOS,X,X,X,O,X,X,X
TILJOSZ,O,O,O,X,X,X,X
TILJOZS,X,O,O,O,X,X,X
TILSJZO,X,X,X,X,O,O,O
TILSJOZ,O,O,X,X,X,X,X
TILSZJO,X,X,X,X,O,X,X
TILSZOJ,O,X,X,X,O,X,X
TILSOJZ,O,O,O,X,X,X,X
TILSOZJ,O,X,O,X,O,X,X
TILZJSO,X,X,X,X,O,X,X
TILZJOS,X,X,X,O,X,X,X
TILZSJO,X,X,X,X,O,X,X
TILZSOJ,O,X,X,X,O,X,X
TILZOJS,X,X,O,O,X,X,X
TILZOSJ,O,X,O,X,O,X,X
TILOJSZ,O,O,O,X,X,X,X
TILOJZS,X,O,O,O,X,X,X
TILOSJZ,O,O,O,X,X,X,X
TILOSZJ,O,X,O,X,O,X,X
TILOZJS,X,X,O,O,X,X,X
TILOZSJ,O,X,O,X,O,X,X
TIJLSZO,X,X,X,X,O,O,O
TIJLSOZ,O,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,O,O
TIJLZOS,X,X,X,O,X,X,X
TIJLOSZ,O,O,O,X,X,X,X
TIJLOZS,X,O,O,O,X,X,X
TIJSLZO,X,X,X,X,O,O,O
TIJSLOZ,O,O,X,X,X,X,X
TIJSZLO,X,X,X,X,O,O,O
TIJSZOL,X,O,X,O,X,X,O
TIJSOLZ,O,O,X,X,X,X,X
TIJSOZL,X,O,X,O,X,X,O
TIJZLSO,X,X,X,X,O,O,O
TIJZLOS,X,X,X,O,X,X,X
TIJZSLO,X,X,X,X,O,O,O
TIJZSOL,X,X,X,O,X,X,O
TIJZOLS,X,O,X,O,X,X,X
TIJZOSL,X,O,X,O,X,X,O
TIJOLSZ,O,O,O,X,X,X,X
TIJOLZS,X,O,O,O,X,X,X
TIJOSLZ,O,O,O,X,X,X,X
TIJOSZL,X,O,X,O,X,X,O
TIJOZLS,X,O,O,O,X,X,X
TIJOZSL,X,O,X,O,X,X,O
TISLJZO,X,X,X,X,O,O,O
TISLJOZ,O,O,X,X,X,X,X
TISLZJO,X,X,X,X,O,X,X
TISLZOJ,O,X,X,X,O,X,X
TISLOJZ,O,O,O,X,X,X,X
TISLOZJ,O,X,O,X,O,X,X
TISJLZO,X,X,X,X,O,O,O
TISJLOZ,O,O,X,X,X,X,X
TISJZLO,X,X,X,X,O,O,O
TISJZOL,X,O,X,O,X,X,O
TISJOLZ,O,O,X,X,X,X,X
TISJOZL,X,O,X,O,X,X,O
TISZLJO,X,X,X,X,O,X,X
TISZLOJ,O,X,X,X,O,X,X
TISZJLO,X,X,X,X,O,X,O
TISZJOL,X,O,X,O,X,X,O
TISZOLJ,O,X,X,X,O,X,X
TISZOJL,X,O,X,O,X,X,X
TISOLJZ,O,O,O,X,X,X,X
TISOLZJ,O,X,O,X,O,X,X
TISOJLZ,O,O,O,X,X,X,X
TISOJZL,X,O,X,O,X,X,O
TISOZLJ,O,X,X,X,O,X,X
TISOZJL,X,O,X,O,X,X,X
TIZLJSO,X,X,X,X,O,X,X
TIZLJOS,X,X,X,O,X,X,X
TIZLSJO,X,X,X,X,O,X,X
TIZLSOJ,O,X,X,X,O,X,X
TIZLOJS,X,X,O,O,X,X,X
TIZLOSJ,O,X,O,X,O,X,X
TIZJLSO,X,X,X,X,O,X,O
TIZJLOS,X,X,X,O,X,X,X
TIZJSLO,X,X,X,X,O,X,O
TIZJSOL,X,X,X,O,X,X,O
TIZJOLS,X,O,X,O,X,X,X
TIZJOSL,X,O,X,O,X,X,O
TIZSLJO,X,X,X,X,O,X,X
TIZSLOJ,O,X,X,X,O,X,X
TIZSJLO,X,X,X,X,O,X,O
TIZSJOL,X,O,X,O,X,X,O
TIZSOLJ,O,X,X,X,O,X,X
TIZSOJL,X,O,X,O,X,X,X
TIZOLJS,X,X,O,O,X,X,X
TIZOLSJ,O,X,O,X,O,X,X
TIZOJLS,X,O,O,O,X,X,X
TIZOJSL,X,O,X,O,X,X,X
TIZOSLJ,O,X,X,X,O,X,X
TIZOSJL,X,O,X,O,X,X,X
TIOLJSZ,O,O,O,X,X,X,X
TIOLJZS,X,O,O,O,X,X,X
TIOLSJZ,O,O,O,X,X,X,X
TIOLSZJ,O,X,O,X,O,X,X
TIOLZJS,X,X,O,O,X,X,X
TIOLZSJ,O,X,O,X,O,X,X
TIOJLSZ,O,O,O,X,X,X,X
TIOJLZS,X,O,O,O,X,X,X
TIOJSLZ,O,O,O,X,X,X,X
TIOJSZL,X,O,X,O,X,X,O
TIOJZLS,X,O,O,O,X,X,X
TIOJZSL,X,O,X,O,X,X,O
TIOSLJZ,O,O,O,X,X,X,X
TIOSLZJ,O,X,O,X,O,X,X
TIOSJLZ,O,O,O,X,X,X,X
TIOSJZL,X,O,X,O,X,X,O
TIOSZLJ,O,X,X,X,O,X,X
TIOSZJL,X,O,X,O,X,X,X
TIOZLJS,X,X,O,O,X,X,X
TIOZLSJ,O,X,O,X,O,X,X
TIOZJLS,X,O,O,O,X,X,X
TIOZJSL,X,O,X,O,X,X,X
TIOZSLJ,O,X,X,X,O,X,X
TIOZSJL,X,O,X,O,X,X,X
TLIJSZO,X,X,X,X,O,O,O
TLIJSOZ,O,X,X,X,X,X,X
TLIJZSO,X,X,X,X,O,O,O
TLIJZOS,X,X,X,O,X,X,X
TLIJOSZ,O,O,O,X,X,X,X
TLIJOZS,X,O,O,O,X,X,X
TLISJZO,X,X,X,X,O,O,O
TLISJOZ,O,O,X,X,X,X,X
