sequence,v115@KhB8GeB8EeF8CeB8JeOEJvhF8kBRhBSnBTjBlrB3sB,v115@KhB8GeB8EeF8CeB8Je2EJvhFRhBSnBTjB3kB0rBlsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBRhBGjB1rB8sBXsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBGhBxiB/sBFoB0rB,v115@KhB8GeB8EeF8CeB8Jei/IvhFRhBGjB3kBznBlrBUsB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhBCjBTkBXoBlrBUsB,v115@KhB8GeB8EeF8CeB8JeKEJvhFzfBGhBcoBxrBXsBlsB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhB3iBcoBTkB1rBSxB,v115@KhB8GeB8EeF8CeB8Jem/IvhFRhBTkBFnBXoB0rBCtB
TILJSZO,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,O,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,X,X,X
