sequence,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFmhBCjBFlB0mBTo?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFulBcmBxiBKqBXs?BTtB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFThBenBfoB6oB1q?BUqB,v115@HhA8IeB8EeA8BeB8BeF8Je0/IvhFXhBxiBFnBToBOq?BCrB,v115@HhA8IeB8EeA8BeB8BeF8Jex/IvhFlhBziB+oBUlByr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8Jel/IvhFzhBGjBilBUoBRr?B3qB,v115@HhA8IeB8EeA8BeB8BeF8JeRBJvhFfoB6oBFlB8qBzm?BmpB
TILJSZO,X,X,O,X,X,X,X
TILJSOZ,X,X,O,X,O,X,X
TILJZSO,O,X,X,X,X,O,X
TILJZOS,O,O,X,X,O,O,X
TILJOSZ,X,X,O,X,O,X,X
TILJOZS,X,O,X,X,O,O,X
TILSJZO,X,O,O,X,X,X,X
TILSJOZ,X,X,O,X,O,X,X
TILSZJO,O,O,O,X,X,O,X
TILSZOJ,X,O,X,O,X,O,X
TILSOJZ,X,O,O,O,X,X,X
TILSOZJ,X,O,X,O,X,O,X
TILZJSO,O,X,X,X,X,O,X
TILZJOS,O,O,X,X,O,O,X
TILZSJO,O,X,X,X,X,O,X
TILZSOJ,X,X,X,O,X,O,X
TILZOJS,O,O,X,O,X,O,X
TILZOSJ,O,O,X,O,X,O,X
TILOJSZ,X,O,O,O,O,X,X
TILOJZS,O,O,X,O,O,O,X
TILOSJZ,X,O,X,O,X,X,X
TILOSZJ,O,O,X,O,X,O,X
TILOZJS,O,O,X,O,X,O,X
TILOZSJ,O,O,X,O,X,O,X
TIJLSZO,X,X,O,X,X,X,X
TIJLSOZ,X,X,O,X,O,X,X
TIJLZSO,O,X,X,X,X,O,X
TIJLZOS,O,X,X,X,O,O,X
TIJLOSZ,X,X,O,X,O,X,X
TIJLOZS,X,X,X,X,O,O,X
TIJSLZO,X,X,O,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X
TIJZLSO,O,X,X,X,O,O,X
TIJZLOS,O,X,X,X,O,O,X
TIJZSLO,O,X,O,X,X,O,X
TIJZSOL,O,X,O,X,X,O,X
TIJZOLS,O,X,X,X,O,O,X
TIJZOSL,O,X,O,X,X,O,X
TIJOLSZ,X,X,O,X,O,X,X
TIJOLZS,O,X,X,X,O,O,X
TIJOSLZ,X,X,O,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X
TIJOZLS,O,X,X,X,O,O,X
TIJOZSL,O,X,O,X,X,O,X
TISLJZO,X,O,O,X,X,X,X
TISLJOZ,X,X,O,X,X,X,X
