sequence,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhF0hB6nBTjB3?lBlrBOqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeuEJvhF6nBTjBxlB8?rBFmBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFigBTjBcqB/?rBGsBFsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFxgBSoBXmB8?rBlnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFAJvhFXhB+nBTjBq?pBxqB8rB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je5EJvhFSnBTjBOqB/?rBlqBUsB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBllBRnB/?rBUnBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeWFJvhFThBSoB8rBl?nBRqBXqB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeCAJvhFGjBxlBlnBX?mB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8JeFBJvhFGjBClB3nBx?qB8rBzpB,v115@9gA8IeA8IeA8GeC8BeB8AeD8Je1FJvhFRiBSoBWqBU?nB/rBzpB
TILJSZO,O,X,X,X,X,X,O,X,X,O,X
TILJSOZ,O,X,X,X,X,X,O,X,X,X,X
TILJZSO,O,X,X,X,X,X,O,X,X,X,X
TILJZOS,O,X,X,X,X,X,X,O,X,X,X
TILJOSZ,O,X,X,X,X,X,O,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,O,X,X,O,X
TILSJOZ,O,X,X,X,X,X,O,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,O,X
TILSZOJ,O,X,X,X,X,X,X,X,X,O,X
TILSOJZ,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,O,X,X,X,X
TILZJOS,O,X,X,X,X,X,X,O,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,O,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,O,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,O,X,X,O,X
TIJLSOZ,O,X,X,X,X,X,O,X,X,X,X
TIJLZSO,O,X,X,X,X,X,O,X,X,X,X
TIJLZOS,O,X,X,X,X,X,X,O,X,X,X
TIJLOSZ,O,X,X,X,X,X,O,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,O,X,X,O,X
TIJSLOZ,O,X,X,X,X,O,O,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,O,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,X,X,O,X,X,X,X
TIJZLOS,O,X,X,X,X,X,X,O,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,O,X,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,O,X,O,X,X
TIJOLZS,O,X,X,X,X,X,O,X,O,X,X
TIJOSLZ,O,X,X,X,X,O,O,X,O,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,O,X,O,X,X
TIJOZSL,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,O,X,X,X,X,X,O,X,X,O,X
TISLJOZ,O,X,X,X,X,O,O,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,O,X
TISLZOJ,O,X,X,X,X,X,X,X,X,O,X
TISLOJZ,O,X,X,X,X,O,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,O,X,X,O,X
TISJLOZ,O,X,X,X,X,O,O,X,X,X,X
TISJZLO,O,X,O,X,X,X,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,O,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X,X,X
TISZLJO,O,X,O,X,X,X,X,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,X,O,X,X,X,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,X,O,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,O,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,O,X,X,X,X,X
TISOJZL,O,X,O,X,X,X,X,X,X,X,X
TISOZLJ,O,X,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,O,X,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,O,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,X,X,X,X,O,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,X,X,X,X,O,X,X,X,X
