sequence,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF3gB1mB0iB6?oBxqBzsB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBFjBzkBW?rB6sBctB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeuEJvhF1lB0hB6nBT?jBxqBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRBJvhFGjBClBTmBl?nBUlBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeCAJvhFxhBVqBUmBG?nBToBXtB,v115@9gA8IeA8IeA8EeA8CeG8BeA8JeRAJvhF3hBzkBWrBl?nBctBCtB
TLIOZSJ,O,X,X,X,X,X
TLJISZO,O,O,X,X,X,X
TLJISOZ,O,X,X,X,X,X
TLJIZSO,O,O,X,X,O,X
TLJIZOS,O,O,X,X,O,X
TLJIOSZ,O,X,X,O,X,X
TLJIOZS,O,X,X,O,O,X
TLJSIZO,O,O,X,X,X,X
TLJSIOZ,O,X,X,X,X,X
TLJSZIO,O,O,X,X,O,X
TLJSZOI,O,O,X,X,O,X
TLJSOIZ,O,O,X,O,X,X
TLJSOZI,O,O,X,O,O,X
TLJZISO,O,O,X,X,O,X
TLJZIOS,O,O,X,X,O,X
TLJZSIO,O,O,X,X,O,X
TLJZSOI,O,O,X,X,O,X
TLJZOIS,X,O,X,O,O,X
TLJZOSI,O,O,X,O,O,X
TLJOISZ,O,O,X,O,X,X
TLJOIZS,O,O,X,O,O,X
TLJOSIZ,O,O,X,O,X,X
TLJOSZI,O,O,X,O,O,X
TLJOZIS,O,O,X,O,O,X
TLJOZSI,O,O,X,O,O,X
TLSIJZO,O,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X
TLSIZJO,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,X
TLSIOJZ,O,X,X,O,X,X
TLSIOZJ,O,X,X,O,X,X
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,X,X,O,X,X
TLSJZIO,O,O,X,X,O,X
TLSJZOI,O,O,X,O,O,X
TLSJOIZ,O,O,X,O,X,X
TLSJOZI,O,O,X,O,O,X
TLSZIJO,O,O,X,X,O,X
TLSZIOJ,O,O,X,X,X,X
TLSZJIO,O,O,X,X,O,X
TLSZJOI,O,O,X,O,O,X
TLSZOIJ,O,O,X,O,X,X
TLSZOJI,O,O,X,O,O,X
TLSOIJZ,O,X,X,O,X,X
TLSOIZJ,O,O,X,O,X,X
TLSOJIZ,O,O,X,O,X,X
TLSOJZI,O,O,X,O,O,X
TLSOZIJ,O,O,X,O,X,X
TLSOZJI,O,O,X,O,O,X
TLZIJSO,O,O,X,X,O,X
TLZIJOS,O,O,X,X,O,X
TLZISJO,O,O,X,X,O,X
TLZISOJ,O,O,X,X,X,X
TLZIOJS,O,O,X,X,O,X
TLZIOSJ,O,O,X,X,X,X
TLZJISO,O,O,X,X,O,X
TLZJIOS,O,O,X,X,O,X
TLZJSIO,O,O,X,X,O,X
TLZJSOI,O,O,X,X,O,X
TLZJOIS,X,O,X,O,O,X
TLZJOSI,O,O,X,O,O,X
TLZSIJO,O,O,X,X,O,X
TLZSIOJ,O,O,X,X,X,X
TLZSJIO,O,O,X,X,O,X
TLZSJOI,O,O,X,X,O,X
TLZSOIJ,O,O,X,X,X,X
TLZSOJI,O,O,X,X,O,X
TLZOIJS,O,O,X,O,O,X
TLZOISJ,O,O,X,X,X,X
TLZOJIS,X,O,X,O,O,X
TLZOJSI,O,O,X,O,O,X
TLZOSIJ,O,O,X,X,X,X
TLZOSJI,O,O,X,X,O,X
TLOIJSZ,O,O,X,O,X,X
TLOIJZS,O,O,X,O,O,X
TLOISJZ,O,X,X,O,X,X
TLOISZJ,O,O,X,O,X,X
TLOIZJS,O,O,X,O,O,X
TLOIZSJ,O,O,X,X,X,X
TLOJISZ,O,O,X,O,X,X
TLOJIZS,O,O,X,O,O,X
TLOJSIZ,O,O,X,O,X,X
TLOJSZI,O,O,X,O,O,X
TLOJZIS,O,O,X,O,O,X
TLOJZSI,O,O,X,O,O,X
TLOSIJZ,O,X,X,O,X,X
TLOSIZJ,O,O,X,O,X,X
TLOSJIZ,O,O,X,O,X,X
TLOSJZI,O,O,X,O,O,X
TLOSZIJ,O,O,X,O,X,X
TLOSZJI,O,O,X,O,O,X
TLOZIJS,O,O,X,O,O,X
TLOZISJ,O,O,X,X,X,X
TLOZJIS,O,O,X,O,O,X
TLOZJSI,O,O,X,O,O,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,X,X,O,X
TJILSZO,O,O,O,X,X,X
TJILSOZ,O,X,O,X,X,X
TJILZSO,O,O,O,X,O,X
TJILZOS,O,O,O,X,O,X
TJILOSZ,O,X,X,O,X,X
TJILOZS,O,X,X,O,O,X
TJISLZO,O,O,O,X,X,X
TJISLOZ,O,X,O,X,X,X
TJISZLO,O,O,O,X,X,X
TJISZOL,O,O,O,X,X,X
TJISOLZ,O,X,O,O,X,X
TJISOZL,O,X,O,X,X,X
TJIZLSO,O,O,O,X,O,X
TJIZLOS,O,O,O,X,O,X
TJIZSLO,O,O,O,X,O,X
TJIZSOL,O,O,O,X,O,X
TJIZOLS,O,X,O,O,O,X
TJIZOSL,O,O,O,X,O,X
TJIOLSZ,O,X,X,O,X,X
TJIOLZS,O,X,X,O,O,X
TJIOSLZ,O,X,O,O,X,X
TJIOSZL,O,X,O,X,X,X
TJIOZLS,O,X,O,O,O,X
TJIOZSL,O,X,O,X,O,X
TJLISZO,O,O,X,X,X,X
TJLISOZ,O,X,X,X,X,X
TJLIZSO,O,O,X,X,O,X
TJLIZOS,O,O,X,X,O,X
TJLIOSZ,O,X,X,O,X,X
TJLIOZS,O,X,X,O,O,X
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,X,X,X,X,X
TJLSZIO,O,O,X,X,O,X
TJLSZOI,O,O,X,X,O,X
TJLSOIZ,O,O,X,O,X,X
TJLSOZI,O,O,X,O,O,X
TJLZISO,O,O,X,X,O,X
TJLZIOS,O,O,X,X,O,X
TJLZSIO,O,O,X,X,O,X
TJLZSOI,O,O,X,X,O,X
TJLZOIS,X,O,X,O,O,X
TJLZOSI,O,O,X,O,O,X
TJLOISZ,O,O,X,O,X,X
TJLOIZS,O,O,X,O,O,X
TJLOSIZ,O,O,X,O,X,X
TJLOSZI,O,O,X,O,O,X
TJLOZIS,O,O,X,O,O,X
TJLOZSI,O,O,X,O,O,X
TJSILZO,O,O,O,X,X,X
TJSILOZ,O,X,O,X,X,X
TJSIZLO,O,O,O,X,X,X
TJSIZOL,O,O,O,X,X,X
TJSIOLZ,O,X,O,O,X,X
TJSIOZL,O,X,O,X,X,X
TJSLIZO,O,O,O,X,X,X
TJSLIOZ,O,X,O,X,X,X
TJSLZIO,O,O,X,X,O,X
TJSLZOI,O,O,X,X,O,X
TJSLOIZ,O,O,O,O,X,X
TJSLOZI,O,O,X,O,O,X
TJSZILO,O,O,X,X,O,X
TJSZIOL,O,O,X,X,O,O
TJSZLIO,O,O,X,X,O,X
TJSZLOI,O,O,X,X,O,O
TJSZOIL,O,O,X,X,O,O
TJSZOLI,O,O,X,X,O,O
TJSOILZ,O,O,O,O,X,X
TJSOIZL,O,O,O,X,X,O
TJSOLIZ,O,O,O,O,X,X
TJSOLZI,O,O,X,O,O,X
TJSOZIL,O,O,X,X,O,O
TJSOZLI,O,O,X,X,O,O
TJZILSO,O,O,X,X,O,X
TJZILOS,O,O,X,X,O,X
TJZISLO,O,O,X,X,O,X
TJZISOL,O,O,X,X,O,O
TJZIOLS,O,O,X,O,O,O
TJZIOSL,O,O,X,X,O,O
TJZLISO,O,O,X,X,O,X
TJZLIOS,O,O,X,X,O,X
TJZLSIO,O,O,X,X,O,X
TJZLSOI,O,O,X,X,O,O
TJZLOIS,X,O,X,O,O,O
TJZLOSI,O,O,X,O,O,O
TJZSILO,O,O,X,X,O,X
TJZSIOL,O,O,X,X,O,O
TJZSLIO,O,O,X,X,O,X
TJZSLOI,O,O,X,X,O,O
TJZSOIL,O,O,X,X,O,O
TJZSOLI,O,O,X,X,O,O
TJZOILS,O,O,X,O,O,O
TJZOISL,O,O,X,X,O,O
TJZOLIS,O,O,X,O,O,O
TJZOLSI,O,O,X,O,O,O
TJZOSIL,O,O,X,X,O,O
TJZOSLI,O,O,X,X,O,O
TJOILSZ,O,O,X,O,X,X
TJOILZS,O,O,X,O,O,X
TJOISLZ,O,O,X,O,X,X
TJOISZL,O,O,X,X,X,O
TJOIZLS,O,O,X,O,O,O
TJOIZSL,O,O,X,X,O,O
TJOLISZ,O,O,X,O,X,X
TJOLIZS,O,O,X,O,O,X
TJOLSIZ,O,O,X,O,X,X
TJOLSZI,O,O,X,O,O,X
TJOLZIS,O,O,X,O,O,X
TJOLZSI,O,O,X,O,O,X
TJOSILZ,O,O,X,O,X,X
TJOSIZL,O,O,X,X,X,O
TJOSLIZ,O,O,X,O,X,X
TJOSLZI,O,O,X,O,O,X
TJOSZIL,O,O,X,X,O,O
TJOSZLI,O,O,X,X,O,O
TJOZILS,O,O,X,O,O,O
TJOZISL,O,O,X,X,O,O
TJOZLIS,O,O,X,O,O,O
TJOZLSI,O,O,X,O,O,O
TJOZSIL,O,O,X,X,O,O
TJOZSLI,O,O,X,X,O,O
TSILJZO,O,X,O,X,X,X
TSILJOZ,O,X,O,O,X,X
TSILZJO,O,X,O,X,X,X
TSILZOJ,O,X,O,X,X,X
TSILOJZ,O,X,O,O,X,X
