sequence,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeOFJvhFXhBliB?5oBUnBzqByxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeOFJvhFXhB6oB?FnB0nBzqBxxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeTAJvhFOmBVnB?5oB3nB0qByxB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NelAJvhFUiB5oB?/qBOrBisBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeTAJvhFOmB5oB?asBftB0qBlsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeXBJvhF5oB2qB?FnBzsB0qBisB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8Ne0AJvhFliB5oB?/qBasBOrBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeUCJvhF5oB/qB?FmBisBmqBzsB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeKFJvhFUiB5oB?FmBmsBzqB3sB,v115@9gB8HeB8FeA8AeB8CeA8DeC8BeA8NeUCJvhF5oB/qB?FmBatBTsBmqB
TILJSZO,X,O,O,O,O,X,O,X,O,X
TILJSOZ,X,O,X,O,X,O,X,X,X,X
TILJZSO,O,O,O,O,O,X,X,X,O,X
TILJZOS,O,X,O,X,O,X,X,X,O,X
TILJOSZ,O,O,X,X,X,X,X,X,X,X
TILJOZS,O,O,O,X,X,X,X,X,O,X
TILSJZO,X,O,O,O,O,X,O,O,O,X
TILSJOZ,X,O,X,O,X,O,X,X,X,X
TILSZJO,X,O,O,X,O,X,O,O,O,X
TILSZOJ,X,X,O,X,O,X,O,O,X,X
TILSOJZ,O,O,X,X,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,O,O,X,X
TILZJSO,O,O,O,O,O,X,X,X,O,X
TILZJOS,O,X,O,X,O,X,X,X,O,X
TILZSJO,O,O,O,X,O,X,O,O,O,X
TILZSOJ,O,X,O,X,O,X,O,O,X,X
TILZOJS,O,O,O,X,O,X,X,X,O,X
TILZOSJ,O,O,O,X,O,X,X,X,X,X
TILOJSZ,O,O,X,X,X,X,X,X,X,X
TILOJZS,O,O,O,X,X,X,X,X,O,X
TILOSJZ,O,O,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,O,X,X,X
TILOZJS,O,O,O,X,X,X,X,X,O,X
TILOZSJ,O,O,O,X,X,X,X,X,X,X
TIJLSZO,X,O,O,O,X,X,X,X,O,X
TIJLSOZ,X,O,X,O,X,O,X,X,X,X
TIJLZSO,O,O,O,O,X,X,X,X,O,X
TIJLZOS,O,X,O,X,X,X,X,X,O,X
TIJLOSZ,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,O,X
TIJSLZO,X,O,X,O,X,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,O,X,X,X,X
TIJSZLO,X,O,X,O,X,X,X,X,X,X
TIJSZOL,X,X,O,O,X,O,X,X,X,X
TIJSOLZ,X,O,X,O,X,O,X,X,X,X
TIJSOZL,X,X,X,O,X,O,X,X,X,X
TIJZLSO,O,O,O,X,X,X,X,X,O,X
TIJZLOS,X,X,O,X,X,X,X,X,O,X
TIJZSLO,O,O,X,O,X,X,X,X,X,X
TIJZSOL,O,X,O,O,X,O,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,X,X
TIJZOSL,O,X,O,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,O,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,O,X,X,X,X
TIJOSZL,O,O,X,X,X,O,X,X,X,X
TIJOZLS,X,O,O,X,X,X,X,X,X,X
TIJOZSL,O,O,O,X,X,O,X,X,X,X
