sequence,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBTjBW?qByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhB6oBf?qBetBzqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFzfBFhB6oBf?rBetBUqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBWqBT?oByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JexAJvhF0kBllBToBO?pByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFqkBFhBTjB0?lBXtB2vB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFCgBllBToBO?rBUqBXtB
TZSJIOL,O,O,O,X,X,X,X
TZSJLIO,O,O,O,X,X,X,X
TZSJLOI,O,O,O,X,X,X,X
TZSJOIL,O,O,O,X,X,X,X
TZSJOLI,O,O,O,X,X,X,X
TZSOILJ,O,X,O,X,X,X,O
TZSOIJL,O,O,O,X,X,X,X
TZSOLIJ,O,X,O,X,O,X,O
TZSOLJI,O,X,O,X,O,X,X
TZSOJIL,O,O,O,X,X,X,X
TZSOJLI,O,O,O,X,O,X,X
TZOILJS,X,X,X,O,O,X,O
TZOILSJ,X,X,X,X,O,X,O
TZOIJLS,X,O,O,X,O,X,O
TZOIJSL,X,O,O,X,X,X,X
TZOISLJ,X,O,O,X,X,X,O
TZOISJL,X,O,O,X,X,X,X
TZOLIJS,X,X,X,O,O,X,O
TZOLISJ,X,X,X,X,O,X,O
TZOLJIS,X,X,X,O,O,X,O
TZOLJSI,X,X,X,O,O,X,X
TZOLSIJ,X,X,X,X,O,X,O
TZOLSJI,X,X,X,X,O,X,X
TZOJILS,X,O,O,X,O,X,O
TZOJISL,X,O,O,X,X,X,X
TZOJLIS,X,O,O,X,O,X,O
TZOJLSI,X,O,O,X,O,X,X
TZOJSIL,X,O,O,X,X,X,X
TZOJSLI,X,O,O,X,O,X,X
TZOSILJ,X,O,O,X,X,X,O
TZOSIJL,X,O,O,X,X,X,X
TZOSLIJ,X,O,O,X,O,X,O
TZOSLJI,X,O,O,X,O,X,X
TZOSJIL,X,O,O,X,X,X,X
TZOSJLI,X,O,O,X,O,X,X
TOILJSZ,O,O,X,O,X,X,X
TOILJZS,O,O,X,O,O,X,X
TOILSJZ,O,O,X,O,X,X,X
TOILSZJ,O,O,X,X,O,X,X
TOILZJS,X,X,X,O,O,X,X
TOILZSJ,X,X,X,X,O,X,X
TOIJLSZ,X,O,O,O,X,X,X
TOIJLZS,X,O,X,O,X,X,X
TOIJSLZ,O,O,O,X,X,X,X
TOIJSZL,O,O,O,X,X,X,X
TOIJZLS,X,O,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X
TOISLJZ,O,O,X,O,X,X,X
TOISLZJ,O,O,X,X,X,X,X
TOISJLZ,O,O,O,X,X,X,X
TOISJZL,O,O,O,X,X,X,X
TOISZLJ,O,O,O,X,X,X,X
TOISZJL,O,O,O,X,X,X,X
TOIZLJS,X,X,X,O,X,X,O
TOIZLSJ,X,X,X,X,X,X,O
TOIZJLS,X,O,X,X,X,X,O
TOIZJSL,X,O,X,X,X,X,X
TOIZSLJ,X,O,X,X,X,X,O
TOIZSJL,X,O,X,X,X,X,X
TOLIJSZ,O,O,X,O,X,X,X
TOLIJZS,O,O,X,O,O,X,X
TOLISJZ,O,O,X,O,X,X,X
TOLISZJ,O,O,X,X,O,X,X
TOLIZJS,X,X,X,O,O,X,X
TOLIZSJ,X,X,X,X,O,X,X
TOLJISZ,O,O,X,O,X,X,X
TOLJIZS,O,O,X,O,O,X,X
TOLJSIZ,O,O,X,O,X,X,X
TOLJSZI,O,O,X,O,X,X,X
TOLJZIS,O,O,X,O,O,X,X
TOLJZSI,O,O,X,O,O,X,X
TOLSIJZ,O,O,X,O,X,X,X
TOLSIZJ,O,O,X,X,O,X,X
TOLSJIZ,O,O,X,O,X,X,X
TOLSJZI,O,O,X,O,X,X,X
TOLSZIJ,O,O,X,X,O,X,X
TOLSZJI,O,O,X,X,O,X,X
TOLZIJS,X,X,X,O,O,X,X
TOLZISJ,X,X,X,X,O,X,X
TOLZJIS,X,X,X,O,O,X,X
TOLZJSI,X,X,X,O,O,X,X
TOLZSIJ,X,X,X,X,O,X,X
TOLZSJI,X,X,X,X,O,X,X
TOJILSZ,X,O,O,O,X,X,X
TOJILZS,X,O,X,O,X,X,X
TOJISLZ,O,O,O,X,X,X,X
TOJISZL,O,O,O,X,X,X,X
TOJIZLS,X,O,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X
TOJLISZ,X,O,O,O,X,X,X
TOJLIZS,X,O,X,O,X,X,X
TOJLSIZ,X,O,O,O,X,X,X
TOJLSZI,X,O,X,O,X,X,X
TOJLZIS,X,O,X,O,X,X,X
TOJLZSI,X,O,X,O,X,X,X
TOJSILZ,O,O,O,X,X,X,X
TOJSIZL,O,O,O,X,X,X,X
TOJSLIZ,O,O,O,X,X,X,X
TOJSLZI,O,O,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,X
TOJSZLI,O,O,X,X,X,X,X
TOJZILS,X,O,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,X
TOJZLIS,X,O,X,X,X,X,X
TOJZLSI,X,O,X,X,X,X,X
TOJZSIL,O,O,X,X,X,X,X
TOJZSLI,O,O,X,X,X,X,X
TOSILJZ,O,O,X,O,X,X,X
TOSILZJ,O,O,X,X,X,X,X
TOSIJLZ,O,O,O,X,X,X,X
TOSIJZL,O,O,O,X,X,X,X
TOSIZLJ,O,O,O,X,X,X,X
TOSIZJL,O,O,O,X,X,X,X
TOSLIJZ,O,O,X,O,X,X,X
TOSLIZJ,O,O,X,X,X,X,X
TOSLJIZ,O,O,X,O,X,X,X
TOSLJZI,O,O,X,O,X,X,X
TOSLZIJ,O,O,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X
TOSJILZ,O,O,O,X,X,X,X
TOSJIZL,O,O,O,X,X,X,X
TOSJLIZ,O,O,O,X,X,X,X
TOSJLZI,O,O,X,X,X,X,X
TOSJZIL,O,O,X,X,X,X,X
TOSJZLI,O,O,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X
TOSZLIJ,O,O,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X
TOSZJIL,O,O,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X
TOZILJS,X,X,X,O,O,X,O
TOZILSJ,X,X,X,X,O,X,O
TOZIJLS,X,O,X,X,O,X,O
TOZIJSL,X,O,X,X,X,X,X
TOZISLJ,X,O,X,X,X,X,O
TOZISJL,X,O,X,X,X,X,X
TOZLIJS,X,X,X,O,O,X,O
TOZLISJ,X,X,X,X,O,X,O
TOZLJIS,X,X,X,O,O,X,O
TOZLJSI,X,X,X,O,O,X,X
TOZLSIJ,X,X,X,X,O,X,O
TOZLSJI,X,X,X,X,O,X,X
TOZJILS,X,O,X,X,O,X,O
TOZJISL,X,O,X,X,X,X,X
TOZJLIS,X,O,X,X,O,X,O
TOZJLSI,X,O,X,X,O,X,X
TOZJSIL,X,O,X,X,X,X,X
TOZJSLI,X,O,X,X,O,X,X
TOZSILJ,X,O,X,X,X,X,O
TOZSIJL,X,O,X,X,X,X,X
TOZSLIJ,X,O,X,X,O,X,O
TOZSLJI,X,O,X,X,O,X,X
TOZSJIL,X,O,X,X,X,X,X
TOZSJLI,X,O,X,X,O,X,X
ITLJSZO,O,O,O,O,X,X,X
ITLJSOZ,O,O,O,O,X,X,X
ITLJZSO,O,O,O,O,X,X,X
ITLJZOS,O,O,X,O,O,X,X
ITLJOSZ,O,O,O,O,X,X,X
ITLJOZS,O,O,X,O,O,X,X
ITLSJZO,O,O,O,O,X,X,X
ITLSJOZ,O,O,O,O,X,X,X
ITLSZJO,O,O,O,X,X,O,X
ITLSZOJ,O,X,O,X,O,O,X
ITLSOJZ,O,X,X,O,X,X,X
ITLSOZJ,O,X,X,X,O,O,X
ITLZJSO,O,X,X,O,X,O,X
ITLZJOS,O,X,X,O,O,X,X
ITLZSJO,O,X,X,X,X,O,X
ITLZSOJ,O,X,X,X,O,O,X
ITLZOJS,X,X,X,O,O,X,X
ITLZOSJ,X,X,X,X,O,O,X
ITLOJSZ,O,O,X,O,X,X,X
ITLOJZS,O,O,X,O,O,X,X
ITLOSJZ,O,O,X,O,X,X,X
ITLOSZJ,O,O,X,X,O,X,X
ITLOZJS,X,X,X,O,O,X,X
ITLOZSJ,X,X,X,X,O,X,X
ITJLSZO,O,O,O,O,X,X,X
ITJLSOZ,O,O,O,O,X,X,X
ITJLZSO,O,O,O,O,X,X,X
ITJLZOS,O,O,O,O,X,X,X
ITJLOSZ,O,O,O,O,X,X,X
ITJLOZS,O,O,X,O,X,X,X
ITJSLZO,O,O,O,X,X,X,X
ITJSLOZ,O,O,O,X,X,X,X
ITJSZLO,O,O,O,X,X,X,X
ITJSZOL,O,O,O,X,X,X,X
ITJSOLZ,O,O,O,X,X,X,X
ITJSOZL,O,O,O,X,X,X,X
ITJZLSO,O,O,O,X,X,X,X
ITJZLOS,X,O,O,X,X,X,X
ITJZSLO,O,O,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X,X
ITJZOLS,X,O,O,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X
ITJOLSZ,X,O,O,O,X,X,X
ITJOLZS,X,O,X,O,X,X,X
ITJOSLZ,O,O,O,X,X,X,X
ITJOSZL,O,O,O,X,X,X,X
ITJOZLS,X,O,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X
ITSLJZO,O,O,O,O,X,X,X
ITSLJOZ,O,O,O,O,X,X,X
ITSLZJO,O,O,O,X,X,O,X
ITSLZOJ,O,X,O,X,X,O,X
ITSLOJZ,O,X,X,O,X,X,X
ITSLOZJ,O,X,X,X,X,O,X
ITSJLZO,O,O,O,X,X,X,X
ITSJLOZ,O,O,O,X,X,X,X
ITSJZLO,O,O,O,X,X,X,X
ITSJZOL,O,O,O,X,X,X,X
ITSJOLZ,O,O,O,X,X,X,X
ITSJOZL,O,O,O,X,X,X,X
ITSZLJO,O,O,O,X,X,X,X
ITSZLOJ,O,X,O,X,X,X,X
ITSZJLO,O,O,O,X,X,X,X
ITSZJOL,O,O,O,X,X,X,X
ITSZOLJ,O,X,O,X,X,X,X
ITSZOJL,O,O,O,X,X,X,X
ITSOLJZ,O,O,X,O,X,X,X
ITSOLZJ,O,O,X,X,X,O,X
ITSOJLZ,O,O,O,X,X,X,X
ITSOJZL,O,O,O,X,X,X,X
ITSOZLJ,O,O,O,X,X,X,X
ITSOZJL,O,O,O,X,X,X,X
ITZLJSO,O,X,X,O,X,X,X
ITZLJOS,O,X,X,O,X,X,O
ITZLSJO,O,X,X,X,X,X,X
ITZLSOJ,O,X,X,X,X,X,O
ITZLOJS,X,X,X,O,X,X,O
ITZLOSJ,X,X,X,X,X,X,O
ITZJLSO,O,O,O,X,X,X,X
ITZJLOS,X,O,O,X,X,X,O
ITZJSLO,O,O,O,X,X,X,X
ITZJSOL,O,O,O,X,X,X,X
ITZJOLS,X,O,O,X,X,X,O
ITZJOSL,O,O,O,X,X,X,X
ITZSLJO,O,O,O,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,O
ITZSJLO,O,O,O,X,X,X,X
ITZSJOL,O,O,O,X,X,X,X
ITZSOLJ,O,X,O,X,X,X,O
ITZSOJL,O,O,O,X,X,X,X
ITZOLJS,X,X,X,O,X,X,O
ITZOLSJ,X,X,X,X,X,X,O
ITZOJLS,X,O,O,X,X,X,O
ITZOJSL,X,O,O,X,X,X,X
ITZOSLJ,X,O,O,X,X,X,O
ITZOSJL,X,O,O,X,X,X,X
ITOLJSZ,O,O,X,O,X,X,X
ITOLJZS,O,O,X,O,O,X,X
ITOLSJZ,O,O,X,O,X,X,X
ITOLSZJ,O,O,X,X,O,X,X
ITOLZJS,X,X,X,O,O,X,X
ITOLZSJ,X,X,X,X,O,X,X
ITOJLSZ,X,O,O,O,X,X,X
ITOJLZS,X,O,X,O,X,X,X
ITOJSLZ,O,O,O,X,X,X,X
ITOJSZL,O,O,O,X,X,X,X
ITOJZLS,X,O,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X
ITOSLJZ,O,O,X,O,X,X,X
ITOSLZJ,O,O,X,X,X,X,X
ITOSJLZ,O,O,O,X,X,X,X
ITOSJZL,O,O,O,X,X,X,X
ITOSZLJ,O,O,O,X,X,X,X
ITOSZJL,O,O,O,X,X,X,X
ITOZLJS,X,X,X,O,X,X,O
ITOZLSJ,X,X,X,X,X,X,O
ITOZJLS,X,O,X,X,X,X,O
ITOZJSL,X,O,X,X,X,X,X
ITOZSLJ,X,O,X,X,X,X,O
ITOZSJL,X,O,X,X,X,X,X
ILTJSZO,O,O,O,O,X,X,X
ILTJSOZ,O,O,O,O,X,X,X
ILTJZSO,O,O,O,O,X,X,X
ILTJZOS,O,O,X,O,O,X,X
ILTJOSZ,O,O,O,O,X,X,X
ILTJOZS,O,O,X,O,O,X,X
ILTSJZO,O,O,O,O,X,X,X
ILTSJOZ,O,O,O,O,X,X,X
ILTSZJO,O,O,O,X,X,O,X
ILTSZOJ,O,X,O,X,O,O,X
ILTSOJZ,O,X,X,O,X,X,X
ILTSOZJ,O,X,X,X,O,O,X
ILTZJSO,O,X,X,O,X,O,X
ILTZJOS,O,X,X,O,O,X,X
ILTZSJO,O,X,X,X,X,O,X
ILTZSOJ,O,X,X,X,O,O,X
ILTZOJS,X,X,X,O,O,X,X
ILTZOSJ,X,X,X,X,O,O,X
ILTOJSZ,O,O,X,O,X,X,X
ILTOJZS,O,O,X,O,O,X,X
ILTOSJZ,O,O,X,O,X,X,X
ILTOSZJ,O,O,X,X,O,X,X
ILTOZJS,X,X,X,O,O,X,X
ILTOZSJ,X,X,X,X,O,X,X
ILJTSZO,O,O,O,O,X,X,X
ILJTSOZ,O,O,O,O,X,X,X
ILJTZSO,O,O,O,O,X,X,X
ILJTZOS,O,O,O,O,O,X,X
ILJTOSZ,O,O,O,O,X,X,X
ILJTOZS,O,O,X,O,O,X,X
ILJSTZO,O,O,O,O,X,X,X
ILJSTOZ,O,O,O,O,X,X,X
ILJSZTO,O,O,O,O,X,O,X
ILJSZOT,O,O,O,O,X,O,X
ILJSOTZ,O,O,O,O,X,X,X
ILJSOZT,O,O,O,O,X,O,X
ILJZTSO,O,O,O,O,X,O,X
ILJZTOS,O,O,O,O,X,X,X
ILJZSTO,O,O,O,O,X,O,X
ILJZSOT,O,O,O,O,X,O,X
ILJZOTS,O,O,O,O,X,X,X
ILJZOST,O,O,O,O,X,X,X
ILJOTSZ,O,O,O,O,X,X,X
ILJOTZS,O,O,X,O,O,X,X
ILJOSTZ,O,O,O,O,X,X,X
ILJOSZT,O,O,O,O,X,X,X
ILJOZTS,O,O,O,O,X,X,X
ILJOZST,O,O,O,O,X,X,X
ILSTJZO,O,O,O,O,X,X,X
ILSTJOZ,O,O,O,O,X,X,X
ILSTZJO,O,O,O,X,X,O,X
ILSTZOJ,O,X,O,X,O,O,X
ILSTOJZ,O,X,X,O,X,X,X
ILSTOZJ,O,X,X,X,O,O,X
ILSJTZO,O,O,O,O,X,X,X
ILSJTOZ,O,O,O,O,X,X,X
ILSJZTO,O,O,O,O,X,O,X
ILSJZOT,O,O,O,O,X,O,X
ILSJOTZ,O,O,O,O,X,X,X
ILSJOZT,O,O,O,O,X,O,X
ILSZTJO,O,O,O,X,X,O,X
ILSZTOJ,O,X,O,X,X,O,X
ILSZJTO,O,O,O,X,X,O,X
ILSZJOT,O,O,O,X,X,O,X
ILSZOTJ,O,X,O,X,X,O,X
ILSZOJT,O,X,O,X,X,O,X
ILSOTJZ,O,O,X,O,X,X,X
ILSOTZJ,O,O,X,X,O,O,X
ILSOJTZ,O,O,X,O,X,X,X
ILSOJZT,O,O,X,O,X,O,X
ILSOZTJ,O,O,X,X,X,O,X
ILSOZJT,O,O,X,X,X,O,X
ILZTJSO,O,X,X,O,X,O,X
ILZTJOS,O,X,X,O,O,X,O
ILZTSJO,O,X,X,X,X,O,X
ILZTSOJ,O,X,X,X,O,O,O
ILZTOJS,X,X,X,O,O,X,O
ILZTOSJ,X,X,X,X,O,O,O
ILZJTSO,O,X,O,O,X,O,X
ILZJTOS,O,X,O,O,X,X,X
ILZJSTO,O,X,O,O,X,O,X
ILZJSOT,O,X,O,O,X,O,X
ILZJOTS,O,X,O,O,X,X,X
ILZJOST,O,X,O,O,X,X,X
ILZSTJO,O,X,O,X,X,O,X
ILZSTOJ,O,X,O,X,X,O,X
ILZSJTO,O,X,O,X,X,O,X
ILZSJOT,O,X,O,X,X,O,X
ILZSOTJ,O,X,O,X,X,O,X
ILZSOJT,O,X,O,X,X,O,X
ILZOTJS,X,X,X,O,O,X,O
ILZOTSJ,X,X,X,X,O,O,O
ILZOJTS,X,X,O,O,X,X,X
ILZOJST,X,X,O,O,X,X,X
ILZOSTJ,X,X,O,X,X,O,X
ILZOSJT,X,X,O,X,X,O,X
ILOTJSZ,O,O,X,O,X,X,X
ILOTJZS,O,O,X,O,O,X,X
ILOTSJZ,O,O,X,O,X,X,X
ILOTSZJ,O,O,X,X,O,X,X
ILOTZJS,X,X,X,O,O,X,X
ILOTZSJ,X,X,X,X,O,X,X
ILOJTSZ,O,O,X,O,X,X,X
ILOJTZS,O,O,X,O,O,X,X
ILOJSTZ,O,O,X,O,X,X,X
ILOJSZT,O,O,X,O,X,X,X
ILOJZTS,O,O,X,O,X,X,X
ILOJZST,O,O,X,O,X,X,X
ILOSTJZ,O,O,X,O,X,X,X
ILOSTZJ,O,O,X,X,O,O,X
ILOSJTZ,O,O,X,O,X,X,X
ILOSJZT,O,O,X,O,X,O,X
ILOSZTJ,O,O,X,X,X,O,X
ILOSZJT,O,O,X,X,X,O,X
ILOZTJS,X,X,X,O,O,X,O
ILOZTSJ,X,X,X,X,O,O,O
ILOZJTS,X,X,X,O,X,X,X
ILOZJST,X,X,X,O,X,X,X
ILOZSTJ,X,X,X,X,X,O,X
ILOZSJT,X,X,X,X,X,O,X
IJTLSZO,O,O,O,O,X,X,X
IJTLSOZ,O,O,O,O,X,X,X
IJTLZSO,O,O,O,O,X,X,X
IJTLZOS,O,O,O,O,X,X,X
IJTLOSZ,O,O,O,O,X,X,X
IJTLOZS,O,O,X,O,X,X,X
IJTSLZO,O,O,O,X,X,X,X
IJTSLOZ,O,O,O,X,X,X,X
IJTSZLO,O,O,O,X,X,X,X
IJTSZOL,O,O,O,X,X,X,X
IJTSOLZ,O,O,O,X,X,X,X
IJTSOZL,O,O,O,X,X,X,X
IJTZLSO,O,O,O,X,X,X,X
IJTZLOS,X,O,O,X,X,X,X
IJTZSLO,O,O,O,X,X,X,X
IJTZSOL,O,O,O,X,X,X,X
IJTZOLS,X,O,O,X,X,X,X
IJTZOSL,O,O,O,X,X,X,X
IJTOLSZ,X,O,O,O,X,X,X
IJTOLZS,X,O,X,O,X,X,X
IJTOSLZ,O,O,O,X,X,X,X
IJTOSZL,O,O,O,X,X,X,X
IJTOZLS,X,O,X,X,X,X,X
IJTOZSL,O,O,X,X,X,X,X
IJLTSZO,O,O,O,O,X,X,X
IJLTSOZ,O,O,O,O,X,X,X
IJLTZSO,O,O,O,O,X,X,X
IJLTZOS,O,O,O,O,O,X,X
IJLTOSZ,O,O,O,O,X,X,X
IJLTOZS,O,O,X,O,O,X,X
IJLSTZO,O,O,O,O,X,X,X
IJLSTOZ,O,O,O,O,X,X,X
IJLSZTO,O,O,O,O,X,O,X
IJLSZOT,O,O,O,O,X,O,X
IJLSOTZ,O,O,O,O,X,X,X
IJLSOZT,O,O,O,O,X,O,X
IJLZTSO,O,O,O,O,X,O,X
IJLZTOS,O,O,O,O,X,X,X
IJLZSTO,O,O,O,O,X,O,X
IJLZSOT,O,O,O,O,X,O,X
IJLZOTS,O,O,O,O,X,X,X
IJLZOST,O,O,O,O,X,X,X
IJLOTSZ,O,O,O,O,X,X,X
IJLOTZS,O,O,X,O,O,X,X
IJLOSTZ,O,O,O,O,X,X,X
IJLOSZT,O,O,O,O,X,X,X
IJLOZTS,O,O,O,O,X,X,X
IJLOZST,O,O,O,O,X,X,X
IJSTLZO,O,O,O,X,X,X,X
IJSTLOZ,O,O,O,X,X,X,X
IJSTZLO,O,O,O,X,X,X,X
IJSTZOL,O,O,O,X,X,X,X
IJSTOLZ,O,O,O,X,X,X,X
IJSTOZL,O,O,O,X,X,X,X
IJSLTZO,O,O,O,O,X,X,X
IJSLTOZ,O,O,O,O,X,X,X
IJSLZTO,O,O,O,O,X,O,X
IJSLZOT,O,O,O,O,X,O,X
IJSLOTZ,O,O,O,O,X,X,X
IJSLOZT,O,O,O,O,X,O,X
IJSZTLO,O,O,O,X,X,X,X
IJSZTOL,O,O,O,X,X,X,X
IJSZLTO,O,O,O,X,X,X,X
IJSZLOT,O,O,O,X,X,X,X
IJSZOTL,O,O,O,X,X,X,X
IJSZOLT,O,O,O,X,X,X,X
IJSOTLZ,O,O,O,X,X,X,X
IJSOTZL,O,O,O,X,X,X,X
IJSOLTZ,O,O,O,O,X,X,X
IJSOLZT,O,O,O,O,X,O,X
IJSOZTL,O,O,O,X,X,X,X
IJSOZLT,O,O,O,X,X,X,X
IJZTLSO,O,O,O,X,X,X,X
IJZTLOS,X,O,O,X,X,X,O
IJZTSLO,O,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,X,X
IJZTOLS,X,O,O,X,X,X,O
IJZTOSL,O,O,O,X,X,X,X
IJZLTSO,O,O,O,O,X,X,X
IJZLTOS,O,O,O,O,X,X,X
IJZLSTO,O,O,O,O,X,X,X
IJZLSOT,O,O,O,O,X,X,X
IJZLOTS,O,O,O,O,X,X,X
IJZLOST,O,O,O,O,X,X,X
IJZSTLO,O,O,O,X,X,X,X
IJZSTOL,O,O,O,X,X,X,X
IJZSLTO,O,O,O,X,X,X,X
IJZSLOT,O,O,O,X,X,X,X
IJZSOTL,O,O,O,X,X,X,X
IJZSOLT,O,O,O,X,X,X,X
IJZOTLS,X,O,O,X,X,X,O
IJZOTSL,O,O,O,X,X,X,X
IJZOLTS,X,O,O,O,X,X,X
IJZOLST,X,O,O,O,X,X,X
IJZOSTL,O,O,O,X,X,X,X
IJZOSLT,O,O,O,X,X,X,X
IJOTLSZ,X,O,O,O,X,X,X
IJOTLZS,X,O,X,O,X,X,X
IJOTSLZ,O,O,O,X,X,X,X
IJOTSZL,O,O,O,X,X,X,X
IJOTZLS,X,O,X,X,X,X,X
IJOTZSL,O,O,X,X,X,X,X
IJOLTSZ,O,O,O,O,X,X,X
IJOLTZS,O,O,X,O,O,X,X
IJOLSTZ,O,O,O,O,X,X,X
IJOLSZT,O,O,O,O,X,X,X
IJOLZTS,O,O,O,O,X,X,X
IJOLZST,O,O,O,O,X,X,X
IJOSTLZ,O,O,O,X,X,X,X
IJOSTZL,O,O,O,X,X,X,X
IJOSLTZ,O,O,O,O,X,X,X
IJOSLZT,O,O,O,O,X,X,X
IJOSZTL,O,O,O,X,X,X,X
IJOSZLT,O,O,O,X,X,X,X
IJOZTLS,X,O,O,X,X,X,O
IJOZTSL,O,O,O,X,X,X,X
IJOZLTS,X,O,O,O,X,X,X
IJOZLST,X,O,O,O,X,X,X
IJOZSTL,O,O,O,X,X,X,X
IJOZSLT,O,O,O,X,X,X,X
ISTLJZO,O,O,O,O,X,X,X
ISTLJOZ,O,O,O,O,X,X,X
ISTLZJO,O,O,O,X,X,O,X
ISTLZOJ,O,X,O,X,X,O,X
ISTLOJZ,O,X,X,O,X,X,X
ISTLOZJ,O,X,X,X,X,O,X
ISTJLZO,O,O,O,X,X,X,X
ISTJLOZ,O,O,O,X,X,X,X
ISTJZLO,O,O,O,X,X,X,X
ISTJZOL,O,O,O,X,X,X,X
ISTJOLZ,O,O,O,X,X,X,X
ISTJOZL,O,O,O,X,X,X,X
ISTZLJO,O,O,O,X,X,X,X
ISTZLOJ,O,X,O,X,X,X,X
ISTZJLO,O,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,X,X
ISTZOLJ,O,X,O,X,X,X,X
ISTZOJL,O,O,O,X,X,X,X
ISTOLJZ,O,O,X,O,X,X,X
ISTOLZJ,O,O,X,X,X,O,X
ISTOJLZ,O,O,O,X,X,X,X
ISTOJZL,O,O,O,X,X,X,X
ISTOZLJ,O,O,O,X,X,X,X
ISTOZJL,O,O,O,X,X,X,X
ISLTJZO,O,O,O,O,X,X,X
ISLTJOZ,O,O,O,O,X,X,X
ISLTZJO,O,O,O,X,X,O,X
ISLTZOJ,O,X,O,X,O,O,X
ISLTOJZ,O,X,X,O,X,X,X
ISLTOZJ,O,X,X,X,O,O,X
ISLJTZO,O,O,O,O,X,X,X
ISLJTOZ,O,O,O,O,X,X,X
ISLJZTO,O,O,O,O,X,O,X
ISLJZOT,O,O,O,O,X,O,X
ISLJOTZ,O,O,O,O,X,X,X
ISLJOZT,O,O,O,O,X,O,X
ISLZTJO,O,O,O,X,X,O,X
ISLZTOJ,O,X,O,X,X,O,X
ISLZJTO,O,O,O,X,X,O,X
ISLZJOT,O,O,O,X,X,O,X
ISLZOTJ,O,X,O,X,X,O,X
ISLZOJT,O,X,O,X,X,O,X
ISLOTJZ,O,O,X,O,X,X,X
ISLOTZJ,O,O,X,X,O,O,X
ISLOJTZ,O,O,X,O,X,X,X
ISLOJZT,O,O,X,O,X,O,X
ISLOZTJ,O,O,X,X,X,O,X
ISLOZJT,O,O,X,X,X,O,X
ISJTLZO,O,O,O,X,X,X,X
ISJTLOZ,O,O,O,X,X,X,X
ISJTZLO,O,O,O,X,X,X,X
ISJTZOL,O,O,O,X,X,X,X
ISJTOLZ,O,O,O,X,X,X,X
ISJTOZL,O,O,O,X,X,X,X
ISJLTZO,O,O,O,O,X,X,X
ISJLTOZ,O,O,O,O,X,X,X
ISJLZTO,O,O,O,O,X,O,X
ISJLZOT,O,O,O,O,X,O,X
ISJLOTZ,O,O,O,O,X,X,X
ISJLOZT,O,O,O,O,X,O,X
ISJZTLO,O,O,O,X,X,X,X
ISJZTOL,O,O,O,X,X,X,X
ISJZLTO,O,O,O,X,X,X,X
ISJZLOT,O,O,O,X,X,X,X
ISJZOTL,O,O,O,X,X,X,X
ISJZOLT,O,O,O,X,X,X,X
ISJOTLZ,O,O,O,X,X,X,X
ISJOTZL,O,O,O,X,X,X,X
ISJOLTZ,O,O,O,O,X,X,X
ISJOLZT,O,O,O,O,X,O,X
ISJOZTL,O,O,O,X,X,X,X
ISJOZLT,O,O,O,X,X,X,X
ISZTLJO,O,O,O,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,O
ISZTJLO,O,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,X,X
ISZTOLJ,O,X,O,X,X,X,O
ISZTOJL,O,O,O,X,X,X,X
ISZLTJO,O,O,O,X,X,O,X
ISZLTOJ,O,X,O,X,X,O,X
ISZLJTO,O,O,O,X,X,O,X
ISZLJOT,O,O,O,X,X,O,X
ISZLOTJ,O,X,O,X,X,O,X
ISZLOJT,O,X,O,X,X,O,X
ISZJTLO,O,O,O,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X
ISZJLTO,O,O,O,X,X,X,X
ISZJLOT,O,O,O,X,X,X,X
ISZJOTL,O,O,O,X,X,X,X
ISZJOLT,O,O,O,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,O
ISZOTJL,O,O,O,X,X,X,X
ISZOLTJ,O,O,O,X,X,O,X
ISZOLJT,O,O,O,X,X,O,X
ISZOJTL,O,O,O,X,X,X,X
ISZOJLT,O,O,O,X,X,X,X
ISOTLJZ,O,O,X,O,X,X,X
