sequence,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBTjBW?qByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhB6oBf?qBetBzqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFzfBFhB6oBf?rBetBUqB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFUgBFhBWqBT?oByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JexAJvhF0kBllBToBO?pByvBXtB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFqkBFhBTjB0?lBXtB2vB,v115@DhB8GeC8GeC8CeA8CeB8BeA8JeZEJvhFCgBllBToBO?rBUqBXtB
TLISZJO,O,O,O,X,X,O,X
TLISZOJ,O,X,O,X,O,O,X
TLISOJZ,O,X,X,O,X,X,X
TLISOZJ,O,X,X,X,O,O,X
TLIZJSO,O,X,X,O,X,O,X
TLIZJOS,O,X,X,O,O,X,X
TLIZSJO,O,X,X,X,X,O,X
TLIZSOJ,O,X,X,X,O,O,X
TLIZOJS,X,X,X,O,O,X,X
TLIZOSJ,X,X,X,X,O,O,X
TLIOJSZ,O,O,X,O,X,X,X
TLIOJZS,O,O,X,O,O,X,X
TLIOSJZ,O,O,X,O,X,X,X
TLIOSZJ,O,O,X,X,O,X,X
TLIOZJS,X,X,X,O,O,X,X
TLIOZSJ,X,X,X,X,O,X,X
TLJISZO,O,O,O,O,X,X,X
TLJISOZ,O,O,O,O,X,X,X
TLJIZSO,O,O,O,O,X,X,X
TLJIZOS,O,O,X,O,O,X,X
TLJIOSZ,O,O,O,O,X,X,X
TLJIOZS,O,O,X,O,O,X,X
TLJSIZO,O,O,O,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,X
TLJSZIO,O,O,O,O,X,X,X
TLJSZOI,O,O,X,O,X,X,X
TLJSOIZ,O,O,O,O,X,X,X
TLJSOZI,O,O,X,O,X,X,X
TLJZISO,O,O,O,O,X,X,X
TLJZIOS,O,O,X,O,O,X,X
TLJZSIO,O,O,O,O,X,X,X
TLJZSOI,O,O,X,O,X,X,X
TLJZOIS,O,O,X,O,O,X,X
TLJZOSI,O,O,X,O,O,X,X
TLJOISZ,O,O,O,O,X,X,X
TLJOIZS,O,O,X,O,O,X,X
TLJOSIZ,O,O,O,O,X,X,X
TLJOSZI,O,O,X,O,X,X,X
TLJOZIS,O,O,X,O,O,X,X
TLJOZSI,O,O,X,O,O,X,X
TLSIJZO,O,O,O,O,X,X,X
TLSIJOZ,O,O,O,O,X,X,X
TLSIZJO,O,O,O,X,X,O,X
TLSIZOJ,O,X,O,X,O,O,X
TLSIOJZ,O,X,X,O,X,X,X
TLSIOZJ,O,X,X,X,O,O,X
TLSJIZO,O,O,O,O,X,X,X
TLSJIOZ,O,O,O,O,X,X,X
TLSJZIO,O,O,O,O,X,X,X
TLSJZOI,O,O,X,O,X,X,X
TLSJOIZ,O,O,O,O,X,X,X
TLSJOZI,O,O,X,O,X,X,X
TLSZIJO,O,O,X,X,X,O,X
TLSZIOJ,O,X,X,X,O,O,X
TLSZJIO,O,O,X,X,X,O,X
TLSZJOI,O,O,X,X,X,O,X
TLSZOIJ,O,X,X,X,O,O,X
TLSZOJI,O,X,X,X,O,O,X
TLSOIJZ,O,X,X,O,X,X,X
TLSOIZJ,O,X,X,X,O,O,X
TLSOJIZ,O,X,X,O,X,X,X
TLSOJZI,O,X,X,O,X,X,X
TLSOZIJ,O,X,X,X,O,O,X
TLSOZJI,O,X,X,X,O,O,X
TLZIJSO,O,X,X,O,X,O,X
TLZIJOS,O,X,X,O,O,X,X
TLZISJO,O,X,X,X,X,O,X
TLZISOJ,O,X,X,X,O,O,X
TLZIOJS,X,X,X,O,O,X,X
TLZIOSJ,X,X,X,X,O,O,X
TLZJISO,O,X,X,O,X,O,X
TLZJIOS,O,X,X,O,O,X,X
TLZJSIO,O,X,X,O,X,O,X
TLZJSOI,O,X,X,O,X,O,X
TLZJOIS,O,X,X,O,O,X,X
TLZJOSI,O,X,X,O,O,X,X
TLZSIJO,O,X,X,X,X,O,X
TLZSIOJ,O,X,X,X,O,O,X
TLZSJIO,O,X,X,X,X,O,X
TLZSJOI,O,X,X,X,X,O,X
TLZSOIJ,O,X,X,X,O,O,X
TLZSOJI,O,X,X,X,O,O,X
TLZOIJS,X,X,X,O,O,X,X
TLZOISJ,X,X,X,X,O,O,X
TLZOJIS,X,X,X,O,O,X,X
TLZOJSI,X,X,X,O,O,X,X
TLZOSIJ,X,X,X,X,O,O,X
TLZOSJI,X,X,X,X,O,O,X
TLOIJSZ,O,O,X,O,X,X,X
TLOIJZS,O,O,X,O,O,X,X
TLOISJZ,O,O,X,O,X,X,X
TLOISZJ,O,O,X,X,O,X,X
TLOIZJS,X,X,X,O,O,X,X
TLOIZSJ,X,X,X,X,O,X,X
TLOJISZ,O,O,X,O,X,X,X
TLOJIZS,O,O,X,O,O,X,X
TLOJSIZ,O,O,X,O,X,X,X
TLOJSZI,O,O,X,O,X,X,X
TLOJZIS,O,O,X,O,O,X,X
TLOJZSI,O,O,X,O,O,X,X
TLOSIJZ,O,O,X,O,X,X,X
TLOSIZJ,O,O,X,X,O,X,X
TLOSJIZ,O,O,X,O,X,X,X
TLOSJZI,O,O,X,O,X,X,X
TLOSZIJ,O,O,X,X,O,X,X
TLOSZJI,O,O,X,X,O,X,X
TLOZIJS,X,X,X,O,O,X,X
TLOZISJ,X,X,X,X,O,X,X
TLOZJIS,X,X,X,O,O,X,X
TLOZJSI,X,X,X,O,O,X,X
TLOZSIJ,X,X,X,X,O,X,X
TLOZSJI,X,X,X,X,O,X,X
TJILSZO,O,O,O,O,X,X,X
TJILSOZ,O,O,O,O,X,X,X
TJILZSO,O,O,O,O,X,X,X
TJILZOS,O,O,O,O,X,X,X
TJILOSZ,O,O,O,O,X,X,X
TJILOZS,O,O,X,O,X,X,X
TJISLZO,O,O,O,X,X,X,X
TJISLOZ,O,O,O,X,X,X,X
TJISZLO,O,O,O,X,X,X,X
TJISZOL,O,O,O,X,X,X,X
TJISOLZ,O,O,O,X,X,X,X
TJISOZL,O,O,O,X,X,X,X
TJIZLSO,O,O,O,X,X,X,X
TJIZLOS,X,O,O,X,X,X,X
TJIZSLO,O,O,O,X,X,X,X
TJIZSOL,O,O,O,X,X,X,X
TJIZOLS,X,O,O,X,X,X,X
TJIZOSL,O,O,O,X,X,X,X
TJIOLSZ,X,O,O,O,X,X,X
TJIOLZS,X,O,X,O,X,X,X
TJIOSLZ,O,O,O,X,X,X,X
TJIOSZL,O,O,O,X,X,X,X
TJIOZLS,X,O,X,X,X,X,X
TJIOZSL,O,O,X,X,X,X,X
TJLISZO,O,O,O,O,X,X,X
TJLISOZ,O,O,O,O,X,X,X
TJLIZSO,O,O,O,O,X,X,X
TJLIZOS,O,O,O,O,X,X,X
TJLIOSZ,O,O,O,O,X,X,X
TJLIOZS,O,O,X,O,X,X,X
TJLSIZO,O,O,O,O,X,X,X
TJLSIOZ,O,O,O,O,X,X,X
TJLSZIO,O,O,O,O,X,X,X
TJLSZOI,O,O,X,O,X,X,X
TJLSOIZ,O,O,O,O,X,X,X
TJLSOZI,O,O,X,O,X,X,X
TJLZISO,O,O,O,O,X,X,X
TJLZIOS,O,O,O,O,X,X,X
TJLZSIO,O,O,O,O,X,X,X
TJLZSOI,O,O,O,O,X,X,X
TJLZOIS,O,O,O,O,X,X,X
TJLZOSI,O,O,O,O,X,X,X
TJLOISZ,O,O,O,O,X,X,X
TJLOIZS,O,O,X,O,X,X,X
TJLOSIZ,O,O,O,O,X,X,X
TJLOSZI,O,O,X,O,X,X,X
TJLOZIS,O,O,X,O,X,X,X
TJLOZSI,O,O,X,O,X,X,X
TJSILZO,O,O,O,X,X,X,X
TJSILOZ,O,O,O,X,X,X,X
TJSIZLO,O,O,O,X,X,X,X
TJSIZOL,O,O,O,X,X,X,X
TJSIOLZ,O,O,O,X,X,X,X
TJSIOZL,O,O,O,X,X,X,X
TJSLIZO,O,O,O,X,X,X,X
TJSLIOZ,O,O,O,X,X,X,X
TJSLZIO,O,O,O,X,X,X,X
TJSLZOI,O,O,X,X,X,X,X
TJSLOIZ,O,O,O,X,X,X,X
TJSLOZI,O,O,X,X,X,X,X
TJSZILO,O,O,O,X,X,X,X
TJSZIOL,O,O,O,X,X,X,X
TJSZLIO,O,O,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X
TJSOILZ,O,O,O,X,X,X,X
TJSOIZL,O,O,O,X,X,X,X
TJSOLIZ,O,O,O,X,X,X,X
TJSOLZI,O,O,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X
TJZILSO,O,O,O,X,X,X,X
TJZILOS,X,O,O,X,X,X,X
TJZISLO,O,O,O,X,X,X,X
TJZISOL,O,O,O,X,X,X,X
TJZIOLS,X,O,O,X,X,X,X
TJZIOSL,O,O,O,X,X,X,X
TJZLISO,O,O,O,X,X,X,X
TJZLIOS,X,O,O,X,X,X,X
TJZLSIO,O,O,O,X,X,X,X
TJZLSOI,O,O,O,X,X,X,X
TJZLOIS,X,O,O,X,X,X,X
TJZLOSI,X,O,O,X,X,X,X
TJZSILO,O,O,O,X,X,X,X
TJZSIOL,O,O,O,X,X,X,X
TJZSLIO,O,O,O,X,X,X,X
TJZSLOI,O,O,O,X,X,X,X
TJZSOIL,O,O,O,X,X,X,X
TJZSOLI,O,O,O,X,X,X,X
TJZOILS,X,O,O,X,X,X,X
TJZOISL,O,O,O,X,X,X,X
TJZOLIS,X,O,O,X,X,X,X
TJZOLSI,X,O,O,X,X,X,X
TJZOSIL,O,O,O,X,X,X,X
TJZOSLI,O,O,O,X,X,X,X
TJOILSZ,X,O,O,O,X,X,X
TJOILZS,X,O,X,O,X,X,X
TJOISLZ,O,O,O,X,X,X,X
TJOISZL,O,O,O,X,X,X,X
TJOIZLS,X,O,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X
TJOLISZ,X,O,O,O,X,X,X
TJOLIZS,X,O,X,O,X,X,X
TJOLSIZ,X,O,O,O,X,X,X
TJOLSZI,X,O,X,O,X,X,X
TJOLZIS,X,O,X,O,X,X,X
TJOLZSI,X,O,X,O,X,X,X
TJOSILZ,O,O,O,X,X,X,X
TJOSIZL,O,O,O,X,X,X,X
TJOSLIZ,O,O,O,X,X,X,X
TJOSLZI,O,O,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X
TJOZILS,X,O,X,X,X,X,X
TJOZISL,O,O,X,X,X,X,X
TJOZLIS,X,O,X,X,X,X,X
TJOZLSI,X,O,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X
TSILJZO,O,O,O,O,X,X,X
TSILJOZ,O,O,O,O,X,X,X
TSILZJO,O,O,O,X,X,O,X
TSILZOJ,O,X,O,X,X,O,X
TSILOJZ,O,X,X,O,X,X,X
TSILOZJ,O,X,X,X,X,O,X
TSIJLZO,O,O,O,X,X,X,X
TSIJLOZ,O,O,O,X,X,X,X
TSIJZLO,O,O,O,X,X,X,X
TSIJZOL,O,O,O,X,X,X,X
TSIJOLZ,O,O,O,X,X,X,X
TSIJOZL,O,O,O,X,X,X,X
TSIZLJO,O,O,O,X,X,X,X
TSIZLOJ,O,X,O,X,X,X,X
TSIZJLO,O,O,O,X,X,X,X
TSIZJOL,O,O,O,X,X,X,X
TSIZOLJ,O,X,O,X,X,X,X
TSIZOJL,O,O,O,X,X,X,X
TSIOLJZ,O,O,X,O,X,X,X
TSIOLZJ,O,O,X,X,X,O,X
TSIOJLZ,O,O,O,X,X,X,X
TSIOJZL,O,O,O,X,X,X,X
TSIOZLJ,O,O,O,X,X,X,X
TSIOZJL,O,O,O,X,X,X,X
TSLIJZO,O,O,O,O,X,X,X
TSLIJOZ,O,O,O,O,X,X,X
TSLIZJO,O,O,O,X,X,O,X
TSLIZOJ,O,X,O,X,X,O,X
TSLIOJZ,O,X,X,O,X,X,X
TSLIOZJ,O,X,X,X,X,O,X
TSLJIZO,O,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,X,X,X
TSLJZIO,O,O,O,O,X,X,X
TSLJZOI,O,O,X,O,X,X,X
TSLJOIZ,O,O,O,O,X,X,X
TSLJOZI,O,O,X,O,X,X,X
TSLZIJO,O,O,X,X,X,O,X
TSLZIOJ,O,X,X,X,X,O,X
TSLZJIO,O,O,X,X,X,O,X
TSLZJOI,O,O,X,X,X,O,X
TSLZOIJ,O,X,X,X,X,O,X
TSLZOJI,O,X,X,X,X,O,X
TSLOIJZ,O,X,X,O,X,X,X
TSLOIZJ,O,X,X,X,X,O,X
TSLOJIZ,O,X,X,O,X,X,X
TSLOJZI,O,X,X,O,X,X,X
TSLOZIJ,O,X,X,X,X,O,X
TSLOZJI,O,X,X,X,X,O,X
TSJILZO,O,O,O,X,X,X,X
TSJILOZ,O,O,O,X,X,X,X
TSJIZLO,O,O,O,X,X,X,X
TSJIZOL,O,O,O,X,X,X,X
TSJIOLZ,O,O,O,X,X,X,X
TSJIOZL,O,O,O,X,X,X,X
TSJLIZO,O,O,O,X,X,X,X
TSJLIOZ,O,O,O,X,X,X,X
TSJLZIO,O,O,O,X,X,X,X
TSJLZOI,O,O,X,X,X,X,X
TSJLOIZ,O,O,O,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X
TSJZILO,O,O,O,X,X,X,X
TSJZIOL,O,O,O,X,X,X,X
TSJZLIO,O,O,O,X,X,X,X
TSJZLOI,O,O,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X
TSJZOLI,O,O,X,X,X,X,X
TSJOILZ,O,O,O,X,X,X,X
TSJOIZL,O,O,O,X,X,X,X
TSJOLIZ,O,O,O,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X
TSZILJO,O,O,O,X,X,X,X
TSZILOJ,O,X,O,X,X,X,X
TSZIJLO,O,O,O,X,X,X,X
TSZIJOL,O,O,O,X,X,X,X
TSZIOLJ,O,X,O,X,X,X,X
TSZIOJL,O,O,O,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X
TSZLIOJ,O,X,X,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X
TSZLOIJ,O,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X
TSZJILO,O,O,O,X,X,X,X
TSZJIOL,O,O,O,X,X,X,X
TSZJLIO,O,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X
TSZJOLI,O,O,X,X,X,X,X
TSZOILJ,O,X,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X
TSZOLIJ,O,X,X,X,X,X,X
TSZOLJI,O,X,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X
TSOILJZ,O,O,X,O,X,X,X
TSOILZJ,O,O,X,X,X,O,X
TSOIJLZ,O,O,O,X,X,X,X
TSOIJZL,O,O,O,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X
TSOLIJZ,O,O,X,O,X,X,X
TSOLIZJ,O,O,X,X,X,O,X
TSOLJIZ,O,O,X,O,X,X,X
TSOLJZI,O,O,X,O,X,X,X
TSOLZIJ,O,O,X,X,X,O,X
TSOLZJI,O,O,X,X,X,O,X
TSOJILZ,O,O,O,X,X,X,X
TSOJIZL,O,O,O,X,X,X,X
TSOJLIZ,O,O,O,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X
TSOJZLI,O,O,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X
