sequence,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFTiBZoBUlBFmBGm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgBzhB3lB1sB0r?BatB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF0gBSnBZoB2qBlm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF3gBFiBZoB6rBcs?B2vB,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFmiBUlBRmBftBFm?BzrB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFlgB3hBZoB2qBCs?BcsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFKlBfmBZoBWsBcs?BlrB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgB3hB1qB0nBzr?BatB
TILJSZO,X,X,X,X,X,O,O,X
TILJSOZ,X,X,X,X,X,O,O,X
TILJZSO,X,X,X,X,X,O,X,X
TILJZOS,X,X,X,X,X,O,X,X
TILJOSZ,X,X,X,X,X,O,O,O
TILJOZS,X,X,X,X,X,O,X,O
TILSJZO,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,X,X,X,O,X
TILSZJO,O,X,X,O,X,X,X,X
TILSZOJ,O,X,X,O,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X
TILSOZJ,O,X,X,O,X,X,X,X
TILZJSO,O,X,X,O,X,X,X,X
TILZJOS,X,X,X,O,X,X,X,X
TILZSJO,O,X,X,O,X,X,X,X
TILZSOJ,O,X,X,O,X,X,X,X
TILZOJS,X,X,X,O,X,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X
TILOJSZ,X,X,X,X,X,O,O,O
TILOJZS,X,X,X,X,X,O,X,O
TILOSJZ,X,X,X,X,X,X,O,O
TILOSZJ,X,X,X,O,X,X,X,O
TILOZJS,X,X,X,O,X,X,X,O
TILOZSJ,X,X,X,O,X,X,X,O
TIJLSZO,X,O,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,X,O,O,X
TIJLZSO,X,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,X,O,X,X
TIJLOSZ,X,X,X,X,X,O,O,O
TIJLOZS,X,X,X,X,X,O,X,O
TIJSLZO,X,O,O,X,X,O,O,X
TIJSLOZ,X,X,O,X,X,O,O,X
TIJSZLO,O,O,O,X,X,X,X,X
TIJSZOL,O,O,O,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,O,X,O
TIJSOZL,O,O,O,X,X,X,X,O
TIJZLSO,O,X,X,X,X,O,X,X
TIJZLOS,X,X,X,X,X,O,X,X
TIJZSLO,O,O,O,X,X,X,X,X
TIJZSOL,O,O,O,X,X,X,X,X
TIJZOLS,X,X,X,X,X,O,X,O
TIJZOSL,X,O,O,X,X,X,X,O
TIJOLSZ,X,X,X,X,X,O,O,O
TIJOLZS,X,X,X,X,X,O,X,O
TIJOSLZ,X,X,O,X,X,O,X,O
TIJOSZL,X,O,O,X,X,X,X,O
TIJOZLS,X,X,X,X,X,O,X,O
TIJOZSL,X,X,O,X,X,X,X,O
TISLJZO,X,O,O,X,X,X,O,X
TISLJOZ,X,X,O,X,X,X,O,X
TISLZJO,O,O,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,X,O,X
TISLOZJ,O,X,X,X,X,X,X,X
TISJLZO,X,O,O,X,X,X,O,X
TISJLOZ,X,X,O,X,X,X,O,X
TISJZLO,O,O,O,X,X,X,X,X
TISJZOL,O,O,O,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,O
TISJOZL,O,O,O,X,X,X,X,O
TISZLJO,O,O,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,X
TISZJOL,O,O,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,O
TISOLZJ,O,X,X,X,X,X,X,O
TISOJLZ,X,X,O,X,X,X,X,O
TISOJZL,O,O,O,X,X,X,X,O
TISOZLJ,O,O,X,X,X,X,X,O
TISOZJL,O,O,X,X,X,X,X,O
TIZLJSO,O,X,X,O,X,X,X,X
TIZLJOS,X,X,X,O,X,X,X,X
TIZLSJO,O,X,X,O,X,X,X,X
TIZLSOJ,O,X,X,O,X,X,X,X
TIZLOJS,X,X,X,O,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X
TIZJLSO,O,X,X,O,X,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X
TIZJSLO,O,O,X,X,X,X,X,X
TIZJSOL,O,O,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,X,X,O
TIZJOSL,X,O,X,X,X,X,X,O
TIZSLJO,O,O,X,O,X,X,X,X
TIZSLOJ,O,O,X,O,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X
TIZSJOL,O,O,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X
TIZOLJS,X,X,X,O,X,X,X,O
TIZOLSJ,O,X,X,O,X,X,X,O
TIZOJLS,X,X,X,O,X,X,X,O
TIZOJSL,X,O,X,X,X,X,X,O
TIZOSLJ,O,O,X,O,X,X,X,O
TIZOSJL,O,O,X,X,X,X,X,O
TIOLJSZ,X,X,X,X,X,O,O,O
TIOLJZS,X,X,X,X,X,O,X,O
TIOLSJZ,X,X,X,X,X,X,O,O
TIOLSZJ,X,X,X,O,X,X,X,O
TIOLZJS,X,X,X,O,X,X,X,O
TIOLZSJ,X,X,X,O,X,X,X,O
TIOJLSZ,X,X,X,X,X,O,O,O
TIOJLZS,X,X,X,X,X,O,X,O
TIOJSLZ,X,X,O,X,X,O,X,O
TIOJSZL,X,X,O,X,X,X,X,O
TIOJZLS,X,X,X,X,X,O,X,O
TIOJZSL,X,X,O,X,X,X,X,O
TIOSLJZ,X,X,O,X,X,X,X,O
TIOSLZJ,O,X,X,X,X,X,X,O
TIOSJLZ,X,X,O,X,X,X,X,O
TIOSJZL,O,X,O,X,X,X,X,O
TIOSZLJ,O,X,X,X,X,X,X,O
TIOSZJL,O,X,X,X,X,X,X,O
TIOZLJS,X,X,X,O,X,X,X,O
TIOZLSJ,O,X,X,O,X,X,X,O
TIOZJLS,X,X,X,O,X,X,X,O
TIOZJSL,X,X,X,X,X,X,X,O
TIOZSLJ,O,X,X,O,X,X,X,O
TIOZSJL,O,X,X,X,X,X,X,O
TLIJSZO,X,X,X,X,X,O,O,X
TLIJSOZ,X,X,X,X,X,O,O,X
TLIJZSO,X,X,X,X,X,O,X,X
TLIJZOS,X,X,X,X,X,O,X,X
TLIJOSZ,X,X,X,X,X,O,O,O
