sequence,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?9mBynB0sBXsB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?9mBynBXsB0sB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBulB?3hBtnB8rByxB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBtlB?6mBmiBXsB0sB,v115@GhA8IeA8AeB8AeA8CeB8AeD8DeA8JeZEJvhFzfBtlB?0hBCsB3sBmsB
TILJSZO,X,O,X,O,O
TILJSOZ,O,O,X,O,O
TILJZSO,O,X,O,X,O
TILJZOS,O,O,O,O,O
TILJOSZ,O,O,X,O,O
TILJOZS,O,O,O,O,O
TILSJZO,X,O,X,O,O
TILSJOZ,O,O,X,O,O
TILSZJO,X,O,X,O,O
TILSZOJ,X,O,X,O,O
TILSOJZ,O,O,X,O,O
TILSOZJ,X,O,X,O,O
TILZJSO,O,X,O,X,O
TILZJOS,O,O,O,O,O
TILZSJO,O,X,O,O,O
TILZSOJ,O,X,O,O,O
TILZOJS,O,O,O,O,O
TILZOSJ,O,X,O,O,O
TILOJSZ,O,O,X,O,O
TILOJZS,O,O,O,O,O
TILOSJZ,O,O,X,O,O
TILOSZJ,X,O,X,O,O
TILOZJS,O,O,O,O,O
TILOZSJ,O,X,O,O,O
TIJLSZO,X,O,X,O,O
TIJLSOZ,O,O,X,O,O
TIJLZSO,O,X,O,X,O
TIJLZOS,O,O,O,O,O
TIJLOSZ,O,O,X,O,O
TIJLOZS,O,O,O,O,O
TIJSLZO,X,O,X,O,X
TIJSLOZ,O,O,X,O,X
TIJSZLO,O,O,O,O,X
TIJSZOL,O,O,O,O,X
TIJSOLZ,O,O,X,O,X
TIJSOZL,O,O,O,O,X
TIJZLSO,O,X,O,X,O
TIJZLOS,O,O,O,O,O
TIJZSLO,O,O,O,X,X
TIJZSOL,O,O,O,X,X
TIJZOLS,O,O,O,O,O
TIJZOSL,O,O,O,X,X
TIJOLSZ,O,O,X,O,O
TIJOLZS,O,O,O,O,O
TIJOSLZ,O,O,X,O,X
TIJOSZL,O,O,O,O,X
TIJOZLS,O,O,O,O,O
TIJOZSL,O,O,O,X,X
TISLJZO,X,O,X,O,O
TISLJOZ,O,O,X,O,O
TISLZJO,X,O,X,O,O
TISLZOJ,X,O,X,O,O
TISLOJZ,O,O,X,O,O
TISLOZJ,X,O,X,O,O
TISJLZO,X,O,X,O,X
TISJLOZ,O,O,X,O,X
TISJZLO,O,O,O,O,X
TISJZOL,O,O,O,O,X
TISJOLZ,O,O,X,O,X
TISJOZL,O,O,O,O,X
TISZLJO,O,O,O,O,O
TISZLOJ,O,O,O,O,O
TISZJLO,O,O,O,O,X
TISZJOL,O,O,O,O,X
TISZOLJ,O,O,O,O,O
TISZOJL,O,O,O,O,X
TISOLJZ,O,O,X,O,O
TISOLZJ,X,O,X,O,O
TISOJLZ,O,O,X,O,X
TISOJZL,O,O,O,O,X
TISOZLJ,O,O,O,O,O
TISOZJL,O,O,O,O,X
TIZLJSO,O,X,O,X,O
TIZLJOS,O,O,O,O,O
TIZLSJO,O,X,O,O,O
TIZLSOJ,O,X,O,O,O
TIZLOJS,O,O,O,O,O
TIZLOSJ,O,X,O,O,O
TIZJLSO,O,X,O,X,O
TIZJLOS,O,O,O,O,O
TIZJSLO,O,O,O,X,X
TIZJSOL,O,O,O,X,X
TIZJOLS,O,O,O,O,O
TIZJOSL,O,O,O,X,X
TIZSLJO,O,O,O,O,O
TIZSLOJ,O,O,O,O,O
TIZSJLO,O,O,O,O,X
TIZSJOL,O,O,O,O,X
TIZSOLJ,O,O,O,O,O
TIZSOJL,O,O,O,O,X
TIZOLJS,O,O,O,O,O
TIZOLSJ,O,X,O,O,O
TIZOJLS,O,O,O,O,O
TIZOJSL,O,O,O,X,X
TIZOSLJ,O,O,O,O,O
TIZOSJL,O,O,O,O,X
TIOLJSZ,O,O,X,O,O
TIOLJZS,O,O,O,O,O
TIOLSJZ,O,O,X,O,O
TIOLSZJ,X,O,X,O,O
TIOLZJS,O,O,O,O,O
TIOLZSJ,O,X,O,O,O
TIOJLSZ,O,O,X,O,O
TIOJLZS,O,O,O,O,O
TIOJSLZ,O,O,X,O,X
TIOJSZL,O,O,O,O,X
TIOJZLS,O,O,O,O,O
TIOJZSL,O,O,O,X,X
TIOSLJZ,O,O,X,O,O
TIOSLZJ,X,O,X,O,O
TIOSJLZ,O,O,X,O,X
TIOSJZL,O,O,O,O,X
TIOSZLJ,O,O,O,O,O
TIOSZJL,O,O,O,O,X
TIOZLJS,O,O,O,O,O
TIOZLSJ,O,X,O,O,O
TIOZJLS,O,O,O,O,O
TIOZJSL,O,O,O,X,X
TIOZSLJ,O,O,O,O,O
TIOZSJL,O,O,O,O,X
TLIJSZO,X,O,X,O,O
TLIJSOZ,O,O,X,O,O
TLIJZSO,O,X,O,X,O
TLIJZOS,O,O,O,O,O
TLIJOSZ,O,O,X,O,O
TLIJOZS,O,O,O,O,O
TLISJZO,X,O,X,O,O
TLISJOZ,O,O,X,O,O
TLISZJO,X,O,X,O,O
TLISZOJ,X,O,X,O,O
TLISOJZ,O,O,X,O,O
TLISOZJ,X,O,X,O,O
TLIZJSO,O,X,O,X,O
TLIZJOS,O,O,O,O,O
TLIZSJO,O,X,O,O,O
TLIZSOJ,O,X,O,O,O
TLIZOJS,O,O,O,O,O
TLIZOSJ,O,X,O,O,O
TLIOJSZ,O,O,X,O,O
TLIOJZS,O,O,O,O,O
