sequence,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFTgBxhBfqBcsBCr?BlrB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhF6mBTiB2pB8qBXs?BFqB,v115@FhB8HeB8HeD8BeA8BeC8Je1FJvhFxhB0kBGnBikB3q?BzrB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFTiBxkBVrBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBxhBTnBFqB0r?BCrB,v115@FhB8HeB8HeD8BeA8BeC8Je2EJvhFfmBTiBxpBFsB6r?BUqB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhFzfBFiBcsBxqBGr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhFXgBTiBFqBxrBCr?B0rB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhF1pB0lBxmBGnBzr?B3qB,v115@FhB8HeB8HeD8BeA8BeC8JeOEJvhF8kBfmBxhBTqBCs?BFsB,v115@FhB8HeB8HeD8BeA8BeC8Jex/IvhFlhBTkB2qBCsBcs?B3qB,v115@FhB8HeB8HeD8BeA8BeC8Jei/IvhFWmB3kBTqBxrBcs?BlrB,v115@FhB8HeB8HeD8BeA8BeC8JeKEJvhF0gBxhBGnBlqBzr?BfqB,v115@FhB8HeB8HeD8BeA8BeC8JeGBJvhFxkBVrBTnBikBUq?BXsB,v115@FhB8HeB8HeD8BeA8BeC8JeFBJvhFTiBxkBSrB2pBXs?BUqB,v115@FhB8HeB8HeD8BeA8BeC8Jel/IvhF2pB0lBxmBqrBTn?B3qB
TILJSZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X
TILOJZS,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X
