sequence,v115@HhA8IeA8DeG8AeA8BeB8Lel/IvhFmhBRqBcqBftB6t?BTrB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFylBzhBfqBUrBGt?BFtB,v115@HhA8IeA8DeG8AeA8BeB8Lel/IvhFihBziBRqBcqB+t?B3rB,v115@HhA8IeA8DeG8AeA8BeB8Lel/IvhF2mBCjBRqBcqBTt?B3rB,v115@HhA8IeA8DeG8AeA8BeB8Le6EJvhFZlBFhBWoBfrB8r?BTtB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFzhBfqB0lBKrBGt?BFtB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFWoBfqB0lBlrBir?BTtB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFWoBfqB0lBirBlr?BTtB,v115@HhA8IeA8DeG8AeA8BeB8Le6EJvhFZlBFhBziBfrB8r?B+tB,v115@HhA8IeA8DeG8AeA8BeB8Lex/IvhFymBfqB0lBFtBTr?BGtB,v115@HhA8IeA8DeG8AeA8BeB8LeRBJvhFSoBzkBfrBlrBmp?BUtB,v115@HhA8IeA8DeG8AeA8BeB8LeSIJvhFzkBRmBfrBmpBlr?BUtB
TILJSZO,X,X,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,O,X,X,X,O,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,O,X,X,X
TILSZJO,X,X,X,X,O,X,X,X,O,X,X,X
TILSZOJ,X,X,X,X,O,X,X,X,O,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,X,X,X,O
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,O
TILOZJS,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,X,O,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,O,O,X,X,X,X
TIJSZOL,O,X,O,X,X,X,O,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,O,O,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,O,O,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,O,X,X,X,X,X,X,X,X
TIJZOSL,O,X,O,O,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X,X,X,X,X
TIJOSZL,X,X,O,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,O,X,X,X,X,X,X,X,X
TISLJZO,O,X,O,X,O,X,X,X,O,X,X,X
TISLJOZ,X,X,O,X,X,X,X,X,O,X,X,X
TISLZJO,O,X,O,X,O,X,X,X,O,X,X,X
TISLZOJ,O,X,O,X,O,X,X,X,O,X,X,X
TISLOJZ,O,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,O,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,O,X,O,X,O,X,X,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,O,X,X,X,O,O,X,X,X,X
TISJZOL,O,X,O,X,X,X,O,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,O,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,O,O,O,X,O,X,X
TISZLOJ,O,O,O,X,X,O,X,X,X,O,X,X
TISZJLO,O,O,O,X,X,O,O,O,X,O,X,X
TISZJOL,O,O,O,X,X,X,O,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X,O,X,X
TISZOJL,O,O,O,X,X,X,O,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,O,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSJO,O,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,X,O,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,O,O,X,X,X,X,X,X,X,X
TIZJSLO,O,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,O,X,O,O,X,X,X,X,X,X,X,X
TIZJOLS,O,X,O,O,X,X,X,X,X,X,X,X
TIZJOSL,O,X,O,O,X,X,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,X,O,O,X,X,X,X,X,X,X,X
TIZSOJL,O,X,O,O,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIZOJLS,O,X,O,O,X,X,X,X,X,X,X,X
TIZOJSL,O,X,O,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,O,X,X,X,X,X,X,X,X
TIZOSJL,O,X,O,O,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,X,X,O
TIOLSZJ,X,X,X,X,X,X,X,X,X,X,X,O
TIOLZJS,X,X,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,O,X,X,X,X,X,X,X,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZJLS,O,X,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,O,X,X,X,O,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,O,X,X,X
TLISZJO,X,X,X,X,O,X,X,X,O,X,X,X
TLISZOJ,X,X,X,X,O,X,X,X,O,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,X,X,X,O
TLIOSZJ,X,X,X,X,X,X,X,X,X,X,X,O
TLIOZJS,X,X,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJZO,X,X,X,X,O,X,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,X,X,X,X,O,X,X,X
TLSIZJO,X,X,X,X,O,X,X,X,O,X,X,X
TLSIZOJ,X,X,X,X,O,X,X,X,O,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,X,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,X,X,X,X,X,X,X,O,X,X
TLSZIOJ,X,X,X,X,X,X,X,X,X,O,X,X
TLSZJIO,X,X,X,X,X,X,X,X,X,O,X,X
