sequence,v115@RhA8AeB8EeG8BeB8Je/EJvhFUgBRhBGjBTmBisBlsB,v115@RhA8AeB8EeG8BeB8JeaGJvhFumB3iBcoBxkBlkBTsB,v115@RhA8AeB8EeG8BeB8Jex/IvhFcnBTjBlkBGmBimB3sB,v115@RhA8AeB8EeG8BeB8Je/EJvhFFgBxhBTjBUmBisBGsB,v115@RhA8AeB8EeG8BeB8Je/EJvhFRgBzhBmlBFoBCoBUsB,v115@RhA8AeB8EeG8BeB8Je/EJvhFUgBxiBimBFoBGmBTsB,v115@RhA8AeB8EeG8BeB8JeaGJvhFzhBWoBxkBlkBXoBUsB,v115@RhA8AeB8EeG8BeB8Je/EJvhFUgBamBTjBRsBGsBFsB,v115@RhA8AeB8EeG8BeB8Je2EJvhFFmBxnBClB0mBXoBTsB,v115@RhA8AeB8EeG8BeB8JeaGJvhFWoBxkBzmBlkBXoBUsB
TILJSZO,X,X,O,X,X,O,X,X,O,X
TILJSOZ,X,X,O,X,X,X,X,X,O,X
TILJZSO,X,O,X,X,X,X,X,X,O,X
TILJZOS,X,X,X,X,X,X,O,X,O,X
TILJOSZ,X,X,O,X,X,X,X,X,O,O
TILJOZS,X,O,X,X,X,X,X,X,O,O
TILSJZO,X,X,O,X,X,O,X,O,X,X
TILSJOZ,X,X,O,X,X,X,X,O,X,X
TILSZJO,X,X,O,X,X,O,X,O,X,X
TILSZOJ,X,X,O,X,X,O,X,O,X,X
TILSOJZ,X,X,O,X,X,X,X,O,X,X
TILSOZJ,X,X,O,X,X,O,X,O,X,X
TILZJSO,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X
TILZSJO,X,O,X,X,X,O,X,X,X,X
TILZSOJ,X,X,X,X,X,O,X,X,X,X
TILZOJS,X,O,X,X,X,X,O,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,X,O
TILOJZS,X,O,X,X,X,X,X,X,X,O
TILOSJZ,X,X,O,X,X,X,X,O,X,X
TILOSZJ,X,X,O,X,X,O,X,O,X,X
TILOZJS,X,O,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,O,X,X,O,X
TIJLSOZ,X,X,O,X,X,X,X,X,O,X
TIJLZSO,X,O,X,X,X,X,X,X,O,X
TIJLZOS,X,X,X,X,X,X,O,X,O,X
TIJLOSZ,X,X,O,X,X,X,X,X,O,O
TIJLOZS,X,O,X,X,X,X,X,X,O,O
TIJSLZO,X,X,O,X,O,O,X,X,O,X
TIJSLOZ,X,X,O,X,X,X,X,X,O,X
TIJSZLO,X,X,O,X,O,O,X,X,O,X
TIJSZOL,X,X,O,X,O,X,X,X,O,X
TIJSOLZ,X,X,O,X,X,X,X,X,O,X
TIJSOZL,X,X,O,X,O,X,X,X,O,X
TIJZLSO,X,O,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,X,X,X,O,X,O,X
TIJZSLO,X,O,O,X,O,X,X,X,O,X
TIJZSOL,X,X,O,X,O,X,X,X,O,X
TIJZOLS,X,X,X,X,X,X,O,X,O,X
TIJZOSL,X,X,O,X,O,X,X,X,O,X
TIJOLSZ,X,X,O,X,X,X,X,X,O,O
TIJOLZS,X,O,X,X,X,X,X,X,O,O
TIJOSLZ,X,X,O,X,X,X,X,X,O,X
TIJOSZL,X,X,O,X,X,X,X,X,O,X
TIJOZLS,X,O,X,X,X,X,X,X,O,X
TIJOZSL,X,O,O,X,X,X,X,X,O,X
TISLJZO,X,X,O,X,O,O,X,O,X,X
TISLJOZ,X,X,O,X,X,X,X,O,X,X
TISLZJO,X,X,O,X,X,O,X,O,X,X
TISLZOJ,X,X,O,X,X,O,X,O,X,X
TISLOJZ,X,X,O,X,X,X,X,O,X,X
TISLOZJ,X,X,O,X,X,O,X,O,X,X
TISJLZO,X,X,O,X,O,O,X,X,O,X
TISJLOZ,X,X,O,X,X,X,X,X,O,X
TISJZLO,X,X,O,X,O,O,X,X,O,X
TISJZOL,X,X,O,X,O,X,X,X,O,X
TISJOLZ,X,X,O,X,X,X,X,X,O,X
TISJOZL,X,X,O,X,O,X,X,X,O,X
TISZLJO,X,X,O,X,X,O,X,O,X,X
TISZLOJ,X,X,O,X,X,O,X,O,X,X
TISZJLO,X,X,O,X,O,O,X,X,X,X
TISZJOL,X,X,O,X,O,X,X,X,X,X
TISZOLJ,X,X,O,X,X,O,X,O,X,X
TISZOJL,X,X,O,X,O,X,X,X,X,X
TISOLJZ,X,X,O,X,X,X,X,O,X,X
TISOLZJ,X,X,O,X,X,O,X,O,X,X
TISOJLZ,X,X,O,X,X,X,X,X,X,X
TISOJZL,X,X,O,X,O,X,X,X,X,X
TISOZLJ,X,X,O,X,X,O,X,O,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X
TIZLJSO,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,O,X,X,X
TIZLSJO,X,O,X,X,X,O,X,X,X,X
TIZLSOJ,X,X,X,X,X,O,X,X,X,X
TIZLOJS,X,O,X,X,X,X,O,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,X,X,O,X
TIZJLOS,X,X,X,X,X,X,O,X,O,X
TIZJSLO,X,O,O,X,O,X,X,X,O,X
TIZJSOL,X,X,O,X,O,X,X,X,O,X
TIZJOLS,X,X,X,X,X,X,O,X,O,X
TIZJOSL,X,X,O,X,O,X,X,X,O,X
TIZSLJO,X,O,O,X,X,O,X,X,X,X
TIZSLOJ,X,X,O,X,X,O,X,X,X,X
TIZSJLO,X,O,O,X,O,O,X,X,X,X
TIZSJOL,X,X,O,X,O,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,O,X,X,X,X
TIZSOJL,X,X,O,X,O,X,X,X,X,X
TIZOLJS,X,O,X,X,X,X,O,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,O,X,X,X
TIZOJSL,X,O,O,X,O,X,X,X,X,X
TIZOSLJ,X,O,O,X,X,X,X,X,X,X
TIZOSJL,X,O,O,X,O,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,X,X,O
TIOLJZS,X,O,X,X,X,X,X,X,X,O
TIOLSJZ,X,X,O,X,X,X,X,O,X,X
TIOLSZJ,X,X,O,X,X,O,X,O,X,X
TIOLZJS,X,O,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,X,X,O,O
TIOJLZS,X,O,X,X,X,X,X,X,O,O
TIOJSLZ,X,X,O,X,X,X,X,X,O,X
TIOJSZL,X,X,O,X,X,X,X,X,O,X
TIOJZLS,X,O,X,X,X,X,X,X,O,X
TIOJZSL,X,O,O,X,X,X,X,X,O,X
TIOSLJZ,X,X,O,X,X,X,X,O,X,X
TIOSLZJ,X,X,O,X,X,O,X,O,X,X
TIOSJLZ,X,X,O,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,X,X,O,X,X,O,X,O,X,X
TIOSZJL,X,X,O,X,X,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,X,X,X,X,X
TIOZSJL,X,O,O,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,O,X,X,O,X
TLIJSOZ,X,X,O,X,X,X,X,X,O,X
TLIJZSO,X,O,X,X,X,X,X,X,O,X
TLIJZOS,X,X,X,X,X,X,O,X,O,X
TLIJOSZ,X,X,O,X,X,X,X,X,O,O
TLIJOZS,X,O,X,X,X,X,X,X,O,O
TLISJZO,X,X,O,X,X,O,X,O,X,X
TLISJOZ,X,X,O,X,X,X,X,O,X,X
TLISZJO,X,X,O,X,X,O,X,O,X,X
TLISZOJ,X,X,O,X,X,O,X,O,X,X
TLISOJZ,X,X,O,X,X,X,X,O,X,X
TLISOZJ,X,X,O,X,X,O,X,O,X,X
TLIZJSO,X,O,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,X
TLIZSJO,X,O,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,X,O,X,X,X,X
TLIZOJS,X,O,X,X,X,X,O,X,X,X
TLIZOSJ,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,O,X,X,X,X,X,X,O
TLIOJZS,X,O,X,X,X,X,X,X,X,O
TLIOSJZ,X,X,O,X,X,X,X,O,X,X
TLIOSZJ,X,X,O,X,X,O,X,O,X,X
TLIOZJS,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,X,X,X
TLJISZO,X,X,O,X,X,O,X,X,O,X
TLJISOZ,X,X,O,X,X,X,X,X,O,X
TLJIZSO,X,O,X,X,X,X,X,X,O,X
TLJIZOS,X,X,X,X,X,X,O,X,O,X
TLJIOSZ,X,X,O,X,X,X,X,X,O,O
TLJIOZS,X,O,X,X,X,X,X,X,O,O
TLJSIZO,X,X,O,X,O,O,X,X,X,X
TLJSIOZ,X,X,O,X,X,X,X,X,X,X
TLJSZIO,O,X,O,X,O,O,X,X,X,X
TLJSZOI,O,X,O,X,O,O,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,O,X,X,X
TLJZSIO,X,O,X,X,O,X,X,X,X,X
TLJZSOI,X,X,X,X,O,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,O,X,X,X,X,X
TLJOISZ,O,X,O,X,X,X,X,X,X,O
TLJOIZS,X,O,X,X,X,X,X,X,X,O
TLJOSIZ,O,X,O,X,X,X,X,X,X,X
TLJOSZI,O,X,O,X,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X,X
TLSIJZO,X,X,O,X,O,O,X,O,X,X
TLSIJOZ,X,X,O,X,X,X,X,O,X,X
TLSIZJO,X,X,O,O,X,O,X,O,X,X
TLSIZOJ,X,X,O,O,X,O,X,O,X,X
TLSIOJZ,X,X,O,X,X,X,X,O,X,X
TLSIOZJ,X,X,O,O,X,O,X,O,X,X
TLSJIZO,X,X,O,X,O,O,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,X,X,X,X
TLSJZIO,O,X,O,O,O,O,X,X,X,X
TLSJZOI,O,X,O,O,O,O,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X,X,X,X
TLSJOZI,O,X,O,O,X,X,X,X,X,X
TLSZIJO,O,X,O,O,X,O,X,O,X,X
TLSZIOJ,X,X,O,O,X,O,X,O,X,X
TLSZJIO,O,X,O,O,O,O,X,X,X,X
TLSZJOI,O,X,O,O,O,O,X,X,X,X
TLSZOIJ,O,X,O,O,X,O,X,O,X,X
TLSZOJI,O,X,O,O,O,O,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X,O,X,X
TLSOIZJ,O,X,O,O,X,O,X,O,X,X
TLSOJIZ,O,X,O,X,X,X,X,X,X,X
TLSOJZI,O,X,O,O,X,X,X,X,X,X
TLSOZIJ,O,X,O,O,X,O,X,O,X,X
TLSOZJI,O,X,O,O,X,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,O,X,X,X
TLZISJO,X,O,X,O,X,O,X,X,X,X
TLZISOJ,X,X,X,O,X,O,X,X,X,X
TLZIOJS,X,O,X,X,X,X,O,X,X,X
TLZIOSJ,X,O,X,O,X,X,X,X,X,X
TLZJISO,X,O,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,O,X,X,X
TLZJSIO,X,O,X,X,O,X,X,X,X,X
TLZJSOI,X,X,X,X,O,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,O,X,X,X
TLZJOSI,X,X,X,X,O,X,X,X,X,X
TLZSIJO,X,O,X,O,X,O,X,X,X,X
TLZSIOJ,X,X,X,O,X,O,X,X,X,X
TLZSJIO,X,O,X,O,O,O,X,X,X,X
TLZSJOI,X,X,X,O,O,O,X,X,X,X
TLZSOIJ,X,X,X,O,X,O,X,X,X,X
TLZSOJI,X,X,X,O,O,O,X,X,X,X
TLZOIJS,X,O,X,X,X,X,O,X,X,X
TLZOISJ,X,O,X,O,X,X,X,X,X,X
TLZOJIS,X,O,X,X,X,X,O,X,X,X
TLZOJSI,X,O,X,X,O,X,X,X,X,X
TLZOSIJ,X,O,X,O,X,X,X,X,X,X
TLZOSJI,X,O,X,O,O,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,X,X,X,O
TLOIJZS,X,O,X,X,X,X,X,X,X,O
TLOISJZ,O,X,O,X,X,X,X,O,X,X
TLOISZJ,O,X,O,X,X,O,X,O,X,X
TLOIZJS,X,O,X,X,X,X,X,X,X,X
TLOIZSJ,X,O,X,X,X,X,X,X,X,X
TLOJISZ,O,X,O,X,X,X,X,X,X,O
TLOJIZS,X,O,X,X,X,X,X,X,X,O
