sequence,v115@RhD8FeF8AeB8KeT/IvhFxgBXiBmlBUoBFsB6tB,v115@RhD8FeF8AeB8KeT/IvhFigBmiB5oBUmB1sBfsB,v115@RhD8FeF8AeB8KeT/IvhF2lBxiBfsB0nB6tBFrB,v115@RhD8FeF8AeB8KeT/IvhF2lBRhB3mBcsB6tBFtB,v115@RhD8FeF8AeB8KeT/IvhF2lBynB5oBfsBFrB0sB,v115@RhD8FeF8AeB8KeT/IvhF2lBfsBxnBFmB0nB6tB
TOSILJZ,X,X,X,X,O,X
TOSILZJ,X,O,X,X,X,X
TOSIJLZ,O,X,X,X,O,O
TOSIJZL,O,X,X,X,X,O
TOSIZLJ,X,O,X,X,X,X
TOSIZJL,O,O,X,X,X,X
TOSLIJZ,X,X,X,X,O,X
TOSLIZJ,X,O,X,X,X,X
TOSLJIZ,O,X,X,X,O,X
TOSLJZI,O,X,O,X,X,X
TOSLZIJ,X,O,O,X,X,X
TOSLZJI,O,X,O,X,X,X
TOSJILZ,O,X,X,X,O,O
TOSJIZL,O,X,X,X,X,O
TOSJLIZ,O,X,X,X,O,X
TOSJLZI,O,X,O,X,X,X
TOSJZIL,O,X,X,X,X,X
TOSJZLI,O,X,O,X,X,X
TOSZILJ,X,O,X,X,X,X
TOSZIJL,O,O,X,X,X,X
TOSZLIJ,X,O,O,X,X,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,X,X,X,X,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,X,O,X,X,X,X
TOZILSJ,X,O,X,X,X,X
TOZIJLS,O,O,X,X,X,X
TOZIJSL,O,O,X,X,X,X
TOZISLJ,X,O,X,X,X,X
TOZISJL,O,O,X,X,X,X
TOZLIJS,X,O,X,X,X,X
TOZLISJ,X,O,X,X,X,X
TOZLJIS,O,O,X,X,X,X
TOZLJSI,O,X,X,O,X,X
TOZLSIJ,X,O,X,O,X,X
TOZLSJI,O,X,X,O,X,X
TOZJILS,O,O,X,X,X,X
TOZJISL,O,O,X,X,X,X
TOZJLIS,O,O,X,X,X,X
TOZJLSI,O,X,X,O,X,X
TOZJSIL,O,X,X,O,X,X
TOZJSLI,O,X,X,O,X,X
TOZSILJ,X,O,X,O,X,X
TOZSIJL,O,O,X,O,X,X
TOZSLIJ,X,O,X,O,X,X
TOZSLJI,O,X,X,O,X,X
TOZSJIL,O,X,X,O,X,X
TOZSJLI,O,X,X,O,X,X
ITLJSZO,X,X,X,X,X,X
ITLJSOZ,X,X,X,X,X,X
ITLJZSO,X,O,X,X,X,X
ITLJZOS,X,O,X,X,X,X
ITLJOSZ,X,X,X,X,X,X
ITLJOZS,X,O,X,X,X,X
ITLSJZO,X,X,X,X,X,X
ITLSJOZ,X,X,X,X,X,X
ITLSZJO,X,O,X,X,X,X
ITLSZOJ,X,O,X,X,X,X
ITLSOJZ,X,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,X
ITLZJSO,X,O,X,X,X,X
ITLZJOS,X,O,X,X,X,X
ITLZSJO,X,O,X,X,X,X
ITLZSOJ,X,O,X,X,X,X
ITLZOJS,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,X,X
ITLOJSZ,X,X,X,X,X,X
ITLOJZS,X,O,X,X,X,X
ITLOSJZ,X,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X
ITLOZJS,X,O,X,X,X,X
ITLOZSJ,X,O,X,X,X,X
ITJLSZO,O,X,X,X,X,X
ITJLSOZ,O,X,X,X,X,X
ITJLZSO,O,O,X,X,X,X
ITJLZOS,O,O,X,X,X,X
ITJLOSZ,O,X,X,X,X,X
ITJLOZS,O,O,X,X,X,X
ITJSLZO,O,X,X,X,X,X
ITJSLOZ,O,X,X,X,O,X
ITJSZLO,O,X,X,X,X,X
ITJSZOL,O,X,X,X,X,X
ITJSOLZ,O,X,X,X,O,X
ITJSOZL,O,X,X,X,X,X
ITJZLSO,O,O,X,X,X,X
ITJZLOS,O,O,X,X,X,X
ITJZSLO,O,O,X,X,X,X
ITJZSOL,O,O,X,X,X,X
ITJZOLS,O,O,X,X,X,X
ITJZOSL,O,O,X,X,X,X
ITJOLSZ,O,X,X,X,X,X
ITJOLZS,O,O,X,X,X,X
ITJOSLZ,O,X,X,X,O,X
ITJOSZL,O,X,X,X,X,X
ITJOZLS,O,O,X,X,X,X
ITJOZSL,O,O,X,X,X,X
ITSLJZO,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,O,X
ITSLZJO,O,O,X,X,X,X
ITSLZOJ,X,O,X,X,X,X
ITSLOJZ,X,X,X,X,O,X
ITSLOZJ,X,O,X,X,X,X
ITSJLZO,O,X,X,X,X,X
ITSJLOZ,O,X,X,X,O,X
ITSJZLO,O,X,X,X,X,X
ITSJZOL,O,X,X,X,X,X
ITSJOLZ,O,X,X,X,O,X
ITSJOZL,O,X,X,X,X,X
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,X,O,X,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,X,X,X,X
ITSZOLJ,X,O,X,X,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,X,X,X,X,O,X
ITSOLZJ,X,O,X,X,X,X
ITSOJLZ,O,X,X,X,O,X
ITSOJZL,O,X,X,X,X,X
ITSOZLJ,X,O,X,X,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,X,O,X,X,X,X
ITZLJOS,X,O,X,X,X,X
ITZLSJO,X,O,X,X,X,X
ITZLSOJ,X,O,X,X,X,X
ITZLOJS,X,O,X,X,X,X
ITZLOSJ,X,O,X,X,X,X
ITZJLSO,O,O,X,X,X,X
ITZJLOS,O,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,X,X,X,X
ITZJOLS,O,O,X,X,X,X
ITZJOSL,O,O,X,X,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,X,O,X,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,X,X,X,X
ITZSOLJ,X,O,X,X,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,X,O,X,X,X,X
ITZOLSJ,X,O,X,X,X,X
ITZOJLS,O,O,X,X,X,X
ITZOJSL,O,O,X,X,X,X
ITZOSLJ,X,O,X,X,X,X
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,X,X,X,X,X,X
ITOLJZS,X,O,X,X,X,X
ITOLSJZ,X,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X
ITOLZJS,X,O,X,X,X,X
ITOLZSJ,X,O,X,X,X,X
ITOJLSZ,O,X,X,X,X,X
ITOJLZS,O,O,X,X,X,X
ITOJSLZ,O,X,X,X,O,X
ITOJSZL,O,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X
ITOJZSL,O,O,X,X,X,X
ITOSLJZ,X,X,X,X,O,X
ITOSLZJ,X,O,X,X,X,X
ITOSJLZ,O,X,X,X,O,X
ITOSJZL,O,X,X,X,X,X
ITOSZLJ,X,O,X,X,X,X
ITOSZJL,O,O,X,X,X,X
ITOZLJS,X,O,X,X,X,X
ITOZLSJ,X,O,X,X,X,X
ITOZJLS,O,O,X,X,X,X
ITOZJSL,O,O,X,X,X,X
ITOZSLJ,X,O,X,X,X,X
ITOZSJL,O,O,X,X,X,X
ILTJSZO,X,X,X,X,X,X
ILTJSOZ,X,X,X,X,X,X
ILTJZSO,X,O,X,X,X,X
ILTJZOS,X,O,X,X,X,X
ILTJOSZ,X,X,X,X,X,X
ILTJOZS,X,O,X,X,X,X
ILTSJZO,X,X,X,X,X,X
ILTSJOZ,X,X,X,X,X,X
ILTSZJO,X,O,X,X,X,X
ILTSZOJ,X,O,X,X,X,X
ILTSOJZ,X,X,X,X,X,X
ILTSOZJ,X,O,X,X,X,X
ILTZJSO,X,O,X,X,X,X
ILTZJOS,X,O,X,X,X,X
ILTZSJO,X,O,X,X,X,X
ILTZSOJ,X,O,X,X,X,X
ILTZOJS,X,O,X,X,X,X
ILTZOSJ,X,O,X,X,X,X
ILTOJSZ,X,X,X,X,X,X
ILTOJZS,X,O,X,X,X,X
ILTOSJZ,X,X,X,X,X,X
ILTOSZJ,X,O,X,X,X,X
ILTOZJS,X,O,X,X,X,X
ILTOZSJ,X,O,X,X,X,X
ILJTSZO,X,X,X,X,X,X
ILJTSOZ,X,X,X,X,X,X
ILJTZSO,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,X,X,X,X,X,X
ILJTOZS,X,O,X,X,X,X
ILJSTZO,X,X,X,X,X,X
ILJSTOZ,X,X,X,X,O,X
ILJSZTO,X,X,O,X,X,X
ILJSZOT,X,X,O,X,O,X
ILJSOTZ,X,X,X,X,O,X
ILJSOZT,X,X,O,X,O,X
ILJZTSO,X,O,X,X,X,X
ILJZTOS,X,O,X,X,X,X
ILJZSTO,X,X,X,O,X,X
ILJZSOT,X,X,X,O,X,X
ILJZOTS,X,O,X,X,X,X
ILJZOST,X,X,X,O,X,X
ILJOTSZ,X,X,X,X,X,X
ILJOTZS,X,O,X,X,X,X
ILJOSTZ,X,X,X,X,O,X
ILJOSZT,X,X,O,X,O,X
ILJOZTS,X,O,X,X,X,X
ILJOZST,X,X,X,O,X,X
ILSTJZO,X,X,X,X,X,X
ILSTJOZ,X,X,X,X,O,X
ILSTZJO,X,O,X,X,X,X
ILSTZOJ,X,O,X,X,X,X
ILSTOJZ,X,X,X,X,O,X
ILSTOZJ,X,O,X,X,X,X
ILSJTZO,X,X,X,X,X,X
ILSJTOZ,X,X,X,X,O,X
ILSJZTO,X,X,O,X,X,X
ILSJZOT,X,X,O,X,O,X
ILSJOTZ,X,X,X,X,O,X
ILSJOZT,X,X,O,X,O,X
ILSZTJO,X,O,O,X,X,X
ILSZTOJ,X,O,O,X,X,X
ILSZJTO,X,X,O,X,X,X
ILSZJOT,X,X,O,X,O,X
ILSZOTJ,X,O,O,X,X,X
ILSZOJT,X,X,O,X,O,X
ILSOTJZ,X,X,X,X,O,X
ILSOTZJ,X,O,X,X,X,X
ILSOJTZ,X,X,X,X,O,X
ILSOJZT,X,X,O,X,O,X
ILSOZTJ,X,O,O,X,X,X
ILSOZJT,X,X,O,X,O,X
ILZTJSO,X,O,X,X,X,X
ILZTJOS,X,O,X,X,X,X
ILZTSJO,X,O,X,X,X,X
ILZTSOJ,X,O,X,X,X,X
ILZTOJS,X,O,X,X,X,X
ILZTOSJ,X,O,X,X,X,X
ILZJTSO,X,O,X,X,X,X
ILZJTOS,X,O,X,X,X,X
ILZJSTO,X,X,X,O,X,X
ILZJSOT,X,X,X,O,X,X
ILZJOTS,X,O,X,X,X,X
ILZJOST,X,X,X,O,X,X
ILZSTJO,X,O,X,O,X,X
ILZSTOJ,X,O,X,O,X,X
ILZSJTO,X,X,X,O,X,X
ILZSJOT,X,X,X,O,X,X
ILZSOTJ,X,O,X,O,X,X
ILZSOJT,X,X,X,O,X,X
ILZOTJS,X,O,X,X,X,X
ILZOTSJ,X,O,X,X,X,X
ILZOJTS,X,O,X,X,X,X
ILZOJST,X,X,X,O,X,X
ILZOSTJ,X,O,X,O,X,X
ILZOSJT,X,X,X,O,X,X
ILOTJSZ,X,X,X,X,X,X
ILOTJZS,X,O,X,X,X,X
ILOTSJZ,X,X,X,X,X,X
ILOTSZJ,X,O,X,X,X,X
ILOTZJS,X,O,X,X,X,X
ILOTZSJ,X,O,X,X,X,X
ILOJTSZ,X,X,X,X,X,X
ILOJTZS,X,O,X,X,X,X
ILOJSTZ,X,X,X,X,O,X
ILOJSZT,X,X,O,X,O,X
ILOJZTS,X,O,X,X,X,X
ILOJZST,X,X,X,O,X,X
ILOSTJZ,X,X,X,X,O,X
ILOSTZJ,X,O,X,X,X,X
ILOSJTZ,X,X,X,X,O,X
ILOSJZT,X,X,O,X,O,X
ILOSZTJ,X,O,O,X,X,X
ILOSZJT,X,X,O,X,O,X
ILOZTJS,X,O,X,X,X,X
ILOZTSJ,X,O,X,X,X,X
ILOZJTS,X,O,X,X,X,X
ILOZJST,X,X,X,O,X,X
ILOZSTJ,X,O,X,O,X,X
ILOZSJT,X,X,X,O,X,X
IJTLSZO,O,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X
IJTLZSO,O,O,X,X,X,X
IJTLZOS,O,O,X,X,X,X
IJTLOSZ,O,X,X,X,X,X
IJTLOZS,O,O,X,X,X,X
IJTSLZO,O,X,X,X,X,X
IJTSLOZ,O,X,X,X,O,X
IJTSZLO,O,X,X,X,X,X
IJTSZOL,O,X,X,X,X,X
IJTSOLZ,O,X,X,X,O,X
IJTSOZL,O,X,X,X,X,X
IJTZLSO,O,O,X,X,X,X
IJTZLOS,O,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X
IJTZSOL,O,O,X,X,X,X
IJTZOLS,O,O,X,X,X,X
IJTZOSL,O,O,X,X,X,X
IJTOLSZ,O,X,X,X,X,X
IJTOLZS,O,O,X,X,X,X
IJTOSLZ,O,X,X,X,O,X
IJTOSZL,O,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X
IJTOZSL,O,O,X,X,X,X
IJLTSZO,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,X,X
IJLTZSO,O,O,X,X,X,X
IJLTZOS,O,O,X,X,X,X
IJLTOSZ,O,X,X,X,X,X
IJLTOZS,O,O,X,X,X,X
IJLSTZO,X,X,X,X,X,X
IJLSTOZ,X,X,X,X,O,X
IJLSZTO,X,X,O,X,X,X
IJLSZOT,X,X,O,X,O,X
IJLSOTZ,X,X,X,X,O,X
IJLSOZT,X,X,O,X,O,X
IJLZTSO,X,O,X,X,X,X
IJLZTOS,X,O,X,X,X,X
IJLZSTO,X,X,X,O,X,X
IJLZSOT,X,X,X,O,X,X
IJLZOTS,X,O,X,X,X,X
IJLZOST,X,X,X,O,X,X
IJLOTSZ,O,X,X,X,X,X
IJLOTZS,O,O,X,X,X,X
IJLOSTZ,X,X,X,X,O,X
IJLOSZT,X,X,O,X,O,X
IJLOZTS,X,O,X,X,X,X
IJLOZST,X,X,X,O,X,X
IJSTLZO,O,X,X,X,X,X
IJSTLOZ,O,X,X,X,O,X
IJSTZLO,O,X,X,X,X,X
IJSTZOL,O,X,X,X,X,X
IJSTOLZ,O,X,X,X,O,O
IJSTOZL,O,X,X,X,X,O
IJSLTZO,X,X,X,X,X,X
IJSLTOZ,X,X,X,X,O,X
IJSLZTO,X,X,O,X,X,X
IJSLZOT,X,X,O,X,O,X
IJSLOTZ,X,X,X,X,O,O
IJSLOZT,X,X,O,X,O,O
IJSZTLO,X,X,X,X,X,X
IJSZTOL,X,X,X,X,X,X
IJSZLTO,X,X,O,X,X,X
IJSZLOT,X,X,O,X,O,X
IJSZOTL,X,X,X,X,X,O
IJSZOLT,X,X,O,X,O,O
IJSOTLZ,O,X,X,X,O,O
IJSOTZL,O,X,X,X,X,O
IJSOLTZ,X,X,X,X,O,O
IJSOLZT,X,X,O,X,O,O
IJSOZTL,X,X,X,X,X,O
IJSOZLT,X,X,O,X,O,O
IJZTLSO,O,O,X,X,X,X
IJZTLOS,O,O,X,X,X,X
IJZTSLO,O,O,X,X,X,X
IJZTSOL,O,O,X,X,X,X
IJZTOLS,O,O,X,X,X,X
IJZTOSL,O,O,X,X,X,X
IJZLTSO,X,O,X,X,X,X
IJZLTOS,X,O,X,X,X,X
IJZLSTO,X,X,X,O,X,X
IJZLSOT,X,X,X,O,X,X
IJZLOTS,X,O,X,X,X,X
IJZLOST,X,X,X,O,X,X
IJZSTLO,X,X,X,O,X,X
IJZSTOL,X,X,X,O,X,X
IJZSLTO,X,X,X,O,X,X
IJZSLOT,X,X,X,O,O,X
IJZSOTL,X,X,X,O,X,X
IJZSOLT,X,X,X,O,O,X
IJZOTLS,O,O,X,X,X,X
IJZOTSL,O,O,X,X,X,X
IJZOLTS,X,O,X,X,X,X
IJZOLST,X,X,X,O,X,X
IJZOSTL,X,X,X,O,X,X
IJZOSLT,X,X,X,O,O,X
IJOTLSZ,O,X,X,X,X,X
IJOTLZS,O,O,X,X,X,X
IJOTSLZ,O,X,X,X,O,X
IJOTSZL,O,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X
IJOTZSL,O,O,X,X,X,X
IJOLTSZ,O,X,X,X,X,X
IJOLTZS,O,O,X,X,X,X
IJOLSTZ,X,X,X,X,O,X
IJOLSZT,X,X,O,X,O,X
IJOLZTS,X,O,X,X,X,X
IJOLZST,X,X,X,O,X,X
IJOSTLZ,O,X,X,X,O,O
IJOSTZL,O,X,X,X,X,O
IJOSLTZ,X,X,X,X,O,O
IJOSLZT,X,X,O,X,O,O
IJOSZTL,X,X,X,X,X,O
IJOSZLT,X,X,O,X,O,O
IJOZTLS,O,O,X,X,X,X
IJOZTSL,O,O,X,X,X,X
IJOZLTS,X,O,X,X,X,X
IJOZLST,X,X,X,O,X,X
IJOZSTL,X,X,X,O,X,X
IJOZSLT,X,X,X,O,O,X
ISTLJZO,X,X,X,X,X,X
ISTLJOZ,X,X,X,X,O,X
ISTLZJO,X,O,X,X,X,X
ISTLZOJ,X,O,X,X,X,X
ISTLOJZ,X,X,X,X,O,X
ISTLOZJ,X,O,X,X,X,X
ISTJLZO,X,X,X,X,X,X
ISTJLOZ,X,X,X,X,O,X
ISTJZLO,X,X,X,X,X,X
ISTJZOL,X,X,X,X,X,X
ISTJOLZ,X,X,X,X,O,O
ISTJOZL,X,X,X,X,X,O
ISTZLJO,X,O,X,X,X,X
ISTZLOJ,X,O,X,X,X,X
ISTZJLO,X,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X
ISTZOLJ,X,O,X,X,X,X
ISTZOJL,X,O,X,X,X,X
ISTOLJZ,X,X,X,X,O,X
ISTOLZJ,X,O,X,X,X,X
ISTOJLZ,X,X,X,X,O,O
ISTOJZL,X,X,X,X,X,O
ISTOZLJ,X,O,X,X,X,X
ISTOZJL,X,O,X,X,X,X
ISLTJZO,X,X,X,X,X,X
ISLTJOZ,X,X,X,X,O,X
ISLTZJO,X,O,X,X,X,X
ISLTZOJ,X,O,X,X,X,X
ISLTOJZ,X,X,X,X,O,X
ISLTOZJ,X,O,X,X,X,X
ISLJTZO,X,X,X,X,X,X
ISLJTOZ,X,X,X,X,O,X
ISLJZTO,X,X,O,X,X,X
ISLJZOT,X,X,O,X,O,X
ISLJOTZ,X,X,X,X,O,O
ISLJOZT,X,X,O,X,O,O
ISLZTJO,X,O,O,X,X,X
ISLZTOJ,X,O,O,X,X,X
ISLZJTO,X,X,O,X,X,X
ISLZJOT,X,X,O,X,O,X
ISLZOTJ,X,O,O,X,X,X
ISLZOJT,X,X,O,X,O,X
ISLOTJZ,X,X,X,X,O,X
ISLOTZJ,X,O,X,X,X,X
ISLOJTZ,X,X,X,X,O,O
ISLOJZT,X,X,O,X,O,O
ISLOZTJ,X,O,O,X,X,X
ISLOZJT,X,X,O,X,O,X
ISJTLZO,X,X,X,X,X,X
ISJTLOZ,X,X,X,X,O,X
ISJTZLO,X,X,X,X,X,X
ISJTZOL,X,X,X,X,X,X
ISJTOLZ,X,X,X,X,O,O
ISJTOZL,X,X,X,X,X,O
ISJLTZO,X,X,X,X,X,X
ISJLTOZ,X,X,X,X,O,X
ISJLZTO,X,X,O,X,X,X
ISJLZOT,X,X,O,X,O,X
ISJLOTZ,X,X,X,X,O,O
ISJLOZT,X,X,O,X,O,O
ISJZTLO,X,X,X,X,X,X
ISJZTOL,X,X,X,X,X,X
ISJZLTO,X,X,O,X,X,X
ISJZLOT,X,X,O,X,O,X
ISJZOTL,X,X,X,X,X,O
ISJZOLT,X,X,O,X,O,O
ISJOTLZ,X,X,X,X,O,O
ISJOTZL,X,X,X,X,X,O
ISJOLTZ,X,X,X,X,O,O
ISJOLZT,X,X,O,X,O,O
ISJOZTL,X,X,X,X,X,O
ISJOZLT,X,X,O,X,O,O
ISZTLJO,X,O,X,X,X,X
ISZTLOJ,X,O,X,X,X,X
ISZTJLO,X,O,X,X,X,X
ISZTJOL,X,O,X,X,X,X
ISZTOLJ,X,O,X,X,X,X
ISZTOJL,X,O,X,X,X,X
ISZLTJO,X,O,O,X,X,X
ISZLTOJ,X,O,O,X,X,X
ISZLJTO,X,X,O,X,X,X
ISZLJOT,X,X,O,X,O,X
ISZLOTJ,X,O,O,X,X,X
ISZLOJT,X,X,O,X,O,X
ISZJTLO,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X
ISZJLTO,X,X,O,X,X,X
ISZJLOT,X,X,O,X,O,X
ISZJOTL,X,X,X,X,X,O
ISZJOLT,X,X,O,X,O,O
ISZOTLJ,X,O,X,X,X,X
ISZOTJL,X,O,X,X,X,X
ISZOLTJ,X,O,O,X,X,X
ISZOLJT,X,X,O,X,O,X
ISZOJTL,X,X,X,X,X,O
ISZOJLT,X,X,O,X,O,O
ISOTLJZ,X,X,X,X,O,X
ISOTLZJ,X,O,X,X,X,X
ISOTJLZ,X,X,X,X,O,O
ISOTJZL,X,X,X,X,X,O
ISOTZLJ,X,O,X,X,X,X
ISOTZJL,X,O,X,X,X,X
ISOLTJZ,X,X,X,X,O,X
ISOLTZJ,X,O,X,X,X,X
ISOLJTZ,X,X,X,X,O,O
ISOLJZT,X,X,O,X,O,O
ISOLZTJ,X,O,O,X,X,X
ISOLZJT,X,X,O,X,O,X
ISOJTLZ,X,X,X,X,O,O
ISOJTZL,X,X,X,X,X,O
ISOJLTZ,X,X,X,X,O,O
ISOJLZT,X,X,O,X,O,O
ISOJZTL,X,X,X,X,X,O
ISOJZLT,X,X,O,X,O,O
ISOZTLJ,X,O,X,X,X,X
ISOZTJL,X,O,X,X,X,X
ISOZLTJ,X,O,O,X,X,X
ISOZLJT,X,X,O,X,O,X
ISOZJTL,X,X,X,X,X,O
ISOZJLT,X,X,O,X,O,O
IZTLJSO,X,O,X,X,X,X
IZTLJOS,X,O,X,X,X,X
IZTLSJO,X,O,X,X,X,X
IZTLSOJ,X,O,X,X,X,X
IZTLOJS,X,O,X,X,X,X
IZTLOSJ,X,O,X,X,X,X
IZTJLSO,O,O,X,X,X,X
IZTJLOS,O,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,X,X,X,X
IZTJOLS,O,O,X,X,X,X
IZTJOSL,O,O,X,X,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,X,O,X,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,X,X,X,X
IZTSOLJ,X,O,X,X,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,X,O,X,X,X,X
IZTOLSJ,X,O,X,X,X,X
IZTOJLS,O,O,X,X,X,X
IZTOJSL,O,O,X,X,X,X
IZTOSLJ,X,O,X,X,X,X
IZTOSJL,O,O,X,X,X,X
IZLTJSO,X,O,X,X,X,X
IZLTJOS,X,O,X,X,X,X
IZLTSJO,X,O,X,X,X,X
IZLTSOJ,X,O,X,X,X,X
IZLTOJS,X,O,X,X,X,X
IZLTOSJ,X,O,X,X,X,X
IZLJTSO,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,X,X,X,O,X,X
IZLJSOT,X,X,X,O,X,X
IZLJOTS,X,O,X,X,X,X
IZLJOST,X,X,X,O,X,X
IZLSTJO,X,O,X,O,X,X
IZLSTOJ,X,O,X,O,X,X
IZLSJTO,X,X,X,O,X,X
IZLSJOT,X,X,X,O,X,X
IZLSOTJ,X,O,X,O,X,X
IZLSOJT,X,X,X,O,X,X
IZLOTJS,X,O,X,X,X,X
IZLOTSJ,X,O,X,X,X,X
IZLOJTS,X,O,X,X,X,X
IZLOJST,X,X,X,O,X,X
IZLOSTJ,X,O,X,O,X,X
IZLOSJT,X,X,X,O,X,X
IZJTLSO,O,O,X,X,X,X
IZJTLOS,O,O,X,X,X,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,X,X,X,X
IZJTOLS,O,O,X,X,X,X
IZJTOSL,O,O,X,X,X,X
IZJLTSO,X,O,X,X,X,X
IZJLTOS,X,O,X,X,X,X
IZJLSTO,X,X,X,O,X,X
IZJLSOT,X,X,X,O,X,X
IZJLOTS,X,O,X,X,X,X
IZJLOST,X,X,X,O,X,X
IZJSTLO,X,X,X,O,X,X
IZJSTOL,X,X,X,O,X,X
IZJSLTO,X,X,X,O,X,X
IZJSLOT,X,X,X,O,O,X
IZJSOTL,X,X,X,O,X,X
IZJSOLT,X,X,X,O,O,X
IZJOTLS,O,O,X,X,X,X
IZJOTSL,O,O,X,X,X,X
IZJOLTS,X,O,X,X,X,X
IZJOLST,X,X,X,O,X,X
IZJOSTL,X,X,X,O,X,X
IZJOSLT,X,X,X,O,O,X
IZSTLJO,X,O,X,O,X,X
IZSTLOJ,X,O,X,O,X,X
IZSTJLO,X,O,X,O,X,X
IZSTJOL,X,O,X,O,X,X
IZSTOLJ,X,O,X,O,X,X
IZSTOJL,X,O,X,O,X,X
IZSLTJO,X,O,X,O,X,X
IZSLTOJ,X,O,X,O,X,X
IZSLJTO,X,X,X,O,X,X
IZSLJOT,X,X,X,O,O,X
IZSLOTJ,X,O,X,O,X,X
IZSLOJT,X,X,X,O,O,X
IZSJTLO,X,X,X,O,X,X
IZSJTOL,X,X,X,O,X,X
IZSJLTO,X,X,X,O,X,X
IZSJLOT,X,X,X,O,O,X
IZSJOTL,X,X,X,O,X,X
IZSJOLT,X,X,X,O,O,X
IZSOTLJ,X,O,X,O,X,X
IZSOTJL,X,O,X,O,X,X
IZSOLTJ,X,O,X,O,X,X
IZSOLJT,X,X,X,O,O,X
IZSOJTL,X,X,X,O,X,X
IZSOJLT,X,X,X,O,O,X
IZOTLJS,X,O,X,X,X,X
IZOTLSJ,X,O,X,X,X,X
IZOTJLS,O,O,X,X,X,X
IZOTJSL,O,O,X,X,X,X
IZOTSLJ,X,O,X,X,X,X
IZOTSJL,O,O,X,X,X,X
IZOLTJS,X,O,X,X,X,X
IZOLTSJ,X,O,X,X,X,X
IZOLJTS,X,O,X,X,X,X
IZOLJST,X,X,X,O,X,X
IZOLSTJ,X,O,X,O,X,X
IZOLSJT,X,X,X,O,X,X
IZOJTLS,O,O,X,X,X,X
IZOJTSL,O,O,X,X,X,X
IZOJLTS,X,O,X,X,X,X
IZOJLST,X,X,X,O,X,X
IZOJSTL,X,X,X,O,X,X
IZOJSLT,X,X,X,O,O,X
IZOSTLJ,X,O,X,O,X,X
IZOSTJL,X,O,X,O,X,X
IZOSLTJ,X,O,X,O,X,X
IZOSLJT,X,X,X,O,O,X
IZOSJTL,X,X,X,O,X,X
IZOSJLT,X,X,X,O,O,X
IOTLJSZ,X,X,X,X,X,X
IOTLJZS,X,O,X,X,X,X
IOTLSJZ,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X
IOTLZJS,X,O,X,X,X,X
IOTLZSJ,X,O,X,X,X,X
IOTJLSZ,O,X,X,X,X,X
IOTJLZS,O,O,X,X,X,X
IOTJSLZ,O,X,X,X,O,X
IOTJSZL,O,X,X,X,X,X
IOTJZLS,O,O,X,X,X,X
IOTJZSL,O,O,X,X,X,X
IOTSLJZ,X,X,X,X,O,X
IOTSLZJ,X,O,X,X,X,X
IOTSJLZ,O,X,X,X,O,X
IOTSJZL,O,X,X,X,X,X
IOTSZLJ,X,O,X,X,X,X
IOTSZJL,O,O,X,X,X,X
IOTZLJS,X,O,X,X,X,X
IOTZLSJ,X,O,X,X,X,X
IOTZJLS,O,O,X,X,X,X
IOTZJSL,O,O,X,X,X,X
IOTZSLJ,X,O,X,X,X,X
IOTZSJL,O,O,X,X,X,X
IOLTJSZ,X,X,X,X,X,X
IOLTJZS,X,O,X,X,X,X
IOLTSJZ,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X
IOLTZJS,X,O,X,X,X,X
