sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
ITZJSOL,O,O,O,X
ITZJOLS,O,O,X,X
ITZJOSL,O,O,O,X
ITZSLJO,O,O,X,X
ITZSLOJ,O,O,X,X
ITZSJLO,O,O,X,X
ITZSJOL,O,O,X,X
ITZSOLJ,O,O,X,X
ITZSOJL,O,O,O,X
ITZOLJS,O,O,X,X
ITZOLSJ,O,O,X,X
ITZOJLS,O,O,X,X
ITZOJSL,O,O,O,X
ITZOSLJ,O,O,X,X
ITZOSJL,O,O,O,X
ITOLJSZ,O,O,O,X
ITOLJZS,O,O,X,O
ITOLSJZ,O,O,O,X
ITOLSZJ,O,O,X,X
ITOLZJS,O,O,X,O
ITOLZSJ,O,O,X,O
ITOJLSZ,X,O,O,X
ITOJLZS,X,O,X,O
ITOJSLZ,X,O,O,X
ITOJSZL,O,O,O,X
ITOJZLS,O,O,X,X
ITOJZSL,O,O,O,X
ITOSLJZ,O,O,O,X
ITOSLZJ,O,O,X,X
ITOSJLZ,O,O,O,X
ITOSJZL,O,O,O,X
ITOSZLJ,O,O,X,X
ITOSZJL,O,O,O,X
ITOZLJS,O,O,X,X
ITOZLSJ,O,O,X,X
ITOZJLS,O,O,X,X
ITOZJSL,O,O,O,X
ITOZSLJ,O,O,X,X
ITOZSJL,O,O,O,X
ILTJSZO,O,O,X,X
ILTJSOZ,O,O,O,X
ILTJZSO,O,O,X,O
ILTJZOS,O,O,X,O
ILTJOSZ,O,O,O,X
ILTJOZS,O,O,X,O
ILTSJZO,O,O,X,X
ILTSJOZ,O,O,X,X
ILTSZJO,O,O,X,X
ILTSZOJ,O,O,X,X
ILTSOJZ,O,O,O,X
ILTSOZJ,O,O,X,X
ILTZJSO,O,O,X,O
ILTZJOS,O,O,X,O
ILTZSJO,O,O,X,O
ILTZSOJ,O,O,X,O
ILTZOJS,O,O,X,O
ILTZOSJ,O,O,X,O
ILTOJSZ,O,O,O,X
ILTOJZS,O,O,X,O
ILTOSJZ,O,O,O,X
ILTOSZJ,O,O,X,X
ILTOZJS,O,O,X,O
ILTOZSJ,O,O,X,O
ILJTSZO,O,O,X,X
ILJTSOZ,O,O,O,X
ILJTZSO,O,O,X,O
ILJTZOS,O,O,X,O
ILJTOSZ,O,O,O,X
ILJTOZS,O,O,X,O
ILJSTZO,O,O,X,X
ILJSTOZ,O,O,O,X
ILJSZTO,O,X,X,O
ILJSZOT,O,X,X,O
ILJSOTZ,O,O,O,X
ILJSOZT,O,X,X,O
ILJZTSO,O,X,X,O
ILJZTOS,O,X,X,O
ILJZSTO,O,X,X,O
ILJZSOT,O,X,X,O
ILJZOTS,O,X,X,O
ILJZOST,O,X,X,O
ILJOTSZ,O,O,O,X
ILJOTZS,O,O,X,O
ILJOSTZ,O,O,O,X
ILJOSZT,O,X,X,O
ILJOZTS,O,X,X,O
ILJOZST,O,X,X,O
ILSTJZO,O,O,X,X
ILSTJOZ,O,O,X,X
ILSTZJO,O,O,X,X
ILSTZOJ,O,O,X,X
ILSTOJZ,O,O,X,X
ILSTOZJ,O,O,X,X
ILSJTZO,O,O,X,X
ILSJTOZ,O,O,X,X
ILSJZTO,O,X,X,O
ILSJZOT,O,X,X,O
ILSJOTZ,O,O,X,X
ILSJOZT,O,X,X,O
ILSZTJO,O,O,X,O
ILSZTOJ,O,O,X,O
ILSZJTO,O,X,X,O
ILSZJOT,O,X,X,O
ILSZOTJ,O,O,X,O
ILSZOJT,O,X,X,O
ILSOTJZ,O,O,X,X
ILSOTZJ,O,O,X,X
ILSOJTZ,O,O,X,X
ILSOJZT,O,X,X,O
ILSOZTJ,O,O,X,O
ILSOZJT,O,X,X,O
ILZTJSO,O,O,X,O
ILZTJOS,O,O,X,O
ILZTSJO,O,O,X,O
ILZTSOJ,O,O,X,O
ILZTOJS,O,O,X,O
ILZTOSJ,O,O,X,O
ILZJTSO,O,X,X,O
ILZJTOS,O,X,X,O
ILZJSTO,O,X,X,O
ILZJSOT,O,X,X,O
ILZJOTS,O,X,X,O
ILZJOST,O,X,X,O
ILZSTJO,O,O,X,O
ILZSTOJ,O,O,X,O
ILZSJTO,O,X,X,O
ILZSJOT,O,X,X,O
ILZSOTJ,O,O,X,O
ILZSOJT,O,X,X,O
ILZOTJS,O,O,X,O
ILZOTSJ,O,O,X,O
ILZOJTS,O,X,X,O
ILZOJST,O,X,X,O
ILZOSTJ,O,O,X,O
ILZOSJT,O,X,X,O
ILOTJSZ,O,O,O,X
ILOTJZS,O,O,X,O
ILOTSJZ,O,O,O,X
ILOTSZJ,O,O,X,X
ILOTZJS,O,O,X,O
ILOTZSJ,O,O,X,O
ILOJTSZ,O,O,O,X
ILOJTZS,O,O,X,O
ILOJSTZ,O,O,O,X
ILOJSZT,O,X,X,O
ILOJZTS,O,X,X,O
ILOJZST,O,X,X,O
ILOSTJZ,O,O,X,X
ILOSTZJ,O,O,X,X
ILOSJTZ,O,O,X,X
ILOSJZT,O,X,X,O
ILOSZTJ,O,O,X,O
ILOSZJT,O,X,X,O
ILOZTJS,O,O,X,O
ILOZTSJ,O,O,X,O
ILOZJTS,O,X,X,O
ILOZJST,O,X,X,O
ILOZSTJ,O,O,X,O
ILOZSJT,O,X,X,O
IJTLSZO,X,O,X,X
IJTLSOZ,X,O,O,X
IJTLZSO,X,O,X,O
IJTLZOS,X,O,X,O
IJTLOSZ,X,O,O,X
IJTLOZS,X,O,X,O
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,O,X
IJTSZLO,O,O,X,X
IJTSZOL,O,O,O,X
IJTSOLZ,X,O,O,X
IJTSOZL,O,O,O,X
IJTZLSO,O,O,X,X
IJTZLOS,O,O,X,X
IJTZSLO,O,O,X,X
IJTZSOL,O,O,O,X
IJTZOLS,O,O,X,X
IJTZOSL,O,O,O,X
IJTOLSZ,X,O,O,X
IJTOLZS,X,O,X,O
IJTOSLZ,X,O,O,X
IJTOSZL,O,O,O,X
IJTOZLS,O,O,X,X
IJTOZSL,O,O,O,X
IJLTSZO,O,O,X,X
IJLTSOZ,O,O,O,X
IJLTZSO,O,O,X,O
IJLTZOS,O,O,X,O
IJLTOSZ,O,O,O,X
IJLTOZS,O,O,X,O
IJLSTZO,O,O,X,X
IJLSTOZ,O,O,O,X
IJLSZTO,O,X,X,O
IJLSZOT,O,X,X,O
IJLSOTZ,O,O,O,X
IJLSOZT,O,X,X,O
IJLZTSO,O,X,X,O
IJLZTOS,O,X,X,O
IJLZSTO,O,X,X,O
IJLZSOT,O,X,X,O
IJLZOTS,O,X,X,O
IJLZOST,O,X,X,O
IJLOTSZ,O,O,O,X
IJLOTZS,O,O,X,O
IJLOSTZ,O,O,O,X
IJLOSZT,O,X,X,O
IJLOZTS,O,X,X,O
IJLOZST,O,X,X,O
IJSTLZO,O,O,X,X
IJSTLOZ,O,O,O,X
IJSTZLO,O,O,X,X
IJSTZOL,O,O,O,X
IJSTOLZ,O,O,O,X
IJSTOZL,O,O,O,X
IJSLTZO,O,O,X,X
IJSLTOZ,O,O,O,X
IJSLZTO,O,X,X,O
IJSLZOT,O,X,X,O
IJSLOTZ,O,O,O,X
IJSLOZT,O,X,X,O
IJSZTLO,O,X,X,X
IJSZTOL,O,X,O,X
IJSZLTO,O,X,X,X
IJSZLOT,O,X,X,X
IJSZOTL,O,X,O,X
IJSZOLT,O,X,X,X
IJSOTLZ,O,O,O,X
IJSOTZL,O,O,O,X
IJSOLTZ,O,O,O,X
IJSOLZT,O,X,X,O
IJSOZTL,O,X,O,X
IJSOZLT,O,X,X,X
IJZTLSO,O,X,X,X
IJZTLOS,O,X,X,X
IJZTSLO,O,X,X,X
IJZTSOL,O,X,O,X
IJZTOLS,O,X,X,X
IJZTOSL,O,X,O,X
IJZLTSO,O,X,X,O
IJZLTOS,O,X,X,O
IJZLSTO,O,X,X,O
IJZLSOT,O,X,X,O
IJZLOTS,O,X,X,O
IJZLOST,O,X,X,O
IJZSTLO,O,X,X,X
IJZSTOL,O,X,O,X
IJZSLTO,O,X,X,X
IJZSLOT,O,X,X,X
IJZSOTL,O,X,O,X
IJZSOLT,O,X,X,X
IJZOTLS,O,X,X,X
IJZOTSL,O,X,O,X
IJZOLTS,O,X,X,O
IJZOLST,O,X,X,O
IJZOSTL,O,X,O,X
IJZOSLT,O,X,X,X
IJOTLSZ,X,O,O,X
IJOTLZS,X,O,X,O
IJOTSLZ,X,O,O,X
IJOTSZL,O,O,O,X
IJOTZLS,O,O,X,X
IJOTZSL,O,O,O,X
IJOLTSZ,O,O,O,X
IJOLTZS,O,O,X,O
IJOLSTZ,O,O,O,X
IJOLSZT,O,X,X,O
IJOLZTS,O,X,X,O
IJOLZST,O,X,X,O
IJOSTLZ,O,O,O,X
IJOSTZL,O,O,O,X
IJOSLTZ,O,O,O,X
IJOSLZT,O,X,X,O
IJOSZTL,O,X,O,X
IJOSZLT,O,X,X,X
IJOZTLS,O,X,X,X
IJOZTSL,O,X,O,X
IJOZLTS,O,X,X,O
IJOZLST,O,X,X,O
IJOZSTL,O,X,O,X
IJOZSLT,O,X,X,X
ISTLJZO,O,O,X,X
ISTLJOZ,O,O,X,X
ISTLZJO,O,O,X,X
ISTLZOJ,O,O,X,X
ISTLOJZ,O,O,O,X
ISTLOZJ,O,O,X,X
ISTJLZO,O,O,X,X
ISTJLOZ,O,O,O,X
ISTJZLO,O,O,X,X
ISTJZOL,O,O,O,X
ISTJOLZ,O,O,O,X
ISTJOZL,O,O,O,X
ISTZLJO,O,O,X,X
ISTZLOJ,O,O,X,X
ISTZJLO,O,O,X,X
ISTZJOL,O,O,X,X
ISTZOLJ,O,O,X,X
ISTZOJL,O,O,O,X
ISTOLJZ,O,O,O,X
ISTOLZJ,O,O,X,X
ISTOJLZ,O,O,O,X
ISTOJZL,O,O,O,X
ISTOZLJ,O,O,X,X
ISTOZJL,O,O,O,X
ISLTJZO,O,O,X,X
ISLTJOZ,O,O,X,X
ISLTZJO,O,O,X,X
ISLTZOJ,O,O,X,X
ISLTOJZ,O,O,X,X
ISLTOZJ,O,O,X,X
ISLJTZO,O,O,X,X
ISLJTOZ,O,O,X,X
ISLJZTO,O,X,X,O
ISLJZOT,O,X,X,O
ISLJOTZ,O,O,X,X
ISLJOZT,O,X,X,O
ISLZTJO,O,O,X,O
ISLZTOJ,O,O,X,O
ISLZJTO,O,X,X,O
ISLZJOT,O,X,X,O
ISLZOTJ,O,O,X,O
ISLZOJT,O,X,X,O
ISLOTJZ,O,O,X,X
ISLOTZJ,O,O,X,X
ISLOJTZ,O,O,X,X
ISLOJZT,O,X,X,O
ISLOZTJ,O,O,X,O
ISLOZJT,O,X,X,O
ISJTLZO,O,O,X,X
ISJTLOZ,O,O,O,X
ISJTZLO,O,O,X,X
ISJTZOL,O,O,O,X
ISJTOLZ,O,O,O,X
ISJTOZL,O,O,O,X
ISJLTZO,O,O,X,X
ISJLTOZ,O,O,O,X
ISJLZTO,O,X,X,O
ISJLZOT,O,X,X,O
ISJLOTZ,O,O,O,X
ISJLOZT,O,X,X,O
ISJZTLO,O,X,X,X
ISJZTOL,O,X,O,X
ISJZLTO,O,X,X,X
ISJZLOT,O,X,X,X
ISJZOTL,O,X,O,X
ISJZOLT,O,X,X,X
ISJOTLZ,O,O,O,X
ISJOTZL,O,O,O,X
ISJOLTZ,O,O,O,X
ISJOLZT,O,X,X,O
ISJOZTL,O,X,O,X
ISJOZLT,O,X,X,X
ISZTLJO,O,O,X,X
ISZTLOJ,O,O,X,X
ISZTJLO,O,O,X,X
ISZTJOL,O,O,X,X
ISZTOLJ,O,O,X,X
ISZTOJL,O,O,X,X
ISZLTJO,O,O,X,X
ISZLTOJ,O,O,X,X
ISZLJTO,O,X,X,X
ISZLJOT,O,X,X,X
ISZLOTJ,O,O,X,X
ISZLOJT,O,X,X,X
ISZJTLO,O,X,X,X
ISZJTOL,O,X,X,X
ISZJLTO,O,X,X,X
ISZJLOT,O,X,X,X
ISZJOTL,O,X,X,X
ISZJOLT,O,X,X,X
ISZOTLJ,O,O,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,O,O,X,X
ISZOLJT,O,X,X,X
ISZOJTL,O,X,X,X
ISZOJLT,O,X,X,X
ISOTLJZ,O,O,O,X
ISOTLZJ,O,O,X,X
ISOTJLZ,O,O,O,X
ISOTJZL,O,O,O,X
ISOTZLJ,O,O,X,X
ISOTZJL,O,O,O,X
ISOLTJZ,O,O,X,X
ISOLTZJ,O,O,X,X
ISOLJTZ,O,O,X,X
ISOLJZT,O,X,X,O
ISOLZTJ,O,O,X,O
ISOLZJT,O,X,X,O
ISOJTLZ,O,O,O,X
ISOJTZL,O,O,O,X
ISOJLTZ,O,O,O,X
ISOJLZT,O,X,X,O
ISOJZTL,O,X,O,X
ISOJZLT,O,X,X,X
ISOZTLJ,O,O,X,X
ISOZTJL,O,O,X,X
ISOZLTJ,O,O,X,X
ISOZLJT,O,X,X,X
ISOZJTL,O,X,X,X
ISOZJLT,O,X,X,X
IZTLJSO,O,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,O,X,X
IZTLSOJ,O,O,X,X
IZTLOJS,O,O,X,X
IZTLOSJ,O,O,X,X
IZTJLSO,O,O,X,X
IZTJLOS,O,O,X,X
IZTJSLO,O,O,X,X
IZTJSOL,O,O,O,X
IZTJOLS,O,O,X,X
IZTJOSL,O,O,O,X
IZTSLJO,O,O,X,X
IZTSLOJ,O,O,X,X
IZTSJLO,O,O,X,X
IZTSJOL,O,O,X,X
IZTSOLJ,O,O,X,X
IZTSOJL,O,O,O,X
IZTOLJS,O,O,X,X
IZTOLSJ,O,O,X,X
IZTOJLS,O,O,X,X
IZTOJSL,O,O,O,X
IZTOSLJ,O,O,X,X
IZTOSJL,O,O,O,X
IZLTJSO,O,O,X,O
IZLTJOS,O,O,X,O
IZLTSJO,O,O,X,O
IZLTSOJ,O,O,X,O
IZLTOJS,O,O,X,O
IZLTOSJ,O,O,X,O
IZLJTSO,O,X,X,O
IZLJTOS,O,X,X,O
IZLJSTO,O,X,X,O
IZLJSOT,O,X,X,O
IZLJOTS,O,X,X,O
IZLJOST,O,X,X,O
IZLSTJO,O,O,X,O
IZLSTOJ,O,O,X,O
IZLSJTO,O,X,X,O
IZLSJOT,O,X,X,O
IZLSOTJ,O,O,X,O
IZLSOJT,O,X,X,O
IZLOTJS,O,O,X,O
IZLOTSJ,O,O,X,O
IZLOJTS,O,X,X,O
IZLOJST,O,X,X,O
IZLOSTJ,O,O,X,O
IZLOSJT,O,X,X,O
IZJTLSO,O,X,X,X
IZJTLOS,O,X,X,X
IZJTSLO,O,X,X,X
IZJTSOL,O,X,O,X
IZJTOLS,O,X,X,X
IZJTOSL,O,X,O,X
IZJLTSO,O,X,X,O
IZJLTOS,O,X,X,O
IZJLSTO,O,X,X,O
IZJLSOT,O,X,X,O
IZJLOTS,O,X,X,O
IZJLOST,O,X,X,O
IZJSTLO,O,X,X,X
IZJSTOL,O,X,O,X
IZJSLTO,O,X,X,X
IZJSLOT,O,X,X,X
IZJSOTL,O,X,O,X
IZJSOLT,O,X,X,X
IZJOTLS,O,X,X,X
IZJOTSL,O,X,O,X
IZJOLTS,O,X,X,O
IZJOLST,O,X,X,O
IZJOSTL,O,X,O,X
IZJOSLT,O,X,X,X
IZSTLJO,O,O,X,X
IZSTLOJ,O,O,X,X
IZSTJLO,O,O,X,X
IZSTJOL,O,O,X,X
IZSTOLJ,O,O,X,X
IZSTOJL,O,O,X,X
IZSLTJO,O,O,X,X
IZSLTOJ,O,O,X,X
IZSLJTO,O,X,X,X
IZSLJOT,O,X,X,X
IZSLOTJ,O,O,X,X
IZSLOJT,O,X,X,X
IZSJTLO,O,X,X,X
IZSJTOL,O,X,X,X
IZSJLTO,O,X,X,X
IZSJLOT,O,X,X,X
IZSJOTL,O,X,X,X
IZSJOLT,O,X,X,X
IZSOTLJ,O,O,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,O,O,X,X
IZSOLJT,O,X,X,X
IZSOJTL,O,X,X,X
IZSOJLT,O,X,X,X
IZOTLJS,O,O,X,X
IZOTLSJ,O,O,X,X
IZOTJLS,O,O,X,X
IZOTJSL,O,O,O,X
IZOTSLJ,O,O,X,X
IZOTSJL,O,O,O,X
IZOLTJS,O,O,X,O
IZOLTSJ,O,O,X,O
IZOLJTS,O,X,X,O
IZOLJST,O,X,X,O
IZOLSTJ,O,O,X,O
IZOLSJT,O,X,X,O
IZOJTLS,O,X,X,X
IZOJTSL,O,X,O,X
IZOJLTS,O,X,X,O
IZOJLST,O,X,X,O
IZOJSTL,O,X,O,X
IZOJSLT,O,X,X,X
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,X,X,X
IZOSJTL,O,X,X,X
IZOSJLT,O,X,X,X
IOTLJSZ,O,O,O,X
IOTLJZS,O,O,X,O
IOTLSJZ,O,O,O,X
IOTLSZJ,O,O,X,X
IOTLZJS,O,O,X,O
IOTLZSJ,O,O,X,O
IOTJLSZ,X,O,O,X
IOTJLZS,X,O,X,O
IOTJSLZ,X,O,O,X
IOTJSZL,O,O,O,X
IOTJZLS,O,O,X,X
IOTJZSL,O,O,O,X
IOTSLJZ,O,O,O,X
IOTSLZJ,O,O,X,X
IOTSJLZ,O,O,O,X
IOTSJZL,O,O,O,X
IOTSZLJ,O,O,X,X
IOTSZJL,O,O,O,X
IOTZLJS,O,O,X,X
IOTZLSJ,O,O,X,X
IOTZJLS,O,O,X,X
IOTZJSL,O,O,O,X
IOTZSLJ,O,O,X,X
IOTZSJL,O,O,O,X
IOLTJSZ,O,O,O,X
IOLTJZS,O,O,X,O
IOLTSJZ,O,O,O,X
IOLTSZJ,O,O,X,X
IOLTZJS,O,O,X,O
IOLTZSJ,O,O,X,O
IOLJTSZ,O,O,O,X
IOLJTZS,O,O,X,O
IOLJSTZ,O,O,O,X
IOLJSZT,O,X,X,O
IOLJZTS,O,X,X,O
IOLJZST,O,X,X,O
IOLSTJZ,O,O,X,X
IOLSTZJ,O,O,X,X
IOLSJTZ,O,O,X,X
IOLSJZT,O,X,X,O
IOLSZTJ,O,O,X,O
IOLSZJT,O,X,X,O
IOLZTJS,O,O,X,O
IOLZTSJ,O,O,X,O
IOLZJTS,O,X,X,O
IOLZJST,O,X,X,O
IOLZSTJ,O,O,X,O
IOLZSJT,O,X,X,O
IOJTLSZ,X,O,O,X
IOJTLZS,X,O,X,O
IOJTSLZ,X,O,O,X
IOJTSZL,O,O,O,X
IOJTZLS,O,O,X,X
IOJTZSL,O,O,O,X
IOJLTSZ,O,O,O,X
IOJLTZS,O,O,X,O
IOJLSTZ,O,O,O,X
IOJLSZT,O,X,X,O
IOJLZTS,O,X,X,O
IOJLZST,O,X,X,O
IOJSTLZ,O,O,O,X
IOJSTZL,O,O,O,X
IOJSLTZ,O,O,O,X
IOJSLZT,O,X,X,O
IOJSZTL,O,X,O,X
IOJSZLT,O,X,X,X
IOJZTLS,O,X,X,X
IOJZTSL,O,X,O,X
IOJZLTS,O,X,X,O
IOJZLST,O,X,X,O
IOJZSTL,O,X,O,X
IOJZSLT,O,X,X,X
IOSTLJZ,O,O,O,X
IOSTLZJ,O,O,X,X
IOSTJLZ,O,O,O,X
IOSTJZL,O,O,O,X
IOSTZLJ,O,O,X,X
IOSTZJL,O,O,O,X
IOSLTJZ,O,O,X,X
IOSLTZJ,O,O,X,X
IOSLJTZ,O,O,X,X
IOSLJZT,O,X,X,O
IOSLZTJ,O,O,X,O
IOSLZJT,O,X,X,O
IOSJTLZ,O,O,O,X
IOSJTZL,O,O,O,X
IOSJLTZ,O,O,O,X
IOSJLZT,O,X,X,O
IOSJZTL,O,X,O,X
IOSJZLT,O,X,X,X
IOSZTLJ,O,O,X,X
IOSZTJL,O,O,X,X
IOSZLTJ,O,O,X,X
IOSZLJT,O,X,X,X
IOSZJTL,O,X,X,X
IOSZJLT,O,X,X,X
IOZTLJS,O,O,X,X
IOZTLSJ,O,O,X,X
IOZTJLS,O,O,X,X
IOZTJSL,O,O,O,X
IOZTSLJ,O,O,X,X
IOZTSJL,O,O,O,X
IOZLTJS,O,O,X,O
IOZLTSJ,O,O,X,O
IOZLJTS,O,X,X,O
IOZLJST,O,X,X,O
IOZLSTJ,O,O,X,O
IOZLSJT,O,X,X,O
IOZJTLS,O,X,X,X
IOZJTSL,O,X,O,X
IOZJLTS,O,X,X,O
IOZJLST,O,X,X,O
IOZJSTL,O,X,O,X
IOZJSLT,O,X,X,X
IOZSTLJ,O,O,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,O,O,X,X
IOZSLJT,O,X,X,X
IOZSJTL,O,X,X,X
IOZSJLT,O,X,X,X
LTIJSZO,O,O,X,X
LTIJSOZ,O,O,O,X
LTIJZSO,O,O,X,O
LTIJZOS,O,O,X,O
LTIJOSZ,O,O,O,X
LTIJOZS,O,O,X,O
LTISJZO,O,O,X,X
LTISJOZ,O,O,X,X
LTISZJO,O,O,X,X
LTISZOJ,O,O,X,X
LTISOJZ,O,O,O,X
LTISOZJ,O,O,X,X
LTIZJSO,O,O,X,O
LTIZJOS,O,O,X,O
LTIZSJO,O,O,X,O
LTIZSOJ,O,O,X,O
LTIZOJS,O,O,X,O
LTIZOSJ,O,O,X,O
LTIOJSZ,O,O,O,X
LTIOJZS,O,O,X,O
LTIOSJZ,O,O,O,X
LTIOSZJ,O,O,X,X
LTIOZJS,O,O,X,O
LTIOZSJ,O,O,X,O
LTJISZO,O,O,X,X
LTJISOZ,O,O,O,X
LTJIZSO,O,O,X,O
LTJIZOS,O,O,X,O
LTJIOSZ,O,O,O,X
LTJIOZS,O,O,X,O
LTJSIZO,O,O,X,X
LTJSIOZ,O,O,O,X
LTJSZIO,O,O,X,X
LTJSZOI,O,O,X,X
LTJSOIZ,O,O,O,X
LTJSOZI,O,O,X,X
LTJZISO,O,O,X,O
LTJZIOS,O,O,X,O
LTJZSIO,O,O,X,O
LTJZSOI,O,O,X,O
LTJZOIS,O,O,X,O
LTJZOSI,O,O,X,O
LTJOISZ,O,O,O,X
LTJOIZS,O,O,X,O
LTJOSIZ,O,O,O,X
LTJOSZI,O,O,X,X
LTJOZIS,O,O,X,O
LTJOZSI,O,O,X,O
LTSIJZO,O,O,X,X
LTSIJOZ,O,O,X,X
LTSIZJO,O,O,X,X
LTSIZOJ,O,O,X,X
LTSIOJZ,O,O,O,X
LTSIOZJ,O,O,X,X
LTSJIZO,O,O,X,X
LTSJIOZ,O,O,X,X
LTSJZIO,O,O,X,X
LTSJZOI,O,O,X,X
LTSJOIZ,O,O,X,X
LTSJOZI,O,O,X,X
LTSZIJO,O,O,X,X
LTSZIOJ,O,O,X,X
LTSZJIO,O,O,X,X
LTSZJOI,O,O,X,X
LTSZOIJ,O,O,X,X
LTSZOJI,O,O,X,X
LTSOIJZ,O,O,O,X
LTSOIZJ,O,O,X,X
LTSOJIZ,O,O,X,X
LTSOJZI,O,O,X,X
LTSOZIJ,O,O,X,X
LTSOZJI,O,O,X,X
LTZIJSO,O,O,X,O
LTZIJOS,O,O,X,O
LTZISJO,O,O,X,O
LTZISOJ,O,O,X,O
LTZIOJS,O,O,X,O
LTZIOSJ,O,O,X,O
LTZJISO,O,O,X,O
LTZJIOS,O,O,X,O
LTZJSIO,O,O,X,O
LTZJSOI,O,O,X,O
LTZJOIS,O,O,X,O
LTZJOSI,O,O,X,O
LTZSIJO,O,O,X,O
LTZSIOJ,O,O,X,O
LTZSJIO,O,O,X,O
LTZSJOI,O,O,X,O
LTZSOIJ,O,O,X,O
LTZSOJI,O,O,X,O
LTZOIJS,O,O,X,O
LTZOISJ,O,O,X,O
LTZOJIS,O,O,X,O
LTZOJSI,O,O,X,O
LTZOSIJ,O,O,X,O
LTZOSJI,O,O,X,O
LTOIJSZ,O,O,O,X
LTOIJZS,O,O,X,O
LTOISJZ,O,O,O,X
LTOISZJ,O,O,X,X
LTOIZJS,O,O,X,O
LTOIZSJ,O,O,X,O
LTOJISZ,O,O,O,X
LTOJIZS,O,O,X,O
LTOJSIZ,O,O,O,X
LTOJSZI,O,O,X,X
LTOJZIS,O,O,X,O
LTOJZSI,O,O,X,O
LTOSIJZ,O,O,O,X
LTOSIZJ,O,O,X,X
LTOSJIZ,O,O,X,X
LTOSJZI,O,O,X,X
LTOSZIJ,O,O,X,X
LTOSZJI,O,O,X,X
LTOZIJS,O,O,X,O
LTOZISJ,O,O,X,O
LTOZJIS,O,O,X,O
LTOZJSI,O,O,X,O
LTOZSIJ,O,O,X,O
LTOZSJI,O,O,X,O
LITJSZO,O,O,X,X
LITJSOZ,O,O,O,X
LITJZSO,O,O,X,O
LITJZOS,O,O,X,O
LITJOSZ,O,O,O,X
LITJOZS,O,O,X,O
LITSJZO,O,O,X,X
LITSJOZ,O,O,X,X
LITSZJO,O,O,X,X
LITSZOJ,O,O,X,X
LITSOJZ,O,O,O,X
LITSOZJ,O,O,X,X
LITZJSO,O,O,X,O
LITZJOS,O,O,X,O
LITZSJO,O,O,X,O
LITZSOJ,O,O,X,O
LITZOJS,O,O,X,O
LITZOSJ,O,O,X,O
LITOJSZ,O,O,O,X
LITOJZS,O,O,X,O
LITOSJZ,O,O,O,X
LITOSZJ,O,O,X,X
LITOZJS,O,O,X,O
LITOZSJ,O,O,X,O
LIJTSZO,O,O,X,X
LIJTSOZ,O,O,O,X
LIJTZSO,O,O,X,O
LIJTZOS,O,O,X,O
LIJTOSZ,O,O,O,X
LIJTOZS,O,O,X,O
LIJSTZO,O,O,X,X
LIJSTOZ,O,O,O,X
LIJSZTO,O,X,X,O
LIJSZOT,O,X,X,O
LIJSOTZ,O,O,O,X
LIJSOZT,O,X,X,O
LIJZTSO,O,X,X,O
LIJZTOS,O,X,X,O
LIJZSTO,O,X,X,O
LIJZSOT,O,X,X,O
LIJZOTS,O,X,X,O
LIJZOST,O,X,X,O
LIJOTSZ,O,O,O,X
LIJOTZS,O,O,X,O
LIJOSTZ,O,O,O,X
LIJOSZT,O,X,X,O
LIJOZTS,O,X,X,O
LIJOZST,O,X,X,O
LISTJZO,O,O,X,X
LISTJOZ,O,O,X,X
LISTZJO,O,O,X,X
LISTZOJ,O,O,X,X
LISTOJZ,O,O,X,X
LISTOZJ,O,O,X,X
LISJTZO,O,O,X,X
LISJTOZ,O,O,X,X
LISJZTO,O,X,X,O
LISJZOT,O,X,X,O
LISJOTZ,O,O,X,X
LISJOZT,O,X,X,O
LISZTJO,O,O,X,O
LISZTOJ,O,O,X,O
LISZJTO,O,X,X,O
LISZJOT,O,X,X,O
LISZOTJ,O,O,X,O
LISZOJT,O,X,X,O
LISOTJZ,O,O,X,X
LISOTZJ,O,O,X,X
LISOJTZ,O,O,X,X
LISOJZT,O,X,X,O
LISOZTJ,O,O,X,O
LISOZJT,O,X,X,O
LIZTJSO,O,O,X,O
LIZTJOS,O,O,X,O
LIZTSJO,O,O,X,O
LIZTSOJ,O,O,X,O
LIZTOJS,O,O,X,O
LIZTOSJ,O,O,X,O
LIZJTSO,O,X,X,O
LIZJTOS,O,X,X,O
LIZJSTO,O,X,X,O
LIZJSOT,O,X,X,O
LIZJOTS,O,X,X,O
LIZJOST,O,X,X,O
LIZSTJO,O,O,X,O
LIZSTOJ,O,O,X,O
LIZSJTO,O,X,X,O
LIZSJOT,O,X,X,O
LIZSOTJ,O,O,X,O
