sequence,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFlgBumB3iB5?oB8qBywB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhF6lB3iB5oB0?mBVwBmrB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFXhB5oBFnBG?rB0qBisB,v115@JhA8EeA8AeC8DeB8AeC8DeB8KeT/IvhFmgBfnBliB5?oBqqB0rB
TLSZOJI,O,O,X,X
TLSOIJZ,O,O,O,X
TLSOIZJ,O,O,X,X
TLSOJIZ,O,O,X,X
TLSOJZI,O,O,X,X
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,X
TLZIJSO,O,O,X,O
TLZIJOS,O,O,X,O
TLZISJO,O,O,X,O
TLZISOJ,O,O,X,O
TLZIOJS,O,O,X,O
TLZIOSJ,O,O,X,O
TLZJISO,O,O,X,O
TLZJIOS,O,O,X,O
TLZJSIO,O,O,X,O
TLZJSOI,O,O,X,O
TLZJOIS,O,O,X,O
TLZJOSI,O,O,X,O
TLZSIJO,O,O,X,O
TLZSIOJ,O,O,X,O
TLZSJIO,O,O,X,O
TLZSJOI,O,O,X,O
TLZSOIJ,O,O,X,O
TLZSOJI,O,O,X,O
TLZOIJS,O,O,X,O
TLZOISJ,O,O,X,O
TLZOJIS,O,O,X,O
TLZOJSI,O,O,X,O
TLZOSIJ,O,O,X,O
TLZOSJI,O,O,X,O
TLOIJSZ,O,O,O,X
TLOIJZS,O,O,X,O
TLOISJZ,O,O,O,X
TLOISZJ,O,O,X,X
TLOIZJS,O,O,X,O
TLOIZSJ,O,O,X,O
TLOJISZ,O,O,O,X
TLOJIZS,O,O,X,O
TLOJSIZ,O,O,O,X
TLOJSZI,O,O,X,X
TLOJZIS,O,O,X,O
TLOJZSI,O,O,X,O
TLOSIJZ,O,O,O,X
TLOSIZJ,O,O,X,X
TLOSJIZ,O,O,X,X
TLOSJZI,O,O,X,X
TLOSZIJ,O,O,X,X
TLOSZJI,O,O,X,X
TLOZIJS,O,O,X,O
TLOZISJ,O,O,X,O
TLOZJIS,O,O,X,O
TLOZJSI,O,O,X,O
TLOZSIJ,O,O,X,O
TLOZSJI,O,O,X,O
TJILSZO,X,O,X,X
TJILSOZ,X,O,O,X
TJILZSO,X,O,X,O
TJILZOS,X,O,X,O
TJILOSZ,X,O,O,X
TJILOZS,X,O,X,O
TJISLZO,X,O,X,X
TJISLOZ,X,O,O,X
TJISZLO,O,O,X,X
TJISZOL,O,O,O,X
TJISOLZ,X,O,O,X
TJISOZL,O,O,O,X
TJIZLSO,O,O,X,X
TJIZLOS,O,O,X,X
TJIZSLO,O,O,X,X
TJIZSOL,O,O,O,X
TJIZOLS,O,O,X,X
TJIZOSL,O,O,O,X
TJIOLSZ,X,O,O,X
TJIOLZS,X,O,X,O
TJIOSLZ,X,O,O,X
TJIOSZL,O,O,O,X
TJIOZLS,O,O,X,X
TJIOZSL,O,O,O,X
TJLISZO,X,O,X,X
TJLISOZ,X,O,O,X
TJLIZSO,X,O,X,O
TJLIZOS,X,O,X,O
TJLIOSZ,X,O,O,X
TJLIOZS,X,O,X,O
TJLSIZO,X,O,X,X
TJLSIOZ,X,O,O,X
TJLSZIO,X,O,X,X
TJLSZOI,X,O,X,X
TJLSOIZ,X,O,O,X
TJLSOZI,X,O,X,X
TJLZISO,X,O,X,O
TJLZIOS,X,O,X,O
TJLZSIO,X,O,X,O
TJLZSOI,X,O,X,O
TJLZOIS,X,O,X,O
TJLZOSI,X,O,X,O
TJLOISZ,X,O,O,X
TJLOIZS,X,O,X,O
TJLOSIZ,X,O,O,X
TJLOSZI,X,O,X,X
TJLOZIS,X,O,X,O
TJLOZSI,X,O,X,O
TJSILZO,X,O,X,X
TJSILOZ,X,O,O,X
TJSIZLO,O,O,X,X
TJSIZOL,O,O,O,X
TJSIOLZ,X,O,O,X
TJSIOZL,O,O,O,X
TJSLIZO,X,O,X,X
TJSLIOZ,X,O,O,X
TJSLZIO,X,O,X,X
TJSLZOI,X,O,X,X
TJSLOIZ,X,O,O,X
TJSLOZI,X,O,X,X
TJSZILO,O,O,X,X
TJSZIOL,O,O,O,X
TJSZLIO,O,O,X,X
TJSZLOI,O,O,X,X
TJSZOIL,O,O,O,X
TJSZOLI,O,O,X,X
TJSOILZ,X,O,O,X
TJSOIZL,O,O,O,X
TJSOLIZ,X,O,O,X
TJSOLZI,X,O,X,X
TJSOZIL,O,O,O,X
TJSOZLI,O,O,X,X
TJZILSO,O,O,X,X
TJZILOS,O,O,X,X
TJZISLO,O,O,X,X
TJZISOL,O,O,O,X
TJZIOLS,O,O,X,X
TJZIOSL,O,O,O,X
TJZLISO,O,O,X,X
TJZLIOS,O,O,X,X
TJZLSIO,O,O,X,X
TJZLSOI,O,O,X,X
TJZLOIS,O,O,X,X
TJZLOSI,O,O,X,X
TJZSILO,O,O,X,X
TJZSIOL,O,O,O,X
TJZSLIO,O,O,X,X
TJZSLOI,O,O,X,X
TJZSOIL,O,O,O,X
TJZSOLI,O,O,X,X
TJZOILS,O,O,X,X
TJZOISL,O,O,O,X
TJZOLIS,O,O,X,X
TJZOLSI,O,O,X,X
TJZOSIL,O,O,O,X
TJZOSLI,O,O,X,X
TJOILSZ,X,O,O,X
TJOILZS,X,O,X,O
TJOISLZ,X,O,O,X
TJOISZL,O,O,O,X
TJOIZLS,O,O,X,X
TJOIZSL,O,O,O,X
TJOLISZ,X,O,O,X
TJOLIZS,X,O,X,O
TJOLSIZ,X,O,O,X
TJOLSZI,X,O,X,X
TJOLZIS,X,O,X,O
TJOLZSI,X,O,X,O
TJOSILZ,X,O,O,X
TJOSIZL,O,O,O,X
TJOSLIZ,X,O,O,X
TJOSLZI,X,O,X,X
TJOSZIL,O,O,O,X
TJOSZLI,O,O,X,X
TJOZILS,O,O,X,X
TJOZISL,O,O,O,X
TJOZLIS,O,O,X,X
TJOZLSI,O,O,X,X
TJOZSIL,O,O,O,X
TJOZSLI,O,O,X,X
TSILJZO,O,O,X,X
TSILJOZ,O,O,X,X
TSILZJO,O,O,X,X
TSILZOJ,O,O,X,X
TSILOJZ,O,O,O,X
TSILOZJ,O,O,X,X
TSIJLZO,O,O,X,X
TSIJLOZ,O,O,O,X
TSIJZLO,O,O,X,X
TSIJZOL,O,O,O,X
TSIJOLZ,O,O,O,X
TSIJOZL,O,O,O,X
TSIZLJO,O,O,X,X
TSIZLOJ,O,O,X,X
TSIZJLO,O,O,X,X
