sequence,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBCiBeoB5oBXn?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFqlBThBmiB5oB0n?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBumB3iB5oBys?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFulBcmBiiB5oBzn?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBcnBeoB5oBSr?B3rB
ITLZJSO,O,O,O,X,O
ITLZJOS,O,O,O,X,O
ITLZSJO,X,O,O,X,X
ITLZSOJ,X,O,O,X,X
ITLZOJS,O,O,O,X,O
ITLZOSJ,X,O,O,X,X
ITLOJSZ,X,X,X,O,O
ITLOJZS,X,O,X,X,O
ITLOSJZ,X,O,O,O,O
ITLOSZJ,X,O,O,O,X
ITLOZJS,X,O,O,X,O
ITLOZSJ,X,O,O,O,X
ITJLSZO,O,O,O,X,O
ITJLSOZ,O,O,O,X,O
ITJLZSO,O,O,O,X,O
ITJLZOS,O,O,O,X,O
ITJLOSZ,X,X,X,X,O
ITJLOZS,X,O,X,X,O
ITJSLZO,O,O,X,O,O
ITJSLOZ,O,O,X,X,O
ITJSZLO,O,O,X,O,O
ITJSZOL,O,O,X,O,X
ITJSOLZ,O,X,X,O,X
ITJSOZL,O,X,X,O,X
ITJZLSO,O,O,O,X,O
ITJZLOS,O,O,O,X,O
ITJZSLO,O,O,O,X,O
ITJZSOL,O,O,O,X,X
ITJZOLS,O,O,O,X,O
ITJZOSL,O,O,O,X,X
ITJOLSZ,X,X,X,O,O
ITJOLZS,X,X,X,X,O
ITJOSLZ,O,X,X,O,X
ITJOSZL,O,X,X,O,X
ITJOZLS,O,X,X,X,O
ITJOZSL,O,X,X,X,X
ITSLJZO,O,O,O,O,O
ITSLJOZ,O,O,O,X,O
ITSLZJO,O,O,O,O,X
ITSLZOJ,O,O,O,O,X
ITSLOJZ,X,O,O,O,O
ITSLOZJ,X,O,O,O,X
ITSJLZO,O,O,X,O,O
ITSJLOZ,O,O,X,X,O
ITSJZLO,O,O,X,O,O
ITSJZOL,O,O,X,O,X
ITSJOLZ,O,X,X,O,X
ITSJOZL,O,X,X,O,X
ITSZLJO,O,O,O,O,X
ITSZLOJ,O,O,O,O,X
ITSZJLO,O,O,O,O,X
ITSZJOL,O,O,O,O,X
ITSZOLJ,O,O,O,O,X
ITSZOJL,O,O,O,O,X
ITSOLJZ,X,O,X,O,X
ITSOLZJ,X,O,X,O,X
ITSOJLZ,X,X,X,O,X
ITSOJZL,X,X,X,O,X
ITSOZLJ,X,O,X,O,X
ITSOZJL,X,O,X,O,X
ITZLJSO,O,O,O,X,O
ITZLJOS,O,O,O,X,O
ITZLSJO,X,O,O,X,X
ITZLSOJ,X,O,O,X,X
ITZLOJS,O,O,O,X,O
ITZLOSJ,X,O,O,X,X
ITZJLSO,O,O,O,X,O
ITZJLOS,O,O,O,X,O
ITZJSLO,O,O,O,X,O
ITZJSOL,O,O,O,X,X
ITZJOLS,O,O,O,X,O
ITZJOSL,O,O,O,X,X
ITZSLJO,O,O,O,O,X
ITZSLOJ,O,O,O,O,X
ITZSJLO,O,O,O,O,X
ITZSJOL,O,O,O,O,X
ITZSOLJ,O,O,O,O,X
ITZSOJL,O,O,O,O,X
ITZOLJS,O,O,O,X,X
ITZOLSJ,X,O,O,O,X
ITZOJLS,O,O,O,X,X
ITZOJSL,O,O,O,X,X
ITZOSLJ,O,O,O,O,X
ITZOSJL,O,O,O,O,X
ITOLJSZ,X,X,X,O,O
ITOLJZS,X,O,X,X,O
ITOLSJZ,X,O,O,O,O
ITOLSZJ,X,O,O,O,X
ITOLZJS,X,O,O,X,O
ITOLZSJ,X,O,O,O,X
ITOJLSZ,X,X,X,O,O
ITOJLZS,X,X,X,X,O
ITOJSLZ,O,X,X,O,X
ITOJSZL,O,X,X,O,X
ITOJZLS,O,X,X,X,O
ITOJZSL,O,X,X,X,X
ITOSLJZ,X,O,X,O,X
ITOSLZJ,X,O,X,O,X
ITOSJLZ,X,X,X,O,X
ITOSJZL,X,X,X,O,X
ITOSZLJ,X,O,X,O,X
ITOSZJL,X,O,X,O,X
ITOZLJS,O,O,O,X,X
ITOZLSJ,X,O,O,O,X
ITOZJLS,O,O,O,X,X
ITOZJSL,O,O,O,X,X
ITOZSLJ,X,O,O,O,X
ITOZSJL,O,O,O,O,X
ILTJSZO,O,O,O,X,O
ILTJSOZ,O,O,O,X,O
ILTJZSO,O,O,O,X,O
ILTJZOS,O,O,O,X,O
ILTJOSZ,X,X,X,X,O
ILTJOZS,X,O,X,X,O
ILTSJZO,X,O,O,O,O
ILTSJOZ,X,O,O,X,O
ILTSZJO,X,O,O,O,X
ILTSZOJ,X,O,O,O,X
ILTSOJZ,X,O,O,O,O
ILTSOZJ,X,O,O,O,X
ILTZJSO,O,O,O,X,O
ILTZJOS,O,O,O,X,O
ILTZSJO,X,O,O,X,X
ILTZSOJ,X,O,O,X,X
ILTZOJS,O,O,O,X,O
ILTZOSJ,X,O,O,X,X
ILTOJSZ,X,X,X,O,O
ILTOJZS,X,O,X,X,O
ILTOSJZ,X,O,O,O,O
ILTOSZJ,X,O,O,O,X
ILTOZJS,X,O,O,X,O
ILTOZSJ,X,O,O,O,X
ILJTSZO,O,O,O,X,O
ILJTSOZ,O,O,O,X,O
ILJTZSO,O,O,O,X,O
ILJTZOS,O,O,O,X,O
ILJTOSZ,X,X,X,X,O
ILJTOZS,X,O,X,X,O
ILJSTZO,O,O,O,X,O
ILJSTOZ,O,O,O,X,O
ILJSZTO,O,O,O,X,O
ILJSZOT,O,O,O,X,O
ILJSOTZ,O,O,O,X,O
ILJSOZT,O,O,O,X,O
ILJZTSO,O,O,O,X,O
ILJZTOS,O,O,O,X,O
ILJZSTO,O,O,O,X,O
ILJZSOT,O,O,O,X,O
ILJZOTS,O,O,O,X,O
ILJZOST,O,O,O,X,O
ILJOTSZ,X,X,X,X,O
ILJOTZS,X,O,X,X,O
ILJOSTZ,X,X,X,X,O
ILJOSZT,X,X,X,X,O
ILJOZTS,X,O,X,X,O
ILJOZST,X,O,X,X,O
ILSTJZO,X,O,O,O,O
ILSTJOZ,X,O,O,X,O
ILSTZJO,X,O,O,O,X
ILSTZOJ,X,O,O,O,X
ILSTOJZ,X,O,O,O,O
ILSTOZJ,X,O,O,O,X
ILSJTZO,X,O,O,O,O
ILSJTOZ,X,O,O,X,O
ILSJZTO,X,O,O,O,O
ILSJZOT,X,O,O,O,O
ILSJOTZ,X,O,O,X,O
ILSJOZT,X,O,O,X,O
ILSZTJO,X,O,O,O,X
ILSZTOJ,X,O,O,O,X
ILSZJTO,X,O,O,O,X
ILSZJOT,X,O,O,O,X
ILSZOTJ,X,O,O,O,X
ILSZOJT,X,O,O,O,X
ILSOTJZ,X,O,O,O,O
ILSOTZJ,X,O,O,O,X
ILSOJTZ,X,O,O,O,O
ILSOJZT,X,O,O,O,O
ILSOZTJ,X,O,O,O,X
ILSOZJT,X,O,O,O,X
ILZTJSO,O,O,O,X,O
ILZTJOS,O,O,O,X,O
ILZTSJO,X,O,O,X,X
ILZTSOJ,X,O,O,X,X
ILZTOJS,O,O,O,X,O
ILZTOSJ,X,O,O,X,X
ILZJTSO,O,O,O,X,O
ILZJTOS,O,O,O,X,O
ILZJSTO,O,O,O,X,O
ILZJSOT,O,O,O,X,O
ILZJOTS,O,O,O,X,O
ILZJOST,O,O,O,X,O
ILZSTJO,X,O,O,X,X
ILZSTOJ,X,O,O,X,X
ILZSJTO,X,O,O,X,X
ILZSJOT,X,O,O,X,X
ILZSOTJ,X,O,O,X,X
ILZSOJT,X,O,O,X,X
ILZOTJS,O,O,O,X,O
ILZOTSJ,X,O,O,X,X
ILZOJTS,O,O,O,X,O
ILZOJST,O,O,O,X,O
ILZOSTJ,X,O,O,X,X
ILZOSJT,X,O,O,X,X
ILOTJSZ,X,X,X,O,O
ILOTJZS,X,O,X,X,O
ILOTSJZ,X,O,O,O,O
ILOTSZJ,X,O,O,O,X
ILOTZJS,X,O,O,X,O
ILOTZSJ,X,O,O,O,X
ILOJTSZ,X,X,X,O,O
ILOJTZS,X,O,X,X,O
ILOJSTZ,X,X,X,O,O
ILOJSZT,X,X,X,O,O
ILOJZTS,X,O,X,X,O
ILOJZST,X,O,X,X,O
ILOSTJZ,X,O,O,O,O
ILOSTZJ,X,O,O,O,X
ILOSJTZ,X,O,O,O,O
ILOSJZT,X,O,O,O,O
ILOSZTJ,X,O,O,O,X
ILOSZJT,X,O,O,O,X
ILOZTJS,X,O,O,X,O
ILOZTSJ,X,O,O,O,X
ILOZJTS,X,O,O,X,O
ILOZJST,X,O,O,X,O
ILOZSTJ,X,O,O,O,X
ILOZSJT,X,O,O,O,X
IJTLSZO,O,O,O,X,O
IJTLSOZ,O,O,O,X,O
IJTLZSO,O,O,O,X,O
IJTLZOS,O,O,O,X,O
IJTLOSZ,X,X,X,X,O
IJTLOZS,X,O,X,X,O
IJTSLZO,O,O,X,O,O
IJTSLOZ,O,O,X,X,O
IJTSZLO,O,O,X,O,O
IJTSZOL,O,O,X,O,X
IJTSOLZ,O,X,X,O,X
IJTSOZL,O,X,X,O,X
IJTZLSO,O,O,O,X,O
IJTZLOS,O,O,O,X,O
IJTZSLO,O,O,O,X,O
IJTZSOL,O,O,O,X,X
IJTZOLS,O,O,O,X,O
IJTZOSL,O,O,O,X,X
IJTOLSZ,X,X,X,O,O
IJTOLZS,X,X,X,X,O
IJTOSLZ,O,X,X,O,X
IJTOSZL,O,X,X,O,X
IJTOZLS,O,X,X,X,O
IJTOZSL,O,X,X,X,X
IJLTSZO,O,O,O,X,O
IJLTSOZ,O,O,O,X,O
IJLTZSO,O,O,O,X,O
IJLTZOS,O,O,O,X,O
IJLTOSZ,X,X,X,X,O
IJLTOZS,X,O,X,X,O
IJLSTZO,O,O,O,X,O
IJLSTOZ,O,O,O,X,O
IJLSZTO,O,O,O,X,O
IJLSZOT,O,O,O,X,O
IJLSOTZ,O,O,O,X,O
IJLSOZT,O,O,O,X,O
IJLZTSO,O,O,O,X,O
IJLZTOS,O,O,O,X,O
IJLZSTO,O,O,O,X,O
IJLZSOT,O,O,O,X,O
IJLZOTS,O,O,O,X,O
IJLZOST,O,O,O,X,O
IJLOTSZ,X,X,X,X,O
IJLOTZS,X,O,X,X,O
IJLOSTZ,X,X,X,X,O
IJLOSZT,X,X,X,X,O
IJLOZTS,X,O,X,X,O
IJLOZST,X,O,X,X,O
IJSTLZO,O,O,X,O,O
IJSTLOZ,O,O,X,X,O
IJSTZLO,O,O,X,O,O
IJSTZOL,O,O,X,O,X
IJSTOLZ,O,X,X,O,X
IJSTOZL,O,X,X,O,X
IJSLTZO,O,O,X,O,O
IJSLTOZ,O,O,X,X,O
IJSLZTO,O,O,X,O,O
IJSLZOT,O,O,X,O,O
IJSLOTZ,O,O,X,X,O
IJSLOZT,O,O,X,X,O
IJSZTLO,O,O,X,O,O
IJSZTOL,O,O,X,O,X
IJSZLTO,O,O,X,O,O
IJSZLOT,O,O,X,O,O
IJSZOTL,O,O,X,O,X
IJSZOLT,O,O,X,O,X
IJSOTLZ,O,X,X,O,X
IJSOTZL,O,X,X,O,X
IJSOLTZ,O,O,X,O,X
IJSOLZT,O,O,X,O,X
IJSOZTL,O,O,X,O,X
IJSOZLT,O,O,X,O,X
IJZTLSO,O,O,O,X,O
IJZTLOS,O,O,O,X,O
IJZTSLO,O,O,O,X,O
IJZTSOL,O,O,O,X,X
IJZTOLS,O,O,O,X,O
IJZTOSL,O,O,O,X,X
IJZLTSO,O,O,O,X,O
IJZLTOS,O,O,O,X,O
IJZLSTO,O,O,O,X,O
IJZLSOT,O,O,O,X,O
IJZLOTS,O,O,O,X,O
IJZLOST,O,O,O,X,O
IJZSTLO,O,O,O,X,O
IJZSTOL,O,O,O,X,X
IJZSLTO,O,O,O,X,O
IJZSLOT,O,O,O,X,O
IJZSOTL,O,O,O,X,X
IJZSOLT,O,O,O,X,X
IJZOTLS,O,O,O,X,O
IJZOTSL,O,O,O,X,X
IJZOLTS,O,O,O,X,O
IJZOLST,O,O,O,X,O
IJZOSTL,O,O,O,X,X
IJZOSLT,O,O,O,X,X
IJOTLSZ,X,X,X,O,O
IJOTLZS,X,X,X,X,O
IJOTSLZ,O,X,X,O,X
IJOTSZL,O,X,X,O,X
IJOTZLS,O,X,X,X,O
IJOTZSL,O,X,X,X,X
IJOLTSZ,X,X,X,O,O
IJOLTZS,X,X,X,X,O
IJOLSTZ,X,X,X,O,O
IJOLSZT,X,X,X,O,O
IJOLZTS,X,X,X,X,O
IJOLZST,X,X,X,X,O
IJOSTLZ,O,X,X,O,X
IJOSTZL,O,X,X,O,X
IJOSLTZ,O,X,X,O,X
IJOSLZT,O,X,X,O,X
IJOSZTL,O,X,X,O,X
IJOSZLT,O,X,X,O,X
IJOZTLS,O,X,X,X,O
IJOZTSL,O,X,X,X,X
IJOZLTS,O,X,X,X,O
IJOZLST,O,X,X,X,O
IJOZSTL,O,X,X,X,X
IJOZSLT,O,X,X,X,X
ISTLJZO,O,O,O,O,O
ISTLJOZ,O,O,O,X,O
ISTLZJO,O,O,O,O,X
ISTLZOJ,O,O,O,O,X
ISTLOJZ,X,O,O,O,O
ISTLOZJ,X,O,O,O,X
ISTJLZO,O,O,X,O,O
ISTJLOZ,O,O,X,X,O
ISTJZLO,O,O,X,O,O
ISTJZOL,O,O,X,O,X
ISTJOLZ,O,X,X,O,X
ISTJOZL,O,X,X,O,X
ISTZLJO,O,O,O,O,X
ISTZLOJ,O,O,O,O,X
ISTZJLO,O,O,O,O,X
ISTZJOL,O,O,O,O,X
ISTZOLJ,O,O,O,O,X
ISTZOJL,O,O,O,O,X
ISTOLJZ,X,O,X,O,X
ISTOLZJ,X,O,X,O,X
ISTOJLZ,X,X,X,O,X
ISTOJZL,X,X,X,O,X
ISTOZLJ,X,O,X,O,X
ISTOZJL,X,O,X,O,X
ISLTJZO,O,O,O,O,O
ISLTJOZ,O,O,O,X,O
ISLTZJO,O,O,O,O,X
ISLTZOJ,O,O,O,O,X
ISLTOJZ,X,O,O,O,O
ISLTOZJ,X,O,O,O,X
ISLJTZO,O,O,O,O,O
ISLJTOZ,O,O,O,X,O
ISLJZTO,O,O,O,O,O
ISLJZOT,O,O,O,O,O
ISLJOTZ,O,O,O,X,O
ISLJOZT,O,O,O,X,O
ISLZTJO,O,O,O,O,X
ISLZTOJ,O,O,O,O,X
ISLZJTO,O,O,O,O,X
ISLZJOT,O,O,O,O,X
ISLZOTJ,O,O,O,O,X
ISLZOJT,O,O,O,O,X
ISLOTJZ,X,O,O,O,O
ISLOTZJ,X,O,O,O,X
ISLOJTZ,X,O,O,O,O
ISLOJZT,X,O,O,O,O
ISLOZTJ,X,O,O,O,X
ISLOZJT,X,O,O,O,X
ISJTLZO,O,O,X,O,O
ISJTLOZ,O,O,X,X,O
ISJTZLO,O,O,X,O,O
ISJTZOL,O,O,X,O,X
ISJTOLZ,O,X,X,O,X
ISJTOZL,O,X,X,O,X
ISJLTZO,O,O,X,O,O
ISJLTOZ,O,O,X,X,O
ISJLZTO,O,O,X,O,O
ISJLZOT,O,O,X,O,O
ISJLOTZ,O,O,X,X,O
ISJLOZT,O,O,X,X,O
ISJZTLO,O,O,X,O,O
ISJZTOL,O,O,X,O,X
ISJZLTO,O,O,X,O,O
ISJZLOT,O,O,X,O,O
ISJZOTL,O,O,X,O,X
ISJZOLT,O,O,X,O,X
ISJOTLZ,O,X,X,O,X
ISJOTZL,O,X,X,O,X
ISJOLTZ,O,O,X,O,X
ISJOLZT,O,O,X,O,X
ISJOZTL,O,O,X,O,X
ISJOZLT,O,O,X,O,X
ISZTLJO,O,O,O,O,X
ISZTLOJ,O,O,O,O,X
ISZTJLO,O,O,O,O,X
ISZTJOL,O,O,O,O,X
ISZTOLJ,O,O,O,O,X
ISZTOJL,O,O,O,O,X
ISZLTJO,O,O,O,O,X
ISZLTOJ,O,O,O,O,X
ISZLJTO,O,O,O,O,X
ISZLJOT,O,O,O,O,X
ISZLOTJ,O,O,O,O,X
ISZLOJT,O,O,O,O,X
ISZJTLO,O,O,O,O,X
ISZJTOL,O,O,O,O,X
ISZJLTO,O,O,O,O,X
ISZJLOT,O,O,O,O,X
ISZJOTL,O,O,O,O,X
ISZJOLT,O,O,O,O,X
ISZOTLJ,O,O,O,O,X
ISZOTJL,O,O,O,O,X
ISZOLTJ,O,O,O,O,X
ISZOLJT,O,O,O,O,X
ISZOJTL,O,O,O,O,X
ISZOJLT,O,O,O,O,X
ISOTLJZ,X,O,X,O,X
ISOTLZJ,X,O,X,O,X
ISOTJLZ,X,X,X,O,X
ISOTJZL,X,X,X,O,X
ISOTZLJ,X,O,X,O,X
ISOTZJL,X,O,X,O,X
ISOLTJZ,X,O,X,O,X
ISOLTZJ,X,O,X,O,X
ISOLJTZ,X,O,X,O,X
ISOLJZT,X,O,X,O,X
ISOLZTJ,X,O,X,O,X
ISOLZJT,X,O,X,O,X
ISOJTLZ,X,X,X,O,X
ISOJTZL,X,X,X,O,X
ISOJLTZ,X,O,X,O,X
ISOJLZT,X,O,X,O,X
ISOJZTL,X,O,X,O,X
ISOJZLT,X,O,X,O,X
ISOZTLJ,X,O,X,O,X
ISOZTJL,X,O,X,O,X
ISOZLTJ,X,O,X,O,X
ISOZLJT,X,O,X,O,X
ISOZJTL,X,O,X,O,X
ISOZJLT,X,O,X,O,X
IZTLJSO,O,O,O,X,O
IZTLJOS,O,O,O,X,O
IZTLSJO,X,O,O,X,X
IZTLSOJ,X,O,O,X,X
IZTLOJS,O,O,O,X,O
IZTLOSJ,X,O,O,X,X
IZTJLSO,O,O,O,X,O
IZTJLOS,O,O,O,X,O
IZTJSLO,O,O,O,X,O
IZTJSOL,O,O,O,X,X
IZTJOLS,O,O,O,X,O
IZTJOSL,O,O,O,X,X
IZTSLJO,O,O,O,O,X
IZTSLOJ,O,O,O,O,X
IZTSJLO,O,O,O,O,X
IZTSJOL,O,O,O,O,X
IZTSOLJ,O,O,O,O,X
IZTSOJL,O,O,O,O,X
IZTOLJS,O,O,O,X,X
IZTOLSJ,X,O,O,O,X
IZTOJLS,O,O,O,X,X
IZTOJSL,O,O,O,X,X
IZTOSLJ,O,O,O,O,X
IZTOSJL,O,O,O,O,X
IZLTJSO,O,O,O,X,O
IZLTJOS,O,O,O,X,O
IZLTSJO,X,O,O,X,X
IZLTSOJ,X,O,O,X,X
IZLTOJS,O,O,O,X,O
IZLTOSJ,X,O,O,X,X
IZLJTSO,O,O,O,X,O
IZLJTOS,O,O,O,X,O
IZLJSTO,O,O,O,X,O
IZLJSOT,O,O,O,X,O
IZLJOTS,O,O,O,X,O
IZLJOST,O,O,O,X,O
IZLSTJO,X,O,O,X,X
IZLSTOJ,X,O,O,X,X
IZLSJTO,X,O,O,X,X
IZLSJOT,X,O,O,X,X
IZLSOTJ,X,O,O,X,X
IZLSOJT,X,O,O,X,X
IZLOTJS,O,O,O,X,O
IZLOTSJ,X,O,O,X,X
IZLOJTS,O,O,O,X,O
IZLOJST,O,O,O,X,O
IZLOSTJ,X,O,O,X,X
IZLOSJT,X,O,O,X,X
IZJTLSO,O,O,O,X,O
IZJTLOS,O,O,O,X,O
IZJTSLO,O,O,O,X,O
IZJTSOL,O,O,O,X,X
IZJTOLS,O,O,O,X,O
IZJTOSL,O,O,O,X,X
IZJLTSO,O,O,O,X,O
IZJLTOS,O,O,O,X,O
IZJLSTO,O,O,O,X,O
IZJLSOT,O,O,O,X,O
IZJLOTS,O,O,O,X,O
IZJLOST,O,O,O,X,O
IZJSTLO,O,O,O,X,O
IZJSTOL,O,O,O,X,X
IZJSLTO,O,O,O,X,O
IZJSLOT,O,O,O,X,O
IZJSOTL,O,O,O,X,X
IZJSOLT,O,O,O,X,X
IZJOTLS,O,O,O,X,O
IZJOTSL,O,O,O,X,X
IZJOLTS,O,O,O,X,O
IZJOLST,O,O,O,X,O
IZJOSTL,O,O,O,X,X
IZJOSLT,O,O,O,X,X
IZSTLJO,O,O,O,O,X
IZSTLOJ,O,O,O,O,X
IZSTJLO,O,O,O,O,X
IZSTJOL,O,O,O,O,X
IZSTOLJ,O,O,O,O,X
IZSTOJL,O,O,O,O,X
IZSLTJO,O,O,O,O,X
IZSLTOJ,O,O,O,O,X
IZSLJTO,O,O,O,O,X
IZSLJOT,O,O,O,O,X
IZSLOTJ,O,O,O,O,X
IZSLOJT,O,O,O,O,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,O,O,O,X
IZSJLOT,O,O,O,O,X
IZSJOTL,O,O,O,O,X
IZSJOLT,O,O,O,O,X
IZSOTLJ,O,O,O,O,X
IZSOTJL,O,O,O,O,X
IZSOLTJ,O,O,O,O,X
IZSOLJT,O,O,O,O,X
IZSOJTL,O,O,O,O,X
IZSOJLT,O,O,O,O,X
IZOTLJS,O,O,O,X,X
IZOTLSJ,X,O,O,O,X
IZOTJLS,O,O,O,X,X
IZOTJSL,O,O,O,X,X
IZOTSLJ,O,O,O,O,X
IZOTSJL,O,O,O,O,X
IZOLTJS,O,O,O,X,X
IZOLTSJ,X,O,O,O,X
IZOLJTS,O,O,O,X,X
IZOLJST,O,O,O,X,X
IZOLSTJ,X,O,O,O,X
IZOLSJT,X,O,O,O,X
IZOJTLS,O,O,O,X,X
IZOJTSL,O,O,O,X,X
IZOJLTS,O,O,O,X,X
IZOJLST,O,O,O,X,X
IZOJSTL,O,O,O,X,X
IZOJSLT,O,O,O,X,X
IZOSTLJ,O,O,O,O,X
IZOSTJL,O,O,O,O,X
IZOSLTJ,O,O,O,O,X
IZOSLJT,O,O,O,O,X
IZOSJTL,O,O,O,O,X
IZOSJLT,O,O,O,O,X
IOTLJSZ,X,X,X,O,O
IOTLJZS,X,O,X,X,O
IOTLSJZ,X,O,O,O,O
IOTLSZJ,X,O,O,O,X
IOTLZJS,X,O,O,X,O
IOTLZSJ,X,O,O,O,X
IOTJLSZ,X,X,X,O,O
IOTJLZS,X,X,X,X,O
IOTJSLZ,O,X,X,O,X
IOTJSZL,O,X,X,O,X
IOTJZLS,O,X,X,X,O
IOTJZSL,O,X,X,X,X
IOTSLJZ,X,O,X,O,X
IOTSLZJ,X,O,X,O,X
IOTSJLZ,X,X,X,O,X
IOTSJZL,X,X,X,O,X
IOTSZLJ,X,O,X,O,X
IOTSZJL,X,O,X,O,X
IOTZLJS,O,O,O,X,X
IOTZLSJ,X,O,O,O,X
IOTZJLS,O,O,O,X,X
IOTZJSL,O,O,O,X,X
IOTZSLJ,X,O,O,O,X
IOTZSJL,O,O,O,O,X
IOLTJSZ,X,X,X,O,O
IOLTJZS,X,O,X,X,O
IOLTSJZ,X,O,O,O,O
IOLTSZJ,X,O,O,O,X
IOLTZJS,X,O,O,X,O
IOLTZSJ,X,O,O,O,X
IOLJTSZ,X,X,X,O,O
IOLJTZS,X,O,X,X,O
IOLJSTZ,X,X,X,O,O
IOLJSZT,X,X,X,O,O
IOLJZTS,X,O,X,X,O
IOLJZST,X,O,X,X,O
IOLSTJZ,X,O,O,O,O
IOLSTZJ,X,O,O,O,X
IOLSJTZ,X,O,O,O,O
IOLSJZT,X,O,O,O,O
IOLSZTJ,X,O,O,O,X
IOLSZJT,X,O,O,O,X
IOLZTJS,X,O,O,X,O
IOLZTSJ,X,O,O,O,X
IOLZJTS,X,O,O,X,O
IOLZJST,X,O,O,X,O
IOLZSTJ,X,O,O,O,X
IOLZSJT,X,O,O,O,X
IOJTLSZ,X,X,X,O,O
IOJTLZS,X,X,X,X,O
IOJTSLZ,O,X,X,O,X
IOJTSZL,O,X,X,O,X
IOJTZLS,O,X,X,X,O
IOJTZSL,O,X,X,X,X
IOJLTSZ,X,X,X,O,O
IOJLTZS,X,X,X,X,O
IOJLSTZ,X,X,X,O,O
IOJLSZT,X,X,X,O,O
IOJLZTS,X,X,X,X,O
IOJLZST,X,X,X,X,O
IOJSTLZ,O,X,X,O,X
IOJSTZL,O,X,X,O,X
IOJSLTZ,O,X,X,O,X
IOJSLZT,O,X,X,O,X
IOJSZTL,O,X,X,O,X
IOJSZLT,O,X,X,O,X
IOJZTLS,O,X,X,X,O
IOJZTSL,O,X,X,X,X
IOJZLTS,O,X,X,X,O
IOJZLST,O,X,X,X,O
IOJZSTL,O,X,X,X,X
IOJZSLT,O,X,X,X,X
IOSTLJZ,X,O,X,O,X
IOSTLZJ,X,O,X,O,X
IOSTJLZ,X,X,X,O,X
IOSTJZL,X,X,X,O,X
IOSTZLJ,X,O,X,O,X
IOSTZJL,X,O,X,O,X
IOSLTJZ,X,O,X,O,X
IOSLTZJ,X,O,X,O,X
IOSLJTZ,X,O,X,O,X
IOSLJZT,X,O,X,O,X
IOSLZTJ,X,O,X,O,X
IOSLZJT,X,O,X,O,X
IOSJTLZ,X,X,X,O,X
IOSJTZL,X,X,X,O,X
IOSJLTZ,X,O,X,O,X
IOSJLZT,X,O,X,O,X
IOSJZTL,X,O,X,O,X
IOSJZLT,X,O,X,O,X
IOSZTLJ,X,O,X,O,X
IOSZTJL,X,O,X,O,X
IOSZLTJ,X,O,X,O,X
IOSZLJT,X,O,X,O,X
IOSZJTL,X,O,X,O,X
IOSZJLT,X,O,X,O,X
IOZTLJS,O,O,O,X,X
IOZTLSJ,X,O,O,O,X
IOZTJLS,O,O,O,X,X
IOZTJSL,O,O,O,X,X
IOZTSLJ,X,O,O,O,X
IOZTSJL,O,O,O,O,X
IOZLTJS,O,O,O,X,X
IOZLTSJ,X,O,O,O,X
IOZLJTS,O,O,O,X,X
IOZLJST,O,O,O,X,X
IOZLSTJ,X,O,O,O,X
IOZLSJT,X,O,O,O,X
IOZJTLS,O,O,O,X,X
IOZJTSL,O,O,O,X,X
IOZJLTS,O,O,O,X,X
IOZJLST,O,O,O,X,X
IOZJSTL,O,O,O,X,X
IOZJSLT,O,O,O,X,X
IOZSTLJ,X,O,O,O,X
IOZSTJL,O,O,O,O,X
IOZSLTJ,X,O,O,O,X
IOZSLJT,X,O,O,O,X
IOZSJTL,O,O,O,O,X
IOZSJLT,O,O,O,O,X
LTIJSZO,O,O,O,X,O
LTIJSOZ,O,O,O,X,O
LTIJZSO,O,O,O,X,O
LTIJZOS,O,O,O,X,O
LTIJOSZ,X,X,X,X,O
LTIJOZS,X,O,X,X,O
LTISJZO,X,O,O,O,O
LTISJOZ,X,O,O,X,O
LTISZJO,X,O,O,O,X
LTISZOJ,X,O,O,O,X
LTISOJZ,X,O,O,O,O
LTISOZJ,X,O,O,O,X
LTIZJSO,O,O,O,X,O
LTIZJOS,O,O,O,X,O
LTIZSJO,X,O,O,X,X
LTIZSOJ,X,O,O,X,X
LTIZOJS,O,O,O,X,O
LTIZOSJ,X,O,O,X,X
LTIOJSZ,X,X,X,O,O
LTIOJZS,X,O,X,X,O
LTIOSJZ,X,O,O,O,O
LTIOSZJ,X,O,O,O,X
LTIOZJS,X,O,O,X,O
LTIOZSJ,X,O,O,O,X
LTJISZO,O,O,O,X,O
LTJISOZ,O,O,O,X,O
LTJIZSO,O,O,O,X,O
LTJIZOS,O,O,O,X,O
LTJIOSZ,X,X,X,X,O
LTJIOZS,X,O,X,X,O
LTJSIZO,O,O,O,X,O
LTJSIOZ,O,O,O,X,O
LTJSZIO,O,O,O,X,O
LTJSZOI,O,O,O,X,O
LTJSOIZ,O,O,O,X,O
LTJSOZI,O,O,O,X,O
LTJZISO,O,O,O,X,O
LTJZIOS,O,O,O,X,O
LTJZSIO,O,O,O,X,O
LTJZSOI,O,O,O,X,O
LTJZOIS,O,O,O,X,O
LTJZOSI,O,O,O,X,O
LTJOISZ,X,X,X,X,O
