sequence,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBCiBeoB5oBXn?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFqlBThBmiB5oB0n?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBumB3iB5oBys?BUrB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFulBcmBiiB5oBzn?B3rB,v115@HhA8AeA8GeC8GeD8BeC8Kel/IvhFzgBcnBeoB5oBSr?B3rB
TLJOIZS,X,O,X,X,O
TLJOSIZ,X,X,X,X,O
TLJOSZI,X,X,X,X,O
TLJOZIS,X,O,X,X,O
TLJOZSI,X,O,X,X,O
TLSIJZO,O,O,O,O,O
TLSIJOZ,O,O,O,X,O
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,O,O,O,X
TLSIOJZ,X,O,O,O,O
TLSIOZJ,X,O,O,O,X
TLSJIZO,O,O,O,O,O
TLSJIOZ,O,O,O,X,O
TLSJZIO,O,O,O,O,O
TLSJZOI,O,O,O,O,O
TLSJOIZ,O,O,O,X,O
TLSJOZI,O,O,O,X,O
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,O,O,O,X
TLSZJIO,O,O,O,O,O
TLSZJOI,O,O,O,O,O
TLSZOIJ,O,O,O,O,X
TLSZOJI,O,O,O,O,O
TLSOIJZ,X,O,O,O,O
TLSOIZJ,X,O,O,O,X
TLSOJIZ,O,O,O,O,O
TLSOJZI,O,O,O,O,O
TLSOZIJ,O,O,O,O,X
TLSOZJI,O,O,O,O,O
TLZIJSO,O,O,O,X,O
TLZIJOS,O,O,O,X,O
TLZISJO,X,O,O,X,X
TLZISOJ,X,O,O,X,X
TLZIOJS,O,O,O,X,O
TLZIOSJ,X,O,O,X,X
TLZJISO,O,O,O,X,O
TLZJIOS,O,O,O,X,O
TLZJSIO,O,O,O,X,O
TLZJSOI,O,O,O,X,O
TLZJOIS,O,O,O,X,O
TLZJOSI,O,O,O,X,O
TLZSIJO,O,O,O,X,X
TLZSIOJ,O,O,O,X,X
TLZSJIO,O,O,O,X,O
TLZSJOI,O,O,O,X,O
TLZSOIJ,O,O,O,X,X
TLZSOJI,O,O,O,X,O
TLZOIJS,O,O,O,X,O
TLZOISJ,X,O,O,X,X
TLZOJIS,O,O,O,X,O
TLZOJSI,O,O,O,X,O
TLZOSIJ,O,O,O,X,X
TLZOSJI,O,O,O,X,O
TLOIJSZ,X,X,X,O,O
TLOIJZS,X,O,X,X,O
TLOISJZ,X,O,O,O,O
TLOISZJ,X,O,O,O,X
TLOIZJS,X,O,O,X,O
TLOIZSJ,X,O,O,O,X
TLOJISZ,X,X,X,O,O
TLOJIZS,X,O,X,X,O
TLOJSIZ,X,X,X,O,O
TLOJSZI,X,X,X,O,O
TLOJZIS,X,O,X,X,O
TLOJZSI,X,O,X,X,O
TLOSIJZ,X,O,O,O,O
TLOSIZJ,X,O,O,O,X
TLOSJIZ,X,O,O,O,O
TLOSJZI,X,O,O,O,O
TLOSZIJ,X,O,O,O,X
TLOSZJI,X,O,O,O,O
TLOZIJS,X,O,O,X,O
TLOZISJ,X,O,O,O,X
TLOZJIS,X,O,O,X,O
TLOZJSI,X,O,O,X,O
TLOZSIJ,X,O,O,O,X
TLOZSJI,X,O,O,O,O
TJILSZO,O,O,O,X,O
TJILSOZ,O,O,O,X,O
TJILZSO,O,O,O,X,O
TJILZOS,O,O,O,X,O
TJILOSZ,X,X,X,X,O
TJILOZS,X,O,X,X,O
TJISLZO,O,O,X,O,O
TJISLOZ,O,O,X,X,O
TJISZLO,O,O,X,O,O
TJISZOL,O,O,X,O,X
TJISOLZ,O,X,X,O,X
TJISOZL,O,X,X,O,X
TJIZLSO,O,O,O,X,O
TJIZLOS,O,O,O,X,O
TJIZSLO,O,O,O,X,O
TJIZSOL,O,O,O,X,X
TJIZOLS,O,O,O,X,O
TJIZOSL,O,O,O,X,X
TJIOLSZ,X,X,X,O,O
TJIOLZS,X,X,X,X,O
TJIOSLZ,O,X,X,O,X
TJIOSZL,O,X,X,O,X
TJIOZLS,O,X,X,X,O
TJIOZSL,O,X,X,X,X
TJLISZO,O,O,O,X,O
TJLISOZ,O,O,O,X,O
TJLIZSO,O,O,O,X,O
TJLIZOS,O,O,O,X,O
TJLIOSZ,X,X,X,X,O
TJLIOZS,X,O,X,X,O
TJLSIZO,O,O,O,X,O
TJLSIOZ,O,O,O,X,O
TJLSZIO,O,O,O,X,O
TJLSZOI,O,O,O,X,O
TJLSOIZ,O,O,O,X,O
TJLSOZI,O,O,O,X,O
TJLZISO,O,O,O,X,O
TJLZIOS,O,O,O,X,O
TJLZSIO,O,O,O,X,O
TJLZSOI,O,O,O,X,O
TJLZOIS,O,O,O,X,O
TJLZOSI,O,O,O,X,O
TJLOISZ,X,X,X,X,O
TJLOIZS,X,O,X,X,O
TJLOSIZ,X,X,X,X,O
TJLOSZI,X,X,X,X,O
TJLOZIS,X,O,X,X,O
TJLOZSI,X,O,X,X,O
TJSILZO,O,O,X,O,O
TJSILOZ,O,O,X,X,O
TJSIZLO,O,O,X,O,O
TJSIZOL,O,O,X,O,X
TJSIOLZ,O,X,X,O,X
TJSIOZL,O,X,X,O,X
TJSLIZO,O,O,X,O,O
TJSLIOZ,O,O,X,X,O
TJSLZIO,O,O,X,O,O
TJSLZOI,O,O,X,O,O
TJSLOIZ,O,O,X,X,O
TJSLOZI,O,O,X,X,O
TJSZILO,O,O,X,O,O
TJSZIOL,O,O,X,O,X
TJSZLIO,O,O,X,O,O
TJSZLOI,O,O,X,O,O
TJSZOIL,O,O,X,O,X
TJSZOLI,O,O,X,O,X
TJSOILZ,O,X,X,O,X
TJSOIZL,O,X,X,O,X
TJSOLIZ,O,X,X,O,X
TJSOLZI,O,X,X,O,X
TJSOZIL,O,X,X,O,X
TJSOZLI,O,X,X,O,X
TJZILSO,O,O,O,X,O
TJZILOS,O,O,O,X,O
TJZISLO,O,O,O,X,O
TJZISOL,O,O,O,X,X
TJZIOLS,O,O,O,X,O
TJZIOSL,O,O,O,X,X
TJZLISO,O,O,O,X,O
TJZLIOS,O,O,O,X,O
TJZLSIO,O,O,O,X,O
TJZLSOI,O,O,O,X,O
TJZLOIS,O,O,O,X,O
TJZLOSI,O,O,O,X,O
TJZSILO,O,O,O,X,O
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,O
TJZSLOI,O,O,O,X,O
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,O,O,X,O
TJZOISL,O,O,O,X,X
TJZOLIS,O,O,O,X,O
TJZOLSI,O,O,O,X,O
TJZOSIL,O,O,O,X,X
TJZOSLI,O,O,O,X,X
TJOILSZ,X,X,X,O,O
TJOILZS,X,X,X,X,O
TJOISLZ,O,X,X,O,X
TJOISZL,O,X,X,O,X
TJOIZLS,O,X,X,X,O
TJOIZSL,O,X,X,X,X
TJOLISZ,X,X,X,O,O
TJOLIZS,X,X,X,X,O
TJOLSIZ,X,X,X,O,O
TJOLSZI,X,X,X,O,O
TJOLZIS,X,X,X,X,O
TJOLZSI,X,X,X,X,O
TJOSILZ,O,X,X,O,X
TJOSIZL,O,X,X,O,X
TJOSLIZ,O,X,X,O,X
TJOSLZI,O,X,X,O,X
TJOSZIL,O,X,X,O,X
TJOSZLI,O,X,X,O,X
TJOZILS,O,X,X,X,O
TJOZISL,O,X,X,X,X
TJOZLIS,O,X,X,X,O
TJOZLSI,O,X,X,X,O
TJOZSIL,O,X,X,X,X
TJOZSLI,O,X,X,X,X
TSILJZO,O,O,O,O,O
TSILJOZ,O,O,O,X,O
TSILZJO,O,O,O,O,X
TSILZOJ,O,O,O,O,X
TSILOJZ,X,O,O,O,O
TSILOZJ,X,O,O,O,X
TSIJLZO,O,O,X,O,O
TSIJLOZ,O,O,X,X,O
TSIJZLO,O,O,X,O,O
TSIJZOL,O,O,X,O,X
TSIJOLZ,O,X,X,O,X
TSIJOZL,O,X,X,O,X
TSIZLJO,O,O,O,O,X
TSIZLOJ,O,O,O,O,X
TSIZJLO,O,O,O,O,X
TSIZJOL,O,O,O,O,X
TSIZOLJ,O,O,O,O,X
TSIZOJL,O,O,O,O,X
TSIOLJZ,X,O,X,O,X
TSIOLZJ,X,O,X,O,X
TSIOJLZ,X,X,X,O,X
TSIOJZL,X,X,X,O,X
TSIOZLJ,X,O,X,O,X
TSIOZJL,X,O,X,O,X
TSLIJZO,O,O,O,O,O
TSLIJOZ,O,O,O,X,O
TSLIZJO,O,O,O,O,X
TSLIZOJ,O,O,O,O,X
TSLIOJZ,X,O,O,O,O
TSLIOZJ,X,O,O,O,X
TSLJIZO,O,O,O,O,O
TSLJIOZ,O,O,O,X,O
TSLJZIO,O,O,O,O,O
TSLJZOI,O,O,O,O,O
TSLJOIZ,O,O,O,X,O
TSLJOZI,O,O,O,X,O
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,O,O,O,X
TSLZJIO,O,O,O,O,O
TSLZJOI,O,O,O,O,O
TSLZOIJ,O,O,O,O,X
TSLZOJI,O,O,O,O,O
TSLOIJZ,X,O,O,O,O
TSLOIZJ,X,O,O,O,X
TSLOJIZ,O,O,O,O,O
TSLOJZI,O,O,O,O,O
TSLOZIJ,O,O,O,O,X
TSLOZJI,O,O,O,O,O
TSJILZO,O,O,X,O,O
TSJILOZ,O,O,X,X,O
TSJIZLO,O,O,X,O,O
TSJIZOL,O,O,X,O,X
TSJIOLZ,O,X,X,O,X
TSJIOZL,O,X,X,O,X
TSJLIZO,O,O,X,O,O
TSJLIOZ,O,O,X,X,O
TSJLZIO,O,O,X,O,O
TSJLZOI,O,O,X,O,O
TSJLOIZ,O,O,X,X,O
TSJLOZI,O,O,X,X,O
TSJZILO,O,O,X,O,O
TSJZIOL,O,O,X,O,X
TSJZLIO,O,O,X,O,O
TSJZLOI,O,O,X,O,O
TSJZOIL,O,O,X,O,X
TSJZOLI,O,O,X,O,X
TSJOILZ,O,X,X,O,X
TSJOIZL,O,X,X,O,X
TSJOLIZ,O,X,X,O,X
TSJOLZI,O,X,X,O,X
TSJOZIL,O,X,X,O,X
TSJOZLI,O,X,X,O,X
TSZILJO,O,O,O,O,X
TSZILOJ,O,O,O,O,X
TSZIJLO,O,O,O,O,X
TSZIJOL,O,O,O,O,X
TSZIOLJ,O,O,O,O,X
TSZIOJL,O,O,O,O,X
TSZLIJO,O,O,O,O,X
TSZLIOJ,O,O,O,O,X
TSZLJIO,O,O,O,O,O
TSZLJOI,O,O,O,O,O
TSZLOIJ,O,O,O,O,X
TSZLOJI,O,O,O,O,O
TSZJILO,O,O,O,O,O
TSZJIOL,O,O,O,O,X
TSZJLIO,O,O,O,O,O
TSZJLOI,O,O,O,O,O
TSZJOIL,O,O,O,O,X
TSZJOLI,O,O,O,O,X
TSZOILJ,O,O,O,O,X
TSZOIJL,O,O,O,O,X
TSZOLIJ,O,O,O,O,X
TSZOLJI,O,O,O,O,X
TSZOJIL,O,O,O,O,X
TSZOJLI,O,O,O,O,X
TSOILJZ,X,O,X,O,X
TSOILZJ,X,O,X,O,X
TSOIJLZ,X,X,X,O,X
TSOIJZL,X,X,X,O,X
TSOIZLJ,X,O,X,O,X
TSOIZJL,X,O,X,O,X
TSOLIJZ,X,O,X,O,X
TSOLIZJ,X,O,X,O,X
TSOLJIZ,O,O,X,O,X
TSOLJZI,O,O,X,O,X
TSOLZIJ,O,O,X,O,X
TSOLZJI,O,O,X,O,X
TSOJILZ,O,X,X,O,X
TSOJIZL,O,X,X,O,X
TSOJLIZ,O,X,X,O,X
TSOJLZI,O,X,X,O,X
TSOJZIL,O,X,X,O,X
TSOJZLI,O,X,X,O,X
TSOZILJ,O,O,X,O,X
TSOZIJL,O,O,X,O,X
TSOZLIJ,O,O,X,O,X
TSOZLJI,O,O,X,O,X
TSOZJIL,O,O,X,O,X
TSOZJLI,O,O,X,O,X
TZILJSO,O,O,O,X,O
TZILJOS,O,O,O,X,O
TZILSJO,X,O,O,X,X
TZILSOJ,X,O,O,X,X
TZILOJS,O,O,O,X,O
TZILOSJ,X,O,O,X,X
TZIJLSO,O,O,O,X,O
TZIJLOS,O,O,O,X,O
TZIJSLO,O,O,O,X,O
TZIJSOL,O,O,O,X,X
TZIJOLS,O,O,O,X,O
TZIJOSL,O,O,O,X,X
TZISLJO,O,O,O,O,X
TZISLOJ,O,O,O,O,X
TZISJLO,O,O,O,O,X
TZISJOL,O,O,O,O,X
TZISOLJ,O,O,O,O,X
TZISOJL,O,O,O,O,X
TZIOLJS,O,O,O,X,X
TZIOLSJ,X,O,O,O,X
TZIOJLS,O,O,O,X,X
TZIOJSL,O,O,O,X,X
TZIOSLJ,O,O,O,O,X
TZIOSJL,O,O,O,O,X
TZLIJSO,O,O,O,X,O
TZLIJOS,O,O,O,X,O
TZLISJO,X,O,O,X,X
TZLISOJ,X,O,O,X,X
TZLIOJS,O,O,O,X,O
TZLIOSJ,X,O,O,X,X
TZLJISO,O,O,O,X,O
TZLJIOS,O,O,O,X,O
TZLJSIO,O,O,O,X,O
TZLJSOI,O,O,O,X,O
TZLJOIS,O,O,O,X,O
TZLJOSI,O,O,O,X,O
TZLSIJO,O,O,O,X,X
TZLSIOJ,O,O,O,X,X
TZLSJIO,O,O,O,X,O
TZLSJOI,O,O,O,X,O
TZLSOIJ,O,O,O,X,X
TZLSOJI,O,O,O,X,O
TZLOIJS,O,O,O,X,O
TZLOISJ,X,O,O,X,X
TZLOJIS,O,O,O,X,O
TZLOJSI,O,O,O,X,O
TZLOSIJ,O,O,O,X,X
TZLOSJI,O,O,O,X,O
TZJILSO,O,O,O,X,O
TZJILOS,O,O,O,X,O
TZJISLO,O,O,O,X,O
TZJISOL,O,O,O,X,X
TZJIOLS,O,O,O,X,O
TZJIOSL,O,O,O,X,X
TZJLISO,O,O,O,X,O
TZJLIOS,O,O,O,X,O
TZJLSIO,O,O,O,X,O
TZJLSOI,O,O,O,X,O
TZJLOIS,O,O,O,X,O
TZJLOSI,O,O,O,X,O
TZJSILO,O,O,O,X,O
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,O,X,O
TZJSLOI,O,O,O,X,O
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,O,X,X
TZJOILS,O,O,O,X,O
TZJOISL,O,O,O,X,X
TZJOLIS,O,O,O,X,O
TZJOLSI,O,O,O,X,O
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,O,X,X
TZSILJO,O,O,O,O,X
TZSILOJ,O,O,O,O,X
TZSIJLO,O,O,O,O,X
TZSIJOL,O,O,O,O,X
TZSIOLJ,O,O,O,O,X
TZSIOJL,O,O,O,O,X
TZSLIJO,O,O,O,O,X
TZSLIOJ,O,O,O,O,X
TZSLJIO,O,O,O,O,O
TZSLJOI,O,O,O,O,O
TZSLOIJ,O,O,O,O,X
TZSLOJI,O,O,O,O,O
TZSJILO,O,O,O,O,O
TZSJIOL,O,O,O,O,X
TZSJLIO,O,O,O,O,O
TZSJLOI,O,O,O,O,O
TZSJOIL,O,O,O,O,X
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,O,O,X
TZSOIJL,O,O,O,O,X
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,O,O,X
TZSOJLI,O,O,O,O,X
TZOILJS,O,O,O,X,X
TZOILSJ,X,O,O,O,X
TZOIJLS,O,O,O,X,X
TZOIJSL,O,O,O,X,X
TZOISLJ,O,O,O,O,X
TZOISJL,O,O,O,O,X
TZOLIJS,O,O,O,X,O
TZOLISJ,X,O,O,O,X
TZOLJIS,O,O,O,X,O
TZOLJSI,O,O,O,X,O
TZOLSIJ,O,O,O,O,X
TZOLSJI,O,O,O,O,O
TZOJILS,O,O,O,X,O
TZOJISL,O,O,O,X,X
TZOJLIS,O,O,O,X,O
TZOJLSI,O,O,O,X,O
TZOJSIL,O,O,O,X,X
TZOJSLI,O,O,O,X,X
TZOSILJ,O,O,O,O,X
TZOSIJL,O,O,O,O,X
TZOSLIJ,O,O,O,O,X
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,X,X,X,O,O
TOILJZS,X,O,X,X,O
TOILSJZ,X,O,O,O,O
TOILSZJ,X,O,O,O,X
TOILZJS,X,O,O,X,O
TOILZSJ,X,O,O,O,X
TOIJLSZ,X,X,X,O,O
TOIJLZS,X,X,X,X,O
TOIJSLZ,O,X,X,O,X
TOIJSZL,O,X,X,O,X
TOIJZLS,O,X,X,X,O
TOIJZSL,O,X,X,X,X
TOISLJZ,X,O,X,O,X
TOISLZJ,X,O,X,O,X
TOISJLZ,X,X,X,O,X
TOISJZL,X,X,X,O,X
TOISZLJ,X,O,X,O,X
TOISZJL,X,O,X,O,X
TOIZLJS,O,O,O,X,X
TOIZLSJ,X,O,O,O,X
TOIZJLS,O,O,O,X,X
TOIZJSL,O,O,O,X,X
TOIZSLJ,X,O,O,O,X
TOIZSJL,O,O,O,O,X
TOLIJSZ,X,X,X,O,O
TOLIJZS,X,O,X,X,O
TOLISJZ,X,O,O,O,O
TOLISZJ,X,O,O,O,X
TOLIZJS,X,O,O,X,O
TOLIZSJ,X,O,O,O,X
TOLJISZ,X,X,X,O,O
TOLJIZS,X,O,X,X,O
TOLJSIZ,X,X,X,O,O
TOLJSZI,X,X,X,O,O
TOLJZIS,X,O,X,X,O
TOLJZSI,X,O,X,X,O
TOLSIJZ,X,O,O,O,O
TOLSIZJ,X,O,O,O,X
TOLSJIZ,X,O,O,O,O
TOLSJZI,X,O,O,O,O
TOLSZIJ,X,O,O,O,X
TOLSZJI,X,O,O,O,O
TOLZIJS,X,O,O,X,O
TOLZISJ,X,O,O,O,X
TOLZJIS,X,O,O,X,O
TOLZJSI,X,O,O,X,O
TOLZSIJ,X,O,O,O,X
TOLZSJI,X,O,O,O,O
TOJILSZ,X,X,X,O,O
TOJILZS,X,X,X,X,O
TOJISLZ,O,X,X,O,X
TOJISZL,O,X,X,O,X
TOJIZLS,O,X,X,X,O
TOJIZSL,O,X,X,X,X
TOJLISZ,X,X,X,O,O
TOJLIZS,X,X,X,X,O
TOJLSIZ,X,X,X,O,O
TOJLSZI,X,X,X,O,O
TOJLZIS,X,X,X,X,O
TOJLZSI,X,X,X,X,O
TOJSILZ,O,X,X,O,X
TOJSIZL,O,X,X,O,X
TOJSLIZ,O,X,X,O,X
TOJSLZI,O,X,X,O,X
TOJSZIL,O,X,X,O,X
TOJSZLI,O,X,X,O,X
TOJZILS,O,X,X,X,O
TOJZISL,O,X,X,X,X
TOJZLIS,O,X,X,X,O
TOJZLSI,O,X,X,X,O
TOJZSIL,O,X,X,X,X
TOJZSLI,O,X,X,X,X
TOSILJZ,X,O,X,O,X
TOSILZJ,X,O,X,O,X
TOSIJLZ,X,X,X,O,X
TOSIJZL,X,X,X,O,X
TOSIZLJ,X,O,X,O,X
TOSIZJL,X,O,X,O,X
TOSLIJZ,X,O,X,O,X
TOSLIZJ,X,O,X,O,X
TOSLJIZ,O,O,X,O,X
TOSLJZI,O,O,X,O,X
TOSLZIJ,O,O,X,O,X
TOSLZJI,O,O,X,O,X
TOSJILZ,O,X,X,O,X
TOSJIZL,O,X,X,O,X
TOSJLIZ,O,X,X,O,X
TOSJLZI,O,X,X,O,X
TOSJZIL,O,X,X,O,X
TOSJZLI,O,X,X,O,X
TOSZILJ,O,O,X,O,X
TOSZIJL,O,O,X,O,X
TOSZLIJ,O,O,X,O,X
TOSZLJI,O,O,X,O,X
TOSZJIL,O,O,X,O,X
TOSZJLI,O,O,X,O,X
TOZILJS,O,O,O,X,X
TOZILSJ,X,O,O,O,X
TOZIJLS,O,O,O,X,X
TOZIJSL,O,O,O,X,X
TOZISLJ,O,O,O,O,X
TOZISJL,O,O,O,O,X
TOZLIJS,O,O,O,X,O
TOZLISJ,X,O,O,O,X
TOZLJIS,O,O,O,X,O
TOZLJSI,O,O,O,X,O
TOZLSIJ,O,O,O,O,X
TOZLSJI,O,O,O,O,O
TOZJILS,O,O,O,X,O
