sequence,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFFgBzhBCjBX?oBmqB8qB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFUgBzhBerBF?tB3qBCtB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFUgBzhBerBC?tB3qBFtB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhFUgBymBGjBz?nB1qBXrB,v115@IhA8IeA8CeB8BeA8AeB8BeE8JeZEJvhF3gBzhBerBC?tBUqBFtB
ITLOZSJ,X,X,X,X,X
ITJLSZO,X,X,X,X,X
ITJLSOZ,X,X,X,X,O
ITJLZSO,X,X,X,X,X
ITJLZOS,X,O,O,X,X
ITJLOSZ,X,X,X,X,O
ITJLOZS,X,O,O,X,X
ITJSLZO,O,X,X,X,X
ITJSLOZ,O,X,X,X,O
ITJSZLO,O,X,X,X,X
ITJSZOL,O,O,X,X,X
ITJSOLZ,O,X,X,X,O
ITJSOZL,O,O,X,X,X
ITJZLSO,X,X,X,X,X
ITJZLOS,X,O,O,X,X
ITJZSLO,X,X,X,X,X
ITJZSOL,X,O,X,X,X
ITJZOLS,X,O,O,X,X
ITJZOSL,X,O,X,X,X
ITJOLSZ,X,X,X,X,O
ITJOLZS,X,O,O,X,X
ITJOSLZ,O,X,X,X,O
ITJOSZL,O,O,X,X,X
ITJOZLS,X,O,O,X,X
ITJOZSL,X,O,X,X,X
ITSLJZO,O,X,X,X,X
ITSLJOZ,O,X,X,X,X
ITSLZJO,X,X,X,X,X
ITSLZOJ,X,X,X,X,X
ITSLOJZ,O,X,X,X,X
ITSLOZJ,X,X,X,X,X
ITSJLZO,O,X,X,X,X
ITSJLOZ,O,X,X,X,X
ITSJZLO,O,X,X,X,X
ITSJZOL,O,O,X,X,X
ITSJOLZ,O,X,X,X,X
ITSJOZL,O,O,X,X,X
ITSZLJO,X,X,X,X,X
ITSZLOJ,X,X,X,X,X
ITSZJLO,X,X,X,X,X
ITSZJOL,X,O,X,X,X
ITSZOLJ,X,X,X,X,X
ITSZOJL,X,X,X,X,X
ITSOLJZ,O,X,X,X,X
ITSOLZJ,X,X,X,X,X
ITSOJLZ,O,X,X,X,X
ITSOJZL,O,O,X,X,X
ITSOZLJ,X,X,X,X,X
ITSOZJL,X,X,X,X,X
ITZLJSO,X,X,X,X,X
ITZLJOS,X,O,O,X,X
ITZLSJO,X,X,X,X,X
ITZLSOJ,X,X,X,X,X
ITZLOJS,X,X,X,O,X
ITZLOSJ,X,X,X,X,X
ITZJLSO,X,X,X,X,X
ITZJLOS,X,O,O,X,X
ITZJSLO,X,X,X,X,X
ITZJSOL,X,O,X,X,X
ITZJOLS,X,O,O,X,X
ITZJOSL,X,O,X,X,X
ITZSLJO,X,X,X,X,X
ITZSLOJ,X,X,X,X,X
ITZSJLO,X,X,X,X,X
ITZSJOL,X,O,X,X,X
ITZSOLJ,X,X,X,X,X
ITZSOJL,X,X,X,X,X
ITZOLJS,X,X,X,O,X
ITZOLSJ,X,X,X,X,X
ITZOJLS,X,O,X,O,X
ITZOJSL,X,O,X,X,X
ITZOSLJ,X,X,X,X,X
ITZOSJL,X,X,X,X,X
ITOLJSZ,X,X,X,X,O
ITOLJZS,X,O,O,O,X
ITOLSJZ,X,X,X,X,X
ITOLSZJ,X,X,X,X,X
ITOLZJS,X,X,X,O,X
ITOLZSJ,X,X,X,X,X
ITOJLSZ,X,X,X,X,O
ITOJLZS,X,O,O,O,X
ITOJSLZ,O,X,X,X,O
ITOJSZL,O,O,X,X,X
ITOJZLS,X,O,O,O,X
ITOJZSL,X,O,X,X,X
ITOSLJZ,O,X,X,X,X
ITOSLZJ,X,X,X,X,X
ITOSJLZ,O,X,X,X,X
ITOSJZL,O,O,X,X,X
ITOSZLJ,X,X,X,X,X
ITOSZJL,X,X,X,X,X
ITOZLJS,X,X,X,O,X
ITOZLSJ,X,X,X,X,X
ITOZJLS,X,O,X,O,X
ITOZJSL,X,O,X,X,X
ITOZSLJ,X,X,X,X,X
ITOZSJL,X,X,X,X,X
ILTJSZO,X,X,X,X,X
ILTJSOZ,X,X,X,X,O
ILTJZSO,X,X,X,X,X
ILTJZOS,X,O,O,X,X
ILTJOSZ,X,X,X,X,O
ILTJOZS,X,O,O,X,X
ILTSJZO,X,X,X,X,X
ILTSJOZ,X,X,X,X,X
ILTSZJO,X,X,X,X,X
ILTSZOJ,X,X,X,X,X
ILTSOJZ,X,X,X,X,X
ILTSOZJ,X,X,X,X,X
ILTZJSO,X,X,X,X,X
ILTZJOS,X,O,O,X,X
ILTZSJO,X,X,X,X,X
ILTZSOJ,X,X,X,X,X
ILTZOJS,X,X,X,O,X
ILTZOSJ,X,X,X,X,X
ILTOJSZ,X,X,X,X,O
ILTOJZS,X,O,O,O,X
ILTOSJZ,X,X,X,X,X
ILTOSZJ,X,X,X,X,X
ILTOZJS,X,X,X,O,X
ILTOZSJ,X,X,X,X,X
ILJTSZO,X,X,X,X,X
ILJTSOZ,X,X,X,X,O
ILJTZSO,X,X,X,X,X
ILJTZOS,X,O,O,X,X
ILJTOSZ,X,X,X,X,O
ILJTOZS,X,O,O,X,X
ILJSTZO,O,X,X,X,X
ILJSTOZ,O,X,X,X,O
ILJSZTO,O,X,X,X,X
ILJSZOT,O,X,O,X,O
ILJSOTZ,O,X,X,X,O
ILJSOZT,O,X,O,X,O
ILJZTSO,X,X,X,X,X
ILJZTOS,X,O,O,X,X
ILJZSTO,X,X,X,X,X
ILJZSOT,X,X,O,X,O
ILJZOTS,X,O,O,O,X
ILJZOST,X,X,O,O,O
ILJOTSZ,X,X,X,X,O
ILJOTZS,X,O,O,O,X
ILJOSTZ,O,X,X,X,O
ILJOSZT,O,X,O,O,O
ILJOZTS,X,O,O,O,X
ILJOZST,X,X,O,O,O
ILSTJZO,O,X,X,X,X
ILSTJOZ,O,X,X,X,X
ILSTZJO,X,X,X,X,X
ILSTZOJ,X,X,X,X,X
ILSTOJZ,O,X,X,X,X
ILSTOZJ,X,X,X,X,X
ILSJTZO,O,X,X,X,X
ILSJTOZ,O,X,X,X,O
ILSJZTO,O,X,X,X,X
ILSJZOT,O,X,O,X,O
ILSJOTZ,O,X,X,X,O
ILSJOZT,O,X,O,X,O
ILSZTJO,X,X,X,X,X
ILSZTOJ,X,X,X,X,X
ILSZJTO,O,X,X,X,X
ILSZJOT,O,X,O,X,X
ILSZOTJ,X,X,X,X,X
ILSZOJT,O,X,X,O,X
ILSOTJZ,O,X,X,X,X
ILSOTZJ,X,X,X,X,X
ILSOJTZ,O,X,X,X,O
ILSOJZT,O,X,O,O,O
ILSOZTJ,X,X,X,X,X
ILSOZJT,O,X,X,O,X
ILZTJSO,X,X,X,X,X
ILZTJOS,X,O,O,X,X
ILZTSJO,X,X,X,X,X
ILZTSOJ,X,X,X,X,X
ILZTOJS,X,X,X,O,X
ILZTOSJ,X,X,X,X,X
ILZJTSO,X,X,X,X,X
ILZJTOS,X,O,O,X,X
ILZJSTO,X,X,X,X,X
ILZJSOT,X,X,O,X,O
ILZJOTS,X,O,O,O,X
ILZJOST,X,X,O,O,O
ILZSTJO,X,X,X,X,X
ILZSTOJ,X,X,X,X,X
ILZSJTO,X,X,X,X,X
ILZSJOT,X,X,O,X,X
ILZSOTJ,X,X,X,X,X
ILZSOJT,X,X,X,O,X
ILZOTJS,X,X,X,O,X
ILZOTSJ,X,X,X,X,X
ILZOJTS,X,X,O,O,X
ILZOJST,X,X,O,O,O
ILZOSTJ,X,X,X,X,X
ILZOSJT,X,X,X,O,X
ILOTJSZ,X,X,X,X,O
ILOTJZS,X,O,O,O,X
ILOTSJZ,X,X,X,X,X
ILOTSZJ,X,X,X,X,X
ILOTZJS,X,X,X,O,X
ILOTZSJ,X,X,X,X,X
ILOJTSZ,X,X,X,X,O
ILOJTZS,X,O,O,O,X
ILOJSTZ,O,X,X,X,O
ILOJSZT,O,X,O,O,O
ILOJZTS,X,O,O,O,X
ILOJZST,X,X,O,O,O
ILOSTJZ,O,X,X,X,X
ILOSTZJ,X,X,X,X,X
ILOSJTZ,O,X,X,X,O
ILOSJZT,O,X,O,O,O
ILOSZTJ,X,X,X,X,X
ILOSZJT,O,X,X,O,X
ILOZTJS,X,X,X,O,X
ILOZTSJ,X,X,X,X,X
ILOZJTS,X,X,O,O,X
ILOZJST,X,X,O,O,O
ILOZSTJ,X,X,X,X,X
ILOZSJT,X,X,X,O,X
IJTLSZO,X,X,X,X,X
IJTLSOZ,X,X,X,X,O
IJTLZSO,X,X,X,X,X
IJTLZOS,X,O,O,X,X
IJTLOSZ,X,X,X,X,O
IJTLOZS,X,O,O,X,X
IJTSLZO,O,X,X,X,X
IJTSLOZ,O,X,X,X,O
IJTSZLO,O,X,X,X,X
IJTSZOL,O,O,X,X,X
IJTSOLZ,O,X,X,X,O
IJTSOZL,O,O,X,X,X
IJTZLSO,X,X,X,X,X
IJTZLOS,X,O,O,X,X
IJTZSLO,X,X,X,X,X
IJTZSOL,X,O,X,X,X
IJTZOLS,X,O,O,X,X
IJTZOSL,X,O,X,X,X
IJTOLSZ,X,X,X,X,O
IJTOLZS,X,O,O,X,X
IJTOSLZ,O,X,X,X,O
IJTOSZL,O,O,X,X,X
IJTOZLS,X,O,O,X,X
IJTOZSL,X,O,X,X,X
IJLTSZO,X,X,X,X,X
IJLTSOZ,X,X,X,X,O
IJLTZSO,X,X,X,X,X
IJLTZOS,X,O,O,X,X
IJLTOSZ,X,X,X,X,O
IJLTOZS,X,O,O,X,X
IJLSTZO,O,X,X,X,X
IJLSTOZ,O,X,X,X,O
IJLSZTO,O,X,X,X,X
IJLSZOT,O,X,O,X,O
IJLSOTZ,O,X,X,X,O
IJLSOZT,O,X,O,X,O
IJLZTSO,X,X,X,X,X
IJLZTOS,X,O,O,X,X
IJLZSTO,X,X,X,X,X
IJLZSOT,X,X,O,X,O
IJLZOTS,X,O,O,O,X
IJLZOST,X,X,O,O,O
IJLOTSZ,X,X,X,X,O
IJLOTZS,X,O,O,O,X
IJLOSTZ,O,X,X,X,O
IJLOSZT,O,X,O,O,O
IJLOZTS,X,O,O,O,X
IJLOZST,X,X,O,O,O
IJSTLZO,O,X,X,X,X
IJSTLOZ,O,X,X,X,O
IJSTZLO,O,X,X,X,X
IJSTZOL,O,O,X,X,X
IJSTOLZ,O,X,X,X,O
IJSTOZL,O,O,X,X,X
IJSLTZO,O,X,X,X,X
IJSLTOZ,O,X,X,X,O
IJSLZTO,O,X,X,X,X
IJSLZOT,O,X,O,X,O
IJSLOTZ,O,X,X,X,O
IJSLOZT,O,X,O,X,O
IJSZTLO,O,X,X,X,X
IJSZTOL,O,O,X,X,X
IJSZLTO,O,X,X,X,X
IJSZLOT,O,X,O,X,O
IJSZOTL,O,O,X,X,X
IJSZOLT,O,X,O,X,O
IJSOTLZ,O,X,X,X,O
IJSOTZL,O,O,X,X,X
IJSOLTZ,O,X,X,X,O
IJSOLZT,O,X,O,X,O
IJSOZTL,O,O,X,X,X
IJSOZLT,O,X,O,X,O
IJZTLSO,X,X,X,X,X
IJZTLOS,X,O,O,X,X
IJZTSLO,X,X,X,X,X
IJZTSOL,X,O,X,X,X
IJZTOLS,X,O,O,X,X
IJZTOSL,X,O,X,X,X
IJZLTSO,X,X,X,X,X
IJZLTOS,X,O,O,X,X
IJZLSTO,X,X,X,X,X
IJZLSOT,X,X,O,X,O
IJZLOTS,X,O,O,O,X
IJZLOST,X,X,O,O,O
IJZSTLO,O,X,X,X,X
IJZSTOL,O,O,X,X,X
IJZSLTO,O,X,X,X,X
IJZSLOT,O,X,O,X,O
IJZSOTL,O,O,X,X,X
IJZSOLT,O,X,O,X,O
IJZOTLS,X,O,O,O,X
IJZOTSL,X,O,X,X,X
IJZOLTS,X,O,O,O,X
IJZOLST,X,X,O,O,O
IJZOSTL,O,O,X,X,X
IJZOSLT,O,X,O,O,O
IJOTLSZ,X,X,X,X,O
IJOTLZS,X,O,O,O,X
IJOTSLZ,O,X,X,X,O
IJOTSZL,O,O,X,X,X
IJOTZLS,X,O,O,O,X
IJOTZSL,X,O,X,X,X
IJOLTSZ,X,X,X,X,O
IJOLTZS,X,O,O,O,X
IJOLSTZ,O,X,X,X,O
IJOLSZT,O,X,O,O,O
IJOLZTS,X,O,O,O,X
IJOLZST,X,X,O,O,O
IJOSTLZ,O,X,X,X,O
IJOSTZL,O,O,X,X,X
IJOSLTZ,O,X,X,X,O
IJOSLZT,O,X,O,O,O
IJOSZTL,O,O,X,X,X
IJOSZLT,O,X,O,O,O
IJOZTLS,X,O,O,O,X
IJOZTSL,X,O,X,X,X
IJOZLTS,X,O,O,O,X
IJOZLST,X,X,O,O,O
IJOZSTL,O,O,X,X,X
IJOZSLT,O,X,O,O,O
ISTLJZO,O,X,X,X,X
ISTLJOZ,O,X,X,X,X
ISTLZJO,X,X,X,X,X
ISTLZOJ,X,X,X,X,X
ISTLOJZ,O,X,X,X,X
ISTLOZJ,X,X,X,X,X
ISTJLZO,O,X,X,X,X
ISTJLOZ,O,X,X,X,X
ISTJZLO,O,X,X,X,X
ISTJZOL,O,O,X,X,X
ISTJOLZ,O,X,X,X,X
ISTJOZL,O,O,X,X,X
ISTZLJO,X,X,X,X,X
ISTZLOJ,X,X,X,X,X
ISTZJLO,X,X,X,X,X
ISTZJOL,X,O,X,X,X
ISTZOLJ,X,X,X,X,X
ISTZOJL,X,X,X,X,X
ISTOLJZ,O,X,X,X,X
ISTOLZJ,X,X,X,X,X
ISTOJLZ,O,X,X,X,X
ISTOJZL,O,O,X,X,X
ISTOZLJ,X,X,X,X,X
ISTOZJL,X,X,X,X,X
ISLTJZO,O,X,X,X,X
ISLTJOZ,O,X,X,X,X
ISLTZJO,X,X,X,X,X
ISLTZOJ,X,X,X,X,X
ISLTOJZ,O,X,X,X,X
ISLTOZJ,X,X,X,X,X
ISLJTZO,O,X,X,X,X
ISLJTOZ,O,X,X,X,O
ISLJZTO,O,X,X,X,X
ISLJZOT,O,X,O,X,O
ISLJOTZ,O,X,X,X,O
ISLJOZT,O,X,O,X,O
ISLZTJO,X,X,X,X,X
ISLZTOJ,X,X,X,X,X
ISLZJTO,O,X,X,X,X
ISLZJOT,O,X,O,X,X
ISLZOTJ,X,X,X,X,X
ISLZOJT,O,X,X,O,X
ISLOTJZ,O,X,X,X,X
ISLOTZJ,X,X,X,X,X
ISLOJTZ,O,X,X,X,O
ISLOJZT,O,X,O,O,O
ISLOZTJ,X,X,X,X,X
ISLOZJT,O,X,X,O,X
ISJTLZO,O,X,X,X,X
ISJTLOZ,O,X,X,X,O
ISJTZLO,O,X,X,X,X
ISJTZOL,O,O,X,X,X
ISJTOLZ,O,X,X,X,O
ISJTOZL,O,O,X,X,X
ISJLTZO,O,X,X,X,X
ISJLTOZ,O,X,X,X,O
ISJLZTO,O,X,X,X,X
ISJLZOT,O,X,O,X,O
ISJLOTZ,O,X,X,X,O
ISJLOZT,O,X,O,X,O
ISJZTLO,O,X,X,X,X
ISJZTOL,O,O,X,X,X
ISJZLTO,O,X,X,X,X
ISJZLOT,O,X,O,X,O
ISJZOTL,O,O,X,X,X
ISJZOLT,O,X,O,X,O
ISJOTLZ,O,X,X,X,O
ISJOTZL,O,O,X,X,X
ISJOLTZ,O,X,X,X,O
ISJOLZT,O,X,O,X,O
ISJOZTL,O,O,X,X,X
ISJOZLT,O,X,O,X,O
ISZTLJO,X,X,X,X,X
ISZTLOJ,X,X,X,X,X
ISZTJLO,X,X,X,X,X
ISZTJOL,X,O,X,X,X
ISZTOLJ,X,X,X,X,X
ISZTOJL,X,X,X,X,X
ISZLTJO,X,X,X,X,X
ISZLTOJ,X,X,X,X,X
ISZLJTO,O,X,X,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,X,X,X,X,X
ISZLOJT,O,X,X,O,X
ISZJTLO,O,X,X,X,X
ISZJTOL,O,O,X,X,X
ISZJLTO,O,X,X,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,O,O,X,X,X
ISZJOLT,O,X,O,X,X
ISZOTLJ,X,X,X,X,X
ISZOTJL,X,X,X,X,X
ISZOLTJ,X,X,X,X,X
ISZOLJT,O,X,X,O,X
ISZOJTL,O,X,X,X,X
ISZOJLT,O,X,X,O,X
ISOTLJZ,O,X,X,X,X
ISOTLZJ,X,X,X,X,X
ISOTJLZ,O,X,X,X,X
ISOTJZL,O,O,X,X,X
ISOTZLJ,X,X,X,X,X
ISOTZJL,X,X,X,X,X
ISOLTJZ,O,X,X,X,X
ISOLTZJ,X,X,X,X,X
ISOLJTZ,O,X,X,X,O
ISOLJZT,O,X,O,O,O
ISOLZTJ,X,X,X,X,X
ISOLZJT,O,X,X,O,X
ISOJTLZ,O,X,X,X,O
ISOJTZL,O,O,X,X,X
ISOJLTZ,O,X,X,X,O
ISOJLZT,O,X,O,O,O
ISOJZTL,O,O,X,X,X
ISOJZLT,O,X,O,O,O
ISOZTLJ,X,X,X,X,X
ISOZTJL,X,X,X,X,X
ISOZLTJ,X,X,X,X,X
ISOZLJT,O,X,X,O,X
ISOZJTL,O,X,X,X,X
ISOZJLT,O,X,X,O,X
IZTLJSO,X,X,X,X,X
IZTLJOS,X,O,O,X,X
IZTLSJO,X,X,X,X,X
IZTLSOJ,X,X,X,X,X
IZTLOJS,X,X,X,O,X
IZTLOSJ,X,X,X,X,X
IZTJLSO,X,X,X,X,X
IZTJLOS,X,O,O,X,X
IZTJSLO,X,X,X,X,X
IZTJSOL,X,O,X,X,X
IZTJOLS,X,O,O,X,X
IZTJOSL,X,O,X,X,X
IZTSLJO,X,X,X,X,X
IZTSLOJ,X,X,X,X,X
IZTSJLO,X,X,X,X,X
IZTSJOL,X,O,X,X,X
IZTSOLJ,X,X,X,X,X
IZTSOJL,X,X,X,X,X
IZTOLJS,X,X,X,O,X
IZTOLSJ,X,X,X,X,X
IZTOJLS,X,O,X,O,X
IZTOJSL,X,O,X,X,X
IZTOSLJ,X,X,X,X,X
IZTOSJL,X,X,X,X,X
IZLTJSO,X,X,X,X,X
IZLTJOS,X,O,O,X,X
IZLTSJO,X,X,X,X,X
IZLTSOJ,X,X,X,X,X
IZLTOJS,X,X,X,O,X
IZLTOSJ,X,X,X,X,X
IZLJTSO,X,X,X,X,X
IZLJTOS,X,O,O,X,X
IZLJSTO,X,X,X,X,X
IZLJSOT,X,X,O,X,O
IZLJOTS,X,O,O,O,X
IZLJOST,X,X,O,O,O
IZLSTJO,X,X,X,X,X
IZLSTOJ,X,X,X,X,X
IZLSJTO,X,X,X,X,X
IZLSJOT,X,X,O,X,X
IZLSOTJ,X,X,X,X,X
IZLSOJT,X,X,X,O,X
IZLOTJS,X,X,X,O,X
IZLOTSJ,X,X,X,X,X
IZLOJTS,X,X,O,O,X
IZLOJST,X,X,O,O,O
IZLOSTJ,X,X,X,X,X
IZLOSJT,X,X,X,O,X
IZJTLSO,X,X,X,X,X
IZJTLOS,X,O,O,X,X
IZJTSLO,X,X,X,X,X
IZJTSOL,X,O,X,X,X
IZJTOLS,X,O,O,X,X
IZJTOSL,X,O,X,X,X
IZJLTSO,X,X,X,X,X
IZJLTOS,X,O,O,X,X
IZJLSTO,X,X,X,X,X
IZJLSOT,X,X,O,X,O
IZJLOTS,X,O,O,O,X
IZJLOST,X,X,O,O,O
IZJSTLO,O,X,X,X,X
IZJSTOL,O,O,X,X,X
IZJSLTO,O,X,X,X,X
IZJSLOT,O,X,O,X,O
IZJSOTL,O,O,X,X,X
IZJSOLT,O,X,O,X,O
IZJOTLS,X,O,O,O,X
IZJOTSL,X,O,X,X,X
IZJOLTS,X,O,O,O,X
IZJOLST,X,X,O,O,O
IZJOSTL,O,O,X,X,X
IZJOSLT,O,X,O,O,O
IZSTLJO,X,X,X,X,X
IZSTLOJ,X,X,X,X,X
IZSTJLO,X,X,X,X,X
IZSTJOL,X,O,X,X,X
IZSTOLJ,X,X,X,X,X
IZSTOJL,X,X,X,X,X
IZSLTJO,X,X,X,X,X
IZSLTOJ,X,X,X,X,X
IZSLJTO,O,X,X,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,X,X,X,X,X
IZSLOJT,O,X,X,O,X
IZSJTLO,O,X,X,X,X
IZSJTOL,O,O,X,X,X
IZSJLTO,O,X,X,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,O,O,X,X,X
IZSJOLT,O,X,O,X,X
IZSOTLJ,X,X,X,X,X
IZSOTJL,X,X,X,X,X
IZSOLTJ,X,X,X,X,X
IZSOLJT,O,X,X,O,X
IZSOJTL,O,X,X,X,X
IZSOJLT,O,X,X,O,X
IZOTLJS,X,X,X,O,X
IZOTLSJ,X,X,X,X,X
IZOTJLS,X,O,X,O,X
IZOTJSL,X,O,X,X,X
IZOTSLJ,X,X,X,X,X
IZOTSJL,X,X,X,X,X
IZOLTJS,X,X,X,O,X
IZOLTSJ,X,X,X,X,X
IZOLJTS,X,X,O,O,X
IZOLJST,X,X,O,O,O
IZOLSTJ,X,X,X,X,X
IZOLSJT,X,X,X,O,X
IZOJTLS,X,O,O,O,X
IZOJTSL,X,O,X,X,X
IZOJLTS,X,O,O,O,X
IZOJLST,X,X,O,O,O
IZOJSTL,O,O,X,X,X
IZOJSLT,O,X,O,O,O
IZOSTLJ,X,X,X,X,X
IZOSTJL,X,X,X,X,X
IZOSLTJ,X,X,X,X,X
IZOSLJT,O,X,X,O,X
IZOSJTL,O,X,X,X,X
IZOSJLT,O,X,X,O,X
IOTLJSZ,X,X,X,X,O
IOTLJZS,X,O,O,O,X
IOTLSJZ,X,X,X,X,X
IOTLSZJ,X,X,X,X,X
IOTLZJS,X,X,X,O,X
IOTLZSJ,X,X,X,X,X
IOTJLSZ,X,X,X,X,O
IOTJLZS,X,O,O,O,X
IOTJSLZ,O,X,X,X,O
IOTJSZL,O,O,X,X,X
IOTJZLS,X,O,O,O,X
IOTJZSL,X,O,X,X,X
IOTSLJZ,O,X,X,X,X
IOTSLZJ,X,X,X,X,X
IOTSJLZ,O,X,X,X,X
IOTSJZL,O,O,X,X,X
IOTSZLJ,X,X,X,X,X
IOTSZJL,X,X,X,X,X
IOTZLJS,X,X,X,O,X
IOTZLSJ,X,X,X,X,X
IOTZJLS,X,O,X,O,X
IOTZJSL,X,O,X,X,X
IOTZSLJ,X,X,X,X,X
IOTZSJL,X,X,X,X,X
IOLTJSZ,X,X,X,X,O
IOLTJZS,X,O,O,O,X
IOLTSJZ,X,X,X,X,X
IOLTSZJ,X,X,X,X,X
IOLTZJS,X,X,X,O,X
IOLTZSJ,X,X,X,X,X
IOLJTSZ,X,X,X,X,O
IOLJTZS,X,O,O,O,X
IOLJSTZ,O,X,X,X,O
IOLJSZT,O,X,O,O,O
IOLJZTS,X,O,O,O,X
IOLJZST,X,X,O,O,O
IOLSTJZ,O,X,X,X,X
IOLSTZJ,X,X,X,X,X
IOLSJTZ,O,X,X,X,O
IOLSJZT,O,X,O,O,O
IOLSZTJ,X,X,X,X,X
IOLSZJT,O,X,X,O,X
IOLZTJS,X,X,X,O,X
IOLZTSJ,X,X,X,X,X
IOLZJTS,X,X,O,O,X
IOLZJST,X,X,O,O,O
IOLZSTJ,X,X,X,X,X
IOLZSJT,X,X,X,O,X
IOJTLSZ,X,X,X,X,O
IOJTLZS,X,O,O,O,X
IOJTSLZ,O,X,X,X,O
IOJTSZL,O,O,X,X,X
IOJTZLS,X,O,O,O,X
IOJTZSL,X,O,X,X,X
IOJLTSZ,X,X,X,X,O
IOJLTZS,X,O,O,O,X
IOJLSTZ,O,X,X,X,O
IOJLSZT,O,X,O,O,O
IOJLZTS,X,O,O,O,X
IOJLZST,X,X,O,O,O
IOJSTLZ,O,X,X,X,O
IOJSTZL,O,O,X,X,X
IOJSLTZ,O,X,X,X,O
IOJSLZT,O,X,O,O,O
IOJSZTL,O,O,X,X,X
IOJSZLT,O,X,O,O,O
IOJZTLS,X,O,O,O,X
IOJZTSL,X,O,X,X,X
IOJZLTS,X,O,O,O,X
IOJZLST,X,X,O,O,O
IOJZSTL,O,O,X,X,X
IOJZSLT,O,X,O,O,O
IOSTLJZ,O,X,X,X,X
IOSTLZJ,X,X,X,X,X
IOSTJLZ,O,X,X,X,X
IOSTJZL,O,O,X,X,X
IOSTZLJ,X,X,X,X,X
IOSTZJL,X,X,X,X,X
IOSLTJZ,O,X,X,X,X
IOSLTZJ,X,X,X,X,X
IOSLJTZ,O,X,X,X,O
IOSLJZT,O,X,O,O,O
IOSLZTJ,X,X,X,X,X
IOSLZJT,O,X,X,O,X
IOSJTLZ,O,X,X,X,O
IOSJTZL,O,O,X,X,X
IOSJLTZ,O,X,X,X,O
IOSJLZT,O,X,O,O,O
IOSJZTL,O,O,X,X,X
IOSJZLT,O,X,O,O,O
IOSZTLJ,X,X,X,X,X
IOSZTJL,X,X,X,X,X
IOSZLTJ,X,X,X,X,X
IOSZLJT,O,X,X,O,X
IOSZJTL,O,X,X,X,X
IOSZJLT,O,X,X,O,X
IOZTLJS,X,X,X,O,X
IOZTLSJ,X,X,X,X,X
IOZTJLS,X,O,X,O,X
IOZTJSL,X,O,X,X,X
IOZTSLJ,X,X,X,X,X
IOZTSJL,X,X,X,X,X
IOZLTJS,X,X,X,O,X
IOZLTSJ,X,X,X,X,X
IOZLJTS,X,X,O,O,X
IOZLJST,X,X,O,O,O
IOZLSTJ,X,X,X,X,X
IOZLSJT,X,X,X,O,X
IOZJTLS,X,O,O,O,X
IOZJTSL,X,O,X,X,X
IOZJLTS,X,O,O,O,X
IOZJLST,X,X,O,O,O
IOZJSTL,O,O,X,X,X
IOZJSLT,O,X,O,O,O
IOZSTLJ,X,X,X,X,X
IOZSTJL,X,X,X,X,X
IOZSLTJ,X,X,X,X,X
IOZSLJT,O,X,X,O,X
IOZSJTL,O,X,X,X,X
IOZSJLT,O,X,X,O,X
LTIJSZO,X,X,X,X,X
LTIJSOZ,X,X,X,X,O
LTIJZSO,X,X,X,X,X
LTIJZOS,X,O,O,X,X
LTIJOSZ,X,X,X,X,O
LTIJOZS,X,O,O,X,X
LTISJZO,X,X,X,X,X
LTISJOZ,X,X,X,X,X
LTISZJO,X,X,X,X,X
LTISZOJ,X,X,X,X,X
LTISOJZ,X,X,X,X,X
LTISOZJ,X,X,X,X,X
LTIZJSO,X,X,X,X,X
LTIZJOS,X,O,O,X,X
LTIZSJO,X,X,X,X,X
LTIZSOJ,X,X,X,X,X
LTIZOJS,X,X,X,O,X
LTIZOSJ,X,X,X,X,X
LTIOJSZ,X,X,X,X,O
LTIOJZS,X,O,O,O,X
LTIOSJZ,X,X,X,X,X
LTIOSZJ,X,X,X,X,X
LTIOZJS,X,X,X,O,X
LTIOZSJ,X,X,X,X,X
LTJISZO,X,X,X,X,X
LTJISOZ,X,X,X,X,O
LTJIZSO,X,X,X,X,X
LTJIZOS,X,O,O,X,X
LTJIOSZ,X,X,X,X,O
LTJIOZS,X,O,O,X,X
LTJSIZO,X,X,X,X,X
LTJSIOZ,X,X,X,X,O
LTJSZIO,X,X,X,X,X
LTJSZOI,X,X,X,X,X
LTJSOIZ,X,X,X,X,O
LTJSOZI,X,X,X,X,X
LTJZISO,X,X,X,X,X
LTJZIOS,X,O,O,X,X
LTJZSIO,X,X,X,X,X
LTJZSOI,X,X,X,X,X
LTJZOIS,X,O,O,X,X
LTJZOSI,X,X,X,X,X
LTJOISZ,X,X,X,X,O
LTJOIZS,X,O,O,X,X
LTJOSIZ,X,X,X,X,O
LTJOSZI,X,X,X,X,X
LTJOZIS,X,O,O,X,X
LTJOZSI,X,X,X,X,X
LTSIJZO,X,X,X,X,X
LTSIJOZ,X,X,X,X,X
LTSIZJO,X,X,X,X,X
LTSIZOJ,X,X,X,X,X
LTSIOJZ,X,X,X,X,X
