sequence,v115@RhD8DeG8DeA8JeT/IvhFxgBVnBmlBCsBctB3sB,v115@RhD8DeG8DeA8Je2EJvhFRgBzhBUmBXsBCtBFtB,v115@RhD8DeG8DeA8JeT/IvhF2lBRhB3iB1rBSxBctB,v115@RhD8DeG8DeA8JeT/IvhFigBRiBFmBGsBctBXsB,v115@RhD8DeG8DeA8JeT/IvhFxgBliBmlBqrB/sBctB,v115@RhD8DeG8DeA8JeT/IvhFxgBmlBCnBXsBctBlsB,v115@RhD8DeG8DeA8JeT/IvhFxgB8mBmlBXsBCtBFtB,v115@RhD8DeG8DeA8JeT/IvhFigBFmBxnBurBcsBXtB,v115@RhD8DeG8DeA8JeT/IvhF2lB8mBSoBFmB3nBRxB,v115@RhD8DeG8DeA8Jei/IvhFliBRlB3mBTsBctBGrB,v115@RhD8DeG8DeA8JeT/IvhFxlB8rBCoBmlBFsBXtB
TISOZLJ,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,O,X,X,O
TIZLOSJ,X,X,X,X,X,X,X,O,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,O,X,X,O
TIZOLSJ,X,X,X,X,X,X,X,O,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,O,X,X,X,O,X,X,X
TIOLJZS,X,X,O,O,X,X,X,O,X,X,X
TIOLSJZ,X,X,O,X,X,X,X,O,X,X,X
TIOLSZJ,X,X,O,X,X,X,X,O,X,O,X
TIOLZJS,X,X,O,X,X,X,X,O,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,O,X,X,X
TIOJLSZ,X,X,O,O,X,X,X,O,X,X,X
TIOJLZS,X,X,O,O,X,X,X,O,X,X,X
TIOJSLZ,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,X,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,O,X,O,X
TIOSJLZ,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,X,X,X,O,X
TIOSZJL,X,X,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,X,X,X,X,O,X,X,O
TIOZLSJ,X,X,X,X,X,X,X,O,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X,X,X,X
TLIJSZO,O,X,O,O,O,X,X,X,X,X,X
TLIJSOZ,O,X,O,O,O,X,X,X,X,X,X
TLIJZSO,O,X,O,O,X,X,X,X,X,X,X
TLIJZOS,O,X,O,O,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,O,O,X,X,O,X,X,X
TLIJOZS,O,X,O,O,X,X,X,O,X,X,X
TLISJZO,O,X,O,X,O,X,X,X,X,X,X
TLISJOZ,O,X,O,X,O,X,X,X,X,X,X
TLISZJO,X,X,O,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,X,X,O,X,X,X,X,O,X,X,X
TLISOZJ,X,X,O,X,X,X,X,O,X,X,X
TLIZJSO,O,X,O,X,X,X,X,X,X,X,X
TLIZJOS,O,X,O,X,X,X,X,X,X,X,X
TLIZSJO,X,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,O,X,X,X,X,X,X,X,X
TLIZOJS,X,X,O,X,X,X,X,O,X,X,X
TLIZOSJ,X,X,O,X,X,X,X,O,X,X,X
TLIOJSZ,O,X,O,O,X,X,X,O,X,X,X
TLIOJZS,O,X,O,O,X,X,X,O,X,X,X
TLIOSJZ,X,X,O,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,O,X,O,X
TLIOZJS,X,X,O,X,X,X,X,O,X,X,X
TLIOZSJ,X,X,O,X,X,X,X,O,X,X,X
TLJISZO,O,X,O,O,O,X,X,X,X,X,X
TLJISOZ,O,X,O,O,O,X,X,X,X,X,X
TLJIZSO,O,X,O,O,X,X,X,X,X,X,X
TLJIZOS,O,X,O,O,X,X,X,X,O,X,X
TLJIOSZ,O,X,O,O,O,X,X,O,X,X,X
TLJIOZS,O,X,O,O,X,X,X,O,O,X,X
TLJSIZO,O,X,O,O,O,X,X,X,X,X,X
TLJSIOZ,O,X,O,O,O,X,X,X,X,X,X
TLJSZIO,O,X,O,O,O,X,X,X,X,X,X
TLJSZOI,O,X,O,O,O,X,X,X,X,X,X
TLJSOIZ,O,X,O,O,O,X,X,X,X,X,X
TLJSOZI,O,X,O,O,O,X,X,X,X,X,X
TLJZISO,O,X,O,O,X,X,X,X,X,X,X
TLJZIOS,O,X,O,O,X,X,X,X,X,X,X
TLJZSIO,O,X,O,O,X,X,X,X,X,X,X
TLJZSOI,O,X,O,O,X,X,X,X,X,X,X
TLJZOIS,O,X,O,O,X,X,X,X,X,X,X
TLJZOSI,O,X,O,O,X,X,X,X,X,X,X
TLJOISZ,O,X,O,O,O,X,X,O,X,X,X
TLJOIZS,O,X,O,O,X,X,X,O,O,X,X
TLJOSIZ,O,X,O,O,O,X,X,X,X,X,X
TLJOSZI,O,X,O,O,O,X,X,X,X,X,X
TLJOZIS,O,X,O,O,X,X,X,X,X,X,X
TLJOZSI,O,X,O,O,X,X,X,X,X,X,X
TLSIJZO,O,X,O,X,O,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,O,X,X,X,X,X,X
TLSIZJO,X,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,X,X,X,O,X,X,X
TLSIOZJ,X,X,O,X,X,X,X,O,X,X,X
TLSJIZO,O,X,O,O,O,X,X,X,X,X,X
TLSJIOZ,O,X,O,O,O,X,X,X,X,X,X
TLSJZIO,O,X,O,O,O,X,X,X,X,X,X
TLSJZOI,O,X,O,O,O,X,X,X,X,X,X
TLSJOIZ,O,X,O,O,O,X,X,X,X,X,X
TLSJOZI,O,X,O,O,O,X,X,X,X,X,X
