sequence,v115@QhB8FeE8CeE8Jem/IvhFtlBxhBXjB0kBzmByvB,v115@QhB8FeE8CeE8Jex/IvhF6mBOnBXjB0kBdrBTqB,v115@QhB8FeE8CeE8Je/EJvhFUgBGhBxiBNrBinBTqB,v115@QhB8FeE8CeE8JeT/IvhF/lBGhBxiBNrBinBUqB,v115@QhB8FeE8CeE8JeT/IvhF9mBOnBXjBRqB0qBiqB
TLJOSZI,O,O,O,X,X
TLJOZIS,O,O,O,O,X
TLJOZSI,O,O,O,O,X
TLSIJZO,O,O,O,X,O
TLSIJOZ,X,X,O,X,O
TLSIZJO,O,O,O,O,X
TLSIZOJ,O,O,O,O,X
TLSIOJZ,O,X,O,X,O
TLSIOZJ,O,X,O,O,X
TLSJIZO,O,O,O,X,O
TLSJIOZ,X,X,O,X,O
TLSJZIO,O,O,O,X,X
TLSJZOI,O,O,O,X,X
TLSJOIZ,O,X,O,X,O
TLSJOZI,O,O,O,X,X
TLSZIJO,O,O,O,O,X
TLSZIOJ,O,O,O,O,X
TLSZJIO,O,O,O,O,X
TLSZJOI,O,O,O,O,X
TLSZOIJ,O,O,O,O,X
TLSZOJI,O,O,O,O,X
TLSOIJZ,O,X,O,X,O
TLSOIZJ,O,X,O,O,X
TLSOJIZ,O,X,O,X,O
TLSOJZI,O,O,O,X,X
TLSOZIJ,O,O,O,O,X
TLSOZJI,O,O,O,O,X
TLZIJSO,O,O,O,O,X
TLZIJOS,O,O,O,O,X
TLZISJO,O,O,O,O,X
TLZISOJ,O,O,O,O,X
TLZIOJS,O,O,O,O,X
TLZIOSJ,O,O,O,O,X
TLZJISO,O,O,O,O,X
TLZJIOS,O,O,O,O,X
TLZJSIO,O,O,O,O,X
TLZJSOI,O,O,O,O,X
TLZJOIS,O,O,O,O,X
TLZJOSI,O,O,O,O,X
TLZSIJO,O,O,O,O,X
TLZSIOJ,O,O,O,O,X
TLZSJIO,O,O,O,O,X
TLZSJOI,O,O,O,O,X
TLZSOIJ,O,O,O,O,X
TLZSOJI,O,O,O,O,X
TLZOIJS,O,O,O,O,X
TLZOISJ,O,O,O,O,X
TLZOJIS,O,O,O,O,X
TLZOJSI,O,O,O,O,X
TLZOSIJ,O,O,O,O,X
TLZOSJI,O,O,O,O,X
TLOIJSZ,O,X,O,X,O
TLOIJZS,O,X,O,O,O
TLOISJZ,O,X,O,X,O
TLOISZJ,O,X,O,O,X
TLOIZJS,O,X,O,O,X
TLOIZSJ,O,X,O,O,X
TLOJISZ,O,X,O,X,O
TLOJIZS,O,X,O,O,O
TLOJSIZ,O,X,O,X,O
TLOJSZI,O,O,O,X,X
TLOJZIS,O,O,O,O,X
TLOJZSI,O,O,O,O,X
TLOSIJZ,O,X,O,X,O
TLOSIZJ,O,X,O,O,X
TLOSJIZ,O,X,O,X,O
TLOSJZI,O,O,O,X,X
TLOSZIJ,O,O,O,O,X
TLOSZJI,O,O,O,O,X
TLOZIJS,O,O,O,O,X
TLOZISJ,O,O,O,O,X
TLOZJIS,O,O,O,O,X
TLOZJSI,O,O,O,O,X
TLOZSIJ,O,O,O,O,X
TLOZSJI,O,O,O,O,X
TJILSZO,X,O,O,X,O
TJILSOZ,X,X,O,X,O
TJILZSO,X,O,O,X,O
TJILZOS,X,O,O,X,O
TJILOSZ,X,X,O,X,O
TJILOZS,X,X,O,X,O
TJISLZO,X,O,O,X,O
TJISLOZ,X,X,O,X,O
TJISZLO,X,O,O,X,O
TJISZOL,X,O,O,X,O
TJISOLZ,X,X,O,X,O
TJISOZL,X,X,O,X,O
TJIZLSO,X,O,X,X,O
TJIZLOS,X,O,X,X,O
TJIZSLO,X,O,O,O,O
TJIZSOL,X,O,O,O,O
TJIZOLS,X,O,X,X,O
TJIZOSL,X,O,O,O,O
TJIOLSZ,X,X,O,X,O
TJIOLZS,X,X,O,X,O
TJIOSLZ,X,X,O,X,O
TJIOSZL,X,X,O,X,O
TJIOZLS,X,X,X,X,O
TJIOZSL,X,X,O,O,O
TJLISZO,X,O,O,X,O
TJLISOZ,X,X,O,X,O
TJLIZSO,X,O,O,O,O
TJLIZOS,X,O,O,O,O
TJLIOSZ,X,X,O,X,O
TJLIOZS,X,X,O,O,O
TJLSIZO,X,O,O,X,O
TJLSIOZ,X,X,O,X,O
TJLSZIO,X,O,O,X,X
TJLSZOI,X,O,O,X,X
TJLSOIZ,X,X,O,X,O
TJLSOZI,X,O,O,X,X
TJLZISO,X,O,O,O,X
TJLZIOS,X,O,O,O,X
TJLZSIO,X,O,O,O,X
TJLZSOI,X,O,O,O,X
TJLZOIS,X,O,O,O,X
TJLZOSI,X,O,O,O,X
TJLOISZ,X,X,O,X,O
TJLOIZS,X,X,O,O,O
TJLOSIZ,X,X,O,X,O
TJLOSZI,X,O,O,X,X
TJLOZIS,X,O,O,O,X
TJLOZSI,X,O,O,O,X
TJSILZO,X,O,O,X,O
TJSILOZ,X,X,O,X,O
TJSIZLO,X,O,O,X,O
TJSIZOL,X,O,O,X,O
TJSIOLZ,X,X,O,X,O
TJSIOZL,X,X,O,X,O
TJSLIZO,X,O,O,X,O
TJSLIOZ,X,X,O,X,O
TJSLZIO,X,O,O,X,X
TJSLZOI,X,O,O,X,X
TJSLOIZ,X,X,O,X,O
TJSLOZI,X,O,O,X,X
TJSZILO,X,O,O,X,O
TJSZIOL,X,O,O,X,O
TJSZLIO,X,O,O,X,X
TJSZLOI,X,O,O,X,X
TJSZOIL,X,O,O,X,O
TJSZOLI,X,O,O,X,X
TJSOILZ,X,X,O,X,O
TJSOIZL,X,X,O,X,O
TJSOLIZ,X,X,O,X,O
TJSOLZI,X,O,O,X,X
TJSOZIL,X,O,O,X,O
TJSOZLI,X,O,O,X,X
TJZILSO,X,O,X,X,O
TJZILOS,X,O,X,X,O
TJZISLO,X,O,O,O,O
TJZISOL,X,O,O,O,O
TJZIOLS,X,O,X,X,O
TJZIOSL,X,O,O,O,O
TJZLISO,X,O,O,O,X
TJZLIOS,X,O,O,O,X
TJZLSIO,X,O,O,O,X
TJZLSOI,X,O,O,O,X
TJZLOIS,X,O,O,O,X
TJZLOSI,X,O,O,O,X
TJZSILO,X,O,O,O,O
TJZSIOL,X,O,O,O,O
TJZSLIO,X,O,O,O,X
TJZSLOI,X,O,O,O,X
TJZSOIL,X,O,O,O,O
TJZSOLI,X,O,O,O,X
TJZOILS,X,O,X,X,O
TJZOISL,X,O,O,O,O
TJZOLIS,X,O,O,O,X
TJZOLSI,X,O,O,O,X
TJZOSIL,X,O,O,O,O
TJZOSLI,X,O,O,O,X
TJOILSZ,X,X,O,X,O
TJOILZS,X,X,O,X,O
TJOISLZ,X,X,O,X,O
TJOISZL,X,X,O,X,O
TJOIZLS,X,X,X,X,O
TJOIZSL,X,X,O,O,O
TJOLISZ,X,X,O,X,O
TJOLIZS,X,X,O,O,O
TJOLSIZ,X,X,O,X,O
TJOLSZI,X,O,O,X,X
TJOLZIS,X,O,O,O,X
TJOLZSI,X,O,O,O,X
TJOSILZ,X,X,O,X,O
TJOSIZL,X,X,O,X,O
TJOSLIZ,X,X,O,X,O
TJOSLZI,X,O,O,X,X
TJOSZIL,X,O,O,X,O
TJOSZLI,X,O,O,X,X
TJOZILS,X,O,X,X,O
TJOZISL,X,O,O,O,O
TJOZLIS,X,O,O,O,X
TJOZLSI,X,O,O,O,X
TJOZSIL,X,O,O,O,O
TJOZSLI,X,O,O,O,X
TSILJZO,O,O,O,X,O
TSILJOZ,X,X,O,X,O
TSILZJO,O,O,O,X,X
TSILZOJ,O,O,O,X,X
TSILOJZ,X,X,O,X,O
TSILOZJ,O,X,O,X,X
TSIJLZO,X,O,O,X,O
TSIJLOZ,X,X,O,X,O
TSIJZLO,X,O,O,X,O
TSIJZOL,X,O,O,X,O
TSIJOLZ,X,X,O,X,O
TSIJOZL,X,X,O,X,O
TSIZLJO,X,O,O,O,X
TSIZLOJ,X,O,O,O,X
TSIZJLO,X,O,O,O,O
TSIZJOL,X,O,O,O,O
TSIZOLJ,X,O,O,O,X
TSIZOJL,X,O,O,O,O
TSIOLJZ,O,X,O,X,O
TSIOLZJ,O,X,O,X,X
TSIOJLZ,X,X,O,X,O
TSIOJZL,X,X,O,X,O
TSIOZLJ,O,X,O,O,X
TSIOZJL,X,X,O,O,O
TSLIJZO,O,O,O,X,O
TSLIJOZ,X,X,O,X,O
TSLIZJO,O,O,O,O,X
TSLIZOJ,O,O,O,O,X
TSLIOJZ,O,X,O,X,O
TSLIOZJ,O,X,O,O,X
TSLJIZO,O,O,O,X,O
TSLJIOZ,X,X,O,X,O
TSLJZIO,O,O,O,X,X
TSLJZOI,O,O,O,X,X
TSLJOIZ,O,X,O,X,O
TSLJOZI,O,O,O,X,X
TSLZIJO,O,O,O,O,X
TSLZIOJ,O,O,O,O,X
TSLZJIO,O,O,O,O,X
TSLZJOI,O,O,O,O,X
TSLZOIJ,O,O,O,O,X
TSLZOJI,O,O,O,O,X
TSLOIJZ,O,X,O,X,O
TSLOIZJ,O,X,O,O,X
TSLOJIZ,O,X,O,X,O
TSLOJZI,O,O,O,X,X
TSLOZIJ,O,O,O,O,X
TSLOZJI,O,O,O,O,X
TSJILZO,X,O,O,X,O
TSJILOZ,X,X,O,X,O
TSJIZLO,X,O,O,X,O
TSJIZOL,X,O,O,X,O
TSJIOLZ,X,X,O,X,O
TSJIOZL,X,X,O,X,O
TSJLIZO,X,O,O,X,O
TSJLIOZ,X,X,O,X,O
TSJLZIO,X,O,O,X,X
TSJLZOI,X,O,O,X,X
TSJLOIZ,X,X,O,X,O
TSJLOZI,X,O,O,X,X
TSJZILO,X,O,O,X,O
TSJZIOL,X,O,O,X,O
TSJZLIO,X,O,O,X,X
TSJZLOI,X,O,O,X,X
TSJZOIL,X,O,O,X,O
TSJZOLI,X,O,O,X,X
TSJOILZ,X,X,O,X,O
TSJOIZL,X,X,O,X,O
TSJOLIZ,X,X,O,X,O
TSJOLZI,X,O,O,X,X
TSJOZIL,X,O,O,X,O
TSJOZLI,X,O,O,X,X
TSZILJO,X,O,O,O,X
TSZILOJ,X,O,O,O,X
TSZIJLO,X,O,O,O,O
TSZIJOL,X,O,O,O,O
TSZIOLJ,X,O,O,O,X
TSZIOJL,X,O,O,O,O
TSZLIJO,X,O,O,O,X
TSZLIOJ,X,O,O,O,X
TSZLJIO,X,O,O,O,X
TSZLJOI,X,O,O,O,X
TSZLOIJ,X,O,O,O,X
TSZLOJI,X,O,O,O,X
TSZJILO,X,O,O,O,O
TSZJIOL,X,O,O,O,O
TSZJLIO,X,O,O,O,X
TSZJLOI,X,O,O,O,X
TSZJOIL,X,O,O,O,O
TSZJOLI,O,O,O,O,X
TSZOILJ,O,O,O,O,X
TSZOIJL,X,O,O,O,O
TSZOLIJ,O,O,O,O,X
TSZOLJI,O,O,O,O,X
TSZOJIL,X,O,O,O,O
TSZOJLI,O,O,O,O,X
TSOILJZ,O,X,O,X,O
TSOILZJ,O,X,O,X,X
TSOIJLZ,X,X,O,X,O
TSOIJZL,X,X,O,X,O
TSOIZLJ,O,X,O,O,X
TSOIZJL,X,X,O,O,O
TSOLIJZ,O,X,O,X,O
TSOLIZJ,O,X,O,O,X
TSOLJIZ,O,X,O,X,O
TSOLJZI,O,O,O,X,X
TSOLZIJ,O,O,O,O,X
TSOLZJI,O,O,O,O,X
TSOJILZ,X,X,O,X,O
TSOJIZL,X,X,O,X,O
TSOJLIZ,X,X,O,X,O
TSOJLZI,X,O,O,X,X
TSOJZIL,X,O,O,X,O
TSOJZLI,X,O,O,X,X
TSOZILJ,O,O,O,O,X
TSOZIJL,X,O,O,O,O
TSOZLIJ,O,O,O,O,X
TSOZLJI,O,O,O,O,X
TSOZJIL,X,O,O,O,O
TSOZJLI,O,O,O,O,X
TZILJSO,X,O,X,O,X
TZILJOS,X,O,X,O,X
TZILSJO,X,O,X,O,X
TZILSOJ,X,O,X,O,X
TZILOJS,X,O,X,O,X
TZILOSJ,X,O,X,O,X
TZIJLSO,X,O,X,X,O
TZIJLOS,X,O,X,X,O
TZIJSLO,X,O,O,O,O
TZIJSOL,X,O,O,O,O
TZIJOLS,X,O,X,X,O
TZIJOSL,X,O,O,O,O
TZISLJO,X,O,O,O,X
TZISLOJ,X,O,X,O,X
TZISJLO,X,O,O,O,O
TZISJOL,X,O,O,O,O
TZISOLJ,X,O,O,O,X
TZISOJL,X,O,O,O,O
TZIOLJS,X,O,X,O,X
TZIOLSJ,X,O,X,O,X
