sequence,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFOmB8mBziB5?oBqqBlsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFVmBUiBaoB5?oBzqBGsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeiBJvhFziB5oBGlB3?mBlsB0qB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhFOmBliB5oBq?qBzmB8sB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeXAJvhF0hB5oBuqBz?nBirBlsB,v115@9gB8HeA8IeC8GeC8BeB8AeA8KeVFJvhFRhBGjB0mB6?sB/tBzqB
TILJSZO,O,O,O,O,O,O
TILJSOZ,O,O,O,O,O,O
TILJZSO,O,O,X,O,O,X
TILJZOS,O,O,X,O,O,X
TILJOSZ,O,O,O,O,O,X
TILJOZS,O,O,X,O,O,X
TILSJZO,O,O,O,O,X,O
TILSJOZ,O,O,O,O,X,O
TILSZJO,O,X,O,O,X,O
TILSZOJ,O,X,O,O,X,O
TILSOJZ,O,O,O,O,X,O
TILSOZJ,O,O,O,O,X,X
TILZJSO,O,X,X,O,X,O
TILZJOS,O,X,X,O,X,X
TILZSJO,O,X,X,O,X,O
TILZSOJ,O,X,X,O,X,O
TILZOJS,O,X,X,O,X,X
TILZOSJ,O,X,X,O,X,O
TILOJSZ,O,O,O,O,O,X
TILOJZS,O,O,X,O,O,X
TILOSJZ,O,O,O,O,X,O
TILOSZJ,O,O,O,O,X,X
TILOZJS,O,O,X,O,X,X
TILOZSJ,O,O,X,O,X,X
TIJLSZO,O,O,O,X,O,O
TIJLSOZ,O,O,O,X,O,O
TIJLZSO,O,O,X,X,O,X
TIJLZOS,O,O,X,X,O,X
TIJLOSZ,O,O,O,X,O,X
TIJLOZS,O,O,X,X,O,X
TIJSLZO,O,O,O,X,O,O
TIJSLOZ,O,O,O,X,O,O
TIJSZLO,X,O,O,X,O,O
TIJSZOL,X,O,O,X,O,O
TIJSOLZ,O,O,O,X,O,O
TIJSOZL,X,O,O,X,O,O
TIJZLSO,O,O,X,X,O,X
TIJZLOS,O,O,X,X,O,X
TIJZSLO,O,O,O,X,O,O
TIJZSOL,O,O,O,X,O,O
TIJZOLS,O,O,X,X,X,X
TIJZOSL,O,O,O,X,O,X
TIJOLSZ,O,O,O,X,O,X
TIJOLZS,O,O,X,X,O,X
TIJOSLZ,O,O,O,X,O,X
TIJOSZL,X,O,O,X,O,X
TIJOZLS,O,O,X,X,X,X
TIJOZSL,O,O,O,X,O,X
TISLJZO,O,O,O,O,X,O
TISLJOZ,O,O,O,O,X,O
TISLZJO,O,X,O,O,X,O
TISLZOJ,O,X,O,O,X,O
TISLOJZ,O,O,O,O,X,O
TISLOZJ,O,O,O,O,X,X
TISJLZO,O,O,O,X,O,O
TISJLOZ,O,O,O,X,O,O
TISJZLO,X,O,O,X,O,O
TISJZOL,X,O,O,X,O,O
TISJOLZ,O,O,O,X,O,O
TISJOZL,X,O,O,X,O,O
TISZLJO,O,X,O,O,X,O
TISZLOJ,O,X,O,O,X,O
TISZJLO,O,X,X,O,X,O
TISZJOL,O,X,X,X,X,O
