sequence,v115@FhB8HeB8AeA8GeA8AeB8CeD8JeZEJvhFzfBfmBmhBq?nBtrB0qB,v115@FhB8HeB8AeA8GeA8AeB8CeD8JeZEJvhFflB0gBmhBq?nBtrBzqB,v115@FhB8HeB8AeA8GeA8AeB8CeD8JeZEJvhFzfBamBWnB9?qB0nB3rB,v115@FhB8HeB8AeA8GeA8AeB8CeD8JeZEJvhFflB0gBdnBq?nBTmBWwB
ILTJSOZ,X,O,X,O
ILTJZSO,O,O,X,O
ILTJZOS,O,O,X,X
ILTJOSZ,X,O,X,O
ILTJOZS,O,O,X,X
ILTSJZO,X,O,O,O
ILTSJOZ,X,O,O,O
ILTSZJO,O,O,O,O
ILTSZOJ,O,O,O,O
ILTSOJZ,X,O,O,O
ILTSOZJ,O,O,O,O
ILTZJSO,O,O,X,O
ILTZJOS,O,O,X,X
ILTZSJO,O,O,X,O
ILTZSOJ,O,O,X,O
ILTZOJS,O,O,X,X
ILTZOSJ,O,O,X,X
ILTOJSZ,X,O,X,O
ILTOJZS,O,O,X,X
ILTOSJZ,X,O,O,O
ILTOSZJ,O,O,O,O
ILTOZJS,O,O,X,X
ILTOZSJ,O,O,X,X
ILJTSZO,X,O,X,O
ILJTSOZ,X,O,X,O
ILJTZSO,O,O,X,O
ILJTZOS,O,O,X,X
ILJTOSZ,X,O,X,O
ILJTOZS,O,O,X,X
ILJSTZO,X,O,X,O
ILJSTOZ,X,O,X,O
ILJSZTO,X,O,X,O
ILJSZOT,X,X,X,O
ILJSOTZ,X,O,X,O
ILJSOZT,X,O,X,O
ILJZTSO,O,X,X,O
ILJZTOS,O,X,X,X
ILJZSTO,O,X,X,O
ILJZSOT,O,X,X,O
ILJZOTS,O,X,X,X
ILJZOST,O,X,X,X
ILJOTSZ,X,O,X,O
ILJOTZS,O,O,X,X
ILJOSTZ,X,O,X,O
ILJOSZT,X,O,X,O
ILJOZTS,O,X,X,X
ILJOZST,O,X,X,X
ILSTJZO,X,O,O,O
ILSTJOZ,X,O,O,O
ILSTZJO,O,O,O,O
ILSTZOJ,O,O,O,O
ILSTOJZ,X,O,O,O
ILSTOZJ,O,O,O,O
ILSJTZO,X,O,O,O
ILSJTOZ,X,O,O,O
ILSJZTO,X,O,X,O
ILSJZOT,X,X,X,O
ILSJOTZ,X,O,O,O
ILSJOZT,X,O,X,O
ILSZTJO,O,O,X,O
ILSZTOJ,O,O,X,O
ILSZJTO,O,O,X,O
ILSZJOT,O,X,X,O
ILSZOTJ,O,O,X,O
ILSZOJT,O,O,X,O
ILSOTJZ,X,O,O,O
ILSOTZJ,O,O,O,O
ILSOJTZ,X,O,O,O
ILSOJZT,X,O,X,O
ILSOZTJ,O,O,X,O
ILSOZJT,O,O,X,O
ILZTJSO,O,O,X,O
ILZTJOS,O,O,X,X
ILZTSJO,O,O,X,O
ILZTSOJ,O,O,X,O
ILZTOJS,O,O,X,X
ILZTOSJ,O,O,X,X
ILZJTSO,O,X,X,O
ILZJTOS,O,X,X,X
ILZJSTO,O,X,X,O
ILZJSOT,O,X,X,O
ILZJOTS,O,X,X,X
ILZJOST,O,X,X,X
ILZSTJO,O,O,X,O
ILZSTOJ,O,O,X,O
ILZSJTO,O,O,X,O
ILZSJOT,O,X,X,O
ILZSOTJ,O,O,X,O
ILZSOJT,O,O,X,O
ILZOTJS,O,O,X,X
ILZOTSJ,O,O,X,X
ILZOJTS,O,X,X,X
ILZOJST,O,X,X,X
ILZOSTJ,O,O,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,X,O,X,O
ILOTJZS,O,O,X,X
ILOTSJZ,X,O,O,O
ILOTSZJ,O,O,O,O
ILOTZJS,O,O,X,X
ILOTZSJ,O,O,X,X
ILOJTSZ,X,O,X,O
ILOJTZS,O,O,X,X
ILOJSTZ,X,O,X,O
ILOJSZT,X,O,X,O
ILOJZTS,O,X,X,X
ILOJZST,O,X,X,X
ILOSTJZ,X,O,O,O
ILOSTZJ,O,O,O,O
ILOSJTZ,X,O,O,O
ILOSJZT,X,O,X,O
ILOSZTJ,O,O,X,O
ILOSZJT,O,O,X,O
ILOZTJS,O,O,X,X
ILOZTSJ,O,O,X,X
ILOZJTS,O,X,X,X
ILOZJST,O,X,X,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,O,X,X
IJTLSZO,X,O,X,O
IJTLSOZ,X,O,X,O
IJTLZSO,O,O,X,O
IJTLZOS,O,O,X,X
IJTLOSZ,X,O,X,O
IJTLOZS,O,O,X,X
IJTSLZO,X,O,O,O
IJTSLOZ,X,O,O,O
IJTSZLO,X,O,O,O
IJTSZOL,X,X,O,X
IJTSOLZ,X,O,O,X
IJTSOZL,X,O,O,X
IJTZLSO,O,X,X,X
IJTZLOS,O,X,X,X
IJTZSLO,O,X,X,X
IJTZSOL,O,X,X,X
IJTZOLS,O,X,X,X
IJTZOSL,O,X,X,X
IJTOLSZ,X,O,X,X
IJTOLZS,O,O,X,X
IJTOSLZ,X,O,O,X
IJTOSZL,X,O,O,X
IJTOZLS,O,X,X,X
IJTOZSL,O,X,X,X
IJLTSZO,X,O,X,O
IJLTSOZ,X,O,X,O
IJLTZSO,O,O,X,O
IJLTZOS,O,O,X,X
IJLTOSZ,X,O,X,O
IJLTOZS,O,O,X,X
IJLSTZO,X,O,X,O
IJLSTOZ,X,O,X,O
IJLSZTO,X,O,X,O
IJLSZOT,X,X,X,O
IJLSOTZ,X,O,X,O
IJLSOZT,X,O,X,O
IJLZTSO,O,X,X,O
IJLZTOS,O,X,X,X
IJLZSTO,O,X,X,O
IJLZSOT,O,X,X,O
IJLZOTS,O,X,X,X
IJLZOST,O,X,X,X
IJLOTSZ,X,O,X,O
IJLOTZS,O,O,X,X
IJLOSTZ,X,O,X,O
IJLOSZT,X,O,X,O
IJLOZTS,O,X,X,X
IJLOZST,O,X,X,X
IJSTLZO,X,O,O,O
IJSTLOZ,X,O,O,O
IJSTZLO,X,O,O,O
IJSTZOL,X,X,O,X
IJSTOLZ,X,O,O,X
IJSTOZL,X,O,O,X
IJSLTZO,X,O,O,O
IJSLTOZ,X,O,O,O
IJSLZTO,X,O,X,O
IJSLZOT,X,X,X,O
IJSLOTZ,X,O,O,O
IJSLOZT,X,O,X,O
IJSZTLO,X,O,O,O
IJSZTOL,X,X,O,X
IJSZLTO,X,O,X,O
IJSZLOT,X,X,X,O
IJSZOTL,X,X,O,X
IJSZOLT,X,X,X,O
IJSOTLZ,X,O,O,X
IJSOTZL,X,O,O,X
IJSOLTZ,X,O,O,O
IJSOLZT,X,O,X,O
IJSOZTL,X,O,O,X
IJSOZLT,X,O,X,O
IJZTLSO,O,X,X,X
IJZTLOS,O,X,X,X
IJZTSLO,O,X,X,X
IJZTSOL,O,X,X,X
IJZTOLS,O,X,X,X
IJZTOSL,O,X,X,X
IJZLTSO,O,X,X,O
IJZLTOS,O,X,X,X
IJZLSTO,O,X,X,O
IJZLSOT,O,X,X,O
IJZLOTS,O,X,X,X
IJZLOST,O,X,X,X
IJZSTLO,O,X,X,O
IJZSTOL,O,X,X,X
IJZSLTO,O,X,X,O
IJZSLOT,O,X,X,O
IJZSOTL,O,X,X,X
IJZSOLT,O,X,X,O
IJZOTLS,O,X,X,X
IJZOTSL,O,X,X,X
IJZOLTS,O,X,X,X
IJZOLST,O,X,X,X
IJZOSTL,O,X,X,X
IJZOSLT,O,X,X,X
IJOTLSZ,X,O,X,X
IJOTLZS,O,O,X,X
IJOTSLZ,X,O,O,X
IJOTSZL,X,O,O,X
IJOTZLS,O,X,X,X
IJOTZSL,O,X,X,X
IJOLTSZ,X,O,X,O
IJOLTZS,O,O,X,X
IJOLSTZ,X,O,X,O
IJOLSZT,X,O,X,O
IJOLZTS,O,X,X,X
IJOLZST,O,X,X,X
IJOSTLZ,X,O,O,X
IJOSTZL,X,O,O,X
IJOSLTZ,X,O,O,O
IJOSLZT,X,O,X,O
IJOSZTL,X,O,O,X
IJOSZLT,X,O,X,O
IJOZTLS,O,X,X,X
IJOZTSL,O,X,X,X
IJOZLTS,O,X,X,X
IJOZLST,O,X,X,X
IJOZSTL,O,X,X,X
IJOZSLT,O,X,X,X
ISTLJZO,X,O,O,O
ISTLJOZ,X,O,O,O
ISTLZJO,O,O,O,O
ISTLZOJ,O,O,O,O
ISTLOJZ,X,O,O,O
ISTLOZJ,O,O,O,O
ISTJLZO,X,O,O,O
ISTJLOZ,X,O,O,O
ISTJZLO,X,O,O,O
ISTJZOL,X,X,O,X
ISTJOLZ,X,O,O,X
ISTJOZL,X,O,O,X
ISTZLJO,O,O,O,O
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,O,O
ISTZJOL,O,X,O,X
ISTZOLJ,O,O,O,X
ISTZOJL,O,O,O,X
ISTOLJZ,X,O,O,X
ISTOLZJ,O,O,O,X
ISTOJLZ,X,O,O,X
ISTOJZL,X,O,O,X
ISTOZLJ,O,O,O,X
ISTOZJL,O,O,O,X
ISLTJZO,X,O,O,O
ISLTJOZ,X,O,O,O
ISLTZJO,O,O,O,O
ISLTZOJ,O,O,O,O
ISLTOJZ,X,O,O,O
ISLTOZJ,O,O,O,O
ISLJTZO,X,O,O,O
ISLJTOZ,X,O,O,O
ISLJZTO,X,O,X,O
ISLJZOT,X,X,X,O
ISLJOTZ,X,O,O,O
ISLJOZT,X,O,X,O
ISLZTJO,O,O,X,O
ISLZTOJ,O,O,X,O
ISLZJTO,O,O,X,O
ISLZJOT,O,X,X,O
ISLZOTJ,O,O,X,O
ISLZOJT,O,O,X,O
ISLOTJZ,X,O,O,O
ISLOTZJ,O,O,O,O
ISLOJTZ,X,O,O,O
ISLOJZT,X,O,X,O
ISLOZTJ,O,O,X,O
ISLOZJT,O,O,X,O
ISJTLZO,X,O,O,O
ISJTLOZ,X,O,O,O
ISJTZLO,X,O,O,O
ISJTZOL,X,X,O,X
ISJTOLZ,X,O,O,X
ISJTOZL,X,O,O,X
ISJLTZO,X,O,O,O
ISJLTOZ,X,O,O,O
ISJLZTO,X,O,X,O
ISJLZOT,X,X,X,O
ISJLOTZ,X,O,O,O
ISJLOZT,X,O,X,O
ISJZTLO,X,O,O,O
ISJZTOL,X,X,O,X
ISJZLTO,X,O,X,O
ISJZLOT,X,X,X,O
ISJZOTL,X,X,O,X
ISJZOLT,X,X,X,O
ISJOTLZ,X,O,O,X
ISJOTZL,X,O,O,X
ISJOLTZ,X,O,O,O
ISJOLZT,X,O,X,O
ISJOZTL,X,O,O,X
ISJOZLT,X,O,X,O
ISZTLJO,O,O,O,O
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,O,O
ISZTJOL,O,X,O,X
ISZTOLJ,O,O,O,X
ISZTOJL,O,O,O,X
ISZLTJO,O,O,X,O
ISZLTOJ,O,O,X,O
ISZLJTO,O,O,X,O
ISZLJOT,O,X,X,O
ISZLOTJ,O,O,X,O
ISZLOJT,O,O,X,O
ISZJTLO,O,O,O,O
ISZJTOL,O,X,O,X
ISZJLTO,O,O,X,O
ISZJLOT,O,X,X,O
ISZJOTL,O,X,O,X
ISZJOLT,O,X,X,O
ISZOTLJ,O,O,O,X
ISZOTJL,O,O,O,X
ISZOLTJ,O,O,X,O
ISZOLJT,O,O,X,O
ISZOJTL,O,O,O,X
ISZOJLT,O,O,X,O
ISOTLJZ,X,O,O,X
ISOTLZJ,O,O,O,X
ISOTJLZ,X,O,O,X
ISOTJZL,X,O,O,X
ISOTZLJ,O,O,O,X
ISOTZJL,O,O,O,X
ISOLTJZ,X,O,O,O
ISOLTZJ,O,O,O,O
ISOLJTZ,X,O,O,O
ISOLJZT,X,O,X,O
ISOLZTJ,O,O,X,O
ISOLZJT,O,O,X,O
ISOJTLZ,X,O,O,X
ISOJTZL,X,O,O,X
ISOJLTZ,X,O,O,O
ISOJLZT,X,O,X,O
ISOJZTL,X,O,O,X
ISOJZLT,X,O,X,O
ISOZTLJ,O,O,O,X
ISOZTJL,O,O,O,X
ISOZLTJ,O,O,X,O
ISOZLJT,O,O,X,O
ISOZJTL,O,O,O,X
ISOZJLT,O,O,X,O
IZTLJSO,O,O,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,O,X,X
IZTLSOJ,O,O,X,X
IZTLOJS,O,O,X,X
IZTLOSJ,O,O,X,X
IZTJLSO,O,X,X,X
IZTJLOS,O,X,X,X
IZTJSLO,O,X,X,X
IZTJSOL,O,X,X,X
IZTJOLS,O,X,X,X
IZTJOSL,O,X,X,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,O,O,X
IZTSJLO,O,O,O,X
IZTSJOL,O,X,O,X
IZTSOLJ,O,O,O,X
IZTSOJL,O,O,O,X
IZTOLJS,O,O,X,X
IZTOLSJ,O,O,X,X
IZTOJLS,O,X,X,X
IZTOJSL,O,X,X,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,O,O,X
IZLTJSO,O,O,X,O
IZLTJOS,O,O,X,X
IZLTSJO,O,O,X,O
IZLTSOJ,O,O,X,O
IZLTOJS,O,O,X,X
IZLTOSJ,O,O,X,X
IZLJTSO,O,X,X,O
IZLJTOS,O,X,X,X
IZLJSTO,O,X,X,O
IZLJSOT,O,X,X,O
IZLJOTS,O,X,X,X
IZLJOST,O,X,X,X
IZLSTJO,O,O,X,O
IZLSTOJ,O,O,X,O
IZLSJTO,O,O,X,O
IZLSJOT,O,X,X,O
IZLSOTJ,O,O,X,O
IZLSOJT,O,O,X,O
IZLOTJS,O,O,X,X
IZLOTSJ,O,O,X,X
IZLOJTS,O,X,X,X
IZLOJST,O,X,X,X
IZLOSTJ,O,O,X,X
IZLOSJT,O,O,X,X
IZJTLSO,O,X,X,X
IZJTLOS,O,X,X,X
IZJTSLO,O,X,X,X
IZJTSOL,O,X,X,X
IZJTOLS,O,X,X,X
IZJTOSL,O,X,X,X
IZJLTSO,O,X,X,O
IZJLTOS,O,X,X,X
IZJLSTO,O,X,X,O
IZJLSOT,O,X,X,O
IZJLOTS,O,X,X,X
IZJLOST,O,X,X,X
IZJSTLO,O,X,X,O
IZJSTOL,O,X,X,X
IZJSLTO,O,X,X,O
IZJSLOT,O,X,X,O
IZJSOTL,O,X,X,X
IZJSOLT,O,X,X,O
IZJOTLS,O,X,X,X
IZJOTSL,O,X,X,X
IZJOLTS,O,X,X,X
IZJOLST,O,X,X,X
IZJOSTL,O,X,X,X
IZJOSLT,O,X,X,X
IZSTLJO,O,O,O,O
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,O
IZSTJOL,O,X,O,X
IZSTOLJ,O,O,O,X
IZSTOJL,O,O,O,X
IZSLTJO,O,O,X,O
IZSLTOJ,O,O,X,O
IZSLJTO,O,O,X,O
IZSLJOT,O,X,X,O
IZSLOTJ,O,O,X,O
IZSLOJT,O,O,X,O
IZSJTLO,O,O,O,O
IZSJTOL,O,X,O,X
IZSJLTO,O,O,X,O
IZSJLOT,O,X,X,O
IZSJOTL,O,X,O,X
IZSJOLT,O,X,X,O
IZSOTLJ,O,O,O,X
IZSOTJL,O,O,O,X
IZSOLTJ,O,O,X,O
IZSOLJT,O,O,X,O
IZSOJTL,O,O,O,X
IZSOJLT,O,O,X,O
IZOTLJS,O,O,X,X
IZOTLSJ,O,O,X,X
IZOTJLS,O,X,X,X
IZOTJSL,O,X,X,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,O,O,X
IZOLTJS,O,O,X,X
IZOLTSJ,O,O,X,X
IZOLJTS,O,X,X,X
IZOLJST,O,X,X,X
IZOLSTJ,O,O,X,X
IZOLSJT,O,O,X,X
IZOJTLS,O,X,X,X
IZOJTSL,O,X,X,X
IZOJLTS,O,X,X,X
IZOJLST,O,X,X,X
IZOJSTL,O,X,X,X
IZOJSLT,O,X,X,X
IZOSTLJ,O,O,O,X
IZOSTJL,O,O,O,X
IZOSLTJ,O,O,X,X
IZOSLJT,O,O,X,X
IZOSJTL,O,O,O,X
IZOSJLT,O,O,X,X
IOTLJSZ,X,O,X,X
IOTLJZS,O,O,X,X
IOTLSJZ,X,O,O,X
IOTLSZJ,O,O,O,X
IOTLZJS,O,O,X,X
IOTLZSJ,O,O,X,X
IOTJLSZ,X,O,X,X
IOTJLZS,O,O,X,X
IOTJSLZ,X,O,O,X
IOTJSZL,X,O,O,X
IOTJZLS,O,X,X,X
IOTJZSL,O,X,X,X
IOTSLJZ,X,O,O,X
IOTSLZJ,O,O,O,X
IOTSJLZ,X,O,O,X
IOTSJZL,X,O,O,X
IOTSZLJ,O,O,O,X
IOTSZJL,O,O,O,X
IOTZLJS,O,O,X,X
IOTZLSJ,O,O,X,X
IOTZJLS,O,X,X,X
IOTZJSL,O,X,X,X
IOTZSLJ,O,O,O,X
IOTZSJL,O,O,O,X
IOLTJSZ,X,O,X,O
IOLTJZS,O,O,X,X
IOLTSJZ,X,O,O,O
IOLTSZJ,O,O,O,O
IOLTZJS,O,O,X,X
IOLTZSJ,O,O,X,X
IOLJTSZ,X,O,X,O
IOLJTZS,O,O,X,X
IOLJSTZ,X,O,X,O
IOLJSZT,X,O,X,O
IOLJZTS,O,X,X,X
IOLJZST,O,X,X,X
IOLSTJZ,X,O,O,O
IOLSTZJ,O,O,O,O
IOLSJTZ,X,O,O,O
IOLSJZT,X,O,X,O
IOLSZTJ,O,O,X,O
IOLSZJT,O,O,X,O
IOLZTJS,O,O,X,X
IOLZTSJ,O,O,X,X
IOLZJTS,O,X,X,X
IOLZJST,O,X,X,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,O,X,X
IOJTLSZ,X,O,X,X
IOJTLZS,O,O,X,X
IOJTSLZ,X,O,O,X
IOJTSZL,X,O,O,X
IOJTZLS,O,X,X,X
IOJTZSL,O,X,X,X
IOJLTSZ,X,O,X,O
IOJLTZS,O,O,X,X
IOJLSTZ,X,O,X,O
IOJLSZT,X,O,X,O
IOJLZTS,O,X,X,X
IOJLZST,O,X,X,X
IOJSTLZ,X,O,O,X
IOJSTZL,X,O,O,X
IOJSLTZ,X,O,O,O
IOJSLZT,X,O,X,O
IOJSZTL,X,O,O,X
IOJSZLT,X,O,X,O
IOJZTLS,O,X,X,X
IOJZTSL,O,X,X,X
IOJZLTS,O,X,X,X
IOJZLST,O,X,X,X
IOJZSTL,O,X,X,X
IOJZSLT,O,X,X,X
IOSTLJZ,X,O,O,X
IOSTLZJ,O,O,O,X
IOSTJLZ,X,O,O,X
IOSTJZL,X,O,O,X
IOSTZLJ,O,O,O,X
IOSTZJL,O,O,O,X
IOSLTJZ,X,O,O,O
IOSLTZJ,O,O,O,O
IOSLJTZ,X,O,O,O
IOSLJZT,X,O,X,O
IOSLZTJ,O,O,X,O
IOSLZJT,O,O,X,O
IOSJTLZ,X,O,O,X
IOSJTZL,X,O,O,X
IOSJLTZ,X,O,O,O
IOSJLZT,X,O,X,O
IOSJZTL,X,O,O,X
IOSJZLT,X,O,X,O
IOSZTLJ,O,O,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,O,X,O
IOSZLJT,O,O,X,O
IOSZJTL,O,O,O,X
IOSZJLT,O,O,X,O
IOZTLJS,O,O,X,X
IOZTLSJ,O,O,X,X
IOZTJLS,O,X,X,X
IOZTJSL,O,X,X,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,O,O,X,X
IOZLTSJ,O,O,X,X
IOZLJTS,O,X,X,X
IOZLJST,O,X,X,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,O,X,X
IOZJTLS,O,X,X,X
IOZJTSL,O,X,X,X
IOZJLTS,O,X,X,X
IOZJLST,O,X,X,X
IOZJSTL,O,X,X,X
IOZJSLT,O,X,X,X
IOZSTLJ,O,O,O,X
IOZSTJL,O,O,O,X
IOZSLTJ,O,O,X,X
IOZSLJT,O,O,X,X
IOZSJTL,O,O,O,X
IOZSJLT,O,O,X,X
LTIJSZO,X,O,X,O
LTIJSOZ,X,O,X,O
LTIJZSO,O,O,X,O
LTIJZOS,O,O,X,X
LTIJOSZ,X,O,X,O
LTIJOZS,O,O,X,X
LTISJZO,X,O,O,O
LTISJOZ,X,O,O,O
LTISZJO,O,O,O,O
LTISZOJ,O,O,O,O
LTISOJZ,X,O,O,O
LTISOZJ,O,O,O,O
LTIZJSO,O,O,X,O
LTIZJOS,O,O,X,X
LTIZSJO,O,O,X,O
LTIZSOJ,O,O,X,O
LTIZOJS,O,O,X,X
LTIZOSJ,O,O,X,X
LTIOJSZ,X,O,X,O
LTIOJZS,O,O,X,X
LTIOSJZ,X,O,O,O
LTIOSZJ,O,O,O,O
LTIOZJS,O,O,X,X
LTIOZSJ,O,O,X,X
LTJISZO,X,O,X,O
LTJISOZ,X,O,X,O
LTJIZSO,O,O,X,O
LTJIZOS,O,O,X,X
LTJIOSZ,X,O,X,O
LTJIOZS,O,O,X,X
LTJSIZO,X,O,X,O
LTJSIOZ,X,O,X,O
LTJSZIO,X,O,X,O
LTJSZOI,X,O,X,O
LTJSOIZ,X,O,X,O
LTJSOZI,X,O,X,O
LTJZISO,O,O,X,O
LTJZIOS,O,O,X,X
LTJZSIO,O,O,X,O
LTJZSOI,O,O,X,O
LTJZOIS,O,O,X,X
LTJZOSI,O,O,X,X
LTJOISZ,X,O,X,O
LTJOIZS,O,O,X,X
LTJOSIZ,X,O,X,O
LTJOSZI,X,O,X,O
LTJOZIS,O,O,X,X
LTJOZSI,O,O,X,X
LTSIJZO,X,O,O,O
LTSIJOZ,X,O,O,O
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,X,O,O,O
LTSIOZJ,O,O,O,O
LTSJIZO,X,O,O,O
LTSJIOZ,X,O,O,O
LTSJZIO,X,O,O,O
LTSJZOI,X,O,O,O
LTSJOIZ,X,O,O,O
LTSJOZI,X,O,O,O
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,X
LTSOIJZ,X,O,O,O
LTSOIZJ,O,O,O,O
LTSOJIZ,X,O,O,O
LTSOJZI,X,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,X
LTZIJSO,O,O,X,O
LTZIJOS,O,O,X,X
LTZISJO,O,O,X,O
LTZISOJ,O,O,X,O
LTZIOJS,O,O,X,X
LTZIOSJ,O,O,X,X
LTZJISO,O,O,X,O
LTZJIOS,O,O,X,X
LTZJSIO,O,O,X,O
LTZJSOI,O,O,X,O
LTZJOIS,O,O,X,X
LTZJOSI,O,O,X,X
LTZSIJO,O,O,X,O
LTZSIOJ,O,O,X,O
LTZSJIO,O,O,X,O
LTZSJOI,O,O,X,O
LTZSOIJ,O,O,X,O
LTZSOJI,O,O,X,X
LTZOIJS,O,O,X,X
LTZOISJ,O,O,X,X
LTZOJIS,O,O,X,X
LTZOJSI,O,O,X,X
LTZOSIJ,O,O,X,X
LTZOSJI,O,O,X,X
LTOIJSZ,X,O,X,O
LTOIJZS,O,O,X,X
LTOISJZ,X,O,O,O
LTOISZJ,O,O,O,O
LTOIZJS,O,O,X,X
LTOIZSJ,O,O,X,X
LTOJISZ,X,O,X,O
LTOJIZS,O,O,X,X
LTOJSIZ,X,O,X,O
LTOJSZI,X,O,X,O
LTOJZIS,O,O,X,X
LTOJZSI,O,O,X,X
LTOSIJZ,X,O,O,O
LTOSIZJ,O,O,O,O
LTOSJIZ,X,O,O,O
LTOSJZI,X,O,O,O
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,X
LTOZIJS,O,O,X,X
LTOZISJ,O,O,X,X
LTOZJIS,O,O,X,X
LTOZJSI,O,O,X,X
LTOZSIJ,O,O,X,X
LTOZSJI,O,O,X,X
LITJSZO,X,O,X,O
LITJSOZ,X,O,X,O
LITJZSO,O,O,X,O
LITJZOS,O,O,X,X
LITJOSZ,X,O,X,O
LITJOZS,O,O,X,X
LITSJZO,X,O,O,O
LITSJOZ,X,O,O,O
LITSZJO,O,O,O,O
LITSZOJ,O,O,O,O
LITSOJZ,X,O,O,O
LITSOZJ,O,O,O,O
LITZJSO,O,O,X,O
LITZJOS,O,O,X,X
LITZSJO,O,O,X,O
LITZSOJ,O,O,X,O
LITZOJS,O,O,X,X
LITZOSJ,O,O,X,X
LITOJSZ,X,O,X,O
LITOJZS,O,O,X,X
LITOSJZ,X,O,O,O
LITOSZJ,O,O,O,O
LITOZJS,O,O,X,X
LITOZSJ,O,O,X,X
LIJTSZO,X,O,X,O
LIJTSOZ,X,O,X,O
LIJTZSO,O,O,X,O
LIJTZOS,O,O,X,X
LIJTOSZ,X,O,X,O
LIJTOZS,O,O,X,X
LIJSTZO,X,O,X,O
LIJSTOZ,X,O,X,O
LIJSZTO,X,O,X,O
LIJSZOT,X,X,X,O
LIJSOTZ,X,O,X,O
LIJSOZT,X,O,X,O
LIJZTSO,O,X,X,O
LIJZTOS,O,X,X,X
LIJZSTO,O,X,X,O
LIJZSOT,O,X,X,O
LIJZOTS,O,X,X,X
LIJZOST,O,X,X,X
LIJOTSZ,X,O,X,O
LIJOTZS,O,O,X,X
LIJOSTZ,X,O,X,O
LIJOSZT,X,O,X,O
LIJOZTS,O,X,X,X
LIJOZST,O,X,X,X
LISTJZO,X,O,O,O
LISTJOZ,X,O,O,O
LISTZJO,O,O,O,O
LISTZOJ,O,O,O,O
LISTOJZ,X,O,O,O
LISTOZJ,O,O,O,O
LISJTZO,X,O,O,O
LISJTOZ,X,O,O,O
LISJZTO,X,O,X,O
LISJZOT,X,X,X,O
LISJOTZ,X,O,O,O
LISJOZT,X,O,X,O
LISZTJO,O,O,X,O
LISZTOJ,O,O,X,O
LISZJTO,O,O,X,O
LISZJOT,O,X,X,O
LISZOTJ,O,O,X,O
LISZOJT,O,O,X,O
LISOTJZ,X,O,O,O
LISOTZJ,O,O,O,O
LISOJTZ,X,O,O,O
LISOJZT,X,O,X,O
LISOZTJ,O,O,X,O
LISOZJT,O,O,X,O
LIZTJSO,O,O,X,O
LIZTJOS,O,O,X,X
LIZTSJO,O,O,X,O
LIZTSOJ,O,O,X,O
LIZTOJS,O,O,X,X
LIZTOSJ,O,O,X,X
LIZJTSO,O,X,X,O
LIZJTOS,O,X,X,X
LIZJSTO,O,X,X,O
LIZJSOT,O,X,X,O
LIZJOTS,O,X,X,X
LIZJOST,O,X,X,X
LIZSTJO,O,O,X,O
LIZSTOJ,O,O,X,O
LIZSJTO,O,O,X,O
LIZSJOT,O,X,X,O
LIZSOTJ,O,O,X,O
LIZSOJT,O,O,X,O
LIZOTJS,O,O,X,X
LIZOTSJ,O,O,X,X
LIZOJTS,O,X,X,X
LIZOJST,O,X,X,X
LIZOSTJ,O,O,X,X
LIZOSJT,O,O,X,X
LIOTJSZ,X,O,X,O
LIOTJZS,O,O,X,X
LIOTSJZ,X,O,O,O
LIOTSZJ,O,O,O,O
LIOTZJS,O,O,X,X
LIOTZSJ,O,O,X,X
LIOJTSZ,X,O,X,O
LIOJTZS,O,O,X,X
LIOJSTZ,X,O,X,O
LIOJSZT,X,O,X,O
LIOJZTS,O,X,X,X
LIOJZST,O,X,X,X
LIOSTJZ,X,O,O,O
LIOSTZJ,O,O,O,O
LIOSJTZ,X,O,O,O
LIOSJZT,X,O,X,O
LIOSZTJ,O,O,X,O
LIOSZJT,O,O,X,O
LIOZTJS,O,O,X,X
LIOZTSJ,O,O,X,X
LIOZJTS,O,X,X,X
LIOZJST,O,X,X,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,O,X,X
LJTISZO,X,O,X,O
LJTISOZ,X,O,X,O
LJTIZSO,O,O,X,O
LJTIZOS,O,O,X,X
LJTIOSZ,X,O,X,O
LJTIOZS,O,O,X,X
LJTSIZO,X,O,X,O
LJTSIOZ,X,O,X,O
LJTSZIO,X,O,X,O
LJTSZOI,X,O,X,O
