sequence,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeT/IvhFlgBanB5oB/?qBOrB0pB,v115@EhB8HeB8FeA8AeB8AeA8DeD8Kem/IvhFUhBanB5oBT?kBfrBVvB,v115@EhB8HeB8FeA8AeB8AeA8DeD8Ke0/IvhFlgBanB5oB/?pBOrBTqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeUBJvhFanB5oB/pBF?lBzqBmpB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeT/IvhFanB5oB/qBF?mB0pBmqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeOEJvhF8kBanB5oBF?mBXqBzqB,v115@EhB8HeB8FeA8AeB8AeA8DeD8KeaHJvhF5oBTkB/qBF?mB0pBmqB
TILJSZO,O,O,O,X,O,O,X
TILJSOZ,O,O,O,X,X,X,O
TILJZSO,O,O,O,X,X,X,X
TILJZOS,O,X,O,X,X,X,X
TILJOSZ,O,O,O,X,X,X,X
TILJOZS,X,O,O,X,X,X,X
TILSJZO,O,O,O,X,O,O,X
TILSJOZ,X,O,O,X,X,X,O
TILSZJO,O,O,O,X,O,O,X
TILSZOJ,O,O,O,X,O,O,O
TILSOJZ,X,O,O,O,X,X,O
TILSOZJ,O,O,O,O,O,O,O
TILZJSO,O,O,X,X,X,X,X
TILZJOS,O,X,X,X,X,X,X
TILZSJO,O,O,X,X,O,O,X
TILZSOJ,O,O,X,X,O,O,O
TILZOJS,O,O,X,X,X,X,X
TILZOSJ,O,O,X,O,O,X,X
TILOJSZ,X,O,O,X,X,X,X
TILOJZS,X,O,X,X,X,X,X
TILOSJZ,X,O,O,O,X,X,O
TILOSZJ,X,O,O,O,O,O,O
TILOZJS,X,O,X,X,X,X,X
TILOZSJ,X,O,O,O,X,X,X
TIJLSZO,O,O,O,X,O,O,X
TIJLSOZ,O,O,O,X,X,X,O
TIJLZSO,O,O,O,X,X,X,X
TIJLZOS,O,X,O,X,X,X,X
TIJLOSZ,O,O,O,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X
TIJSLZO,O,O,O,X,O,O,X
TIJSLOZ,O,O,O,X,X,X,O
TIJSZLO,O,O,O,X,O,O,X
TIJSZOL,O,O,O,X,O,O,X
